htid,author,title,year,authgender,female_category,clubs
uc2.ark:/13960/t8gf0qs0t,"Dorling, H. Taprell",The sub ;,1917,u,high_male,5.468365505550391
inu.30000100579089,"Hennigan, Brian.",The scheme of things / | $c: Brian Hennigan.,2005,m,mixed,5.466970387243736
inu.32000009079445,"Lewis, Cecil,","Pathfinders, | $c: a novel by Cecil Lewis ...",1943,u,,5.465206155383618
mdp.39015069768946,"Ėrenburg, Ilʹi͡a,",A soviet writer looks at Vienna / | $c: Ilya Ehrenburg ; translated by Ivor Montagu.,1934,u,high_male,5.461794745753455
mdp.39015063959723,"Weatherly, F. E.",Oxford days;,1879,m,high_male,5.460104834012813
uiuo.ark:/13960/t6nz8pg31,Author of Cynthia.,Lemuel,1883,u,mixed,5.459111256687411
nyp.33433022846673,"Lymburner, A. L.",The Mohawk chief,1857,u,mixed,5.4586146036136025
mdp.39015001028227,"Kennaway, James,",Tunes of glory / | $c: James Kennaway ; introduction by Godfrey Smith.,1980,m,high_male,5.453380414184243
mdp.39015021828648,,"Lean tales : | James Kelman, Agnes Owens, Alasdair Gray.",1985,u,mixed,5.453335805512232
uiuo.ark:/13960/t1rf63v03,"Field, Julian Osgood,",Little hand and muckle gold,1889,m,high_female,5.450333832947268
mdp.39015063961471,"Winter, John Strange,",Only human,1893,m,high_female,5.449947680502267
uc1.$b267542,"Sullivan, Alan,",Under the northern lights.,1940,u,high_male,5.449591280653951
uc1.32106001980215,"Duncan, Ronald Frederick Henry,","The perfect mistress, | and other stories, | $c: [by] Ronald Duncan.",1969,m,high_female,5.448898414370562
uiuo.ark:/13960/t6h13hw9s,"Tytler, Sarah,","Oliver Constable, miller and baker",1880,f,mixed,5.4485025698770455
uc1.$b242980,"Hanley, James,",A walk in the wilderness.,1950,m,mixed,5.447884177982376
mdp.39015003940312,"Gogarty, Oliver St. John,",Tumbling in the hay ...,1939,m,,5.447562669668879
mdp.39015048927241,"March, Caeia,",Spinsters' rock / | $c: Caeia March.,1999,u,high_female,5.447290653811061
uc1.$b800284,"Walder, David.",The Fair Ladies of Salamanca.,1967,m,,5.445496030233394
mdp.39015030847076,"Harte, Bret,","Wan Lee, the Pagan",1876,m,,5.4433618202601926
uc2.ark:/13960/t9v11x28p,"Irvine, Leigh Hadley,",An affair in the South seas; a story of romantic adventure,1901,u,high_male,5.4422755968362235
uc1.$b236147,"Davies, Rhys,",The collected stories of Rhys Davies.,1955,m,,5.440857874899839
mdp.39015059305089,"Culling, Peter.",The Isle of Enniskerry / | $c: Peter Culling.,2004,m,,5.439926887382634
uc1.32106009014926,"Bowles, Peter,",Call at Corazón : | and other stories / | $c: Paul Bowles.,1988,m,,5.439512619669277
mdp.39015082746093,"Manyika, Sarah Ladipo,",In dependence / | $c: Sarah Ladipo Mayika.,2008,f,mixed,5.438861755011911
uiuo.ark:/13960/t13n2fw29,"Collins, Mortimer,",Marquis and merchant,1871,m,mixed,5.436949508862227
uva.x030581131,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,high_male,5.435550675638949
mdp.39015034274061,"Ellis, Alice Thomas.",The evening of Adam / | $c: Alice Thomas Ellis.,1994,f,,5.434979528243777
uc1.$b120401,"Gordon, Richard,",The facemaker | $c: [by] Richard Gordon.,1967,m,,5.4324206866579745
uc1.$b299687,"Brennan, Frederick Hazlitt.","God got one vote, | $c: by Frederick Hazlitt Brennan.",1928,m,mixed,5.429176393941039
mdp.39015040179494,"Pears, Tim,",In a land of plenty / | $c: Tim Pears.,1997,m,,5.42803970223325
coo.31924014495349,"Huxley, Aldous,",Two or three Graces; | four stories.,1949,m,,5.42762934719188
mdp.39015030855376,"Barstow, Stan,",A season with Eros; | short stories.,1971,m,,5.422552395412521
mdp.39015060640185,"Corrick, Martin.",After Berlin / | $c: Martin Corrick.,2005,m,high_female,5.422111370167543
uc1.$b242654,"Mann, Leonard,",Andrea Caslin | [a novel],1959,m,high_female,5.421572436725731
mdp.39015031240875,"Isherwood, Christopher,","The memorial, | portrait of a family | $c: [by] Christopher Isherwood.",1952,m,,5.421229534858506
mdp.39015049991105,"Graham, Laurie,","Dog days, Glen Miller nights / | $c: Laurie Graham.",2000,f,,5.421131570863225
uiuo.ark:/13960/t54f29n2v,"Marks, Mary A. M.",All the world's a stage,1879,f,mixed,5.416531253385332
mdp.39015020705060,"Stewart, J. I. M. (John Innes Mackintosh),",The Appleby file : | detective stories / | $c: by Michael Innes [i.e. J. I. M. Stewart].,1976,m,high_male,5.415651232060656
uc1.b4584892,"Wilson, A. N.,",Kindly light / | $c: [by] A. N. Wilson.,1979,m,high_male,5.414038602095233
uiuo.ark:/13960/t8df7dh7x,"Watson, Aaron,",The Marquis of Carabas,1892,m,,5.411328616458556
mdp.39015066188957,"Thackeray, William Makepeace,",Works,1883,m,,5.411109006790942
njp.32101068174885,"Jenkins, Edward,",Lord Bantam,1872,m,,5.410669840926307
mdp.39015025047344,"Forster, Margaret,",Private papers / | $c: Margaret Forster.,1986,f,high_female,5.409596624411706
uc1.b4541985,"Chaplin, Sid.",In blackberry time / | $c: Sid Chaplin ; edited by Michael & Rene Chaplin.,1987,m,high_male,5.40955760637895
mdp.39015060403766,"Fairbanks, Tash.",Fearful Symmetry / | $c: by Tash Fairbanks.,1996,u,high_female,5.406866720735334
mdp.39015028352501,"Voynich, E. L.",The humour of Russia;,1914,f,,5.4053219255301075
uiuo.ark:/13960/t6h13936j,"Besant, Walter,",Children of Gibeon,1886,m,,5.405113237122317
uiuo.ark:/13960/t4gm8jv5q,"Davus,","The black squire; or, A lady's four wishes",1879,u,,5.40452899529806
