htid,author,title,year,authgender,female_category,england_as_such_intensity
nyp.33433074871439,"Keary, Annie,",A York and a Lancaster rose,1876,f,high_female,4.124873675743681
uc2.ark:/13960/t07w6g40s,"Whyte-Melville, G. J.",Rosine and Sister Louise,1875,m,,4.124583030434267
inu.30000048897288,"Isherwood, Christopher,",Mr. Norris changes trains / | $c: Christopher Isherwood.,1935,m,high_male,4.124561765312436
wu.89005272331,"Mais, S. P. B.",Quest sinister,1922,u,,4.124100062450658
mdp.39015000605769,"Gissing, George,",George Gissing. | [Short stories],1929,m,,4.118955432902216
uiuo.ark:/13960/t39z9t711,"Tabor, Eliza.",A double wedding,1888,f,,4.1188706056799225
uiuo.ark:/13960/t6qz2n71v,,"Harden Hall, or, The three proposals",1847,m,high_female,4.116129740409417
uc1.$b120260,"Brown, Robin.",When the woods became the trees.,1965,u,high_male,4.116073266104137
uiuo.ark:/13960/t2w38d85f,"Sturgis, Julian,",Comedy of a country house,1889,m,,4.114718347529112
uc2.ark:/13960/t6ww79471,"Booth, Edward C.",Fondie,1916,m,high_female,4.114684485993614
mdp.39015061446384,"Sullivan, Tony,",The virtues of volanasia / | $c: Tony Sullivan.,2005,m,high_male,4.1138155639355505
mdp.39015029177741,"Symons, Julian,",Something like a love affair / | $c: Julian Symons.,1992,m,mixed,4.113533525298231
uc1.b3321933,"Chatterton, Georgiana,",Life and its realities,1857,f,high_female,4.111757570773627
uc1.32106013037343,"Thubron, Colin,",Distance / | $c: Colin Thubron,1996,m,high_female,4.111447640714296
inu.30000087182246,"Barker, Mo.",The rough and the smooth / | $c: Mo Barker.,2006,u,,4.1104561784266815
uiuo.ark:/13960/t2f76mn01,"Banks, G. Linnaeus",Sybilla and other stories,1884,f,,4.109983149069089
mdp.39015053541218,"Walker-Smith, Derek,",Out of step / | $c: by Derek Walker Smith.,1930,u,high_male,4.108505633788351
nyp.33433074937164,"Beazley, Samuel,",The Oxonians,1830,m,high_female,4.108125872976748
