text_string,occurs_100k
brompton cemetery,0.00256
great titchfield street,0.00255
paddington green,0.00255
new kent road,0.00255
theobald s road,0.00254
kensal rise,0.00253
willesden junction,0.00253
kentish town road,0.00253
south kensing,0.00252
tregunter road,0.00252
kegent street,0.00252
ratcliff highway,0.0025
london ,0.00248
lammas,0.00247
porchester terrace,0.00246
davies street,0.00246
clifford street,0.00242
st james square,0.00241
londres,0.00241
cable street,0.00241
midland hotel,0.0024
camberwell grove,0.00239
basuto,0.00238
saffron hill,0.00236
barnsbury,0.00236
lower thames street,0.00235
eotherhithe,0.00234
gough square,0.00233
south molton street,0.00233
carlton house,0.00233
earls court,0.00232
hammersmith road,0.00231
chalk farm road,0.00231
fairhazel gardens,0.00228
st bartholomew s hospital,0.00227
london charities,0.00227
guildford street,0.00226
birchin lane,0.00226
calthorpe street,0.00226
essex road,0.00225
caxton hall,0.00225
cowley street,0.00225
trinity square,0.00224
old street,0.00224
kennington park,0.00223
hanway street,0.00223
rignold,0.00221
turnmill street,0.0022
chesham place,0.00219
great college street,0.00218
obika,0.00217
dolphin square,0.00216
bread street,0.00216
basinghall street,0.00215
harlesden,0.00214
frontispiece,0.00214
clissold park,0.00214
connaught square,0.00213
earls court road,0.00213
ossulston,0.00209
somers town,0.00209
holloway prison,0.00209
montagu square,0.00208
london clinic,0.00207
ritz hotel,0.00205
bench walk,0.00205
great coram street,0.00205
wood green,0.00204
gray s inn square,0.00203
south kensington station,0.00203
rathbone place,0.00202
brown s hotel,0.00202
russell square london,0.00202
st gildas,0.00202
change alley,0.00201
cranbourne alley,0.00201
canonbury,0.00201
cappagh,0.002
clare market,0.002
abingdon street,0.00199
walcot square,0.00198
ave maria lane,0.00197
southwark bridge,0.00196
anerley,0.00196
putney high street,0.00196
embankment gardens,0.00195
upton park,0.00194
bellenden,0.00194
beauchamp place,0.00193
cumberland gate,0.00192
tothill fields,0.00192
haggerston,0.00191
rosoman street,0.00191
tavistock hotel,0.0019
kensal green cemetery,0.00189
bow road,0.00189
horseferry road,0.00189
north audley street,0.00189
scrope,0.00187
victoria tower,0.00187
alexandra palace,0.00186
harecourt,0.00185
pumblechook,0.00185
pall mall east,0.00185
birdcage walk,0.00184
rosslyn hill,0.00184
strutton ground,0.00183
mafeking road,0.00181
haverley,0.00181
holborn bridge,0.00181
chiffinch,0.00181
brondesbury,0.00181
etchingham park,0.0018
goswell street,0.0018
cremorne gardens,0.0018
white hart lane,0.00179
stepney parish,0.00179
hoxton street,0.00178
paphlagonia,0.00178
montpelier square,0.00177
neasden,0.00177
east dulwich,0.00177
cumberland hotel,0.00176
coldharbour lane,0.00174
quiney,0.00174
st paul s cathedral,0.00173
ennismore gardens,0.00172
railton road,0.00172
ovington square,0.00172
great turnstile,0.00171
ravenscourt park,0.00171
hampstead garden suburb,0.0017
totteridge,0.0017
hoxton square,0.00169
warwick avenue,0.00169
scot land yard,0.00168
camberwell green,0.00168
holloway gaol,0.00168
wandsworth road,0.00167
barnes bridge,0.00167
beckton,0.00167
aegean islands,0.00167
west minster bridge,0.00167
hammersmith palais,0.00167
west end lane,0.00167
mitre street,0.00167
cheshire cheese,0.00166
windmill street,0.00166
highgate wood,0.00165
eccleston square,0.00165
ingestre road,0.00164
moorgate street,0.00164
turnbull street,0.00164
savoy hill,0.00163
great northern hotel,0.00163
stationers hall,0.00163
lillie bridge,0.00163
ranelagh gardens,0.00162
brompton oratory,0.00162
raynes park,0.00162
millennium dome,0.00161
euston road london,0.00161
ormond street,0.0016
north finchley,0.0016
lea bridge,0.0016
dorset square,0.00159
southwark street,0.00159
phillimore gardens,0.00158
bury street,0.00158
st clement danes,0.00158
