htid,author,title,year,authgender,female_category,gb_intensity
uc1.b3741254,"Thomas, D. M.",News from the front / | $c: D. M. Thomas and Sylvia Kantaris.,1983,m,,145.80801944106923
mdp.39015053230002,"Upward, Edward.",The rotten elements: | a novel of fact.,1969,m,,145.78330964864995
uiuo.ark:/13960/t0bv80f49,"Lucy, Henry W.",Gideon Fleyce,1883,m,high_male,145.78039320583125
uiuo.ark:/13960/t4kk9wv4b,"Prior, Herman L.",Overmatched,1876,m,mixed,145.77726515442777
njp.32101066121276,"Cannan, Gilbert,",Sembal,1922,m,,145.70128046964734
njp.32101065203703,"Piddington, Rose.",The last of the Cavaliers,1859,f,,145.6636320076665
uiuo.ark:/13960/t4xh07n58,"Oliphant,",Kirsteen,1890,f,high_female,145.66154618894146
uc2.ark:/13960/t3bz61w0q,"Macfarlan, Alexander.",The inscrutable lovers,1919,m,high_female,145.64255675508383
uiuo.ark:/13960/t3rv16t15,"Sergeant, Adeline,",Seventy times seven,1888,f,,145.57688886013298
uiuo.ark:/13960/t00z7tr59,,"Walter Evelyn, or, The long minority",1853,u,mixed,145.5269607843137
mdp.39015074299101,"Gittins, Chrissie.",Family connections / | $c: Chrissie Gittins.,2007,f,high_female,145.4813152913132
uiuo.ark:/13960/t6qz2wp7g,"Tupper, Martin Farquhar,",Stephan Langton,1858,m,,145.4438144221243
uc2.ark:/13960/t1mg7mt0b,"Hofland,","Adelaide; or, The massacre of St. Bartholomew",1857,f,,145.4424071910541
uiuo.ark:/13960/t9t15pw6s,"Collins, Wilkie,",The Queen of Hearts,1859,m,,145.43543017347116
njp.32101067631075,"Brooks, Shirley,",Aspen court;,1855,m,mixed,145.37562194148117
uiuo.ark:/13960/t19k4nr6v,"Moore, Charlotte Trimmer.",Country houses,1832,f,high_female,145.37499826934527
uiuo.ark:/13960/t3ws90t6p,"Cresswell, Henry.",A wily widow,1888,m,high_female,145.33908727053196
uc1.$b396486,"Glanville, Brian.",Henry sows the wind : | a novel / | $c: by Brian Glanville.,1954,m,high_male,145.32128640930054
nyp.33433067294771,"Kennedy, Grace,",The works of Grace Kennedy,1827,f,,145.30830312192688
uc1.$b298745,"Phillpotts, Eden,",Lying prophets / | $c: by Eden Phillpotts.,1926,m,high_female,145.29362607308363
mdp.39015029173054,"Theroux, Paul.",Travelling the world : | the illustrated travels of Paul Theroux / | $c: picture editor Jenny de Gex.,1990,m,,145.29215192970918
uiuo.ark:/13960/t49p39m5x,"Armstrong, F. C.",The frigate and the lugger,1861,m,,145.26337633590427
uc1.b3325267,"Ward, Humphry,",The history of David Grieve,1893,f,,145.254860280767
njp.32101065714121,"Lyons, A. Neil",Kitchener chaps,1915,m,,145.24129237346196
uiuo.ark:/13960/t8gf19p2v,"Jeaffreson, John Cordy,",Miriam Copley,1859,m,,145.24112991670864
mdp.39015058691273,,Tales from  Blackwood.,1858,u,,145.21287494766102
nyp.33433043865934,"Whiteing, Richard,",Mr. Sprouts,1867,m,,145.20969355376522
mdp.39015063562550,"Onions, Oliver.",In accordance with the evidence,1912,m,,145.20422705638762
uiuo.ark:/13960/t02z1r626,"Kett, Henry,",Emily,1809,m,mixed,145.19178822258235
inu.32000007577812,"Wilson, Angus,",Anglo-Saxon attitudes : | a novel / | $c: by Angus Wilson.,1956,m,mixed,145.19097114751517
ien.35556007043961,"Thackeray, William Makepeace,",The adventures of Philip,1909,m,high_female,145.1899173010083
mdp.49015002143510,"Shaw, Bernard,",Works.,1930,m,mixed,145.16459877241238
wu.89098654809,"Bason, Frederick T.",Summer.,1960,m,high_female,145.16129032258067
mdp.39015037403378,"Bryher,",West.,1925,u,high_female,145.15967564320752
uc1.$b383933,"Lustgarten, Edgar,",Defender's triumph / | $c: Edgar Lustgarten.,1951,m,,145.13290517221677
mdp.39015003941575,"Glanville, Brian.","The director's wife, and other stories.",1963,m,high_male,145.10923823454297
uc2.ark:/13960/t3gx47g4w,"Lucas, E. V.",Variety Lane,1916,m,,145.09576320371448
uc1.$b244586,"Robinson, George Platt,","Cannibal Coryton: | an account of the seven years, spent by Lord Coryton and his companions, among the savages of Borneo; of their esape and rescue; and of the reception accorded to them in England and America, on their return to civilisation; | $c: compiled from various sources and presented in narrative form by G. P. Robinson.",1930,m,high_male,145.08607288847946
uc1.b3123636,"Shaw, Kerr.","For sons of gentlemen, | $c: by Kerr Shaw.",1926,u,,145.07163930952422
mdp.39015026114150,"Coryn, Marjorie,","The Chevalier d'Eon, 1728-1810, | $c: by M. Coryn.",1932,f,high_male,145.04541141385386
mdp.39015008154521,"Defoe, Daniel,","Roxana; or, The fortunate mistress",1855,m,high_female,145.0411901752676
mdp.39015059407687,"Beresford, J. D. (John Davys),","The tapestry, | $c: by J. D. Beresford.",1927,m,,145.02962748104255
mdp.39015066062350,"Woolf, Virginia,","A haunted house, and other short stories.",1943,f,high_female,145.02281692319588
mdp.39015077131541,"Cottam, Francis,",Dark echo / | $c: F.G. Cottam.,2008,m,high_female,145.02206023403028
mdp.39015029986091,"Costello, Mary,",Titanic town : | memoirs of a Belfast girlhood / | $c: Mary Costello.,1993,f,,145.01983472342644
uiuo.ark:/13960/t1bk1x14z,"Braddon, M. E.",Lost for love,1874,f,high_female,144.96368114225146
uc1.b3127427,"Disraeli, Benjamin,",Novels and tales by the Earl of Beaconsfield,1881,m,mixed,144.92674661247352
uc1.b4539004,"Rayner, Claire.",The running years / | $c: Claire Rayner.,1981,f,high_female,144.87819114193198
inu.32000002540062,"Stitt, George Marquis Stewart.","H.M.S. Wideawake, destroyer and preserver, | $c: by Lieutenant-Commander George Stitt, R. N. With a foreword by Commander Anthony Kimmins, R. N.",1943,m,high_male,144.8706727431865
uc2.ark:/13960/t6542nw90,"Cannan, Gilbert,",Annette and Bennett;,1922,m,mixed,144.86994817794996
uiuo.ark:/13960/t8mc9k76v,"Tabor, Eliza.",Janita's cross,1864,f,high_female,144.86983832083692
uiuo.ark:/13960/t2d79kv9g,"Bennett, William,","The cavalier, a romance",1821,m,high_male,144.8496087963217
njp.32101067172971,"Scott, Walter,",Novels and tales of the author of Waverley,1819,m,,144.83676505128005
mdp.39015063675980,"Bolger, Dermot,",The family on Paradise Pier / | $c: Dermot Bolger.,2005,m,,144.7988157717669
mdp.39015050524167,,Vox 'n' roll : | fiction for the 21st century / | $c: edited by Richard Thomas.,2000,u,,144.76690266687777
mdp.39015002347378,"Trevor, Elleston.","The 9th directive,",1966,m,high_male,144.74211349332506
uc1.$b301217,"McArthur, Alexander, of Glasgow.",No mean city : | a story of the Glasgow slums / | $c: by Alexander McArthur (of Glasgow) and H. Kingsley Long.,1935,m,,144.73363121534172
uc2.ark:/13960/t6h12x79v,"Howitt, William,",Madam Dorrington of the Dene,1851,m,,144.73189807534408
uc2.ark:/13960/t7sn03f9t,"Dean, Andrew,",The grasshoppers,1895,f,high_female,144.721107192639
uiuo.ark:/13960/t2n593h86,"Mongredien, Augustus,",Frank Allerton,1878,m,,144.70503114687557
uiuo.ark:/13960/t0bv7vb9b,"Fothergill, Caroline.",Put to the proof,1883,f,high_female,144.63881232431842
coo.31924003244104,"Singer, Burns.",Living silver; | an impression of the British fishing industry. | $c: Illustrated by Robert Frame.,1957,m,high_male,144.59624687682737
uiuo.ark:/13960/t8sb4rn0q,"Hutcheson, John C.",Caught in a trap;,1870,m,,144.5931164686315
mdp.39015031222816,"Callow, Philip.",The bliss body.,1969,m,mixed,144.57084832108498
uc2.ark:/13960/t4sj1b18c,"Hutten zum Stolzenberg, Betsey Riddle,",What became of Pam,1906,f,high_female,144.56335076502148
mdp.39015030855533,"Batchelor, David.",Brogan & sons / | $c: [by] David Batchelor.,1976,m,mixed,144.55044810638913
uc2.ark:/13960/t3ws8pd3r,"Hook, Theodore Edward,","Sayings and doings, or, Sketches from life",1828,m,mixed,144.51926399899466
mdp.39015056665808,"Bissett, Alan.",Boyracers / | $c: Alan Bissett.,2001,m,,144.49432501296036
mdp.39015013435493,"Allen, Eric,",The latchkey children / | $c: illustrated by Charles Keeping.,1963,m,high_male,144.40282108699748
uc2.ark:/13960/t84j0hc8r,"Hofland,","Alicia and her aunt; or, Think before you speak",1859,f,high_female,144.38436962398623
mdp.39015066900732,"Follett, Ken.",WORLD WITHOUT END.,2007,m,,144.37043686297773
uc1.$b106068,"Landau, Rom,",Odysseus : | a novel / | $c: by Rom Landau.,1948,u,,144.35937644128768
nyp.33433074941646,"Chamier, Frederick,",Ben Brace,1840,m,,144.27302145299186
uiuo.ark:/13960/t1cj8p93s,"Burke, Ulick Ralph,",Beating the air,1879,m,mixed,144.24463890758727
mdp.39015058232490,,Mordecai's first brush with love : | new stories by Jewish women in Britain / | $c: edited by Laura Phillips and Marion Baraitser.,2004,u,,144.2039830888056
mdp.39015053483924,"Hutchison, Stewart.",Beneath the law / | $c: Stewart Hutchison.,2000,m,,144.18594566466467
uc1.b3339467,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,mixed,144.17211933015415
uiuo.ark:/13960/t76t17c21,"Norris, W. E.",The dancer in yellow,1896,f,high_female,144.1565824738082
mdp.39015030709573,"Mitchison, Naomi,",Beyond this limit. | $c: Pictures by Wyndham Lewis and words by Naomi Mitchison.,1935,f,high_female,144.14206642066418
mdp.39015055803038,,"Women who did : | stories by men and women, 1890-1914 / | $c: edited with an introduction and notes by Angelique Richardson.",2002,u,high_female,144.1348046905194
mdp.39015002712076,"(John Boynton), Priestley, J. B.",Self-selected essays.,1932,m,high_male,144.08602150537632
uc2.ark:/13960/t03x89t2h,"Wilson, John Mackay,",Wilson's tales of the borders and of Scotland,1857,m,,144.08319238238428
