htid,author,title,year,authgender,female_category,urban_gb_intensity
uiuo.ark:/13960/t3029bx3d,"Tytler, Sarah,",The Huguenot family,1867,f,,17.054369329422197
uiuo.ark:/13960/t5gb2m944,"Linton, E. Lynn",Through the long night,1889,f,high_female,17.052412916427674
nyp.33433074869003,,Hyde Nugent,1827,u,mixed,17.05233361185478
mdp.49015000983156,"Huxley, Aldous,","Eyeless in Gaza, | a novel.",1969,m,,17.049360648975664
uiuo.ark:/13960/t18k7zc9x,,Ravensdale,1873,u,mixed,17.049329393043873
mdp.39015051332560,"Bargate, Verity.",Tit for tat / | $c: Verity Bargate.,1981,u,,17.04622937406246
uc2.ark:/13960/t3319x95x,"Old Sailor,",Jem Bunt,1850,m,,17.035526373428475
mdp.39015063938644,"Duchess,",Beauty's daughters,1886,f,,17.032641353890597
inu.30000054049519,"Shields, Carol.",Larry's party / | $c: Carol Shields.,1997,f,,17.03259714663444
mdp.39015012962786,"Carter, Angela,",Black Venus / | $c: Angela Carter.,1985,f,high_female,17.029972752043598
uiuo.ark:/13960/t88g96s10,"Lee, Holme,",Against wind and tide,1859,f,high_female,17.02127659574468
mdp.39015059392236,"Davidson, John,","Perfervid, the career of Ninian Jamieson",1890,m,high_male,17.01432606254466
uc1.$b787441,"Priestley, J. B. (John Boynton),","Three men in new suits, | $c: by J.B. Priestley.",1945,m,,17.009958557555514
uiuo.ark:/13960/t63491h9n,"Gillmor, C.","Jessie of Boulogne, or, The history of a few minutes",1877,m,,17.00333265320003
nyp.33433034410393,"Linskill, Mary,",Between the heather and the northern sea,1890,f,,17.002895087541933
uiuo.ark:/13960/t02z1xk64,E. C. A.,Geraldine,1837,u,high_female,17.001790855303426
inu.30000004380105,"Holland, Richard.",Supernatural Clwyd : | the folk tales of North-East Wales / | $c: Richard Holland.,1989,m,,17.001020061203672
uc2.ark:/13960/t57d2s430,"Knowles-Foster, Frances G.",The written law,1912,f,,16.99578292136264
uiuo.ark:/13960/t4zg74p53,"Jeaffreson, John Cordy,",A noble woman,1868,m,high_female,16.995685710550397
uiuo.ark:/13960/t3tt54b0c,"Marryat, Florence,",A broken blossom,1879,f,,16.99235344095157
uc1.$b312493,"Sheridan, Clare Consuelo (Frewen) Mrs.","Stella defiant, | $c: by Clare Sheridan.",1924,f,high_female,16.991775980425473
uiuo.ark:/13960/t0dv1w173,"Crumpe,","Geraldine of Desmond, or, Ireland in the reign of Elizabeth",1829,f,,16.985248964553094
mdp.39015068801565,"Howell, Anthony, 1945-",Oblivion.,2007,m,mixed,16.983525979799595
uc1.32106012468267,"Nafzāwī, ʻUmar ibn Muḥammad",The perfumed garden of sensual delight = | ar-rawd̲ al-ʻât̲ir fı̂ nuzhatiʼl khât̲ir / | $c: by Muhammad ibn Muhammad al-Nafzawi ; translated from the Arabic with a short introduction and notes by Jim Colville,1999,u,high_male,16.979370065370574
mdp.39015030739778,"De Polnay, Peter,",The moon and the marabou stork.,1973,m,,16.978593911215015
dul1.ark:/13960/t7gq7nw7v,"Macquoid, Katharine S.",A faithful lover,1882,f,mixed,16.975911182032696
uiuo.ark:/13960/t3126j49n,"Sala, George Augustus,",The strange adventures of Captain Dangerous,1863,m,,16.975046681378373
uiuo.ark:/13960/t50g40536,,Concealment,1821,u,,16.974223429278112
uc2.ark:/13960/t9183883t,"Rae, Herbert,",Maple leaves in Flanders fields,1917,m,,16.963048825308867
mdp.39015060606335,"Parks, Tim.",Rapids / | $c: Tim Parks.,2005,m,,16.961550285696113
uc1.$b795525,"Royde-Smith, Naomi.","The mother, | $c: by Naomi Royde-Smith.",1931,f,,16.958350291683626
nyp.33433074955497,"Banim, John,",Tales by the O'Hara family,1826,m,mixed,16.954325048319827
mdp.39015063761210,"Black, William,",Madcap Violet,1876,m,,16.95385469005271
njp.32101066384825,"Forster, E. M.",The longest journey,1907,m,,16.952887924457933
njp.32101066121987,"Grey,",Alice Seymour,1831,f,high_female,16.952846867356083
uiuo.ark:/13960/t5v69r49n,"Belfast, Frederick Richard Chichester,",Wealth and labour,1853,m,,16.9485780143046
uc1.32106018470754,"Welsh, Irvine",The bedroom secrets of the master chefs / | $c: Irvine Welsh,2006,m,,16.94330268896489
uc1.b3327592,"Porter, Anna Maria,",Honor O'Hara,1826,f,,16.93346278024881
nyp.33433074969241,"Dickens, Charles,",Our mutual friend,1865,m,,16.93283225628726
uiuo.ark:/13960/t15m6k41d,"Daniel, Mackenzie,",Gertrude Cameron,1853,f,high_female,16.926774772334877
pst.000033009544,"Lord, Walter,",A night to remember / | $c: Walter Lord.,1955,m,,16.916310398917357
umn.31951002098027j,"Murray, Elizabeth.",Comedy.,1927,f,mixed,16.915975930982817
mdp.39015033456545,"Loti, Pierre,",The book of pity & of death,1892,m,high_female,16.915822637599646
njp.32101066457076,"Cockton, Henry,","Sylvester Sound, the somnambulist",1849,m,,16.91539343090696
mdp.49015001417410,"Longden, Deric.",The cat who came in from the cold / | $c: Deric Longden ; [text illustrations by Michael Foster].,1992,m,,16.91532189857573
mdp.39015025396469,"Bogarde, Dirk,",Jericho / | $c: Dirk Bogarde.,1992,u,,16.9107768622993
mdp.39015003928861,"Gerhardie, William Alexander,",Works.,1970,m,,16.907838191988503
uiuo.ark:/13960/t9t15cw5k,"Gleig, G. R.",The light dragoon,1844,m,high_male,16.9061707523246
uc1.b4311947,"Berry, Bernard.",A lost Roman road: | a reconnaissance in the West Country.,1963,m,high_male,16.903670209394214
mdp.39015061103803,"Shacklady, Helen,",Stoppage time / | $c: Helen Shacklady.,2003,f,high_female,16.903313049357674
uiuo.ark:/13960/t3611mj0t,Rita.,The laird o' Cockpen,1891,u,,16.90259877456159
uiuo.ark:/13960/t9b56z20v,"Eiloart,",Meg,1868,f,,16.899885080781452
inu.32000006997615,"Ritchie, Anne Thackeray,",Old Kensington,1873,f,high_female,16.89732422694742
njp.32101063579898,"Alexander, L. C.",The book of ballynoggin,1902,u,high_male,16.893160147158195
uc1.b3327468,"Peacock, Lucy,",Friendly Labours,1815,f,mixed,16.891535229408163
uiuo.ark:/13960/t2x353307,"Besant,","The case of Mr. Lucraft, and other tales",1876,m,mixed,16.891257835666828
uiuo.ark:/13960/t61555t25,"Lee, Holme,",Basil Godfrey's caprice,1868,f,high_female,16.887224047407045
uiuo.ark:/13960/t6qz2kt81,"Duff, Henrietta A.",Honor Carmichael,1880,f,,16.88650393080286
uiuo.ark:/13960/t19k4qp4t,"Grant, Louisa Keir.",Charles Stanley,1854,f,high_female,16.88022711578301
mdp.39015022282530,"Sinclair, Clive,",For good or evil : | Collected stories / | $c: Clive Sinclair.,1991,m,,16.874141911533474
uc1.$b120278,"Avery, E. (Elizabeth)",Sister Bollard.,1963,f,high_female,16.87323597987483
mdp.39015047770626,"Friel, George.",Mr Alfred M.A. / | $c: George Friel.,1987,m,high_male,16.872598899387395
uiuo.ark:/13960/t53f58q7k,"Smith, Caroline Mary.",Magdalen Havering: being chapters in the history of a family,1861,f,high_female,16.865618499709537
uc1.b3149800,"Margueritte, V.",The frontiers of the heart,1913,u,mixed,16.861733782979567
uc1.b4973361,"Durrell, Lawrence.","Quinx, or, The Ripper's tale / | $c: Lawrence Durrell.",1985,m,mixed,16.861510791366907
mdp.39015065769419,"Surr, T. S.",Splendid misery,1801,m,mixed,16.85690892452921
uc1.b3472568,"Tripp, Miles,",A man without friends.,1970,m,,16.855731791595733
wu.89045896156,"Safroni-Middleton, A.",Wine-dark seas and tropic skies;,1918,m,mixed,16.85573179159573
mdp.39015058006282,"Brown, John,"," With brains, sir",1866,m,,16.85416930013062
uiuo.ark:/13960/t25b0g42w,"Ouida,",Friendship,1878,f,high_female,16.853349927400952
uiuo.ark:/13960/t4rj5300c,"Delorme, Charles.",The pedlar,1857,m,mixed,16.85163340475216
uc1.$b236158,"Davies, Rhys,",Rings on her fingers / | $c: Rhys Davies.,1930,m,high_female,16.849199663016005
mdp.49015000711896,"Reid, John Macnair,",Scottish short stories. | $c: Selected with an introduction by J. M. Reid.,1963,m,mixed,16.848016848016847
uiuo.ark:/13960/t8z89wr7v,"Wallace, Ellen.","Lena, or, The silent woman",1852,f,,16.844091092844632
mdp.39015051493073,"Tan, Hwee Hwee,",Mammon Inc. / | $c: Hwee Hwee Tan.,2001,u,high_male,16.839852997989123
uc1.b3339466,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,,16.839795805447434
mdp.39015059376171,,The New British novelist;,1830,u,high_male,16.838166510757716
uiuo.ark:/13960/t1jh46z6n,"Trollope, Thomas Adolphus,",A family party in the piazza of St. Peter,1877,m,mixed,16.83728448275862
mdp.39015038124551,"Rendell, Ruth,",The brimstone wedding / | $c: Barbara Vine.,1996,f,high_female,16.83631593346849
uiuo.ark:/13960/t2x35cd31,"Oliphant,",The son of his father,1887,f,mixed,16.83100270698627
uc1.32106013836728,"Vassanji, M. G.",Uhuru Street : | short stories / | $c: M.G. Vassanji.,1991,u,,16.830924017728574
uc2.ark:/13960/t8sb40h6q,"Grant, James,",Legends of the Black Watch,1860,m,,16.829227245787205
uiuo.ark:/13960/t1tf0cz8z,"Orred, Meta.","Honour's worth, or, The cost of a vow",1878,f,high_female,16.828465349138067
uc1.b3327588,"Ponsonby, Emily,",Edward Willoughby,1854,f,mixed,16.823687752355315
njp.32101066121326,"Campbell, Harriette,",The only daughter,1839,f,high_female,16.823333964208356
uc1.$b299591,"Armstrong, Martin Donisthorpe,","Adrian Glynde, | a novel, | $c: by Martin Armstrong",1930,m,,16.82085786375105
mdp.39015055796539,"Warner, Alan",The man who walks / | $c: Alan Warner,2002,m,,16.818028927009756
mdp.39015050556532,"Higgins, Aidan,",Balcony of Europe. -,1972,m,mixed,16.812471375318133
uiuo.ark:/13960/t3708ct42,"Crommelin, May.",Bay Ronald,1893,f,mixed,16.812373907195695
mdp.39015053499847,"Ballard, J. G.,",The atrocity exhibition / | $c: J. G. Ballard.,1969,m,,16.80874054508344
uc2.ark:/13960/t6d224g5z,"Andreyev, Leonid,",The red laugh,1905,m,high_male,16.808417655561904
mdp.39015031226411,"Burt, Michael.",We'll soldier no more.,1946,m,mixed,16.80539354277467
uc1.b3314599,"Marryat, Frederick,","Japhet, in search of a father",1836,m,,16.804180880202995
uiuo.ark:/13960/t7rn3mn3n,"Hart, Fanny Wheeler.",Freda,1878,f,high_female,16.802016241949033
nyp.33433075727481,"Fitzpatrick, Thomas,",The king of Claddagh,1899,m,high_male,16.79566671798676
uiuo.ark:/13960/t11n8gv99,"Grey,",An old country house,1850,f,high_female,16.790418267975078
njp.32101017763853,"Yonge, Charlotte M.","The pillars of the house; or, Under wode, under rode",1893,f,mixed,16.789433849630633
mdp.39015065597075,"Trollope, Anthony,",The chronicles of Barsetshire,1891,m,mixed,16.787703939514525
mdp.39015066058440,"Masters, John,",Thunder at sunset.,1974,m,high_male,16.78697330871244
wu.89075347286,"Kearley, B. L. (Bernard Leslie)",Let's go hunting / | $c: B. L. Kearley; illustrated by Graham Smith.,1950,m,,16.779803218671344
uc1.31158002020120,"Hinton, Charles Howard,",Scientific romances,1909,m,,16.77946193858717
uiuo.ark:/13960/t2q52w764,"Chamier, Frederick,",The unfortunate man,1835,m,,16.777499847477273
uiuo.ark:/13960/t8pc3mt5r,"Smart, Hawley,","Courtship, in seventeen hundred and twenty, in eighteen hundred and sixty",1876,m,mixed,16.770785292021298
nyp.33433007631165,"Bensusan, S. L.",A country-side chronicle,1907,u,high_male,16.76947954722405
mdp.39015059593296,"Evans, Lissa.",Odd one out / | $c: Lissa Evans.,2004,f,mixed,16.768254340881843
uc1.32106015472191,"Connolly, Cressida",The happiest days / | $c: Cressida Connolly,1999,u,high_female,16.766801732569512
mdp.39015054476059,"Napier, Charles James,",William the Conqueror,1858,m,,16.762806290982596
hvd.32044086802022,,The Highland Inn,1839,u,mixed,16.762452107279692
uc1.b3321454,"Bury, Charlotte Campbell,",Flirtation,1827,f,,16.748123448895385
njp.32101063606790,"Croker, B. M.",Some one else,1885,f,high_female,16.740760030505385
mdp.39015003347047,"Feinstein, Elaine.",The glass alembic.,1973,f,,16.735701435086398
mdp.39015031222808,"Callow, Philip.",Flesh of morning.,1971,m,,16.734364778726057
uiuo.ark:/13960/t0xp7cc5m,"Erroll, Henry.",The academician,1888,m,,16.732001147337222
uc2.ark:/13960/t3mw2b021,"Pollock, Walter Herries,",The picture's secret. A story,1883,m,,16.73045151306021
uiuo.ark:/13960/t7br93d5v,"Collins, Wilkie,",The frozen deep,1874,m,,16.729052090085947
mdp.39015043053746,"Britton, Lionel,",Hunger and love / | $c: Lionel Britton ; with an introduction by Bertrand Russell.,1931,m,high_male,16.727670686032962
uiuo.ark:/13960/t4pk0rn7z,"Fenn, George Manville,",The star-gazers,1894,m,high_female,16.725459189879576
nyp.33433074861661,"Hussey, Eyre.","Miss Badsworth, M.F.H",1905,f,,16.72347338578664
uiuo.ark:/13960/t46q2m09j,"Lee, Holme,",Mr. Wynyard's ward,1867,f,high_female,16.721569152049227
njp.32101068167194,"Dallas, Robert Charles,",Percival,1801,m,,16.719612104999165
uc1.32106018330834,"Dickson, Jack",Out of this world / | $c: Jack Dickson,2002,m,high_male,16.71524534846063
umn.319510020793826,"Evans, Margiad,",The old and the young / | $c: by Margiad Evans [pseud.] ; With decorations by the author.,1948,u,high_female,16.713224936131606
uiuo.ark:/13960/t0bv7vg8n,"Gissing, Algernon,",At society's expense,1894,m,high_female,16.712825900105052
mdp.39015031299079,"Morier, James Justinian,","The adventures of Hajji Baba of Ispahan, | $c: by James Morier.",1925,m,high_male,16.711356886218447
uc1.b3477957,"May, Derwent,",A revenger's comedy / | $c: by Derwent May,1979,u,mixed,16.70974066482488
uiuo.ark:/13960/t6834466q,"Cornish,",Northwode priory,1857,f,,16.70822301621983
uc2.ark:/13960/t9h41n21x,"Raffalovich, George,",The deuce and all,1910,m,mixed,16.70736409201902
uc2.ark:/13960/t85h7j12d,"Trollope, Frances Eleanor,",A charming fellow,1876,f,,16.70308867948165
uiuo.ark:/13960/t5n87hv4t,"Carey, Rosa Nouchette,",For Lilias,1885,f,high_female,16.702158754018956
uiuo.ark:/13960/t00z7fd2t,"Bradshaw, John,",Roger North,1885,f,high_female,16.701568662718245
mdp.39015050980864,"Tinniswood, Peter.",Uncle Mort's north country.,1986,m,high_male,16.696349065004455
uc1.$b322939,"Barke, James,",The well of the silent harp : | a novel of the life and loves of Robert Burns.,1954,m,,16.69595083440002
uc2.ark:/13960/t15m63w5d,"Smythies,Gordon,","A lover's quarrel, or, The county ball",1858,f,high_female,16.695326977978866
nyp.33433074870167,"Hood, Thomas,",Tylney Hall,1834,m,,16.69449081803005
mdp.39015008486204,"Innes, Michael,",Lament for a maker | $c: [by] Michael Innes.,1973,m,,16.691212567501225
uc1.32106011549448,"Oz, Amos,",Don't call it night / | $c: Amos Oz ; translated from the Hebrew by Nicholas de Lange,1995,m,mixed,16.68812282458399
uiuo.ark:/13960/t23b6mp5t,"Warden, Florence,",A prince of darkness,1885,f,mixed,16.687371368179036
mdp.39015079149517,"Brookfield, Amanda,",Life begins / | $c: Amanda Brookfield.,2008,f,,16.68702483696777
mdp.39015037470591,"Dé, Shobha,",Snapshots / | $c: Shobha Dé.,1995,u,high_female,16.683535574859025
uiuo.ark:/13960/t2p564c04,"Montgomery, Florence,",Seaforth,1878,f,,16.68149466192171
uiuo.ark:/13960/t6251zv5c,"Daniel,",Reaping the whirlwind. A novel,1864,f,high_female,16.679732457091387
mdp.39015004264944,"Upward, Edward.","The railway accident, and other stories.",1969,m,high_male,16.67691602130476
njp.32101064791849,"Williams, Robert Folkestone,",Maids of honour,1845,m,,16.676626318495767
mdp.39015008910344,"(Herbert George), Wells, H. G.","The invisible man. | a grotesque romance, | $c: by H. G. Wells ...",1924,m,,16.670000666800025
uc1.b3290866,"(Goodwin, William)",Cloudesley,1830,m,high_male,16.66770839844157
mdp.39015032488358,"Kearney, Colbert.",The consequence / | $c: Colbert Kearney.,1993,m,,16.666898151363213
mdp.39015019055469,"O'Faoláin, Seán,",The collected stories of Sean O'Faolain.,1980,m,,16.661929451430478
inu.30000112128651,"Chernaik, Judith.",Leah / | $c: Judith Chernaik.,1987,f,,16.658164062093306
mdp.39015040061171,"Ní Dhuibhne, Éilís,",The inland ice and other stories / | $c: Éilís Ní Dhuibhne.,1997,u,high_female,16.65799062988027
mdp.39015008307038,"Carr, J. L. (James Lloyd),",A month in the country / | $c: J. L. Carr.,1980,m,mixed,16.65635558939704
uiuo.ark:/13960/t2s478x6t,"Roberts,",Duty,1814,f,high_female,16.655562958027982
mdp.39076006608082,"Huxley, Aldous,",Collected works.,1970,m,mixed,16.65294340774732
uiuo.ark:/13960/t0ms4cm6b,,The earl's daughter,1850,m,high_female,16.650590234715906
uiuo.ark:/13960/t3223j250,"Roberts, Margaret,",Denise,1863,f,high_female,16.64951262335775
uiuo.ark:/13960/t0ht34n1h,"Kelty, Mary Ann,",Osmond,1822,f,,16.645859342488556
mdp.39015014564432,"Phillips, Caryl.",Higher ground : | a novel in three parts / | $c: Caryl Phillips.,1989,f,,16.644047832432847
mdp.39015073483847,"Henty, G. A.",The lion of St. Mark,1889,m,high_male,16.640319494134285
uc1.32106014725045,"Lawrence, D. H. (David Herbert),",Short novels.,1956,m,high_female,16.64006777045783
njp.32101063578338,"Tytler, M. Fraser.","The wonder-seeker, or, The history of Charles Douglas",1847,m,high_male,16.63524453809471
uc1.32106012883820,"Oakley, Ann",A proper holiday / | $c: Ann Oakley,1996,f,,16.630208133451024
mdp.49015002155100,"Lawrence, D. H. (David Herbert),",Short novels.,1956,m,high_female,16.627742632776304
inu.39000003457905,"Bloch, Robert,",The opener of the way / | $c: Robert Bloch.,1976,m,high_male,16.626862964418514
wu.89005062575,"Martineau, Harriet,",Sowers not reapers;,1833,f,,16.62391944523606
uc2.ark:/13960/t29885h16,"Lever, Charles James,",[Charles Lever's novels,1872,m,,16.61966156325544
uiuo.ark:/13960/t1zc8fb6b,"Lockhart, Laurence W. M.",Fair to see,1871,m,mixed,16.618728028124004
dul1.ark:/13960/t7vm4v359,"Linton, E. Lynn",Under which Lord?,1879,f,high_female,16.614692500383416
uc1.b3864914,"Taylor, Elizabeth,","At Mrs. Lippincote's,",1945,f,high_female,16.61299391708838
uc2.ark:/13960/t7hq3v15z,"Pickthall, Rudolf.",The comic kingdom,1914,m,mixed,16.60971905846621
yale.39002088372082,"Haviland, Maud D.",A summer on the Yenesei (1914),1915,f,,16.60897234169027
mdp.39015049860557,"Kavanagh, P. J. (Patrick Joseph),",Only by mistake / | $c: P.J. Kavanagh.,1986,m,high_male,16.60605456749531
uc2.ark:/13960/t0rr1v149,"Anstey, F.,",The pariah,1889,m,high_female,16.598428682084766
njp.32101067707487,"Gowing, Aylmer.",An unruly spirit,1890,u,high_female,16.592690919649893
uc1.$b783882,"Harrison, Michael,","The darkened room, | an arabesque.",1952,m,,16.58592546008666
uiuo.ark:/13960/t98634x54,"Sedley, Charles,",The barouche driver and his wife,1807,m,,16.58466471336171
uc1.b3472758,"Freeman, Gillian.",The marriage machine : | a novel / | $c: by Gillian Freeman.,1975,f,,16.582067415316303
njp.32101068599222,"Hawthorne, Nathaniel,",The new Adam and Eve,1890,m,,16.579795446773677
mdp.39015019622516,"Wilson, Anna.",Cactus / | $c: by Anna Wilson.,1980,f,high_female,16.579729367802166
uiuo.ark:/13960/t4mk6z79p,"Roche, Regina Maria,",Bridal of Dunamore;,1823,f,high_female,16.576875259013676
uc1.b4082639,"Waugh, Auberon.",The foxglove saga / | $c: Auberon Waugh.,1960,u,high_male,16.574127786525235
mdp.39015018903511,"Kelly, Maeve,",Florrie's girls / | Maeve Kelly.,1989,f,high_female,16.570008285004143
mdp.39015069171505,"Couperthwaite, S. L.","Resolution, or, The depth of woman's love",1865,u,,16.569788635776163
uiuo.ark:/13960/t6qz2v669,"Pulleyne,",Out of society,1875,f,high_female,16.568483063328422
mdp.39015030756574,"Longrigg, Roger,",The babe in the wood / | $c: [by] Roger Longrigg.,1976,m,,16.567762147181973
uc2.ark:/13960/t21c21s79,"Wilson, John Mackay,",Wilson's tales of the borders and of Scotland,1857,m,mixed,16.56769647980049
uc2.ark:/13960/t9862d842,"West, Rebecca,",The judge,1922,f,high_female,16.566224602186743
uc2.ark:/13960/t1bk1cf18,"Sewell, Elizabeth Missing,",Katharine Ashton,1854,f,high_female,16.56605548965947
mdp.39015063348794,"Ma, Jian,",Stick out your tongue / | $c: Ma Jian ; translated from the Chinese by Flora Drew.,2006,u,high_male,16.565204787344182
uc1.b3331979,"Stevenson, Robert Louis,",The master of Ballantrae,1891,m,,16.562786034956194
mdp.39015006945029,"Martineau, Harriet,",Illustrations of political economy,1832,f,,16.560556434696206
hvd.hwad9z,"Scott, Walter,",The Waverley novels,1829,m,,16.559992713603204
mdp.39015081739347,,The black book / | $c: edited by Tony Reed.,1989,u,,16.559032952475576
njp.32101066459288,"Gleig, G. R.",The country curate,1830,m,mixed,16.557134851495235
uc2.ark:/13960/t03x89t2h,"Wilson, John Mackay,",Wilson's tales of the borders and of Scotland,1857,m,,16.556143224062787
uiuo.ark:/13960/t8v98sx8c,,Tales of my landlord,1820,m,high_male,16.55560614212988
umn.31951002102922y,"Goddard, Constance Felicity.","Come wind, come weather.",1945,f,,16.553301631252634
mdp.39015082731558,"Sanders, Roma.",Breakfast at dawn and other stories / | $c: Roma Sanders.,2008,f,high_female,16.550419671355954
mdp.39015006998861,"Beresford, J. D. (John Davys),","The monkey-puzzle, | $c: by J. D. Beresford.",1925,m,high_female,16.544239295877176
uc1.$b794588,"Enright, D. J. (Dennis Joseph),",Insufficient poppy : | a novel / | $c: by D. J. Enright,1960,m,high_male,16.541353383458645
uiuo.ark:/13960/t7vm4rn19,"Tytler, Sarah,","Oliver Constable, miller and baker",1880,f,mixed,16.535075027902938
mdp.39015063928157,"[Hawker, Mary Elizabeth]",Cecilia de Noël,1891,f,high_female,16.529706243506187
uc2.ark:/13960/t6f18v80s,"Maitland, Julia Charlotte,","Historical acting charades, or, Amusements for winter evenings",1858,f,mixed,16.526876833450398
mdp.39015048917853,"Ali, Tariq.",Fear of mirrors / | $c: Tariq Ali.,1998,u,,16.52510162937502
nyp.33433082225586,"Smollett, T.",The works of Tobias Smollett,1895,m,mixed,16.52473753208553
inu.32000002363069,"Marsh-Caldwell, Anne,",The Wilmingtons,1850,f,mixed,16.51391297167864
njp.32101063870081,"Marshall, Emma,","Under Salisbury spire, in the days of George Herbert;",1894,f,mixed,16.512389148446378
uiuo.ark:/13960/t1tf09v6t,,"Macalpine, or, On Scottish ground",1872,u,mixed,16.509823344890208
uiuo.ark:/13960/t0jt06h5n,"Braddon, M. E.",Asphodel,1881,f,high_female,16.5090799939967
uiuo.ark:/13960/t9n30cc0p,"Lyttleton, M.","Peregrine, or, The fool of fortune",1803,u,high_male,16.503984533408783
nyp.33433034409973,"Carey, Rosa Nouchette,",Wee wifie,1887,f,mixed,16.498625114573784
uiuo.ark:/13960/t6zw22w29,"Russell, William Clark,","Alone on a wide, wide sea",1892,m,high_female,16.497415404919895
mdp.39015073748405,,The British essayists;,1823,m,high_male,16.49682436131045
mdp.49015000707985,"Peters, Lenrie,",The second round / | $c: Lenrie Peters.,1965,u,mixed,16.495958490169908
mdp.39015066302327,"Sowande, Bode.",Without a home / | $c: Bode Sowande.,1982,u,high_female,16.49566164098842
mdp.39015048573060,"Everett, Peter,",The voyages of Alfred Wallis / | $c: Peter Everett.,1999,m,mixed,16.494721689059503
mdp.39015032966098,"Parks, Tim.",Shear / | $c: Tim Parks.,1993,m,,16.490538553504926
mdp.39015056671558,"Young, Liz,",Asking for trouble / | $c: Elizabeth Young.,2000,f,,16.48903479186341
nyp.33433074945902,"Aïdé, Hamilton,",Carr of Carrlyon,1862,m,,16.488046166529266
uiuo.ark:/13960/t8hd8d28j,"Moore, Frederick H.",Mistress Haselwode,1876,m,mixed,16.481592121798965
uc1.32106007762690,"Roy, Namba.",Black Albino / | $c: Namba Roy.,1986,u,mixed,16.476670064979867
mdp.39015000614423,"Smith, Anthony,",Sea never dry.,1958,m,high_male,16.474076863335764
njp.32101068971033,"Kaye-Smith, Sheila,",Isle of Thorns,1913,f,,16.464067173394067
mdp.39015031234910,"Holme, Constance.","The old road from Spain, | $c: by Constance Holme.",1932,f,mixed,16.462453846334753
wu.89005371356,"Lawson, Henry,",While the billy boils,1915,m,,16.46120642352855
uiuo.ark:/13960/t5db8dp09,"Gifford, George,",Trials of an heiress,1869,f,high_female,16.457925313934926
uiuo.ark:/13960/t8pc3kb71,"Oliphant,",A rose in June,1874,f,,16.45626160754167
uiuo.ark:/13960/t2r500q28,"Farjeon, B. L.",Toilers of Babylon,1888,m,high_male,16.45548790521639
wu.89100064526,"Ellison, Wallace.",Escaped! adventures in German captivity,1918,m,,16.44917205833973
inu.32000009266737,"Roberts, Morley,",The great jester;,1896,m,,16.442260262710782
uiuo.ark:/13960/t9d514t6d,"Keary, Annie,",Clemency Franklyn,1866,f,high_female,16.437519813081916
uc2.ark:/13960/t9w08z21b,"Lynn, Ruth Nadelman,",City sparrows and who fed them,1873,f,high_female,16.43655489809336
mdp.39015057979646,"Carroll, Lewis,",Sylvie and Bruno,1889,f,mixed,16.434046649215276
ien.35558005344532,"Hooper, Henry,","Wash. Boltor, M.D.; or, The life of an orator",1872,u,mixed,16.43298955519184
mdp.39015030038767,"Cost, March,","Rachel; | an interpretation, | $c: by March Cost [pseud.]",1947,m,mixed,16.42946624771528
mdp.39015008526231,"Berkeley, Anthony,","Before the fact; | a murder story for ladies, | $c: by Francis Iles.",1932,m,,16.42591429537659
uiuo.ark:/13960/t5m90w22g,"Spender, John Kent",A strange temptation,1893,f,high_female,16.424599357094255
uiuo.ark:/13960/t5x645d9x,"Wingfield, Lewis,",My lords of Strogue;,1879,m,mixed,16.424406668309107
uiuo.ark:/13960/t1kh13d2g,"Marryat, Florence,",A fatal silence,1891,f,high_female,16.420660840372932
uiuo.ark:/13960/t9j39d90p,"Smith, Julia Bernard.",The old school,1813,f,,16.420660840372932
uc2.ark:/13960/t8gf0qs0t,"Dorling, H. Taprell",The sub ;,1917,u,high_male,16.405096516651174
nyp.33433074876669,"Keon, Miles Gerald,",Harding the money-spinner,1879,m,mixed,16.403302531576358
njp.32101068167616,"Forrester, Alfred Henry,",A bundle of crowquills,1854,m,,16.40112464854733
uiuo.ark:/13960/t20c59g5f,"Cuthbertson, Catherine.","Santo Sebastiano, or, The young protector",1814,f,high_female,16.39702667249672
nyp.33433075816573,"Enault, Louis,",The captain's dog,1880,m,high_female,16.395592864637983
uiuo.ark:/13960/t17m0sd0b,"Kettle, Rosa Mackenzie,",The earl's cedars,1860,f,,16.391995662425764
uiuo.ark:/13960/t9474s15t,"Godwin, William,",Things as they are;,1816,m,mixed,16.390755613833797
uiuo.ark:/13960/t9w09bq3r,"Caddell, Cecilia Mary,",Home & the homeless,1858,f,,16.388276079420105
uiuo.ark:/13960/t1ng4x65k,"Baring-Gould, S.",Court Royal,1886,m,,16.387845681119835
uiuo.ark:/13960/t9g45077d,"Carr, Alice Vansittart (Strettell),",Margaret Maliphant,1889,f,mixed,16.38782533557797
mdp.39015013940112,"Lennox, Charlotte,","The female Quixote, or, The adventures of Arabella; | $c: edited with an introduction by Margaret Dalziel; Chronology and appendix by Duncan Isles.",1970,m,high_female,16.386279222197945
uc2.ark:/13960/t1qf8mt9n,"Larrouy, Maurice,",The odyssey of a torpedoed tramp,1918,m,high_male,16.383675901102173
uiuo.ark:/13960/t1wd44n7b,"Douglas, Gertrude,",Brown as a berry,1874,f,mixed,16.381874086395484
mdp.39015024648571,"(Edward Harold) Visiak, E. H.","Medusa, | a story of mystery, and exstasy, & strange horror.",1963,u,high_male,16.373088100858222
