htid,author,title,year,authgender,female_category,urban_gb_intensity
mdp.39015046820653,"Lodge, David,",Therapy : | a novel / | $c: David Lodge.,1995,m,,45.23712903891059
mdp.39015021995215,"Pitt-Kethley, Fiona,",The misfortunes of Nigel / | $c: Fiona Pitt-Kethley.,1991,f,mixed,45.23454109558059
uc1.$b803912,"Stacpoole, H. De Vere","Death, the knight, and the lady",1897,m,,45.22479382814578
njp.32101068166022,"Chatterton, Georgiana,",Compensation,1856,f,high_female,45.22100563819347
mdp.39015000610421,"Woolf, Virginia,","Orlando, | a biography.",1954,f,mixed,45.21623047358618
mdp.49015000947144,"Coward, Noel,",The collected short stories of Noël Coward.,1969,m,high_female,45.20703807550084
mdp.39015014287554,"Sinclair, Upton,",Prince Hagen;,1903,m,high_male,45.20114509567576
mdp.39015070494375,"Richardson, Samuel,",The works of Samuel Richardson,1883,m,mixed,45.19722425127831
mdp.39015006992567,"Benson, Stella,",I pose,1915,f,,45.182548516138986
uiuo.ark:/13960/t5w66vw4h,,"Harden Hall, or, The three proposals",1847,m,high_female,45.180942387011214
inu.30000092835010,"Fowler, Christopher.",Demonized : | short stories / | $c: by Christopher Fowler.,2003,m,,45.16616948867694
mdp.39015002712076,"(John Boynton), Priestley, J. B.",Self-selected essays.,1932,m,high_male,45.16129032258065
mdp.39015011328922,,--and other stories : | a collection of contemporary short stories.,1981,u,,45.16002356175142
uiuo.ark:/13960/t4wh3727f,"Pigott, Harriet,","The pride of ancestry: or, Who is she?",1804,f,high_female,45.158719617479086
uiuo.ark:/13960/t40s0229w,"Caine, Hall,",A son of Hagar,1887,m,,45.14594294247365
nyp.33433074901871,"Miles, Henry Downes,",Dick Turpin,1840,m,,45.14131996904596
uc1.32106016264894,"Bennett, Alan,",The complete talking heads / | $c: Alan Bennett,2001,m,mixed,45.14116874589626
nyp.33433074928833,"Belloc, Hilaire,","Emmanuel Burden, merchant, of Thames St., in the city of London, exporter of hardware",1904,m,high_male,45.138888888888886
uc1.b3472672,"Freeman, Gillian.",The liberty man / | $c: by Gillian Freeman.,1955,f,,45.13741117602301
uiuo.ark:/13960/t1kh1742j,Oliphant,Phoebe junior,1876,f,,45.1358104295962
mdp.39015055900172,"Burke, Sean,",Deadwater / | $c: Seán Burke.,2002,m,mixed,45.13190825913921
mdp.39015066896872,"Rankin, Ian.",The naming of the dead / | $c: Ian Rankin.,2006,m,mixed,45.10265135079587
nyp.33433076039274,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1883,m,,45.10084892357404
uiuo.ark:/13960/t84j0rz88,"Besant, Walter,",All in a garden fair;,1883,m,,45.09267321806195
nyp.33433076057607,"Friswell, J. Hain",Pleasure,1871,m,,45.0525613215418
uc1.32106012237076,"Hawes, James",A white Merc with fins / | $c: James Hawes,1996,m,mixed,45.04166353877336
mdp.39015063963121,"Voynich, E. L.",Olive Latham,1904,f,,45.01800720288115
uiuo.ark:/13960/t07w6nf78,,Barnadiston,1834,u,mixed,45.013785471800745
uiuo.ark:/13960/t48p6923m,"Besant, Walter,",Ready-money Mortiboy,1872,m,,45.01224597868538
mdp.39015048751526,"Pearce, Brian Louis.",The goldhawk variations : | rites of passage / | $c: Brian Louis Pearce.,1999,m,high_male,45.01035238104764
umn.31951002090739o,"Morrison, Nancy Brysson.",When the wind blows.,1937,f,mixed,45.00865551067513
nnc1.cu58496270,"White, William Hale,",The autobiography of Mark Rutherford,1893,m,high_female,44.99713654585617
uc1.32106013036915,"McGrath, Patrick,",Asylum / | $c: Patrick McGrath,1996,m,,44.991295162457696
uiuo.ark:/13960/t6ww7pz5c,"Clarke, Charles,",Crumbs from a sportsman's table,1865,m,,44.990616242897914
inu.30000036611808,"Robins, Peter.",Easy stages / | $c: Peter Robins.,1985,m,high_male,44.98686673729121
uc1.$b783616,"McFee, William,",Race / | $c: by William McFee.,1924,m,high_female,44.98347722278932
mdp.39015008704606,"Moorcock, Michael,",The adventures of Una Persson and Catherine Cornelius in the twentieth century : | a romance / | $c: [by] Michael Moorcock.,1976,m,,44.974375065369735
uc1.b3324434,"Ouida,",The Massarenes,1898,f,mixed,44.97264164300051
njp.32101066164227,,The green room;,1880,m,mixed,44.97211728728189
uiuo.ark:/13960/t82j72z1n,"Tabor, Eliza.",Hope Meredith,1874,f,high_female,44.960418774186294
mdp.39015015358222,"Benson, Robert Hugh,",Oddsfish!,1914,m,high_male,44.95247880811713
inu.32000002882506,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,44.948573543798425
uiuo.ark:/13960/t7pn9c79x,"Barrett, Frank,",Lieutenant Barnabas,1881,m,mixed,44.93372275893058
uc1.$b242643,"Manning, Rosemary.",Man on a tower | $c: [by] Rosemary Manning.,1965,f,,44.92968504290785
uc1.b3322635,,From pillar to post,1864,u,,44.91795454864474
nyp.33433074929310,"Brebner, Percy James,",The crucible of circumstance,1906,m,,44.91555874955085
mdp.39015054021459,"Minney, Rubeigh James,",Fanny and the regent of Siam.,1962,m,,44.913364483772085
mdp.39015073668363,,The rivals of Sherlock Holmes : | an anthology of crime stories 1890-1914 / | $c: edited with an introduction by Nick Rennison.,2008,u,mixed,44.91081994325553
uiuo.ark:/13960/t2m62333s,"Jennings, Louis John,",The Philadelphian,1891,m,mixed,44.893378226711555
dul1.ark:/13960/t87h2bk96,"Riddell, J. H.,",Mitre Court,1885,f,mixed,44.89240304689084
uc1.$b86978,"Brophy, John,",Portrait of an unknown lady : | a novel / | $c: by John Brophy.,1945,m,mixed,44.88727173802155
njp.32101067645547,"Griffiths, Arthur,",A wayward woman,1879,m,,44.88703429701916
uiuo.ark:/13960/t9x06rz7z,"Yates, Edmund Hodgson,",The rock ahead,1868,m,mixed,44.886181468419366
uiuo.ark:/13960/t6n01t83p,"Woods, Margaret L.",Esther Vanhomrigh,1891,f,,44.873670861379374
uiuo.ark:/13960/t2q538d7s,"Whitehead, Charles,",Richard Savage,1844,m,mixed,44.86936112932731
hvd.32044086790011,"Little, Thomas,",Holly-grove,1828,m,,44.8556209700028
uc2.ark:/13960/t1cj8849g,"Cromie, Robert,",The crack of doom,1895,m,high_female,44.85179407176287
uiuo.ark:/13960/t6640c66t,"Riddell, J. H.,",The senior partner,1881,f,high_male,44.85036288020875
mdp.39015062865863,"Tremain, Rose.",The darkness of Wallis Simpson : | and other stories / | $c: Rose Tremain.,2005,f,,44.84027584500726
mdp.39015063961539,"Winter, John Strange,",The strange story of my life,1896,m,,44.836204758361475
mdp.39015056429346,"Flint, James,",52 ways to magic America / | $c: James Flint.,2002,m,mixed,44.82264948688101
uiuo.ark:/13960/t3mw31t1z,"Ponsonby, Emily,",Pride and irresolution,1850,f,high_female,44.811361403629725
uiuo.ark:/13960/t31267z9p,"Forbes, Urquhart Atwell,",Otterstone Hall,1884,m,mixed,44.80770028627141
njp.32101067646719,"Hook, Theodore Edward,",The parson's daughter,1833,m,,44.80098562168368
uc1.b3325430,"Edgeworth, Maria,",Harrington,1817,f,mixed,44.79850411951462
mdp.39015078771519,"Quinn, Anthony.",The rescue man / | $c: Anthony Quinn.,2009,m,,44.79418076791934
nyp.33433076093446,"Disraeli, Benjamin,",Collected edition of the novels and tales,1871,m,,44.78710131482133
mdp.39015055804275,"Brookner, Anita.",The next big thing / | $c: Anita Brookner.,2002,f,,44.77755152083755
uc2.ark:/13960/t3xs5xp5c,"Pearse, Mark Guy,",Gold and incense,1895,m,high_female,44.76776720761052
inu.30000041716659,"Gaskin, Catherine.",The property of a gentleman / | $c: Catherine Gaskin.,1974,f,mixed,44.739212710773074
mdp.39015084104259,"Evans, Diana,",The wonder / | $c: Diana Evans.,2009,f,,44.731493325590336
mdp.39015030749090,"Haines, Pamela,",Tea at Gunter's.,1974,f,high_female,44.72271914132379
mdp.39015053247493,"Frith, Henry,",Through flood-through fire;,1880,m,,44.70938897168406
mdp.39015008011788,"Maclaren-Ross, J. (Julian),",The funny bone.,1956,m,high_male,44.70272686633885
mdp.39015029108498,"Bedford, William,",Catwalking / | $c: William Bedford.,1993,m,,44.67095778594489
