text_string,formatted_address,location_type,occurs_100k
ellesmere,"Ellesmere Island, Nunavut, Canada",natural_feature,0.13271
verona,"Verona VR, Italy",locality,0.13106
chartres,"Chartres, France",locality,0.13037
clermont,"Clermont, FL, USA",locality,0.13
algiers,"Algiers, Algeria",locality,0.12963
bengal,"West Bengal, India",administrative_area_level_1,0.12959
avignon,"Avignon, France",locality,0.12956
copenhagen,"Copenhagen, Denmark",locality,0.12955
haarlem,"Haarlem, Netherlands",locality,0.129
boulogne,"Boulogne-sur-Mer, France",locality,0.12756
arabia,Saudi Arabia,country,0.12721
armenia,Armenia,country,0.12658
halifax,"Halifax Area High School, 3940 Peters Mountain Rd, Halifax, PA 17032, USA",school,0.12638
cairo,"Cairo, Cairo Governorate, Egypt",locality,0.12449
padua,"Padua, Province of Padua, Italy",locality,0.12437
chantilly,"Chantilly, VA, USA",locality,0.12297
jersey,Jersey,country,0.12012
tralee,"Tralee, Co. Kerry, Ireland",locality,0.11992
mecca,Mecca Saudi Arabia,locality,0.11884
hudson,"Hudson, NY, USA",locality,0.1169
belgium,Belgium,country,0.11641
frankfort,"Frankfurt, Germany",locality,0.11535
dieppe,"Dieppe, France",locality,0.11497
madras,"Chennai, Tamil Nadu, India",locality,0.1143
iceland,Iceland,country,0.11428
seine,"Seine, France",natural_feature,0.11396
belton,"Belton, TX, USA",locality,0.11329
calabria,"Calabria, Italy",administrative_area_level_1,0.1132
lisle,"Lisle, IL, USA",locality,0.1124
granada,"Granada, Granada, Spain",locality,0.11137
signora,"Gran Signora Manor, 1210 E 21st St, Ashtabula, OH 44004, USA",health,0.11136
belville,"Bellville, TX 77418, USA",locality,0.11066
japan,Japan,country,0.11036
altenberg,"Altenberg, Germany",locality,0.11035
ostend,"Ostend, Belgium",locality,0.11002
louvre,"Louvre Museum, 75001 Paris, France",museum,0.10855
vittoria,"Vittoria Ristorante, 10241 Sawmill Pkwy, Powell, OH 43065, USA",meal_takeaway,0.10854
turin,"Turin, Metropolitan City of Turin, Italy",administrative_area_level_3,0.10747
andalusia,"Andalusia, Spain",administrative_area_level_1,0.10652
netherlands,Netherlands,country,0.10625
belmont,"Belmont University, 1900 Belmont Blvd, Nashville, TN 37212, USA",university,0.10594
avenel,"Avenel, Woodbridge Township, NJ, USA",neighborhood,0.10538
beverly,"Beverly, MA, USA",locality,0.10473
portland,"Portland, OR, USA",locality,0.10461
sobieski,"J.F. Sobieski Mechanical Contractors Inc, 14 Hadco Rd, Wilmington, DE 19804, USA",general_contractor,0.10455
quebec,"Québec City, QC, Canada",locality,0.10442
peru,Peru,country,0.1042
fairford,"Fairford Bridge Convenience, Path Hwy 6, Fairford, MB R0C 0X0, Canada",gas_station,0.10259
philadelphia,"Philadelphia, PA, USA",locality,0.10244
tyrol,"Tyrol, Austria",administrative_area_level_1,0.10199
bosphorus,"Bosphorus, Turkey",natural_feature,0.10176
hamilton,"Hamilton, Boulevard La Luz 1854, San Pedro de los Hernandez, 37280 León, Gto., Mexico",shoe_store,0.10137
vatican,Vatican City,country,0.10076
vienne,"Vienne, France",administrative_area_level_2,0.10071
toulon,"Toulon, France",locality,0.0992
torrington,"Torrington, CT, USA",locality,0.09867
rhone,Rhône,natural_feature,0.09794
glendower,"Glendower Mansion, 105 Cincinnati Ave, Lebanon, OH 45036, USA",point_of_interest,0.09682
arrah,"Arrah, Bihar 802301, India",locality,0.09631
shakspeare,"Shakespeare's Pizza - South, 3911 Peachtree Dr, Columbia, MO 65203, USA",bar,0.09588
adriatic,Adriatic Sea,natural_feature,0.09392
siberia,Siberia,colloquial_area,0.09361
texas,"Texas, USA",administrative_area_level_1,0.09321
wexford,"Wexford, Ireland",locality,0.09253
matilda,"Matilda, 3101 N Sheffield Ave #1, Chicago, IL 60657, USA",bar,0.09233
kensington,"Kensington Church, 1825 E Square Lake Rd, Troy, MI 48085, USA",church,0.09207
morocco,Morocco,country,0.09197
marina,"Marina, CA, USA",locality,0.0918
monimia,"Fort Vancouver, 1501 E Evergreen Blvd, Vancouver, WA 98661, USA",travel_agency,0.09154
arragon,"Aragon, Spain",administrative_area_level_1,0.09151
ganges,Ganges,natural_feature,0.09132
melanthe,"SheKnows, 14614 N Kierland Blvd #150, Scottsdale, AZ 85254, USA",point_of_interest,0.09077
cape town,"Cape Town, South Africa",locality,0.09059
somerton,"Somerton, AZ, USA",locality,0.09059
salamanca,"Salamanca, Salamanca, Spain",locality,0.09042
california,"California, USA",administrative_area_level_1,0.08983
auvergne,"Auvergne, France",administrative_area_level_1,0.08971
honoria,"Honoria Conway At St Vincent's, 4875 Heather St, Vancouver, BC V5Z 0A7, Canada",health,0.08891
gascony,"Y. Rousseau Winery, 902 Enterprise Way, Napa, CA 94558, USA",food,0.0889
palais royal,"Stage, 100 Kilgore St, Kilgore, TX 75662, USA",department_store,0.08857
loire,"Maine & Loire, 63 Washington Ave, Portland, ME 04101, USA",liquor_store,0.08841
carlisle,"Carlisle, PA, USA",locality,0.08786
clarinda,"Clarinda, IA 51632, USA",locality,0.0877
cologne,"Cologne, Germany",locality,0.08753
luneburg,"Lüneburg, Germany",locality,0.08744
hea,"HEA Federal Credit Union, 121 Osigian Blvd, Warner Robins, GA 31088, USA",atm,0.08743
mantua,"46100 Mantua, Province of Mantua, Italy",locality,0.08646
barcelona,"Barcelona, Barcelona, Spain",locality,0.08622
pyrenees,"Pyrenees, 25586, Lleida, Spain",natural_feature,0.08615
trieste,"Trieste, Italy",locality,0.08607
fairport,"Fairport Central School District, NY, USA",political,0.08586
oporto,"Porto, Portugal",locality,0.08508
brunswick,"Brunswick Corporation, 1 N Field Ct, Lake Forest, IL 60045, USA",point_of_interest,0.08507
capitol,"United States Capitol, East Capitol St NE & First St SE, Washington, DC 20004, USA",point_of_interest,0.08496
baltimore,"Baltimore, MD, USA",locality,0.08482
rotterdam,"Rotterdam, Netherlands",locality,0.08477
brabant,"Brabant Bar & Café, 2310 30th St, San Diego, CA 92104, USA",bar,0.08413
lombardy,"Lombardy, Italy",administrative_area_level_1,0.08365
hague,"The Hague, Netherlands",locality,0.08341
santa maria,"Santa Maria, CA, USA",locality,0.08318
valencia,"Valencia, Valencia, Spain",locality,0.08314
arcadia,"Arcadia, Greece",administrative_area_level_3,0.08222
jericho,Israel,country,0.08191
robespierre,"Northern Virginia Mental Health: Del Rio Robespierre MD, 3302 Gallows Rd, Falls Church, VA 22042, USA",doctor,0.08178
morelos,"Morelos, Mexico",administrative_area_level_1,0.08001
massena,"Massena, NY, USA",administrative_area_level_3,0.0799
verdun,"Verdun, France",locality,0.07918
littleton,"Littleton, CO, USA",locality,0.07886
notre dame,"Cathédrale Notre-Dame de Paris, 6 Parvis Notre-Dame - Pl. Jean-Paul II, 75004 Paris, France",church,0.07822
nassau,"Nassau, The Bahamas",locality,0.07813
red sea,Red Sea,natural_feature,0.07802
boyne,"Boyne Highlands Ski School, 600 Boyne Highlands Dr, Harbor Springs, MI 49740, USA",point_of_interest,0.07786
blois,"Blois, France",locality,0.07755
north america,North America,continent,0.07728
wandesford,"CIT Wandesford Gallery, 5 Wandesford Quay, Cork, Cork, Co. Cork, Ireland",art_gallery,0.07726
amiens,"Amiens, France",locality,0.07708
st grellan,"Saint Grellan's Hall, St Grellan's Terrace, Ballinasloe, Co. Galway, Ireland",premise,0.07673
bayonne,"Bayonne, NJ, USA",locality,0.07649
australia,Australia,country,0.07584
connemara,"Connemara Golf Course, 2327 Lexington Rd, Nicholasville, KY 40356, USA",point_of_interest,0.07557
heidelberg,"Heidelberg, Germany",locality,0.07532
amelia,"Amelia, 1006 Van Buren Ave, Oxford, MS 38655, USA",store,0.07513
rupert,"Rupert, ID 83350, USA",locality,0.07449
hamburgh,"Hamburg, Germany",locality,0.07441
delhi,"New Delhi, Delhi 110001, India",locality,0.07414
loudon,"Loudon, NH, USA",locality,0.07409
saracens,"Mercedes-Benz Superdome, 1500 Sugar Bowl Dr, New Orleans, LA 70112, USA",stadium,0.074
alberton,"Alberton, South Africa",locality,0.07371
ellangowan,"Ellangowan NSW 2470, Australia",locality,0.07363
bridgewater,"Bridgewater, NJ, USA",locality,0.07344
valombrosa,"Vallombrosa Abbey, Loc. Vallombrosa, 115, 50066 Vallombrosa, Reggello FI",place_of_worship,0.07329
highwood,"Highwood, IL, USA",locality,0.07295
california los angeles,"Los Angeles, CA, USA",locality,0.0728
apennines,"Apennine Mountains, 06024 Gubbio, Province of Perugia, Italy",natural_feature,0.07279
wentworth,"Wentworth Institute of Technology, 550 Huntington Ave, Boston, MA 02115, USA",university,0.07239
pavia,"Pavia PV, Italy",locality,0.07226
lima,"Lima, Peru",locality,0.07207
sidney,"Sydney NSW, Australia",colloquial_area,0.07205
squire,"Squire & Company, PC, 1329 S 800 E, Orem, UT 84097, USA",accounting,0.07188
carthage,"Tunis, Tunisia",locality,0.07162
dean park,"Dean Park Grill & Pizza, 749 Main St, Shrewsbury, MA 01545, USA",bar,0.07141
namur,"Namur, Belgium",locality,0.07141
tripoli,"Tripoli, Libya",locality,0.0711
clarendon,"Court House, Arlington, VA, USA",neighborhood,0.07086
stockholm,"Stockholm, Sweden",locality,0.07081
alhambra,"Alhambra, CA, USA",locality,0.07077
wyndham,"Hyatt Chicago Magnificent Mile, 633 N St Clair St, Chicago, IL 60611, USA",restaurant,0.07073
catalonia,"Catalonia, Spain",administrative_area_level_1,0.07073
amazon,"Amazon Fulfillment, 7200 Discovery Drive, Chattanooga, TN 37421, USA",storage,0.07048
aix,"Aix Media Group Inc, 2050 Granville Ave, Los Angeles, CA 90025, USA",point_of_interest,0.07043
st salvador,"Church of St Salvador, Sestiere di S. Marco, 4835, 30122 Venezia, Italy",church,0.07027
cheops,"Cheops Concrete Construction Inc, 9 Court St, Rutland, VT 05701, USA",general_contractor,0.07022
guernsey,Guernsey,country,0.07013
piedmont,"Piedmont Natural Gas Co, 1069 Wilkes Rd, Fayetteville, NC 28306, USA",point_of_interest,0.06982
belford,"Belford, Middletown, NJ, USA",neighborhood,0.06961
new orleans,"New Orleans, LA, USA",locality,0.06959
greenland,Greenland,country,0.06946
guinea,Guinea,country,0.0694
castleton,"Castleton University, 62 Alumni Dr, Castleton, VT 05735, USA",university,0.06934
munich,"Munich, Germany",locality,0.06931
lucca,"Lucca, Province of Lucca, Italy",administrative_area_level_3,0.06895
hastings,"Hastings, NE, USA",locality,0.06881
brazil,Brazil,country,0.06821
idonea,"Idonea System, Calle Peña Oroel S/N ( Pol. Ind. Valdeconsejo ), 50410 Cuarte de Huerva, Zaragoza, Spain",point_of_interest,0.06814
cuba,Cuba,country,0.06788
neva,"Neva River, Russia",natural_feature,0.06788
lebanon,Lebanon,country,0.06741
vavasour,"Fagan Anne M, 70 Portugal Cv Rd, St. John's, NL A1B 2M3, Canada",finance,0.0674
stamford,"Stamford, CT, USA",locality,0.06697
new england,New England,colloquial_area,0.06686
mapleton,"Mapleton QLD 4560, Australia",locality,0.06665
sherbrooke,"Sherbrooke, QC, Canada",locality,0.06661
