htid,author,title,year,authgender,female_category,walking
uc2.ark:/13960/t4qj7c32f,"Gore,","The inundation, or, Pardon and peace",1847,f,,19.104021396503963
uc2.ark:/13960/t6g16076f,"Marriott, Charles,",An order to view;,1922,m,mixed,19.10280492852367
uiuo.ark:/13960/t6sx6xd8k,"Opie, Amelia Alderson,",Adeline Mowbray,1805,f,high_female,19.087156729415696
uiuo.ark:/13960/t1bk1qb2j,"Cunningham, H. S.",Chronicles of Dustypore;,1875,m,high_female,19.083160171324373
uc2.ark:/13960/t6833x99n,"Fielding, H.",Love's legend,1914,m,high_female,19.080588227277065
uiuo.ark:/13960/t0vq3fj8b,"Kendall, Edward Augustus,",The English boy at the Cape,1835,m,,19.079357407242526
uc1.b3324455,"Jerrold, Blanchard,",Cent per cent,1869,m,high_male,19.07668828691339
nnc1.1002277093,"Greenhalgh, Thomas,",The vicissitudes of commerce;,1852,m,,19.07668828691339
uiuo.ark:/13960/t2697sc0d,"Stephens, George,",The manuscripts of Erdély,1835,m,,19.073309627934226
uc2.ark:/13960/t83j3pb5r,"Downes, Marion Grace.",Flower o' the bush,1914,u,high_female,19.056373235884273
wu.89051908523,,Geoffrey the knight,1869,m,high_male,19.045027887362263
mdp.39015030722097,"Reynolds, George W. M.",Ellen Percy,1856,m,high_female,19.035047246228682
uiuo.ark:/13960/t88g97x16,"Scott, Walter,","Anne of Geierstein, or, The maiden of the mist",1829,m,,19.019413386949964
mdp.39015059376502,,The New British novelist;,1830,u,high_male,19.005786206022723
mdp.39015005687093,Xiaoxiaosheng.,"The Golden Lotus; | a translation from the Chinese original, | $c: by Clement Egerton.",1939,u,mixed,19.000788820626795
uc1.32106006271974,,"The golden lotus; a translation, from the Chinese original, of the novel Chin p'ing mei, by Clement Egerton.",1957,u,mixed,18.99728856881336
uc2.ark:/13960/t0ft8sz44,"Wylde, Henry,",Severed ties,1889,f,,18.99560726581978
mdp.39015015503199,,Korean classical literature : an anthology / | $c: edited by Chung Chong-wha.,1989,u,,18.982085656661525
uc2.ark:/13960/t50g3x155,,Elegant extracts,1810,m,high_male,18.978085892584033
mdp.39015012165620,"Spark, Muriel.",The only problem / | $c: Muriel Spark.,1984,f,mixed,18.97641231948688
inu.30000108515119,,Kalīlah and Dimnah,1885,m,high_male,18.975932192668964
mdp.39015065444252,"[Scott, Caroline Lucy,",Trevelyan,1833,f,high_female,18.97425194011726
uiuo.ark:/13960/t2j683k08,"Reynolds, George W. M.",The mysteries of the court of London,1850,m,,18.973665964573744
dul1.ark:/13960/t6ww88v9c,"Bayfield, E. G.,",A winter in Bath,1807,f,high_female,18.963337547408344
mdp.39015050631657,"Cassola, Carlo,",Portrait of Helena / | $c: by Carlo Cassola ; translated by Sebastian Roberts.,1975,m,high_female,18.96287652250018
uiuo.ark:/13960/t02z1h53b,"Blessington, Marguerite,","Strathern, or, Life at home and abroad",1845,f,,18.95867009918378
inu.39000005570515,"McLeish, Kenneth,",In the beginning : | Creation myths from around the world / | $c: concept and illustrations by Helen Cherry ; stories retold by Kenneth McLeish.,1984,m,,18.954950401213118
uiuo.ark:/13960/t1xd1j576,"Stanhope, Louisa Sidney.",The confessional of Valombre,1812,f,mixed,18.95420190963584
uc1.b4097359,"Firbank, Ronald,",The works of Ronald Firbank.,1929,m,high_female,18.95195678953852
nyp.33433074864384,"Grant, James,","The secret dispatch; or, The adventure of Captain Balgonie",1872,m,,18.951443693907112
inu.32000004080067,"Benn, June Wedgwood.","The woman's view: | an anthology of prose passages about women, from the eighteenth century to the present day; | $c: edited by June Wedgwood Benn.",1967,f,high_female,18.945972402033533
uiuo.ark:/13960/t3dz0w163,"Rolfe, Ann,",The oath of allegiance,1847,f,mixed,18.943699325604303
mdp.39015046835495,,"The Golden Lotus; | a translation, from the Chinese original, of the novel Chin Pʻing Mei, | $c: by Clement Egerton.",1972,u,mixed,18.942003030720485
uc1.b3325432,"Edgeworth, Maria,",Harrington,1817,f,mixed,18.9396928613141
inu.30000112141985,"Simms, William Gilmore,",The kinsmen: or The Black Riders of Congaree,1841,m,high_male,18.938166885120083
uc1.32106008591965,,"The Golden Lotus; | a translation, from the Chinese original, of the novel Chin Pʻing Mei, | $c: by Clement Egerton.",1972,u,mixed,18.935372998158105
uiuo.ark:/13960/t63498z20,"Williams, F.,",Seymour and his friends;,1857,u,,18.933852006127683
njp.32101074161884,"Cooper, John Butler.",Coo-oo-ee!,1916,m,mixed,18.91537040745933
uiuo.ark:/13960/t2d801965,"Crandolph, Augustus Jacob.","The mysterious hand, or, Subterranean Horrours!",1811,m,,18.907676516665767
mdp.39015034257900,Xiaoxiaosheng.,"The golden lotus : | a translation, from the Chinese original, of the novel Chin Pʻing Mei / | $c: by Clement Egerton.",1995,u,mixed,18.906299235154258
njp.32101063693772,"Pardoe,",The rival beauties,1848,f,high_female,18.906048753973224
mdp.39015014117736,"Porter, Anna Maria,",The village of Mariendorpt,1821,f,,18.905736000302493
nyp.33433075753529,"Stretton, Julia Cecilia,",The valley of a hundred fires,1860,f,high_female,18.89612285915517
uc1.$b285109,"Saki,","The unbearable Bassington, | $c: by ""Saki"" H.H. Munro, with an introduction by Maurice Baring.",1929,u,high_female,18.895149099903808
mdp.39015030718699,"Wakefield, Tom.",The love siege / | $c: Tom Wakefield.,1979,m,high_female,18.892579939228867
uc1.$b276925,"Wood, Walter.",The Fleeters; | $c: illus. by A.E. Bestall.,1934,m,high_male,18.889308651303363
mdp.39015037289199,"Bell, A. Craig.",Alexandre Dumas : | Le Vicomte de Bragelonne (The man in the iron mask) : a critical study / | $c: A. Craig Bell.,1995,m,,18.888679014677614
uc1.b3325545,"Manning, Anne,",The provocations of Madame Palisay,1863,f,high_male,18.883471812126622
uiuo.ark:/13960/t7pn9qw7m,"Simpson, J. Palgrave","The lily of Paris, or, The king's nurse",1849,m,,18.873951043874676
njp.32101041607241,"Brown, Thomas,","Brighton; or, The Steyne",1818,m,high_male,18.87267237040765
mdp.39076005085027,"Cross, Ruth,","Enchantment, | a novel | $c: by Ruth Cross.",1930,f,high_female,18.87247449594766
uiuo.ark:/13960/t3514d44q,"Grey,",Daughters,1847,f,high_female,18.867331215999496
