htid,author,title,year,authgender,female_category,farm
hvd.hn66zt,"Lytton, Edward Bulwer Lytton,",The pilgrims of the Rhine,1834,f,high_female,0.0
mdp.39015063751484,"Banim, John,",The Boyne water,1826,m,,0.0
mdp.39015061138833,"Guo, Xiaolu,",Village of stone / | $c: Xiaolu Guo ; translated from Chinese by Cindy Carter.,2004,u,high_male,0.0
hvd.32044014304265,"Loudon,",The mummy!,1828,f,mixed,0.0
mdp.39015050730103,"Telmissany, May.",Dunyazad / | $c: May Telmissany ; translated from the Arabic and introduced by Roger Allen.,2000,f,,0.0
mdp.39015056903795,"Hijjawi, Reem.",You don't live the moment twice / | $c: Reem Hijjawi.,2003,u,high_female,0.0
mdp.39015053230002,"Upward, Edward.",The rotten elements: | a novel of fact.,1969,m,,0.0
mdp.39015057627724,"Osipa, Jason.",Stop staring! : | facial modeling and animation done right / | $c: Jason Osipa.,2003,m,,0.0
dul1.ark:/13960/t1fj30r51,"Bury, Charlotte Campbell,",The exclusives,1830,f,,0.0
mdp.39015057606405,"Liddle, Rod.",Too beautiful for you / | $c: Rod Liddle.,2003,m,,0.0
mdp.39015057604327,"King, Francis Henry,",The nick of time / | $c: Francis King.,2003,m,,0.0
mdp.39015057600036,"Jones, John Sam.",Fishboys of Vernazza / | $c: John Sam Jones.,2003,m,,0.0
mdp.39015057591961,"Mills, Magnus.",Once in a blue moon / | $c: Magnus Mills.,2003,m,high_male,0.0
mdp.39015057591524,"Magrs, Paul.",Aisles / | $c: Paul Magrs.,2003,m,,0.0
wu.89095839767,"Droste, Chris B.",Till better days / | $c: by Ch. B. Droste.,1945,m,high_male,0.0
dul1.ark:/13960/t0ns1h68r,"Linton, E. Lynn",Grasp your nettle,1865,f,,0.0
mdp.39015056907200,"Parks, Tim.",Judge Savage / | $c: Tim Parks.,2003,m,mixed,0.0
wu.89097197222,"Underhill, Evelyn,",The miracles of Our Lady Saint Mary,1905,f,,0.0
dul1.ark:/13960/t0ht3cn3c,"Linton, E. Lynn",Grasp your nettle,1865,f,,0.0
wu.89094558533,"Mercier, Charles Arthur,",Spirit experience,1919,m,high_female,0.0
wu.89098012180,"Birdsall, Anna Huntington.",A conflict of sex,1898,f,,0.0
wu.89098013899,"Burnett, Frances Hodgson,", Theo,1877,f,high_female,0.0
mdp.39015053382977,"Aboulela, Leila,",Coloured lights / | $c: Leila Aboulela.,2001,f,high_female,0.0
dul1.ark:/13960/t0gt66c22,"Wood, Henry,",Court Netherleigh,1881,f,,0.0
mdp.39015056885810,"Heller, Zoë.",Notes on a scandal / | $c: Zoe Heller.,2003,u,high_female,0.0
mdp.39015056837084,"Bryant-Jefferies, Richard.",Time limited therapy in primary care : | a person-centred dialogue / | $c: Richard Bryant-Jefferies ; [forewords by Graham Curtis Jenkins and Jerold D. Bozarth].,2003,m,high_female,0.0
mdp.39015056817649,"Citron, Lana,",Spilt milk / | $c: Lana Citron.,2001,f,,0.0
wu.89098654809,"Bason, Frederick T.",Summer.,1960,m,high_female,0.0
dul1.ark:/13960/t04x5tt3c,"Bury, Charlotte Campbell,",The exclusives,1830,f,,0.0
mdp.39015056812483,"Keyes, John.",The importance of being Micheál / | $c: John Keyes.,2002,m,,0.0
mdp.39015053483007,"Maguire, Susie.",The short hello / | $c: Susie Maguire.,2000,f,,0.0
mdp.39015056754214,"Bird, Robert Montgomery,",Cortes,1835,m,,0.0
wu.89094594793,"Skeat, Walter William,",Fables and folk-tales from an eastern forest,1901,m,high_male,0.0
mdp.39015058118558,,Going the distance / | $c: edited by Alan Beard.,2003,u,mixed,0.0
mdp.39015061094952,"Home, Stewart,",Down & out in Shoreditch and Hoxton / | $c: Stewart Home.,2004,m,,0.0
wu.89092530526,,"Blighted ambition, or, The rise and fall of the Earl of Somerset",1822,u,,0.0
mdp.39015059159650,"Parsons, Tony,",The family way / | $c: Tony Parsons.,2004,m,,0.0
mdp.39015058737548,"Beard, Richard,",Dry bones / | $c: Richard Beard.,2004,m,mixed,0.0
mdp.39015058736599,"Bryant-Jefferies, Richard.",Counselling for progressive disability : | person-centred dialogues / | $c: Richard Bryant-Jefferies.,2004,m,,0.0
mdp.39015058734636,"Reyes, Heather.",Zade / | $c: Heather Reyes.,2004,f,mixed,0.0
dul1.ark:/13960/t3126pp23,"Oliphant,",The perpetual curate,1864,f,,0.0
mdp.39015058730436,"Riley, Gwendoline,",Sick notes / | $c: Gwendoline Riley.,2004,f,,0.0
mdp.39015052824714,"Skoczylas, Adam.","Stefano, we shall come tomorrow.",1962,m,high_male,0.0
wu.89087922050,"Barsley, Michael.",Alice in wunderground and other blits and pieces / | $c: by Michael Barsley ; illustrated by the author.,1940,m,high_female,0.0
mdp.39015058691323,,Tales from  Blackwood.,1858,u,,0.0
