htid,author,title,year,authgender,female_category,ni_gb_fraction
wu.89045896156,"Safroni-Middleton, A.",Wine-dark seas and tropic skies;,1918,m,mixed,0.0
wu.89044543270,"Rimmer, Dave.",Once upon a time in the East / | $c: Dave Rimmer.,1992,m,high_male,0.0
wu.89044447696,"Bielski, Nella.",After Arkadia / | $c: Nella Bielski ; translated by Jonathan Steffen with the participation of John Berger.,1992,f,,0.0
wu.89044441525,"Giovene, Andrea,",Sansevero / | $c: Andrea Giovene ; translated from the Italian by Marguerite Waldman and  Bernard Wall ; with an introduction by Valerio di Balvano.,1987,f,mixed,0.0
wu.89043756048,"Joyce, Henry Stanley,",A countryman's notebook.,1947,m,high_male,0.0
wu.89042502864,"Lønn, Øystein.",Tom Reber's last retreat / | $c: Øystein Lønn ; translated from the Norwegian by David McDuff.,1992,u,high_male,0.0
wu.89042484659,"Breeze, David John.","The Roman fort at Bearsden, 1973 excavations : | an interim report / | $c: by David J. Breeze.",1974,m,high_male,0.0
wu.89042045070,"Wardle, C      Francis.","All dogs, | $c: by C. Francis Wardle.",1935,u,high_male,0.0
wu.89051908523,,Geoffrey the knight,1869,m,high_male,0.0
wu.89052496320,"Ball, Richard,",Broncho / | $c: by Richard Ball.,1930,m,high_male,0.0
wu.89011120391,"Martenson, Jan,",Death calls on the witches : | a novel / | $c: by Jan Martenson ; translated from the Swedish by Joan Tate.,1979,u,high_female,0.0
wu.89052867785,"Staalesen, Gunnar,",Yours until death / | $c: Gunnar Staalesen ; translated by Margaret Amassian.,1993,m,high_male,0.0
wu.89058974940,Ólafur Gunnarsson.,Troll's cathedral / | $c: Ólafur Gunnarsson ; translated from the Icelandic by David McDuff and Jill Burrows.,1996,u,high_male,0.0
wu.89058279688,"Bilby, Julian W.",Nanook of the North : | with 29 photographs / | $c: by Julian W. Bilby.,1925,m,high_male,0.0
wu.89057943995,"Lie, Sissel,",Lion's heart / | $c: Sissel Lie ; translated by Anne Born.,1990,u,high_female,0.0
wu.89057942831,Fríða Á. Sigurðardóttir.,Night watch / | $c: Frída Á. Sigurdardóttir ; translated from the Icelandic by Katjana Edwardsen.,1995,u,high_female,0.0
wu.89057817041,"Lindgren, Torgny,","In praise of truth : | the personal account of Theodore Marklund, picture-framer / | $c: Torgny Lindgren ; translated from the Swedish by Tom Geddes.",1994,u,high_female,0.0
wu.89057385544,"Dracott, Alice Elizabeth,",Simla village tales;,1906,f,high_male,0.0
wu.89056869175,"Carling, Finn.",Commission / | $c: Finn Carling ; translated from the Norwegian and with a foreword by Louis A. Muinzer.,1993,u,,0.0
wu.89056511538,"Caṭṭopādhyāya, Śaratcandra,",Srikanta,1922,u,high_male,0.0
wu.89056085640,"Jensen, Carsten,",Earth in the mouth : | a story / | $c: Carsten Jensen ; translated from the Danish by Anne Born.,1994,m,high_male,0.0
wu.89055051759,"Doorly, Eleanor.",The radium woman : | a youth edition of the life of Madame Curie / | $c: by Eleanor Doorly ... and woodcuts by Robert Gibbings.,1940,f,high_female,0.0
wu.89054845235,,My favorite horse stories / | $c: edited by Dawn Palethorpe Wofford ; with illustrations by Joan Thompson.,1959,u,,0.0
wu.89054838123,"D'Avigdor, Elim Henry,",A loose rein,1887,f,high_male,0.0
wu.89053532776,"Faldbakken, Knut.",Sweetwater / | $c: Knut Faldbakken ; translated from the Norwegian by Joan Tate.,1994,m,,0.0
wu.89053462370,"Rinser, Luise,",Jan Lobel from Warsaw / | $c: Luise Rinser ; translated from the German by Michael Hulse ; and Luise Rinser interviewed  by Michael Hulse.,1991,f,high_female,0.0
wu.89053136461,"Galdino, Dirceu.","Rosy Star / | $c: Dirceu Galdino ; cover and illustrations by Tânia R. Machado ; translated by Thomas Bonnici from the original Portuguese version, Estrela Rosa.",1993,u,high_male,0.0
wu.89053136404,"Galdino, Dirceu.","Golden Lambari / | $c: Dirceu Galdino ; cover and illustrations by Tânia R. Machado ; translated by Thomas Bonnici from the original Portuguese version, Lambari Dourado.",1994,u,,0.0
wu.89052876588,"Madsen, Svend Åge.","Days with Diam, or, Life at night / | $c: by Svend Åge Madsen ; translated by W. Glyn Jones.",1994,u,,0.0
wu.89040876070,"Rigaudis, Marc.",Ito-san : | stories / | $c: Marc Rigaudis ; translated from the French and with an introduction by James Kirkup.,1991,m,mixed,0.0
wu.89040827529,"Enquist, Per Olov.",The magnetist's fifth winter / | $c: Per Olov Enquist ; translated from the Swedish by Paul Britten Austin.,1989,m,high_male,0.0
wu.89040821183,"Parland, Oscar,",The year of the bull / | $c: Oscar Parland ; translated from the Swedish by Joan Tate.,1991,m,,0.0
wu.89039305578,"Reve, Gerard Kornelis van het.",Parents worry / | $c: Gerard Reve ; in the authorised translation from the Dutch by Richard Huijing.,1990,m,high_male,0.0
wu.89017186693,"Beauvoir, Simone de,",The woman destroyed / | $c: Simone de Beauvoir ; translated by Patrick O'Brian,1971,u,mixed,0.0
wu.89016963142,"Elsbree, Elizabeth Sellers,",Across the Isthmus of Panama.,1937,f,high_male,0.0
wu.89016705428,"Rey Rosa, Rodrigo,",The beggar's knife / | $c: Rodrigo Rey Rosa ; translated from the Spanish by Paul Bowles.,1988,m,high_male,0.0
wu.89016145146,"Black, Jack.","You can't win, | $c: by Jack Black; with a foreword by Robert Herrick.",1927,m,mixed,0.0
wu.89016085169,"Haag, Lina.",How long the night; | $c: tr. by E. W. Dickes and Arnold Bender.,1948,f,,0.0
wu.89015991284,"Arlen, Michael.","""Piracy""; | a romantic chronicle of these days.",1924,m,,0.0
wu.89015991052,"Ainsworth, William Harrison,",The South-Sea bubble,1902,m,mixed,0.0
wu.89015336670,"Cahuet, Albéric,",Colonel Pontcarral : | a novel / | $c: Translated from the French by Claud W. Sykes.,1940,u,,0.0
wu.89015218159,"Gore, Stuart,","Australians, go home!",1958,m,high_male,0.0
wu.89015217631,"Lubbock, Percy,",Earlham | $c: [by] Percy Lubbock.,1924,m,high_female,0.0
wu.89013829759,"Boothby, Guy,",Uncle Joe's legacy,1902,u,high_male,0.0
wu.89013740311,"Sims, George R.,",Behind the veil,1913,m,,0.0
wu.89012948386,"Traven, B.",March to the Montería / | $c: B. Traven.,1982,u,high_male,0.0
wu.89012679007,"Bemmann, Hans.",The stone and the flute / | $c: Hans Bemmann ; translated from German by Anthea Bell.,1986,m,,0.0
wu.89012609285,"Abbott, J. H. M.",Plain and veldt,1903,u,high_male,0.0
wu.89012500179,"Japrisot, Sebastien,",One deadly summer / | $c: Sébastien Japrisot [i.e. J.B. Rossi] ; translated by Alan Sheridan.,1981,u,high_female,0.0
wu.89012277034,"Owen, Thomas,","The desolate presence, and other uncanny stories / | $c: by Thomas Owen ; translated from the French by Iain White.",1984,m,,0.0
wu.89017612011,"Hillary, Richard,","The last enemy, | $c: by Richard Hillary.",1942,m,,0.0
wu.89017642620,"McCutcheon, Hugh D. M.",Alamein to Tunis / | $c: by Hugh D.-M. McCutcheon.,1946,m,high_male,0.0
wu.89017654567,"Jewsbury, Geraldine Endsor,",Constance Herbert,1855,f,mixed,0.0
wu.89034614867,"Hockin, Olive.",Two girls on the land,1918,f,,0.0
wu.89039010491,"Tournier, Michel",Gemini / | $c: by Michel Tournier ; translated by Anne Carter.,1985,m,,0.0
wu.89038451712,"Mason, Gertrude.","New life for old clothes, | $c: by Gertrude Mason...With 190 drawings by Kathleen Mann.",1943,f,high_male,0.0
wu.89038343711,"Fearon, Ethelind.","A privy in the cactus, | $c: by Ethelind Fearon. Illustrated by Alex Jardine.",1965,u,,0.0
wu.89035702588,"Rugarli, Giampaolo,",The Crux / | $c: Giampaolo Rugarli ; translated from the Italian by N. S. Thompson.,1990,u,,0.0
wu.89035502434,"Thornhill, Christopher James,","Taking Tanganyika; | experiences of an intelligence officer, 1914-1918, | $c: by Christopher J. Thornhill; foreword by Francis Brett Young; introduction by Capt. S. H. La Fontaine ... With twenty-two illustrations and a map.",1937,m,high_male,0.0
wu.89034961391,"Bernhard, Thomas.",The cheap-eaters / | $c: by Thomas Bernhard ; translated from the German by Ewald Osers.,1990,m,high_male,0.0
wu.89034885616,"Schoeman, Karel.",Another country / | $c: Karel Schoeman ; translated by David Schalkwyk.,1991,f,,0.0
wu.89032203036,"Hutchinson, A. S. M. (Arthur Stuart-Menteth),",The happy warrior / | $c: by A. S. M. Hutchinson.,1925,m,mixed,0.0
wu.89017654575,"Jewsbury, Geraldine Endsor,",Constance Herbert,1855,f,mixed,0.0
wu.89031830839,"Laâbi, Abdellatif,",Rue du Retour / | $c: Abdellatif Laâbi ; translated from the French by Jacqueline Kaye ; foreword by Breyten Breytenbach ; introduction by Victor Reinking.,1989,u,high_male,0.0
wu.89030493787,,"Ruwenzori expedition, 1934-5 ...",1939,u,high_male,0.0
wu.89018185587,"Detmers, Theodor.",The raider Kormoran.,1959,m,high_male,0.0
wu.89018093724,"Genevoix, Maurice,",The story of Reynard. | $c: Translated from the French by Margaret Crosland. Illustrated by Andre Pec.,1959,m,high_male,0.0
wu.89018081877,"Gibson, Ronald.","Nine days, 17th to 25th September, 1944. | $c: Illustrated by Gordon C. Power.",1956,m,high_male,0.0
wu.89018081869,"Horst, Kate A. ter.","Cloud over Arnhem, | September 17th-26th 1944.",1959,f,high_male,0.0
wu.89017937079,"Jersild, P. C. (Per Christian),",A living soul / | $c: P.C. Jersild ; translated by Rika Lesser.,1988,m,mixed,0.0
uiuo.ark:/13960/t9k36386k,"Collins, Charles James,",The man in chains,1864,m,high_male,0.0
uiuo.ark:/13960/t9k362g0z,"Bray,","Henry de Pomefrey, or, The eve of St. John",1842,f,,0.0
uiuo.ark:/13960/t7pn9p39v,"Warden, Florence,",Ralph Ryder of Brent,1892,f,high_female,0.0
uiuo.ark:/13960/t8bg39w1x,"Siddons, Henry,","The maid, wife, and widow",1806,m,mixed,0.0
uiuo.ark:/13960/t8bg38q94,"Phillips, Samuel,",Caleb Stukely,1844,m,,0.0
uiuo.ark:/13960/t8bg37n8b,"Mudford, William 1782-1848.",The premier,1831,m,,0.0
uiuo.ark:/13960/t8bg37099,"Braddon, M. E.",The fatal three,1888,f,high_female,0.0
uiuo.ark:/13960/t8bg3636s,"Jeaffreson, John Cordy,",Cutting for partners,1890,m,,0.0
uiuo.ark:/13960/t8bg3551v,"Eliot, George,",Adam Bede,1899,f,mixed,0.0
uiuo.ark:/13960/t8bg3345h,"Halsted, Leonora B.",Bethesda,1884,f,high_female,0.0
uiuo.ark:/13960/t8bg31t1q,"Downey, Edmund,",In one town,1886,m,mixed,0.0
uiuo.ark:/13960/t8bg31q2v,"Davies, Charles Maurice,","'Verts, or, The three creeds",1876,m,mixed,0.0
uiuo.ark:/13960/t8bg31516,"Crowberry, Daniel.","North of the Tweed, or, Lorance Langton: his life, incidents, and adventures in Scotland",1867,m,,0.0
uiuo.ark:/13960/t89g6990n,"Strickland, Agnes,",How will it end?,1865,f,high_female,0.0
uiuo.ark:/13960/t89g6928c,"Palgrave, William Gifford,",Hermann Agha,1872,m,high_male,0.0
uiuo.ark:/13960/t89g68945,"Reid, Mayne,",The quadroon,1856,m,high_male,0.0
uiuo.ark:/13960/t89g6700s,"Nunn, Lorenzo N.,",The militia major,1852,f,mixed,0.0
uiuo.ark:/13960/t89g61j7v,"Gibbon, Charles,",Fancy free,1884,m,,0.0
uiuo.ark:/13960/t89g61j5w,Author of No appeal.,Gerald Hastings of Barton,1870,u,,0.0
uiuo.ark:/13960/t89g60x7c,"Robinson, A. Mary F.",Arden,1883,f,,0.0
uiuo.ark:/13960/t89g60k4f,"Curtois, Margaret Anne.",The romance of a country,1893,f,high_male,0.0
uiuo.ark:/13960/t8bg39q1p,"Saunders, John,",Martin Pole,1863,m,,0.0
uiuo.ark:/13960/t8bg39x97,Oliphant,"John, a love story",1870,f,high_female,0.0
uiuo.ark:/13960/t89g5zk35,"Clarke, Cecil.",Love's loyalty,1890,m,high_female,0.0
uiuo.ark:/13960/t8bg3b05m,"Ellis, Sarah Stickney,","Agatha Beaufort; or, Family pride",1852,f,high_female,0.0
uiuo.ark:/13960/t8df78677,"Lynch, Arthur,",Approaches,1892,m,,0.0
uiuo.ark:/13960/t8df73m5k,"Dixie, Florence,",Redeemed in blood,1889,f,,0.0
uiuo.ark:/13960/t8df71205,"Baring-Gould, S.",Court Royal,1886,m,,0.0
uiuo.ark:/13960/t8df71192,"Lyall, Edna,",To right the wrong,1894,f,high_male,0.0
uiuo.ark:/13960/t8cg0c92s,"Pirkis, Catherine Louisa,",A red sister,1891,f,high_female,0.0
uiuo.ark:/13960/t8cg0c13p,"Stone, Evelyn.",Hugh Moore,1885,f,mixed,0.0
uiuo.ark:/13960/t8cg0bv2j,"Parker, Emma.",Aretas,1823,f,,0.0
uiuo.ark:/13960/t8cg0bk4x,"Delorme, Charles.",The pedlar,1857,m,mixed,0.0
uiuo.ark:/13960/t8cg09g5n,"Payn, James,",For cash only,1882,m,mixed,0.0
uiuo.ark:/13960/t8cg09c0w,"Pardoe,",The poor relation,1858,f,high_female,0.0
uiuo.ark:/13960/t8cg07c40,"Roosevelt, Blanche,",The copper queen,1886,f,high_female,0.0
uiuo.ark:/13960/t8cg07c02,"Mackenzie, R. Shelton",Mornings at Matlock,1850,m,,0.0
uiuo.ark:/13960/t8cg07746,"Liddell, Charles Francis.","Hidden links, or, The schoolfellows",1857,m,mixed,0.0
uiuo.ark:/13960/t8cg02x5k,"Betham-Edwards, Matilda,",Next of kin wanted,1887,f,,0.0
uiuo.ark:/13960/t8cg02x3m,"Eden, Eleanor.",Dumbleton Common,1867,f,high_female,0.0
uiuo.ark:/13960/t8cg01t5t,"Cresswell, Henry.",A wily widow,1888,m,high_female,0.0
uiuo.ark:/13960/t8cg0048w,"Baxter, Francis Willoughby,","Percy Lockhart, or, The hidden will",1872,m,high_male,0.0
uiuo.ark:/13960/t89g5zk6m,,Chums,1882,u,,0.0
uiuo.ark:/13960/t89g5xf7w,"Bishop, M. C.",Elizabeth Eden,1878,u,high_female,0.0
uiuo.ark:/13960/t9j39g25s,"Hewlett, J.",Dunster Castle,1846,m,high_male,0.0
uiuo.ark:/13960/t87h24g20,"Maughan, Janet.",The co-heiress,1866,f,high_female,0.0
uiuo.ark:/13960/t87h23t3j,"M'Donogh, Felix,",The highlanders,1824,m,high_female,0.0
uiuo.ark:/13960/t87h23k1f,"Stuart, Esmè,",A mine of wealth,1896,u,high_female,0.0
uiuo.ark:/13960/t87h22543,"Hart, Fanny Wheeler.",Freda,1878,f,high_female,0.0
uiuo.ark:/13960/t87h2024x,"Grant, James,",Derval Hampton,1881,m,mixed,0.0
uiuo.ark:/13960/t87h1wq97,"Belfast, Frederick Richard Chichester,","Two generations, or, Birth, parentage, and education",1851,m,,0.0
uiuo.ark:/13960/t86h58z2r,"De Merle, William Henry,",Glenlonely,1837,m,,0.0
uiuo.ark:/13960/t86h57b47,"Wood, Henry,",Johnny Ludlow,1874,f,,0.0
uiuo.ark:/13960/t86h56p87,"Thornton, Elizabeth.",Truth and falsehood,1847,f,mixed,0.0
uiuo.ark:/13960/t86h56n6t,"Thomson, A. T.,",Constance,1833,f,,0.0
uiuo.ark:/13960/t86h5610v,"Roche, Regina Maria,",The tradition of the castle;,1824,f,mixed,0.0
uiuo.ark:/13960/t86h55c3c,Author of Rare pale Margaret.,Pomegranate seed,1886,u,high_female,0.0
uiuo.ark:/13960/t86h53w8p,"Middlemass, Jean.","Nelly Jocelyn, widow",1887,f,,0.0
uiuo.ark:/13960/t86h4zd4f,"Griffiths, Arthur,",The wrong road,1888,m,,0.0
uiuo.ark:/13960/t86h4xr9x,"Frances, Sophia L.","Vivonio, or, The hour of retribution",1806,f,,0.0
uiuo.ark:/13960/t86h4xm75,,"False positions, or, Sketches of character",1863,u,,0.0
uiuo.ark:/13960/t86h4x29z,"Dalrymple, J. Elphinstone,",The Livingstones,1851,f,high_female,0.0
uiuo.ark:/13960/t85h86f40,"Wood,",Seadrift,1871,f,,0.0
uiuo.ark:/13960/t87h24b83,"Braddon, M. E.","Lucius Davoren, or, Publican and sinners",1873,f,,0.0
uiuo.ark:/13960/t87h25w57,"Lee, Holme,",This work-a-day world,1875,f,,0.0
uiuo.ark:/13960/t88g9979x,"Lee, Holme,",Sylvan Holt's daughter,1858,f,high_female,0.0
uiuo.ark:/13960/t87h2708v,"Russell, William Clark,",The wreck of the  Grosvenor,1877,m,mixed,0.0
uiuo.ark:/13960/t88g98g66,"Wilks, John,","The Tory baronet, or Tories, Whigs, and Radicals",1841,m,mixed,0.0
uiuo.ark:/13960/t88g9846q,"Needell, J. H.,",Passing the love of women,1892,f,mixed,0.0
uiuo.ark:/13960/t88g97x16,"Scott, Walter,","Anne of Geierstein, or, The maiden of the mist",1829,m,,0.0
uiuo.ark:/13960/t88g97d1g,"Reid, Mayne,",The death shot,1873,m,,0.0
uiuo.ark:/13960/t88g96s10,"Lee, Holme,",Against wind and tide,1859,f,high_female,0.0
uiuo.ark:/13960/t88g9646w,"O'Keeffe, Adelaide,",Dudley,1819,f,mixed,0.0
uiuo.ark:/13960/t88g93w13,"Donelan, A. M.",What 'tis to love,1873,u,mixed,0.0
uiuo.ark:/13960/t88g93j61,"Cobban, J. Maclaren",The burden of Isabel,1893,m,high_male,0.0
uiuo.ark:/13960/t88g93h2n,"Clifford, W. K.,",Aunt Anne,1892,f,high_female,0.0
uiuo.ark:/13960/t88g93671,"Hatton, Joseph,",Under the great seal,1893,m,,0.0
uiuo.ark:/13960/t88g90r2j,"Goodrich, A. M.","Gwen, or, The cousins",1855,u,high_female,0.0
uiuo.ark:/13960/t88g8zn9s,"Curling, Henry,",Shakespeare,1848,m,high_male,0.0
uiuo.ark:/13960/t88g8zb4b,"Craik, Dinah Maria Mulock,",Mistress and maid,1863,f,high_female,0.0
uiuo.ark:/13960/t88g8wg3t,"Beale, Anne.","Nothing venture, nothing have",1864,f,,0.0
uiuo.ark:/13960/t88g8wd7v,"Old Sailor,","Hamilton King, or, The smuggler and the dwarf",1839,m,high_male,0.0
uiuo.ark:/13960/t87h28b78,"Pemberton, T. Edgar",A very old question,1877,m,mixed,0.0
uiuo.ark:/13960/t87h27b6c,"Smythies, Gordon,",The breach of promise;,1845,f,,0.0
uiuo.ark:/13960/t8df7873r,"Lytton, Rosina Bulwer Lytton,",Bianca Capello,1843,f,mixed,0.0
uiuo.ark:/13960/t8df7882q,"MacCabe, William Bernard,",Bertha,1851,m,,0.0
uiuo.ark:/13960/t8df78b8h,"Smith, Caroline Mary.",Magdalen Havering: being chapters in the history of a family,1861,f,high_female,0.0
uiuo.ark:/13960/t8jd5g253,"Peart, Emily.",Maude Maynard,1876,f,mixed,0.0
uiuo.ark:/13960/t8jd57r2q,"Gaskell, Elizabeth Cleghorn,",Sylvia's lovers,1863,f,,0.0
uiuo.ark:/13960/t8jd57p96,"Fothergill, Caroline.",An enthusiast,1887,f,high_female,0.0
uiuo.ark:/13960/t8jd57p1b,"Forbes, Urquhart Atwell,",Otterstone Hall,1884,m,mixed,0.0
uiuo.ark:/13960/t8jd5746k,"Day, Julia.",The Gilberts & their guests,1858,f,high_female,0.0
uiuo.ark:/13960/t8jd5541b,"Charles, Elizabeth Rundle,",Against the stream,1873,f,high_female,0.0
uiuo.ark:/13960/t8jd54t4b,"Brooke, Laurence.",The queen of two worlds,1879,m,,0.0
uiuo.ark:/13960/t8jd54p70,"Beste, John Richard Digby,",Pope,1840,m,,0.0
uiuo.ark:/13960/t8jd54p32,"Besant, Walter,",Children of Gibeon,1886,m,,0.0
uiuo.ark:/13960/t8hd8jz8v,"Holstein, Anthony Frederick,",The miseries of an heiress,1810,m,,0.0
uiuo.ark:/13960/t8hd8hf4s,"Yates, Edmund Hodgson,",Dr. Wainwright's patient,1871,m,,0.0
uiuo.ark:/13960/t8hd8h940,"Wills, W. G.",Notice to quit,1861,m,mixed,0.0
uiuo.ark:/13960/t8hd8h57n,"MacDonald, George,",Wilfrid Cumbermede,1872,m,mixed,0.0
uiuo.ark:/13960/t8hd8gh7q,"Southey, Robert,",The doctor,1865,m,high_male,0.0
uiuo.ark:/13960/t8hd8gh67,"Lee, Holme,",Mrs. Denys of Cote,1880,f,,0.0
uiuo.ark:/13960/t8hd8g29v,"Roy, Gordon.",His cousin Adair,1891,f,,0.0
uiuo.ark:/13960/t8hd8f55v,"Peile, W. O.",West of Swardham,1885,u,,0.0
uiuo.ark:/13960/t8hd8dv7c,"Oliphant,",A son of the soil,1866,f,mixed,0.0
uiuo.ark:/13960/t8jd5fz3c,"Lee, Holme,",This work-a-day world,1875,f,,0.0
uiuo.ark:/13960/t8jd5g342,"Phillpotts, Mary Charlotte.",Janet's choice,1872,f,,0.0
uiuo.ark:/13960/t8df7d82c,"Sala, George Augustus,",The strange adventures of Captain Dangerous,1863,m,,0.0
uiuo.ark:/13960/t8jd5g779,"Maunsell, Thomasine.",Legends of the Jacobite wars,1873,f,mixed,0.0
uiuo.ark:/13960/t8mc9hb8b,"Heighway, Osborn W. Trenery.","Adeline, or, the mysteries, romance, and realities of Jewish life",1854,m,high_female,0.0
uiuo.ark:/13960/t8mc9h99c,"Kingsley, Charles,",Hereward the Wake,1866,m,,0.0
uiuo.ark:/13960/t8mc9d00r,"Harwood, John Berwick.",Plain John Orpington,1866,m,,0.0
uiuo.ark:/13960/t8mc9b524,"Grey, Herbert.",The three paths,1859,m,,0.0
uiuo.ark:/13960/t8kd2kn35,"Collins, Wilkie,",Basil,1852,m,,0.0
uiuo.ark:/13960/t8kd2k52d,"McDonnel, Emily Fanny Dorothy Osborn,",Peccavi,1888,f,high_female,0.0
uiuo.ark:/13960/t8kd2jc54,"Stevens, Grace Buchanan.","Llewellen, or, The vale of Phlinlimmon",1818,f,high_female,0.0
uiuo.ark:/13960/t8kd2jb1r,"Tabor, Eliza.",Hester's sacrifice,1866,f,high_female,0.0
uiuo.ark:/13960/t8kd2ht61,"Roche, Regina Maria,",The discarded son;,1807,f,,0.0
uiuo.ark:/13960/t8kd2gn7v,"Oliphant,",A son of the soil,1866,f,mixed,0.0
uiuo.ark:/13960/t8kd2g57k,"Murray, Hamilton.",Mildred Vernon;,1848,m,,0.0
uiuo.ark:/13960/t8kd2dp41,"Lucas, Reginald Jaffray,",Hoist with her own petard,1894,m,mixed,0.0
uiuo.ark:/13960/t8kd29d3q,"Ham, J. Panton",The bridal bar,1872,u,,0.0
uiuo.ark:/13960/t8kd28g17,"Fetherstonhaugh,",Kingsdene,1878,f,high_female,0.0
uiuo.ark:/13960/t8kd27q3x,"Cursham, Mary Anne.",Norman Abbey,1832,f,,0.0
uiuo.ark:/13960/t8kd2768m,"Broughton, Rhoda,"," Good-bye, Sweetheart!",1872,f,high_female,0.0
uiuo.ark:/13960/t8kd2582s,"Armstrong, F. C.",The wild gazelle,1868,m,,0.0
uiuo.ark:/13960/t8hd8d28j,"Moore, Frederick H.",Mistress Haselwode,1876,m,mixed,0.0
uiuo.ark:/13960/t8hd8c284,"Marsh-Caldwell, Anne,",Emilia Wyndham,1846,f,high_female,0.0
uiuo.ark:/13960/t8hd8b900,"Harding, Anne Raikes,",Decision,1819,f,,0.0
uiuo.ark:/13960/t8hd8998f,,James Hatfield and the Beauty of Buttermere,1843,u,mixed,0.0
uiuo.ark:/13960/t8gf13w9f,"Cecil, Langford.","Fenacre grange, a novel",1870,m,,0.0
uiuo.ark:/13960/t8gf13197,"Boldrewood, Rolf,",The miner's right,1890,m,mixed,0.0
uiuo.ark:/13960/t8gf1313b,"Chamier, Frederick,",The life of a sailor,1832,m,high_male,0.0
uiuo.ark:/13960/t8gf12d5t,"Alexander, G. G.",Doctor Victoria,1881,u,high_female,0.0
uiuo.ark:/13960/t8ff4f989,"Vincent, Francis,",Arundel,1840,m,mixed,0.0
uiuo.ark:/13960/t8ff4dc98,"Savile, Charles Stuart,","Karah Kaplan; or, The Koordish chief",1842,m,high_male,0.0
uiuo.ark:/13960/t8ff4d691,"Robertson, Anne J.",Society in a garrison town,1869,f,high_female,0.0
uiuo.ark:/13960/t8ff4cc9v,"Peart, Emily.",Maude Maynard,1876,f,mixed,0.0
uiuo.ark:/13960/t8ff4985r,"Manning, Anne,",The ladies of Bever Hollow,1858,f,high_female,0.0
uiuo.ark:/13960/t8ff4947x,"McCarthy, Justin H.",A London legend,1895,m,,0.0
uiuo.ark:/13960/t8ff4942h,"Maberly,",Display,1855,f,high_female,0.0
uiuo.ark:/13960/t8ff45v3r,"Hardinge, William M.",The willow-garth,1886,m,high_female,0.0
uiuo.ark:/13960/t8ff4515z,"Fullom, S. W.",Down in Devon,1869,m,,0.0
uiuo.ark:/13960/t8ff41q77,"Armstrong, F. Claudius.",The warhawk,1855,m,,0.0
uiuo.ark:/13960/t8ff41p7s,"Aston, Claude.",They are only cousins,1855,m,high_female,0.0
uiuo.ark:/13960/t8df7dm1c,"Wilkie, William Patrick.","Dina; or, Familiar faces",1865,m,,0.0
uiuo.ark:/13960/t8df7dh7x,"Watson, Aaron,",The Marquis of Carabas,1892,m,,0.0
uiuo.ark:/13960/t8gf15b2q,"Ouida,",Puck,1870,f,,0.0
uiuo.ark:/13960/t8gf15x2b,"Fothergill, Caroline.",Diana Wentworth,1889,f,high_female,0.0
uiuo.ark:/13960/t8gf19p2v,"Jeaffreson, John Cordy,",Miriam Copley,1859,m,,0.0
uiuo.ark:/13960/t8gf1h247,"Blackmore, R. D.",The maid of Sker,1872,m,,0.0
uiuo.ark:/13960/t8hd8767s,"Grant, James,",The romance of war,1846,m,high_male,0.0
uiuo.ark:/13960/t8hd86x9r,"Gibbon, Charles,",Of high degree,1883,m,mixed,0.0
uiuo.ark:/13960/t8hd86t6z,"Fullom, S. W.",Down in Devon,1869,m,,0.0
uiuo.ark:/13960/t8hd85f8k,"Coxe, Frances Clare Adeline.","The Camisard, or, The Protestants of Languedoc",1825,f,high_male,0.0
uiuo.ark:/13960/t8hd84770,"Chatterton, Georgiana,",Country coteries,1868,f,high_female,0.0
uiuo.ark:/13960/t8hd83z70,"Caine, Hall,",A son of Hagar,1887,m,,0.0
uiuo.ark:/13960/t8hd83x7j,"Boldrewood, Rolf,",A colonial reformer,1890,m,high_male,0.0
uiuo.ark:/13960/t8gf1fh3r,"Barrowcliffe, A. J.",Trust for trust,1859,m,,0.0
uiuo.ark:/13960/t8gf19w8f,"Helps, Arthur,",Ivan de Biron;,1874,m,,0.0
uiuo.ark:/13960/t8gf1fc8c,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,0.0
uiuo.ark:/13960/t8gf1fc0h,"Russell, William Clark,",An ocean tragedy,1890,m,mixed,0.0
uiuo.ark:/13960/t8gf1d41f,"Lee, Holme,",Basil Godfrey's caprice,1868,f,high_female,0.0
uiuo.ark:/13960/t8gf1cm95,"Oliphant,",Carità,1877,f,,0.0
uiuo.ark:/13960/t8gf1cd7h,"Murray, Hamilton.",Mildred Vernon;,1848,m,,0.0
uiuo.ark:/13960/t8gf1c96p,"Murray, David Christie,",A rising star,1894,m,mixed,0.0
uiuo.ark:/13960/t8gf1c956,"Norris, W. E.",A bachelor's blunder,1886,f,mixed,0.0
uiuo.ark:/13960/t85h85x8s,"Reade, Charles,",A terrible temptation,1871,m,,0.0
uiuo.ark:/13960/t85h8434p,"Parker, Emma,",The guerrilla chief,1815,f,high_female,0.0
uiuo.ark:/13960/t85h8377h,"Norris, W. E.",A bachelor's blunder,1886,f,mixed,0.0
uiuo.ark:/13960/t7vm4td6d,,The Observant pedestrian mounted; or A donkey tour to Brighton,1815,u,mixed,0.0
uiuo.ark:/13960/t7vm4rn19,"Tytler, Sarah,","Oliver Constable, miller and baker",1880,f,mixed,0.0
uiuo.ark:/13960/t7vm4rn0t,"Keary, C. F.",The two Lancrofts,1893,u,mixed,0.0
