htid,author,title,year,authgender,female_category,ni_gb_fraction
mdp.39015078783266,"McAuley, Roisin.",Finding home / | $c: Roisin McAuley.,2009,f,,0.0458015267175572
inu.32000002529529,"Young, Francis Brett,",The Christmas box / | $c: by Francis Brett Young ; with illustrations by Kay Ambrose.,1938,m,high_male,0.0454545454545454
uc1.32106018724085,"MacLaverty, Bernard","Matters of life & death, and other stories / | $c: Bernard MacLaverty",2006,m,,0.044776119402985
mdp.39015001159428,"Burrowes, John.",Frontline report : | a journalist's notebook / | $c: John Burrowes.,1984,m,high_male,0.0445682451253482
mdp.39015077113572,"Gébler, Carlo,",A good day for a dog / | $c: Carlo Gébler.,2008,m,mixed,0.0444444444444444
mdp.39015032951694,"Conlon, Evelyn.",Taking scarlet as a real colour / | $c: Evelyn Conlon.,1993,f,high_female,0.0444444444444444
mdp.39015055803269,"Astley, Neil.",The end of my tether / | $c: Neil Astley.,2002,m,,0.0443037974683544
mdp.39015058734933,"Lewis, Damien.",Operation certain death / | $c: Damien Lewis.,2004,m,high_male,0.0439560439560439
mdp.39015030743259,"Hegarty, Walter.",The price of chips.,1973,m,mixed,0.0432098765432098
mdp.39015053240621,,Best Irish short stories / | $c: edited by David Marcus.,1976,u,,0.0416666666666666
inu.39000001211882,"Thomas, Gordon,",Desire and denial : | sexuality and vocation - a church in crisis / | $c: Gordon Thomas.,1986,m,,0.0416666666666666
mdp.39015011812263,"Upward, Edward.",The night walk and other stories.,1987,m,mixed,0.0416666666666666
mdp.39015019571754,"McGrath, Eamonn,",Honour thy father / | $c: Eamonn McGrath.,1990,u,,0.0416666666666666
mdp.39015058267173,"Kjærstad, Jan,",The seducer / | $c: Jan Kjærstad ; translated from the Norweigian by Barbara J. Haveland.,2003,f,,0.0416666666666666
mdp.39015022238409,"Davie, Elspeth.",Death of a doctor & other stories / | $c: by Elspeth Davie.,1992,f,,0.0416666666666666
mdp.39015058342216,"Ketlinskai͡a, V.",Days of our life | $c: [tr. by A. Bostock],1956,u,mixed,0.0416666666666666
uc1.32106012408750,,The hurt world : | short stories of the troubles / | $c: edited by Michael Parker,1995,u,mixed,0.0410958904109589
mdp.39015018623226,"MacLaverty, Bernard.",Cal / | $c: Bernard MacLaverty.,1983,m,high_female,0.0408163265306122
mdp.39015034890296,,The hurt world : | short stories of the troubles / | $c: edited by Michael Parker,1995,u,mixed,0.0407239819004525
inu.39000002305253,"Norman, Barry,",A series of defeats / | $c: Barry Norman.,1977,m,high_male,0.04
mdp.39015034300999,"Gébler, Carlo,",The cure / | $c: Carlo Gébler.,1994,m,mixed,0.0399999999999999
mdp.39015077113721,"Hollywood, Peter,",Luggage / | $c: Peter Hollywood.,2008,m,,0.0399999999999999
uc1.32106007166918,"Allbeury, Ted.",Pay any price / | $c: Ted Allbeury.,1983,m,high_male,0.0393258426966292
uc1.32106014919937,"Foley, Michael,",Getting used to not being remarkable / | $c: Michael Foley,1998,m,,0.0388349514563106
wu.89066705278,"Larsson, Björn,",The Celtic ring / | $c: Björn Larsson ; translated by George Simpson.,1997,u,,0.0384615384615384
mdp.39015012405711,"Sillitoe, Alan.",Out of the whirlpool / | $c: Alan Sillitoe ; with illustrations by Peter Farmer.,1987,m,,0.0384615384615384
mdp.39015003203067,"(John Henry Charles) Colson, John H. C.","Progressive exercise therapy in rehabilitation and physical education, | $c: by John H. C. Colson; with a foreword by J. M. P. Clark.",1969,m,high_male,0.0384615384615384
uc1.32106006790882,"Campbell, John.",Saturday night in York Street / | $c: John Campbell ; illustrated by Hector McDonnell.,1982,m,,0.037037037037037
mdp.39015084102907,"Dobbs, Michael,",The edge of madness / | $c: Michael Dobbs.,2009,m,high_male,0.0359712230215827
mdp.39015049548434,"Paling, Chris.",Newton's swing.,2000,m,mixed,0.0357142857142857
mdp.39015032966098,"Parks, Tim.",Shear / | $c: Tim Parks.,1993,m,,0.0357142857142857
mdp.39015014517083,,Stepping out : | short stories on friendships between women / | $c: edited by Ann Oosthuizen.,1986,u,high_female,0.0348837209302325
mdp.39015064952305,"Alvarez, Maria,","Mirror, mirror / | $c: Maria Alvarez.",2007,f,high_female,0.0344827586206896
mdp.39015073951454,"Parsons, Julie.",I saw you / | $c: Julie Parsons.,2007,f,high_female,0.0344827586206896
inu.32000009269517,"Mortimer, John,",Charade / | $c: John Mortimer.,1947,m,,0.0344827586206896
mdp.39015043790941,"Leitch, Maurice,",The smoke king / | $c: Maurice Leitch.,1998,m,high_male,0.0344827586206896
mdp.39015063923042,"Lipsett, H. Caldwell.",Where the Atlantic meets the land,1896,m,,0.0344827586206896
mdp.39015053240464,,Best Irish short stories / | $c: edited by David Marcus.,1976,u,,0.0333333333333333
mdp.39015019639650,"Plunkett, James,",The circus animals.,1990,m,,0.0333333333333333
mdp.39015024652706,,Original prints II : | new writing from Scottish women / | $c: introduction by Elspeth Davie.,1987,u,high_female,0.0333333333333333
njp.32101067633485,"Gwynn, Stephen Lucius,",John Maxwell's marriage,1903,m,,0.0327868852459016
mdp.39015046878099,"Conway, Simon,",Damaged / | $c: Simon Conway.,1998,m,high_male,0.0327272727272727
mdp.39015012834100,"Mortimer, John,",Charade / | $c: John Mortimer.,1986,m,,0.032258064516129
mdp.39015029986091,"Costello, Mary,",Titanic town : | memoirs of a Belfast girlhood / | $c: Mary Costello.,1993,f,,0.0317460317460317
uc1.b4948557,"Fitzgerald, Penelope.",At Freddie's / | $c: Penelope Fitzgerald.,1982,f,mixed,0.0317460317460317
mdp.39015011542118,"Keery, Sam,",The streets of Laredo.,1986,m,high_male,0.031413612565445
mdp.39015017425524,"Winder, Robert.",The marriage of time & convenience / | $c: Robert Winder.,1994,m,,0.03125
mdp.39015068314387,"Philip, Prince, consort of Elizabeth II, Queen of Great Britain,","The environmental revolution : | speeches on conservation, 1962-1977 / | $c: H.R.H. Prince Philip.",1978,m,high_male,0.03125
mdp.39015015510384,"Leonard, Hugh.",Out after dark / | $c: Hugh Leonard.,1989,m,,0.0312499999999999
mdp.39015024076401,"Carter, Peter.",Under Goliath / | $c: Peter Carter ; ill. by Ian Ribbons.,1977,m,high_male,0.0310077519379845
mdp.39015050563579,"Anderson, Vernon F.",Sudden glory / | $c: Vernon F. Anderson.,1987,m,,0.0303030303030303
uc1.32106019870283,"Slovo, Gillian,",Black orchids / | $c: Gillian Slovo,2008,f,high_female,0.0303030303030303
uc1.b3472546,"Target, G. W. (George William)",The patriots : | a novel / | $c: G. W. Target.,1974,m,,0.029673590504451
uc1.b4973405,"Martin, Kenneth,",Aubade / | $c: Kenneth Martin.,1989,m,,0.0294117647058823
uc1.32106009246999,"Thomas, Leslie,",Orders for New York / | $c: Leslie Thomas.,1989,m,,0.0294117647058823
mdp.39015001741860,"Cooper, William,",Scenes from later life : | a novel / | $c: by William Cooper.,1983,m,,0.0294117647058823
mdp.39015049989331,"Higgins, Jack,",Edge of danger / | $c: Jack Higgins.,2001,m,high_male,0.028735632183908
mdp.39015064753596,"Jepson, Nigel.",Cut and run / | $c: Nigel Jepson.,2006,m,,0.0285714285714285
mdp.39015010689167,"Moran, Jack William Grace.",Spearhead in Malaya. | $c: With a foreword by Gerald Templer.,1959,m,,0.0285714285714285
uc1.b4948463,"Acton, Harold,","The soul's gymnasium, and other stories / | $c: by Harold Acton.",1982,m,mixed,0.0285714285714285
mdp.39015034207178,"Leitch, Maurice,",Gilchrist : | a novel / | $c: Maurice Leitch.,1994,m,high_male,0.0285714285714285
mdp.39015080818811,,The ground beneath her feet & other stories & poems / | $c: Jan Fortune-Wood (editor).,2008,u,high_female,0.0277777777777777
mdp.39015013254258,"MacLaverty, Bernard.",The great Profundo and other stories / | $c: Bernard Mac Laverty.,1987,m,,0.0277777777777777
mdp.39015062066769,"Amis, Kingsley.",Stanley and the women / | $c: Kingsley Amis.,1984,m,mixed,0.0277777777777777
uc1.32106009291227,,Modern Irish short stories / | $c: edited by Ben Forkner ; pref. by Anthony Burgess.,1980,u,,0.0277777777777777
mdp.39015080837720,"Tóibín, Colm,",Brooklyn / | $c: Colm Tóibín.,2009,m,high_female,0.0277777777777777
mdp.39015061467661,"Davidsen, Leif,",Lime's photograph / | $c: Leif Davidsen ; translated from the Danish by Gaye Kynoch.,2002,m,,0.0277777777777777
mdp.39015032488358,"Kearney, Colbert.",The consequence / | $c: Colbert Kearney.,1993,m,,0.0273972602739726
mdp.39015077135997,"Campbell, Alastair,",All in the mind / | $c: Alastair Campbell.,2008,u,mixed,0.0272727272727272
mdp.39015039920825,"Botha, W. P. B.,",A duty of memory / | $c: W.P.B. Botha.,1997,u,high_female,0.027027027027027
mdp.39015032821699,"Duffy, Maureen.",Occam's razor / | $c: Maureen Duffy.,1993,f,high_male,0.027027027027027
mdp.39015030201027,"Urquhart, Fred,",The collected stories of Fred Urquhart.,1967,m,high_female,0.027027027027027
mdp.39015000613615,"Middleton, Stanley,",Blind understanding / | $c: Stanley Middleton.,1982,m,,0.0263157894736842
uc1.32106011608509,"McCabe, Pat,",The dead school / | $c: Patrick McCabe,1995,u,mixed,0.0263157894736842
inu.39000005880856,"MacManus, Diarmuid A.",The middle kingdom : | the faerie world of Ireland / | $c: D. A. MacManus.,1973,u,mixed,0.0263157894736842
mdp.39015050246068,"Mulrooney, Gretta.",Marble heart / | $c: Gretta Mulrooney.,2000,f,,0.0258064516129032
mdp.39015051123217,"Meredith, Christopher,",Shifts / | $c: Christopher Meredith.,1988,m,,0.0256410256410256
uc1.$b244264,"Baron, Dunsany, Edward John Moreton Drax Plunkett,",His fellow men : | a novel / | $c: Lord Dunsany.,1952,m,,0.0253164556962025
mdp.39015056187845,"Rendell, Ruth,",The babes in the wood / | $c: Ruth Rendell.,2002,f,,0.0253164556962025
inu.30000110628397,,Ox-tales fire : | original stories from remarkable writers.,2009,u,mixed,0.0249999999999999
mdp.39015049970901,"Fry, Stephen,",The stars' tennis balls / | $c: Stephen Fry,2000,m,,0.0249999999999999
mdp.39015056247078,"Deane, John F.,",Undertow / | $c: John F. Deane.,2002,m,,0.024390243902439
mdp.39015062626455,"Shah, Ryhaan.",A silent life / : | $c: Ryhaan Shan.,2005,u,,0.0238095238095238
uc1.b3472726,"Mackay, Shena.",A bowl of cherries : | a novel / | $c: by Shena Mackay.,1984,f,,0.0238095238095238
mdp.39015048891082,"McBratney, Sam.",Lagan valley details : | short stories / | $c: by Sam McBratney.,1980,m,mixed,0.0235294117647058
uc2.ark:/13960/t8nc5wj5x,"Lever, Charles James,",[Charles Lever's novels,1872,m,mixed,0.0232558139534883
inu.30000087205989,"Mullen, Jane.",Sea light / | $c: Jane Mullen.,2006,f,,0.0232558139534883
mdp.39015011501692,"Banks, Lynne Reid,",Casualties : | a novel / | $c: by Lynne Reid Banks.,1986,f,,0.0232558139534883
inu.39000002132194,"Lurie, Morris.",Running nicely / | $c: by Morris Lurie.,1979,m,high_male,0.0232558139534883
inu.30000111246181,"Thomas, Aneurin Gareth.",Luggage from elsewhere / | $c: Aneurin Gareth Thomas.,2007,m,,0.0231213872832369
uc1.32106013781627,"Dobbs, Michael,",The buddha of Brewer Street / | $c: Michael Dobbs,1998,m,high_male,0.0227272727272727
mdp.39015082681100,"Cain, Tom.",The survivor / | $c: Tom Cain.,2008,m,,0.0227272727272727
inu.30000003963828,"Priest, Christopher,",The glamour / | $c: Christopher Priest.,1985,m,,0.0227272727272727
mdp.39015070739548,"Smith, Joan,",What will survive / | $c: Joan Smith.,2007,f,high_female,0.0225563909774436
mdp.39015008739560,"Ó hEithir, Breandán,",Lead us into temptation / | $c: Breandan Ó hEithir ; translated by the author from the Irish.,1978,u,high_male,0.0224719101123595
mdp.39015048737228,"Paling, Chris.",The silent sentry / | $c: Chris Paling.,1999,m,,0.0222222222222222
mdp.39015049648168,"O'Farrell, John.",The best a man can get / | $c: John O'Farrell.,2000,m,,0.0222222222222222
mdp.39015064875019,"Hardie, Kerry,",The bird woman / | $c: Kerry Hardie.,2006,u,,0.0219780219780219
uc1.b3435517,"Evans, Stuart,",Centres of ritual / | $c: Stuart Evans.,1978,m,,0.0218749999999999
mdp.39015011554998,"O'Faoláin, Seán,",The collected stories of Sean O'Faolain.,1980,m,mixed,0.0216216216216216
inu.30000087058669,"Booth, Stephen,",One last breath / | $c: Stephen Booth.,2004,m,,0.021505376344086
mdp.39015043790826,"Crewe, Candida,",The last to know / | $c: Candida Crewe.,1998,f,,0.0212765957446808
mdp.39015056943023,"Colquhoun, Keith.",Killing Stalin / | $c: Keith Colquhoun.,2002,m,,0.0212765957446808
uc1.32106011680334,"Clewlow, Carol",One for the money / | $c: Carol Clewlow,1994,f,,0.0212765957446808
wu.89041256702,"Tute, Warren.",Escape Route Green.,1971,m,high_male,0.0212765957446808
mdp.39015033270508,"Muggeridge, Malcolm,",Affairs of the heart.,1949,m,,0.0208333333333333
inu.30000035034689,"Marcus, David.",Modern Irish stories.,1972,m,high_female,0.0208333333333333
mdp.39015046878438,"Kelman, James,",The good times / | $c: James Kelman.,1998,m,,0.0208333333333333
mdp.39015049985503,"Mosley, Nicholas,",The Hesperides tree / | $c: Nicholas Mosley.,2001,m,,0.0208333333333333
mdp.39015030717311,"Tomelty, Joseph.",Red is the port light.,1948,m,,0.0204081632653061
mdp.39015019999625,"Bates, H. E. (Herbert Ernest),","Now sleeps the crimson petal, | and other stories.",1961,m,,0.0204081632653061
mdp.39015053747278,"Bolger, Dermot,",The Valparaiso voyage / | $c: Dermot Bolger.,2001,m,,0.0199999999999999
mdp.39015019671166,"Bell, Sam Hanna.",The hollow ball / | $c: Sam Hanna Bell.,1990,m,high_male,0.0196078431372549
mdp.39015061325174,"McCabe, Brian,",Selected stories / | $c: Brian McCabe.,2003,m,,0.0196078431372549
mdp.39015018982614,"Lynn, Jonathan.",The Complete Yes Prime Minister : | the diaries of the Right Hon. James Hacker / | $c: edited by Jonathan Lynn & Antony Jay.,1989,m,high_male,0.0192307692307692
mdp.39015022048485,"Leland, Mary.",Approaching priests.,1991,f,high_female,0.0192307692307692
uc1.$b249257,"Birmingham, George A.",Two scamps / | $c: by George A. Birmingham.,1950,m,high_female,0.019108280254777
mdp.39015000547029,"Plunkett, James,",Farewell companions / | $c: James Plunkett.,1977,m,high_male,0.0188679245283018
mdp.39015001164691,"Verel, Shirley.",The dark side of Venus / | $c: Shirley Verel.,1960,f,,0.0188679245283018
mdp.39015017711089,,Forgiveness: | Ireland's best contemporary short stories / | $c: edited by Augustine Martin.,1989,u,,0.0188679245283018
mdp.39015064983599,"Hoffman, Paul.",The golden age of censorship : | a novel / | $c: Paul Hoffman.,2007,m,mixed,0.0186915887850467
mdp.39015064755526,,Bengal partition stories : | an unclosed chapter / | $c: edited by Bashabi Fraser ; translated by Sheila Sen Gupta ... [et al.],2006,u,,0.0185185185185185
mdp.39015055184272,"Bardwell, Leland.",Mother to a stranger / | $c: Leland Bardwell.,2002,m,,0.0185185185185185
mdp.39015041293476,"Dorman, Sean.",The selected works of Sean Dorman.,1993,m,mixed,0.0185185185185185
uc1.32106019033940,,Bengal partition stories : | an unclosed chapter / | $c: edited by Bashabi Fraser ; translated by Sheila Sen Gupta ... [et al.],2006,u,,0.0185185185185185
mdp.39015025198444,"Hill, Niki.",Death Grows on You / | $c: Niki Hill.,1992,f,high_female,0.0178571428571428
uc1.32106013451924,"Gavron, Jeremy,",Moon / | $c: Jeremy Gavron,1996,m,high_male,0.0178571428571428
mdp.39015037303073,,The Minerva book of short stories 6 / | $c: edited by Giles Gordon and David Hughes.,1994,u,mixed,0.0176470588235294
mdp.39015010434234,"Schimanski, Stefan.","A new romantic anthology, | $c: ed. by Stefan Schimanski and Henry Treece.",1949,u,mixed,0.0175438596491228
mdp.39015008780564,,Everyday matters : | new short stories by women.,1982,u,high_female,0.0175438596491228
mdp.39015066843254,"Keneally, Thomas.",The widow and her hero / | $c: Thomas Keneally.,2007,m,,0.0172413793103448
mdp.39015032449772,,Dancing on diamonds : | poetry and short stories by young writers.,1993,u,high_female,0.0169491525423728
mdp.39015016951207,"Dickinson, Peter,",Skeleton-in-waiting / | $c: Peter Dickinson.,1989,m,high_female,0.0169491525423728
mdp.39015042795206,,Shorts : | new writing from Granta Books / | $c: Louis de Bernières ... [et al.].,1998,u,mixed,0.0166666666666666
mdp.39015066901136,"Walters, Minette.",The chameleon's shadow / | $c: Minette Walters.,2007,f,,0.0166666666666666
pst.000017893404,,Charmed lives : | classic English short stories / | $c: selected by T.S. Dorsch.,1988,u,,0.0166666666666666
mdp.39015009110720,"Healy, Dermot,","Banished misfortune, and other stories / | $c: by Dermot Healy.",1982,m,,0.0166666666666666
mdp.39015010409038,"Padfield, Peter.",The Titanic and the Californian.,1965,m,high_male,0.0163934426229508
mdp.39015050740219,"Scannell, Vernon.",Feminine endings / | $c: Vernon Scannell.,2000,m,mixed,0.0163934426229508
mdp.39015070756179,,The research club : | an anthology of new writing / | $c: introduction by Laura Marney.,2007,u,high_female,0.0163934426229508
uc1.$b745621,"Gordon, Ernest.",Miracle on the River Kwai.,1963,m,high_male,0.0163934426229508
mdp.39015014609013,"Swift, Graham,",Out of this world / | $c: Graham Swift.,1988,m,mixed,0.016260162601626
mdp.39015066900633,"Harris, Robert,",The ghost / | $c: Robert Harris.,2007,m,mixed,0.0161290322580645
uc2.ark:/13960/t9959jp2r,"Lever, Charles James,",The knight of Gwynne,1872,m,mixed,0.0158730158730158
uc1.32106013345324,"Hensher, Philip",Kitchen venom / | $c: Philip Hensher,1996,m,mixed,0.0158730158730158
uc1.b4974527,"Legge, Gordon,",The shoe / | $c: Gordon Legge.,1989,m,high_male,0.0158730158730158
