htid,author,title,year,authgender,female_category,gb_england_suba1_intensity
uc1.b3326033,"Sladen, Douglas Brooke Wheelton,",Playing-- the game,1905,m,,30.66674617304564
mdp.39015063626538,"Ferrier, Susan,",Novels,1894,f,high_female,30.660881360971487
mdp.39015049870382,"Knight, Clyde.",We shall not die / | $c: Clyde Knight.,1982,m,high_male,30.65929271370117
inu.39000005543884,"Brabourne, Edward Hugessen Knatchbull-Hugessen,",Queer folk,1874,m,mixed,30.65917220235054
wu.89098868110,"Baylor, Frances Courtenay,",Claudia,1894,m,mixed,30.655451880520367
uc1.32106014655432,"Round, Jeffrey",A cage of bones / | $c: Jeffrey Round,1997,m,,30.650583349812138
uiuo.ark:/13960/t9n30cc0p,"Lyttleton, M.","Peregrine, or, The fool of fortune",1803,u,high_male,30.65025699061631
uiuo.ark:/13960/t07w6wp8s,,"Life's masquerade, a novel",1867,u,high_male,30.648433281279637
mdp.39015037755173,"Cooper, John.",A breeze that lingers : | a collection of stories / | $c: by John Cooper.,1992,m,high_female,30.648209633753897
mdp.39015049639969,"Makepeace, Maggie.",Out of step / | $c: Maggie Makepeace.,1999,f,high_female,30.638242977392203
uc2.ark:/13960/t2x350r2g,"Pickthall, Marmaduke William,",Enid,1904,m,high_female,30.634279011035808
uiuo.ark:/13960/t6057vg1x,"Beale, Anne.",Country landlords,1860,f,high_female,30.62639027692705
mdp.39015047069128,"Collins, Jude.","Only human, and other stories / | $c: Jude Collins.",1998,u,mixed,30.624940185663704
uc1.$b242925,"Hanley, James,",Collected stories.,1953,m,,30.621937806219375
uiuo.ark:/13960/t8jd5541b,"Charles, Elizabeth Rundle,",Against the stream,1873,f,high_female,30.61242864603028
uiuo.ark:/13960/t5j96p68b,"Maberly,",The love-match,1841,f,high_female,30.609707103365153
uiuo.ark:/13960/t56d65s95,"Crommelin, May.",Dust before the wind,1894,f,high_female,30.602636534839924
mdp.39015074299366,"Smith, Ali,",Girl meets boy / | $c: Ali Smith.,2007,m,,30.59635068980863
njp.32101063877300,Moira.,Philip Graham,1884,u,,30.59088713572694
mdp.39015063964608,"Willcocks, M. P.",The power behind,1913,f,high_female,30.58769551125568
mdp.39015024907951,"Sillitoe, Alan.",Leonard's war : | a love story / | $c: Alan Sillitoe.,1991,m,,30.587546878740326
uiuo.ark:/13960/t2v41692b,"Eliot, George,",Middlemarch;,1899,f,mixed,30.58356753182345
nyp.33433074855267,"Fullom, S. W.","The man of the world, or, Vanities of the day",1857,m,high_female,30.57016476694929
uiuo.ark:/13960/t9s18mq71,"Sutherland, Alexander,",Macrimmon,1823,m,high_male,30.568770180164684
mdp.39015018058803,"Robertson, James,",Any fool can be a villager.,1984,m,,30.567018187375815
nyp.33433075760821,,Extracts from the diary of a living physician,1851,u,,30.565683470515022
uiuo.ark:/13960/t8pc3kb71,"Oliphant,",A rose in June,1874,f,,30.561628699720245
mdp.39015053654904,"Edgeworth, Maria,",Tales of fashionable life,1809,f,,30.56072282753123
uiuo.ark:/13960/t4zg7095h,"Dickens, Helen.",The mill wheel,1874,f,high_female,30.559233981868186
mdp.39015007057113,"White, Patrick,",The Twyborn affair : | a novel / | $c: by Patrick White.,1979,m,high_female,30.557498046083055
mdp.39015064952313,"Afolabi, Segun,",Goodbye Lucille / | $c: Segun Afolabi.,2007,u,high_female,30.55505160939186
uiuo.ark:/13960/t4cn7dt3p,"Belfast, Frederick Richard Chichester,",The farce of life,1852,m,,30.55399212028625
mdp.39015063870201,"Gillies, R. P.",Tales of a voyager to the Arctic Ocean,1826,m,,30.548156113296997
uc1.b3324616,One of themselves.,"A life-long story, or, Am I my sister's keeper?",1859,u,high_female,30.540179423554108
uc1.b3435470,"Marlowe, Derek.",The memoirs of a Venus lackey.,1968,m,high_female,30.53925902113638
mdp.39015055858941,"Stock, Francine",Man-made fibre / | $c: Francine Stock,2002,f,,30.53718898536871
uiuo.ark:/13960/t7pn9mm7s,"Manning, Anne,",The ladies of Bever Hollow,1858,f,high_female,30.536349161340983
mdp.39015029102087,"Seabrook, Mike,",Conduct unbecoming / | $c: Mike Seabrook.,1991,m,high_male,30.52736014653133
hvd.hxjg13,"Furbo, Francesco,","Andrew of Padua, the improvisatore",1820,m,,30.516695844910934
mdp.39015014944246,"Ackroyd, Peter,",First light / | $c: by Peter Ackroyd.,1989,m,,30.51662411706475
uc1.32106019365573,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,30.50663900731396
mdp.39015056303194,"Edric, Robert,",Cradle song / | $c: Robert Edric.,2003,m,,30.505052746009383
