htid,author,title,year,authgender,female_category,urban_intensity
uiuo.ark:/13960/t3zs3cv3k,"Sturgis, Julian,",Dick's wandering,1882,m,mixed,81.41617623112889
uiuo.ark:/13960/t19k4zz2b,,"De Montfort, or, The old English nobleman",1842,u,,81.41304732575838
uiuo.ark:/13960/t4xh01128,"Hargreaves, C. Y.",Poste restante,1894,u,mixed,81.40705670644186
uc2.ark:/13960/t9z030x9j,"Frankau, Gilbert,","Peter Jackson, cigar merchant",1920,m,,81.400511660359
uiuo.ark:/13960/t19k4wg1r,"Merrywhistle, Marmaduke.",Isn't it odd?,1822,m,,81.37873664032406
inu.30000011354887,"Fowles, John,",The French lieutenant's woman.,1969,m,,81.33056809401813
uc1.b3327284,"Whyte-Melville, G. J.",Black but comely,1879,m,,81.3284914510516
uc1.32106001631875,"Mphahlele, Es'kia,",African writing today.,1967,u,,81.32586847466912
uc2.ark:/13960/t3319tx0b,"Torr, John Berry.",The uncle's legacy,1849,m,mixed,81.32093483718134
uc2.ark:/13960/t9n29qj04,"Reid, Mayne,",The white chief,1855,m,high_male,81.31970260223046
mdp.39015017017891,"Freeman, Gillian.",Termination rock : | a novel / | $c: by Gillian Freeman.,1989,f,,81.28834355828218
uiuo.ark:/13960/t7tm7vq94,"Stretton, Hesba,",Paul's courtship,1867,m,,81.2797233030696
uc1.31158004587340,"Andom, R.,",The identity exchange;,1902,u,mixed,81.26340111810609
nyp.33433074856760,,Getting on,1859,u,,81.25370470272466
nyp.33433074936844,"Barter-Snow, Laura A.","Honor's quest; or, How they came home",1906,f,,81.24971255997914
inu.30000092776560,,Concertina / | $c: [introductions by Patricia Duncker ... [et al.].,2004,u,,81.23999581734675
mdp.39015060619270,"Vallvey, Angela,",Happy creatures / | $c: Ángela Vallvey ; translated by Margaret Jull Costa.,2004,f,,81.23973583982666
uc1.b4225610,"Scammell, Michael,",Russia's other writers; | $c: selected & introduced by Michael Scammell; foreword by Max Hayward.,1970,m,,81.23256884460208
mdp.39015005299261,,Luuanda / | $c: ,1980,u,,81.2286302586093
uc1.$b243324,"Holland, Edith,","One crown with a sun, | $c: by Ruth Holland [pseud.]",1952,f,mixed,81.22816992933149
mdp.39015008818588,"Sykes, John,",A Japanese family / | $c: by John Sykes.,1957,m,,81.22727020989865
mdp.39015063543030,"Henrey, Thomas Selby.","Attic salt, the saving grace of humour",1914,m,,81.2159183199907
mdp.39015029276758,,"Fabulous tricks : | stories by gay men / | $c: edited by David Rees, Peter Robins, and Dave Royle.",1992,u,,81.21457221467166
uiuo.ark:/13960/t3708mj5v,"Barrett, Eaton Stannard,",The metropolis,1819,m,,81.17542008279892
uc1.$b557739,"Bourdens, Henri.","Cruise to a cruel shore; | $c: author's version in English, edited by Leslie Smith.",1969,u,high_male,81.16284217516419
uc2.ark:/13960/t89g5h85q,"Henty, G. A.",St. George for England;,1884,m,high_male,81.14836757846969
uiuo.ark:/13960/t4kk9k18s,"Bell, Emily Ernst.",A first appearance,1872,f,high_female,81.145584725537
uiuo.ark:/13960/t20c5m662,"Trollope, Frances Eleanor,",Among aliens,1890,f,,81.13956004327443
umn.31951002056112q,"Knight, Brigid.",The cloister and the citadel / | $c: Brigid Knight.,1958,f,mixed,81.1199184165392
mdp.39015078794974,"Salter, James.",Solo faces / | $c: James Salter ; with an introduction by Andy Cave.,2008,m,,81.11569659883307
mdp.39015073486618,"Henty, G. A.",The dash for Khartoum,1892,m,high_male,81.10668080834435
mdp.39015059408214,"James, G. P. R.",Pequinillo,1852,m,,81.10579992752248
uiuo.ark:/13960/t9g45br3b,"Wilks, John,","The Tory baronet, or Tories, Whigs, and Radicals",1841,m,mixed,81.10409710863897
coo.31924027724016,"Serao, Matilde,",The desire of life,1911,f,,81.10370809641748
uc2.ark:/13960/t59c7659g,"Dickinson, Humphrey Neville,",Thomson's friend,1917,m,high_male,81.07669855683477
mdp.39015073668447,"Moore, Charlotte,",Grandmother's footsteps / | $c: Charlotte Moore.,2008,f,mixed,81.07606497807038
uc1.b3321856,"Disraeli, Benjamin,",Tancred,1847,m,mixed,81.07362174843027
uc2.ark:/13960/t76t0qv36,"Turgenev, Ivan Sergeevich,",Liza,1914,m,high_female,81.07200352084129
mdp.39015051349762,"Bogarde, Dirk,",Voices in the garden / | $c: Dirk Bogarde.,1981,u,,81.06897262855476
uiuo.ark:/13960/t10p1dn4r,"Daniel, Mackenzie,",Elsie's married life,1865,f,,81.0565965765508
njp.32101065859587,"Maberly,","Melanthe; or, The days of the Medici",1843,f,mixed,81.05566903349221
njp.32101013041064,"Balzac, Honoré de,",Comedy of human life,1887,f,mixed,81.04485521024904
mdp.39015009013494,"Drieu La Rochelle, Pierre,","The comedy of Charleroi, and other stories. | $c: Translated and with an introduction by Douglas Gallagher.",1973,m,high_male,81.02998109300441
mdp.39015008482690,"Hergesheimer, Joseph,","The three black Pennies, | $c: by Joseph Hergesheimer.",1930,m,mixed,81.01851851851849
nc01.ark:/13960/t3223rs8b,"Braddon, M. E.",Aurora Floyd,1863,f,mixed,81.00336163950804
uiuo.ark:/13960/t5bc4gr07,"Liddell, Charles Francis.","Hidden links, or, The schoolfellows",1857,m,mixed,80.99849048267737
uc2.ark:/13960/t9d50n665,"Taylor, S. Howard.",Kate Byrne,1874,m,high_female,80.98623234050211
mdp.39015059395049,"Crawford, F. Marion",To leeward,1884,m,,80.97835068583706
mdp.39015063238193,,Sunday night and Monday morning : | [new fiction from Nottingham] / | $c: edited by James Urquhart.,2005,u,,80.96811606888855
mdp.39015078784959,"Evans, Lissa.",Their finest hour and a half / | $c: Lissa Evans.,2009,f,,80.96413686920974
mdp.39015034409881,"Zameenzad, Adam.","Gorgeous white female : | the comic adventures of a demented nonager, or, A chronicle of wisdom and enlightenment, or, The story of a love / | $c: Adam Zameenzad.",1995,m,,80.95076081983176
mdp.39015034649288,"Borowski, Tadeusz,","This way for the gas, ladies and gentlemen: and other stories; | $c: selected and translated by Barbara Vedder.",1967,m,,80.94484712461828
uc1.$b783847,"Hamilton, Patrick,",Mr. Stimpson and Mr. Gorse.,1953,m,,80.94402958424925
uc1.b3339464,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,,80.94289478772725
uiuo.ark:/13960/t98631g4k,"Loudon,",Stories of a bride;,1829,f,,80.94074526572999
uc2.ark:/13960/t16m34t6k,"Bevan, Tom,",The thane of the dean,1899,m,high_male,80.90763657760698
mdp.39015026729890,"Power, Rhoda D",Under Cossack & Bolshevik,1919,f,high_female,80.90008839083731
uiuo.ark:/13960/t5v702v0c,"Peregrine, Peter.",Matilda Montfort,1809,m,mixed,80.89356273918047
uc2.ark:/13960/t4mk67860,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,mixed,80.88629568030828
mdp.39015043787566,"Langley, Lee,",False pretences / | $c: Lee Langley.,1998,m,high_female,80.88515833651277
njp.32101057193185,"Le Sage, Alain René,","The life and adventures of Guzman D'Alfarache, or The Spanish rogue",1823,m,,80.86638019883614
njp.32101025796077,"Smollett, T.",[Smollett's novels],1894,m,high_male,80.84466506055269
mdp.39015030853793,"Barrett, Susan,",Private view.,1972,f,mixed,80.82292432035268
mdp.39015029208397,"Hill, Susan,",The mist in the mirror / | $c: Susan Hill.,1992,f,,80.81698626111233
uc2.ark:/13960/t3610xt8m,"Mackellar, Dorothea.",The little blue devil,1912,f,,80.81341172784022
uc1.$b722659,"Buick, Harry Arthur,",The Gringoes of Tepehuanes.,1967,m,high_male,80.8080808080808
mdp.39015018048069,"Atherton, Gertrude Franklin Horn,",Patience Sparhawk and her times;,1897,f,,80.80529681852633
mdp.39015029507251,"Ginzburg, Natalia.",Dear Michael : | a novel / | $c: Natalia Ginzburg ; translated by Sheila Cudahy.,1975,f,,80.79502302658156
mdp.39015050023525,,Borderline : | the Mainstream book of Scottish gay writing / | $c: edited by Joseph Mills ; introduction by Toni Davidson.,2001,u,high_male,80.79136123591078
mdp.39015051351131,"Burns, Alan,",The day Daddy died : | a novel / | $c: by Alan Burns ; photo-collages by Ian Breakwell.,1981,m,,80.78715691351633
uc2.ark:/13960/t8w952x8v,"Beresford, J. D.",God's counterpoint,1918,m,mixed,80.78245485195447
mdp.39015003479089,"Richardson, Maurice Lane,","Novels of mystery from the Victorian age. | $c: Four complete unabridged novels by J. Sheridan Le Fanu, anon., Wilkie Collins [and] R.L. Stevenson. Chosen, with an introd. by Maurice Richardson.",1945,m,,80.76321235677149
mdp.39015060459206,,'Blackwood' tales from the outposts ...,1932,u,high_male,80.75785347440248
uc2.ark:/13960/t03x85w56,"Gretton, R. H.",Ingram,1911,u,,80.74221903992935
uc1.b3327583,"[Pisani, Marianna",Vandeleur;,1836,f,high_female,80.73907305333437
uiuo.ark:/13960/t2q536v3v,"Richards, Alfred Bate,",So very human,1873,m,mixed,80.70468294096142
uiuo.ark:/13960/t0ks6zj9c,"Bothmer, Marie,",Aut Caesar aut nihil,1883,f,high_female,80.69539611529532
mdp.39015000534068,"Sartre, Jean-Paul,",Iron in the soul. | $c: Translated from the French by Gerard Hopkins.,1950,u,high_male,80.66619358673435
uc1.b4078906,"Święcicki, Marek.","With the Red devils at Arnhem, | $c: by Marek Świe̜ciciki.",1945,u,high_male,80.65961641871303
mdp.39015073951314,"Baxter, Stephen.",Weaver / | $c: Stephen Baxter.,2008,m,,80.64803911073048
uc1.b3578893,"Collins, Wilkie,",The law and the lady;,1875,m,mixed,80.64397882728991
mdp.39015066063184,"Shelley, Mary Wollstonecraft,",Tales and stories,1891,f,,80.64245153052651
uc1.b3339473,"James, G. P. R.","The works of G.P.R. James, esq",1844,m,,80.64210086903722
mdp.39015034424435,"St. Aubyn, Edward,",Some hope / | $c: Edward St. Aubyn.,1994,m,mixed,80.63865817272801
inu.39000000442405,"Carr, John Dickson,",The four false weapons : | being the return of Bencolin / | $c: by John Dickson Carr.,1938,m,,80.59660911615623
mdp.39015020642511,"O'Faoláin, Seán,",Teresa and other stories.,1947,m,,80.59537691199671
uc1.b3752018,"Sartre, Jean-Paul,",Iron in the soul. | $c: Translated from the French by Gerard Hopkins.,1950,u,high_male,80.59287268143999
uiuo.ark:/13960/t54f2fn0j,"Vane, Capel.",The desire of the moth,1895,f,high_female,80.58430013174893
mdp.39015059376122,,The New British novelist;,1830,u,high_male,80.57577537112655
uc2.ark:/13960/t51g0m15m,"Bridges, Roy,",Dead men's gold,1916,m,,80.5740521146888
uc2.ark:/13960/t88g8jf6p,"McKenna, Stephen,",The confessions of a well-meaning woman,1922,m,mixed,80.5693567879683
mdp.39015037803718,Pepetela.,Yaka / | $c: Pepetela ; translated from the Portuguese by Marga Holness.,1996,u,,80.56618581618407
uc1.b2854351,"Cremer, Jan.",Jan Cremer 2 / | $c: translation by Jon Lulius.,1970,u,,80.53620155244126
mdp.39015004984913,,Soviet humour : | stories and cartoons from Crocodile / | $c: selected and translated by Peter Tempest.,1949,u,mixed,80.5338242061666
mdp.49015001203299,"Feuchtwanger, Lion,",Jew Süss; | a historical romance. | $c: [Translated from the German by Willa and Edwin Muir],1926,m,,80.49014260523293
mdp.39015053143015,,Everything is nice and other fiction : | the Peter Owen 50th anniversary anthology / | $c: with writings by Jane Bowles ... [et al.] ; with illustrations by Marc Chagall ... [et al.].,2001,u,,80.47330223685977
mdp.39015030708252,"Nichols, Beverley,","Self,",1938,m,high_female,80.45483801759279
mdp.39015065763206,"Smith, Horace,",Zillah;,1828,m,,80.4476464594097
uc1.$b242722,"Kirstein, Lincoln,",For my brother : | a true story / | $c: by José Martínez Berlanga as told to Lincoln Kirstein.,1943,m,mixed,80.42176749173441
uc1.32106007027466,"Queneau, Raymond,",Zazie / | $c: Raymond Queneau ; translated from the French by Barbara Wright.,1982,m,high_male,80.4082771295886
uiuo.ark:/13960/t39z9tm0g,"Yates, Edmund Hodgson,",The yellow flag,1872,m,mixed,80.40494855910677
uiuo.ark:/13960/t3fx7nk8z,"De Fonblanque, Albany,",A family tree,1876,m,high_male,80.38707133215027
mdp.39015048883915,"Lang, Andrew,",The mark of Cain,1886,m,mixed,80.37599618554594
mdp.39015060120980,"Sinclair, Iain.","White Chappell, scarlet tracings / | $c: Iain Sinclair.",2004,m,high_male,80.36739380022962
mdp.39015039279156,,Panorama : | an anthology of modern Indian short stories / | $c: edited by Mulk Raj Anand and S. Balu Rao ; with an afterword by Mulk Raj Anand.,1987,u,mixed,80.35280487349105
uiuo.ark:/13960/t2988m27n,"Edwards, Amelia Ann Blanford,",Miss Carew,1865,f,mixed,80.34768635184983
uc1.$b120341,"Malleson, Lucy Beatrice,","The sisters, | $c: by Anne Meredith, [pseud.]",1948,f,high_female,80.34424418469906
mdp.39015060618629,"James, Siân.",Summer shadows / | $c: Siân James.,2004,u,,80.32958079434479
nyp.33433074861646,"Hume, Fergus,",The dwarf's chamber and other stories,1896,m,mixed,80.30550263555827
uc2.ark:/13960/t6f196073,"Strachey, Marjorie.",Savitri & other women,1920,f,high_female,80.29885137729987
uiuo.ark:/13960/t5h99t88q,"Collins, Wilkie,",The two destinies,1876,m,,80.29871120568515
uc1.$b244794,"Swinnerton, Frank,",Master Jim Probity.,1952,m,,80.29177213467244
inu.32000001875014,"Priestley, J. B. (John Boynton),",Out of town / | $c: by J.B. Priestley.,1968,m,mixed,80.29112754158965
uc2.ark:/13960/t0ht2v58x,"Gowing, Aylmer.",My only love;,1880,u,high_female,80.28623789161358
njp.32101063693491,"Neale, W. Johnson",Gentleman Jack,1837,m,,80.2613421949365
mdp.39015066069512,"Greene, Graham,",The collected edition.,1970,m,,80.23195773920642
uiuo.ark:/13960/t0wq0m58n,"Sinclair, Catherine,",Cross purposes,1855,f,,80.22547581096346
nyp.33433074930573,"Brougham and Vaux, Henry Brougham,",Albert Lunel;,1844,m,,80.22531364683793
mdp.39015066796494,"Faber, Michel.",The apple : | new crimson petal stories / | $c: Michel Faber.,2006,m,,80.21332408350858
uiuo.ark:/13960/t79s28n4z,,Lynton Abbott's children,1879,u,,80.18695014662757
mdp.39015055184561,"Rower, Ann.",Lee & Elaine / | $c: Ann Rower.,2002,f,high_female,80.16655499186366
mdp.39015003928846,"Gerhardie, William Alexander,",Works.,1970,m,,80.15849223831184
mdp.39015005275469,"Burroway, Janet.",Raw silk / | $c: Janet Burroway.,1977,f,mixed,80.1476660028173
mdp.39015060123430,"Sharpe, Tom,",Wilt in nowhere / | $c: Tom Sharpe.,2004,m,,80.13908885930836
wu.89100103373,"La Barre, Georges.",Captive of the kaiser in Belgium (with the fall of Namur),1914,u,high_male,80.13158449664712
mdp.39015045695718,"Chamberlain, Lesley.",In a place like that / | $c: Lesley Chamberlain.,1998,u,,80.10975035799041
uc1.$b119154,"Kingston, Jeremy.",Love among the unicorns.,1968,m,,80.1086351247057
mdp.39015063869997,"Gaspey, Thomas,",The Lollards,1822,m,mixed,80.09800226159066
uc2.ark:/13960/t6vx08p6p,"Hudson, Stephen,",War-time silhouettes,1916,m,high_male,80.09611533840608
mdp.39015057277033,"Gye, Caroline.",The Cockney and the crocodile.,1962,f,mixed,80.09397693293465
uiuo.ark:/13960/t97661p1n,"Merrywhistle, Marmaduke.",Isn't it odd?,1822,m,,80.07740816122252
