htid,author,title,year,authgender,female_category,vertical
uc2.ark:/13960/t2j67935h,"Bierce, Ambrose,",In the midst of life,1892,m,high_male,253.88906829393227
uiuo.ark:/13960/t3514mt5n,"Riddell, J. H.,",Austin Friars ;,1870,f,,253.86866743204567
njp.32101072041765,"Neil, Ross,","Abbot's Cleve, or, Can it be proved?",1864,f,high_female,253.86751289170965
mdp.39015063940103,"Le Fanu, Joseph Sheridan,",Morley Court,1873,m,,253.84803449836403
uc1.b3322033,"Hollis, Margery.",Anthony Fairfax,1885,f,mixed,253.8339502908514
uc1.b3862766,"Firbank, Ronald,",Sorrow in sunlight.,1924,m,high_female,253.82971143569648
uiuo.ark:/13960/t4cn7r971,"Smart, Hawley,",Sunshine and snow,1878,m,mixed,253.8123017091393
mdp.39015059414741,"McKenna, Stephen,","Vindication; | a novel, | $c: by Stephen McKenna.",1923,m,high_female,253.80545061885468
mdp.39015039248003,"Le Fanu, Joseph Sheridan,",The cock and anchor,1895,m,,253.78955153204825
mdp.39015033350110,"Sutherland, Margaret.",The love contract / | $c: Margaret Sutherland.,1976,f,high_female,253.78201114004153
uc1.b3346504,"Coppard, A. E. (Alfred Edgar),","Dark-eyed lady, | fourteen tales.",1947,m,,253.77934323656172
mdp.39015065242243,"Tolstoy, Leo,",Anna Karénina,1896,m,,253.75447481009343
mdp.39015015335774,"Feinstein, Elaine,",All you need / | $c: Elaine Feinstein.,1989,f,high_female,253.75198600934996
uc1.b3122308,"Leverson, Ada.",The limit / | $c: Ada Leverson.,1950,f,,253.73433871383926
mdp.39015047768885,"Fane, Julian,",Happy endings : | ten stories / | $c: by Julian Fane.,1979,m,high_female,253.72982847863594
mdp.39015033791529,"Zangwill, Israel,",Children of the Ghetto,1892,m,,253.72391438942373
uiuo.ark:/13960/t4cn7rb03,"Newman, Mrs.",Jean,1875,f,high_female,253.70560151973405
mdp.39015059376536,,The New British novelist;,1830,u,high_male,253.7012580802113
