htid,author,title,year,authgender,female_category,political_content
uc1.32106014295098,"Reed, Jeremy",Dorian / | $c: Jeremy Reed,1997,m,high_male,5.758544240016124
uiuo.ark:/13960/t5w672s7g,,The privateer,1848,u,mixed,5.754733268113023
uiuo.ark:/13960/t5j96p02r,"Yorke, Curtis.",A romance of modern London,1892,f,,5.753077896674721
inu.30000107600995,"Berry, Eleanor.",The house of the weird doctors / | $c: Eleanor Berry.,2005,f,high_male,5.753077896674721
uiuo.ark:/13960/t0dv24429,"Alexander,",Mona's choice,1887,f,high_female,5.752857252435376
dul1.ark:/13960/t9z03n328,"Braddon, M. E.",Joshua Haggard's daughter,1876,f,,5.750927337033096
uiuo.ark:/13960/t05x2kt1p,"Beaton, Patrick.",Marion Leslie,1863,m,mixed,5.7493733183083044
uc2.ark:/13960/t9g44n38k,"Benson, Stella,",Living alone,1919,f,,5.7492190644104175
uiuo.ark:/13960/t3mw30v4f,"James, G. P. R.",A whim and its consequences,1850,m,,5.748943631607692
mdp.39015063961414,"Winter, John Strange,",Everybody's favourite,1897,m,,5.748117491521526
mdp.39015079783885,Plotinus.,Plotinus. | $c: [Translated from the Greek by Stephen Mackenna.,1917,u,high_male,5.747456750387953
uc2.ark:/13960/t3st7j03r,"Saxby, Jessie Margaret Edmondston,","Breakers ahead; or, Uncle Jack's stories of great shipwrecks of recent times",1887,f,,5.747126436781609
mdp.39015063551652,"Crockett, S. R.",The Stickit minister & some common men,1893,m,,5.746796161140164
uiuo.ark:/13960/t83j44628,"Roberts, Morley,",In low relief,1890,m,mixed,5.742506029631331
uc1.$b396484,"Glanville, Brian.",Diamond / | $c: Brian Glanville.,1962,m,mixed,5.741214745353204
uc1.b3595548,"Moravia, Alberto,","Disobedience, | $c: [by Alberto Moravia [pseud.] Translated by Angus Davidson.",1950,m,high_male,5.740967544396816
mdp.39015014618576,"Slaughter, Carolyn.",The widow / | $c: Carolyn Slaughter.,1989,f,high_female,5.740912613741831
wu.89006315493,"Zangwill, Edith Ayrton.",The first Mrs. Mollivar,1906,f,high_female,5.740725857377407
mdp.39015022202728,"Farmer, Philip José.",Time's last gift / | $c: Philip José Farmer.,1975,m,,5.739869130983814
njp.32101067640746,"Moore, Alicia Radford.",The sisters,1821,f,high_female,5.739759312759485
uc1.$b252117,"Hamilton, Alex.","Beam of malice : | fifteen short, dark stories / | $c: Alex Hamilton.",1966,m,,5.737234652897303
mdp.39015003928002,"Gathorne-Hardy, Jonathan.",Chameleon.,1967,m,,5.737187630623469
mdp.39015056798120,,Her Majesty : | 21 stories by women / | $c: edited by Jackie Gay and Emma Hargrave.,2002,u,mixed,5.734010711132008
inu.30000047607704,"Wilson, Colin,",Ritual in the dark / | $c: by Colin Wilson.,1960,m,high_male,5.731677260716803
uc1.$b800689,"Dragadze, Tamara.",Like milk on the fire; | a novel.,1965,f,high_female,5.729920210861064
mdp.39015080871364,"Cross, Helen,","Spilt milk, black coffee / | $c: Helen Cross.",2009,f,high_female,5.727431533328879
uc1.$b250035,"Ward, A. C. (Alfred Charles),","Grim and gay; | an anthology, heroic, dramatic, comic, | $c: selected by A. C. Ward.",1942,m,,5.726720879624327
uc1.32106002011796,"(Victoria), Sackville-West, V.",Seducers in Ecuador,1924,f,,5.726392945083892
inu.30000055971174,"Scott-Heron, Gil,",The vulture / | $c: Gil Scott-Heron.,1996,m,,5.726065048098946
uiuo.ark:/13960/t68346m01,,The Hallow isle tragedy,1860,u,,5.726065048098946
uc1.b4948632,"Sillitoe, Alan.",The lost flying boat / | $c: Alan Sillitoe.,1983,m,high_male,5.726010402252231
uiuo.ark:/13960/t7zk5pn7b,"Curtois, Margaret Anne.",The romance of a country,1893,f,high_male,5.725655229670346
uc1.$b86278,"Balchin, Nigel,",Last recollections of my Uncle Charles.,1954,m,,5.724480741892704
uiuo.ark:/13960/t4sj1vk59,"Gissing, Algernon,",The scholar of Bygate,1897,m,,5.723661617125195
njp.32101066164078,"Laceby, Arthur.",The stage struggles of a bad actor,1904,m,high_male,5.723607017142203
inu.39000005567123,,Irish folk and fairy tales / | $c: [edited by] Michael Scott.,1983,u,high_male,5.7234432234432235
mdp.39015066740294,"Rendell, Ruth,",The water's lovely / | $c: Ruth Rendell.,2006,f,high_female,5.722179987084222
uc1.$b794453,"Clewes, Howard,",The long memory : | a novel / | $c: by Howard Clewes.,1951,m,,5.7212820248761345
uiuo.ark:/13960/t0cv51h1b,"Manning, Anne,",The lady of limited income,1872,f,high_female,5.719842132357147
mdp.39015047564508,"Darko, Amma,",The housemaid / | $c: Amma Darko.,1998,f,mixed,5.719514985129261
mdp.39015012970466,"Ackroyd, Peter,",Chatterton / | $c: Peter Ackroyd.,1987,m,,5.716992535241175
mdp.39015000636517,"Leach, Christopher,",The pheasant-shoot / | $c: by Christopher Leach.,1975,m,mixed,5.715918833952558
uc2.ark:/13960/t22b92q40,"Wilson, John Mackay,",Wilson's tales of the borders and of Scotland,1857,m,mixed,5.715014221593083
mdp.39015064888988,"King, Danny,",Milo's run / | $c: Danny King.,2006,m,mixed,5.7146122635579175
njp.32101073479964,"Francillon, R. E.",Strange waters,1878,f,,5.714285714285714
uiuo.ark:/13960/t8rb7fv6d,"Halsted, Leonora B.",Bethesda,1884,f,high_female,5.712109672505712
uc1.b3325189,"French, Gerald,",John Jorrocks and other characters from the works of Robert Surtees.  Illustrated by the Rt. Hon. the Earl of Ypres.,1947,m,high_male,5.711185356520746
uiuo.ark:/13960/t8cg07746,"Liddell, Charles Francis.","Hidden links, or, The schoolfellows",1857,m,mixed,5.71026133962731
uc2.ark:/13960/t47p90b2t,"Barrett, Frank,",Little Lady Linton,1884,m,high_female,5.710152651414215
uiuo.ark:/13960/t1tf0693z,"Green, Sarah,",Who is the bridegroom?,1822,f,high_female,5.710152651414215
uc1.b3751225,"Gary, Romain.",Nothing important ever dies.,1960,m,high_male,5.70833273871534
njp.32101065841817,"Brooke, Frances,",Manners,1817,f,high_female,5.706866787462014
mdp.39015080881736,"Kilroy, Claire,",All names have been changed / | $c: Claire Kilroy.,2009,f,,5.706589970097468
uc2.ark:/13960/t15m6701g,"Mathers, Helen,",Comin' thro' the rye,1875,f,mixed,5.703937142612689
mdp.39015034285356,"Khan, Ismith,",A day in the country and other stories / | $c: Ismith Khan.,1994,u,high_male,5.7029883659037335
inu.32000001869751,Plotinus.,[Enneads],1917,u,high_male,5.70287995437696
uiuo.ark:/13960/t1bk1qm5k,"Davidson, Hugh Coleman,",The old Adam,1888,m,high_male,5.702663143688103
uiuo.ark:/13960/t3223jz7m,"Roche, Regina Maria,",The Munster cottage boy,1820,f,high_female,5.700604264051989
mdp.39015041200190,Plotinus.,Plotinus. | $c: [Translated from the Greek by Stephen Mackenna.,1917,u,high_male,5.699737812060645
mdp.39015070426385,"Clift, C Winifred Lechmere.",Very Far East,1909,f,mixed,5.698979882601014
uiuo.ark:/13960/t3fx7kh3t,"Coleridge, Christabel R.",Hugh Crichton's romance,1875,f,,5.697140035702078
uc1.b3590195,"Montherlant, Henry de,","The girls; | a tetralogy of novels in two volumes; | $c: translated from the French by Terence Kilmartin, with an introduction by Peter Quennell.",1968,m,,5.695855553103173
uc1.b4503874,"Harrison, Marion Chilton",Byliny book;,1915,u,high_male,5.695085141522866
inu.32000002363101,"Marsh-Caldwell, Anne,",The Wilmingtons,1850,f,mixed,5.694652721094892
mdp.39015063238458,"Roberts, Michael Symmons,",Patrick's alphabet / | $c: Michael Symmons Roberts.,2006,m,high_male,5.69313976658127
inu.30000110600156,"Hayden, Torey L.",The sunflower forest : | a novel / | $c: Torey Hayden.,2008,u,,5.691555628632319
uc1.32106006416074,"Beier, Ulli.",The origin of life and death: | African creation myths.,1966,u,mixed,5.689576695493855
uc1.$b287667,"Armstrong, Anthony,",Anthony Armstrong ('A.A.'),1934,m,high_male,5.688443926163997
uiuo.ark:/13960/t5bc4m870,"Sinclair, Catherine,",Cross purposes,1855,f,,5.686794126679026
uiuo.ark:/13960/t75t3wx5z,"Blessington, Marguerite,",Meredith,1843,f,,5.686664771111743
inu.32000000354631,"Onions, Oliver,","The painted face, | $c: by Oliver Onions.",1929,m,,5.6840142782438665
uc1.b3578704,"Anstey, F.,",Humour & fantasy ... | $c: by F. Anstey [pseud.],1931,u,,5.6821888633307305
mdp.39015029087049,"Brookner, Anita.",A family romance / | $c: Anita Brookner.,1993,f,high_female,5.681366254956992
njp.32101076515475,"Fisher, William,",The petrel,1850,m,,5.678806693420156
mdp.39015061861657,"Dustan, Guillaume.",In my room / | $c: Guillaume Dustan ; translated by Brad Rumph.,1998,u,high_male,5.678269263528477
mdp.39015008698816,"Campbell, Michael,",Nothing doing: | a novel.,1970,m,,5.678075813668264
mdp.39015039745800,"Tierney, Jane.",Tōbō : | one woman's escape.,1985,f,high_female,5.677517032551098
uc1.b3327284,"Whyte-Melville, G. J.",Black but comely,1879,m,,5.674080798910577
mdp.39015059407562,"Beresford, J. D. (John Davys),","Love's pilgrim, | $c: by J. D. Beresford.",1923,m,high_female,5.673694482899485
mdp.39015028026352,"(Alekseĭ Silych), Novikov-Priboĭ, A. S.",The captain.,1946,u,high_male,5.6728737360128205
uc2.ark:/13960/t5db8320h,"Weyman, Stanley John,",The castle inn,1898,f,,5.671707396615409
inu.30000026046338,"Janaway, John.",Ghosts of Surrey / | $c: John Janaway.,1991,m,high_male,5.670380766068441
mdp.39015010553710,"Green, Henry,",Living; | a novel.,1948,m,,5.66745633224896
uiuo.ark:/13960/t42r4d21z,,"The mountain chief, or, The descendant of William Tell, the deliverer of Switzerland",1811,u,high_male,5.667327854916407
uiuo.ark:/13960/t02z1xk64,E. C. A.,Geraldine,1837,u,high_female,5.667263618434475
inu.32000001359092,"Blackmore, R. D.","Cripps, the carrier",1876,m,mixed,5.6658293829911806
mdp.39015022219094,"Burford, Barbara.",The threshing floor.,1986,f,high_female,5.663732853048788
nyp.33433074954987,"Cullen, Margaret.",Home,1802,f,high_female,5.663636621074392
mdp.39015064564621,"Woodrooffe, Anne Cox,",Shades of character,1844,f,high_female,5.660847315626203
uc1.b3750428,"Bernanos, Georges,",Night is darkest : | a novel / | $c: by Georges Bernanos ; translated from the French by W. J. Strachan.,1953,m,mixed,5.6607511816818095
mdp.39015045698761,"King, Francis Henry,",Dead letters / | $c: Francis King.,1997,m,high_male,5.660671072555651
uc2.ark:/13960/t0sq8sr2j,"Dwyer, Vera G.",The Kayles of Bushy Lodge,1922,f,high_female,5.654109831083469
uc1.32106012616667,"Allingham, Margery,",Hide my eyes.,1958,f,mixed,5.653550429669832
inu.30000054101393,"Marryat, Florence,",The confessions of Gerald Estcourt,1867,f,high_female,5.653470524218054
mdp.39076006819010,"Mofolo, Thomas,",Chaka the Zulu / | $c: Thomas Mofolo.,1949,m,high_male,5.6525917133005485
mdp.39015049548889,"Kelly, Vivien.",Take one young man.,2000,f,,5.652431958850295
inu.30000110573494,"Su, Tong,",Madwoman on the bridge / | $c: by Su Tong ; translated from the Chinese by Josh Stenberg.,2008,m,high_male,5.651441682773275
uc2.ark:/13960/t9d50n20g,"Henty, G. A.",A search for a secret,1867,m,,5.649398339076888
