htid,author,title,year,authgender,female_category,geo_range
mdp.39015077113697,"Ó Muirí, Pól,",Milltown : | a Belfast novella / | $c: Pól Ó Muirí.,2007,u,high_male,4304.139945566867
dul1.ark:/13960/t4rj56g8r,,The spirit of the moist hand,1875,f,high_male,4303.520617190631
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,4301.844335604979
uc1.$b486073,"Loetscher, Hugo,",Noah: | a novel; | $c: translated from the German by George Gretton.,1970,m,high_male,4284.235516489919
njp.32101065101592,"Gilkes, A. H.",A dialogue,1904,u,high_male,4267.987212147657
dul1.ark:/13960/t2794pm0g,"Bury, Charlotte Campbell,",The manœuvring mother,1842,f,high_female,4262.196338736577
uiuo.ark:/13960/t47p9cq48,"Grey,",Daughters,1847,f,high_female,4261.701129989401
uiuo.ark:/13960/t2988m284,"Ellis, Sarah Stickney,",Northern roses,1868,f,,4260.587262734248
mdp.39015046866854,"Morrison, Sophia.",Manx fairy tales,1911,f,high_male,4224.843797856753
nyp.33433067294763,"Kennedy, Grace,",The works of Grace Kennedy,1827,f,high_female,4215.283585077714
uiuo.ark:/13960/t6543348d,"Fitzgerald, Percy Hetherington,",Seventy-five Brooke Street,1867,m,,4201.6198807610745
umn.31951000442949l,"Stevens, Frank,",Adventures in hiveland,1903,m,high_female,4196.085947391712
mdp.39076002630239,"Grimm, Jacob,",The soaring lark,1865,m,,4166.241903446003
uiuo.ark:/13960/t05x2pq22,"Erroll, Henry.",The academician,1888,m,,4161.958743869655
inu.39000003288250,"Ekwensi, Cyprian.",Samankwe and the highway robbers / | $c: Cyprian Ekwensi.,1975,m,high_male,4154.968533663372
mdp.39015064544813,"Hofland,",Tales of the Priory,1820,f,high_female,4150.611736166089
uiuo.ark:/13960/t6b28hx8f,"Walford, Lucy Bethia,",The baby's grandmother,1884,f,mixed,4139.277144072071
uiuo.ark:/13960/t42r4hr6k,"Burdon, Hannah D.",The ward of the crown,1845,f,mixed,4138.9237063556475
mdp.39015040554423,"Zayyāt, Laṭīfah.",The owner of the house / | $c: Latifa Zayyat ; translated from the Arabic by Sophie Bennett.,1997,u,high_female,4136.844722498398
nnc1.1002391554,,"Temugin; or, The Tartar chief",1843,u,high_male,4122.667142577104
nyp.33433075771596,"Prest, Thomas Peckett.",Angelina;,1841,m,mixed,4118.798307892803
uc2.ark:/13960/t3jw8853k,"Robinson, F. W.",Coward conscience,1879,m,mixed,4117.870605013467
