htid,author,title,year,authgender,female_category,geo_range
coo.31924013520287,"McGonagall, William.","Poetic gems, | $c: selected from the works of William McGonagall,  with biographical sketch and reminiscences by the author.",1954,m,,162677.4010899059
uc1.$b23608,"Grant, George H. (George Hook),","The half deck, | $c: by Captain George H. Grant; with illustrations by Gordon Grant.",1934,m,high_male,162673.92323382467
mdp.39015054151520,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,mixed,162653.17153804406
uc1.32106012770910,"Gale, Patrick,",Dangerous pleasures : | a decade of stories / | $c: Patrick Gale,1996,m,high_female,162651.15396408772
uc1.b4974531,"Lowndes, Natalya.",Angel in the sun / | $c: Natalya Lowndes.,1989,u,,162613.45309534002
mdp.39015020733716,"Bates, H. E. (Herbert Ernest),",Thirty-one selected tales.,1947,m,mixed,162600.62638097408
mdp.39015066189104,"Thackeray, William Makepeace,",Works,1883,m,,162590.46710886047
mdp.39015077131541,"Cottam, Francis,",Dark echo / | $c: F.G. Cottam.,2008,m,high_female,162590.06250029398
uiuo.ark:/13960/t6543cv5p,"Brookfield, Arthur Montagu,",The autobiography of Thomas Allen,1882,m,mixed,162587.57145759682
mdp.39076000700687,"Lawrence, D. H. (David Herbert),","The woman who rode away, and other stories / | $c: D.H. Lawrence.",1950,m,high_female,162562.5032733632
mdp.39015022202744,"Farmer, Philip José.",Timestop! / | $c: Philip Jose Farmer.,1973,m,high_male,162538.8580288931
mdp.39015005117422,"Huxley, Aldous,",[The collected works of Aldous Huxley],1946,m,,162487.23980616115
uiuo.ark:/13960/t7qn6j37d,"Hardy, Iza Duffus.",A hero's work,1868,f,,162485.4514457573
uc1.$b299880,"Coppard, A. E. (Alfred Edgar),",Polly Oliver; | tales / | $c: by A.E. Coppard.,1935,m,,162429.00528284625
mdp.39015060459206,,'Blackwood' tales from the outposts ...,1932,u,high_male,162392.059321426
uiuo.ark:/13960/t2x35f35s,"Tabor, Eliza.",A man's mistake,1881,f,high_female,162380.87657014935
nyp.33433076093438,"Disraeli, Benjamin,",Collected edition of the novels and tales,1871,m,,162361.8945223795
uc1.$b557176,"Rogers, Stanley Reginald Harry,",Barenetha Rock. | A true drama of the sea / | $c: Stanley Rogers.,1957,m,high_male,162341.51933341147
mdp.39015077656380,"Gummerson, Drew.",Me and Mickie James / | $c: Drew Gummerson.,2008,m,high_male,162328.7074313421
uiuo.ark:/13960/t6pz5s758,"Warden, Florence,",St. Cuthbert's Tower,1889,f,,162319.98070650696
uc1.b3258588,"Jones, Mervyn,",The new town.,1953,m,mixed,162302.83566686927
mdp.39015080845434,"Duffy, Maureen.",The Orpheus trail / | $c: Maureen Duffy.,2009,f,,162299.5993474706
uc1.b3477668,"York, Andrew,",The predator | $c: [by] Andrew York.,1968,m,,162285.87847503126
mdp.39015008378351,"Barnes, Julian.",Before she met me / | $c: Julian Barnes.,1982,m,mixed,162269.8238274267
uva.x030581134,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,mixed,162266.36336542168
uc1.$b74629,"Sir, Scott, Ernest,",Australian discovery. | $c: Edited with an introduction by Ernest Scott.,1929,m,high_male,162251.6104169476
uc1.$b149289,"Priestley, J. B. (John Boynton),",The world of J. B. Priestley; | $c: chosen and introduced by Donald G. MacRae.,1967,m,,162243.33400844233
inu.39000002132194,"Lurie, Morris.",Running nicely / | $c: by Morris Lurie.,1979,m,high_male,162242.01016401578
mdp.39015011808816,"Acton, Harold,",Humdrum.,1928,m,high_female,162235.49597078483
mdp.39015020062736,"Colman, George,",Random records;,1830,m,high_male,162228.230638409
mdp.39015026637325,"Sir, Scott, Ernest,",Australian discovery. | $c: Edited with an introduction by Ernest Scott.,1929,m,high_male,162156.92914309632
mdp.39015054151579,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,mixed,162137.69242112196
uc2.ark:/13960/t8x924q66,"Lever, Charles James,",[Charles Lever's novels,1872,m,,162134.17583726635
mdp.39015037277327,"Cohen, Albert,",Belle du Seigneur / | $c: Albert Cohen ; translated and with an introduction by David Coward.,1995,m,,162127.7591277801
mdp.39015056798112,"Khan, Uzma Aslam.",Trespassing / | $c: Uzma Aslam Khan.,2003,u,high_female,162123.58201917665
mdp.39015027323727,"Moore, William Geoffrey.","Early bird, | $c: by W. Geoffrey Moore.",1963,m,high_male,162117.2596622574
mdp.39015002652405,"Bradbury, Malcolm,",Who do you think you are? : | Stories and parodies / | $c: by Malcolm Bradbury.,1976,m,mixed,162111.21681998254
uc2.ark:/13960/t0zp4163f,"Reid, Mayne,","The boy hunters, or, Adventures in search of a white buffalo",1853,m,high_male,162081.24106682322
uc1.$b243098,"Heygate, John, Sir.","Kurumba, | a novel.",1949,m,high_male,162059.25543085582
mdp.39015031465068,"Bodilly, Ralph Burland.","The voyage of Captain Thomas James for the discovery of the northwest passage, 1631, | $c: by Commander R. B. Bodilly, R. N.",1928,m,high_male,162049.19606115032
uiuo.ark:/13960/t5bc4bj1c,"Ellis, Sarah Stickney,",Northern roses,1868,f,,161987.1164325512
uc1.32106016939214,"Gstrein, Norbert,",The English years / | $c: Norbert Gstrein ; translated from the German by Anthea Bell,2002,m,high_female,161967.9684374457
mdp.39015005915288,"Akare, Thomas,",The slums / | $c: Thomas Akare.,1981,m,,161874.71999848547
mdp.39015000631039,"Lawrence, D. H. (David Herbert),",Works.,1954,m,,161684.46049177396
uc2.ark:/13960/t7br8pf30,"Russell, George William Erskine,","""For better? For worse?""",1902,m,,161683.80980903812
uc1.32106019365151,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,161630.0583619915
mdp.39015080874699,"Leather, Stephen.",Live fire / | $c: Stephen Leather.,2009,m,high_male,161592.36711653828
nyp.33433074865480,"Jesse, F. Tennyson",The man who stayed at home,1915,f,,161569.82049866323
mdp.39015029213967,,Columbus' egg : | new Latin American stories on the conquest / | $c: selected and edited by Nick Caistor.,1992,u,,161568.80345238672
mdp.39015041543888,"Warner, Alan.",These demented lands / | $c: Alan Warner.,1997,m,,161540.12071675243
inu.30000124990932,"Van Niekerk, Marlene.",The way of the women / | $c: Marlene van Niekerk ; translated by Michiel Heyns.,2008,f,,161481.34336152303
mdp.39015019623761,"Lynch, Malcolm.",The kid from Angel Meadow.,1989,m,high_female,161471.91439580452
uiuo.ark:/13960/t3029dx0s,"Warden, Florence,",St. Cuthbert's Tower,1889,f,,161424.11199699037
mdp.39015029992693,"Sillitoe, Alan.",Snowstop / | $c: Alan Sillitoe.,1993,m,mixed,161415.35986139934
mdp.39015043787442,"Sillitoe, Alan.",The broken chariot / | $c: Alan Sillitoe.,1998,m,mixed,161410.12860492256
mdp.49015002987437,,Queens of literature of the Victorian era,1886,u,high_female,161388.91141843982
uiuo.ark:/13960/t3hx1ws20,"Murray, David Christie,",Time's revenge,1893,m,high_male,161361.7811970788
mdp.39015015364667,"Aragon,",Passengers of destiny. | $c: Translated by Hannah Josephson.,1947,u,,161326.37756760904
wu.89086980133,"Estévez, Abilio,",Distant palaces / | $c: Abilio Estévez ; translated from the Spanish by David Frye.,2005,u,high_female,161304.98265704923
mdp.39015010450396,"Wertmüller, Lina.",The head of Alvise / | $c: Lina Wertmüller.,1982,f,,161238.03819075786
mdp.39015049645826,"Tan, Amy.",The hundred secret senses / | $c: Amy Tan.,1996,f,high_female,161225.82803184708
mdp.39015047709814,"Hlatky, Stefan.",Understanding reality : | a commonsense theory of the original cause / | $c: Stefan Hlatky and Philip Booth.,1999,m,high_male,161212.2203151246
uiuo.ark:/13960/t46q2g626,"Lennox, William Pitt,","Philip Courtenay, or, Scenes at home and abroad",1855,m,,161202.97487104207
uc1.b3477701,"Braine, John.",The pious agent /̈ bÿ John Braine.,1975,m,high_male,161189.6422654208
mdp.39015062087070,"Ali, Monica.",Brick Lane / | $c: Monica Ali.,2003,f,high_female,161175.68296149495
inu.30000047892918,"Frayn, Michael.",The tin men / | $c: Michael Frayn.,1995,m,,161134.66161981877
mdp.39015060375659,"Cooper, Fiona,",As you desire me / | $c: Fiona Cooper.,2004,f,high_female,161122.57217664862
uc1.$b803945,"Stock, Ralph,",The recipe for rubber,1912,m,high_male,161118.93426994345
mdp.39015067349194,"Rankin, Reginald, Sir,","The collected works of Lt. Colonel Sir Reginald Rankin, bt.",1930,m,,161059.9206021702
uc2.ark:/13960/t45q4wg3p,"Catling, Thomas,",The press album,1909,m,,161047.6315825969
mdp.39015084102907,"Dobbs, Michael,",The edge of madness / | $c: Michael Dobbs.,2009,m,high_male,161006.71243971633
mdp.39015060118844,"Trigell, Jonathan.",Boy A / | $c: Jonathan Trigell.,2004,m,high_male,160979.76408784176
uc1.b3445494,"Thackeray, William Makepeace,",The Newcomes;,1854,m,mixed,160977.167921043
uc1.b3905643,"Vijayan, O. V.,",After the hanging and other stories / | $c: O. V. Vijayan ; translated from the Malayalam by the author.,1989,u,,160962.15017838884
uiuo.ark:/13960/t6m04r883,"Sewell, Elizabeth Missing,",Margaret Percival,1847,f,high_female,160914.67187415247
uc1.$b87155,"Connolly, Roy.",Southern saga.,1940,m,,160874.38432317958
uc1.32106014344920,"Isler, Alan,",Op. non cit. : | four tales / | $c: Alan Isler,1997,m,mixed,160834.91921298188
uc1.$b302055,"Mordaunt, Elinor,",Mrs. Van Kleek / | $c: by Elinor Mordaunt.,1934,f,high_female,160822.02718036395
mdp.39015005633568,"Sterne, Laurence,",The works of Laurence Sterne,1803,m,,160779.97975735378
mdp.39015064564647,"Woodrooffe, Anne Cox,",Shades of character,1844,f,high_female,160753.89036908143
mdp.39015008732235,"Moravia, Alberto,",The voice of the sea and other stories / | $c: Alberto Moravia ; translated from the Italian by Angus Davidson.,1978,m,mixed,160747.17450417325
mdp.39015046799444,"Taylor, Robert Lewis.",A journey to Matecumbe / | $c: with illustrations by Joseph Papin.,1961,m,,160704.74444289482
mdp.39015043610834,"Jackont, Amnon,",Borrowed time : | a novel / | $c: by Amnon Jackont ; translated from the Hebrew by Dorothea Shefer-Vanson.,1986,u,mixed,160678.29690467592
mdp.39015018632474,"Anand, Mulk Raj,",Conversations in Bloomsbury / | $c: Mulk Raj Anand.,1981,m,,160614.6566928592
mdp.39015004689322,"Mitford, Nancy,",The Nancy Mitford omnibus.,1956,f,,160597.05736737832
mdp.39015026729890,"Power, Rhoda D",Under Cossack & Bolshevik,1919,f,high_female,160596.1543425285
uc1.b3579200,"Lever, Charles James,",Luttrell of Arran,1865,m,mixed,160594.28857746828
uc1.b4974527,"Legge, Gordon,",The shoe / | $c: Gordon Legge.,1989,m,high_male,160475.12305039482
uc1.32106015394460,"Quṣaybī, Ghāzī ʻAbd al-Raḥmān",Seven / | $c: Ghazi Algosaibi ; translated from the Arabic by Basil Hatim & Gavin Watterson,1999,u,mixed,160459.16975287773
mdp.39015025180459,"Smith, Iain Crichton,",An honourable death / | $c: Iain Crichton Smith.,1992,u,high_male,160457.37658327632
mdp.39015062880599,"Fleming, Laurence.",On Torquemada's sofa : | a novel / | $c: Laurence Fleming.,2005,m,,160453.41316406397
mdp.39015074299101,"Gittins, Chrissie.",Family connections / | $c: Chrissie Gittins.,2007,f,high_female,160371.5895002488
uva.x030581128,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,,160322.67110284165
wu.89004871638,"Conyers, Dorothea,",Some happenings of Glendalyne,1911,f,,160272.50423642524
mdp.39015038528884,"Healy, Dermot,",The bend for home / | $c: Dermot Healy.,1996,m,,160267.04288131482
mdp.39015054153674,"Humphreys, Emyr.",Ghosts and strangers / | $c: Emyr Humphreys.,2001,m,,160258.28463995468
mdp.39015065972377,,Modern English Short stories / | $c: selected by Phyllis M. Jones.,1939,u,mixed,160227.34805758594
mdp.39015048569217,"Quṣaybī, Ghāzī ʻAbd al-Raḥmān",Seven / | $c: Ghazi Algosaibi ; translated from the Arabic by Basil Hatim & Gavin Watterson,1999,u,mixed,160208.1640459057
mdp.39015064690475,"Warner, Alan.",The worms can carry me to heaven / | $c: Alan Warner.,2006,m,high_female,160163.13398296427
mdp.39015064691069,"Haverty, Anne.",The free and easy / | $c: Anne Haverty.,2006,f,,160138.6145337011
mdp.39015050023525,,Borderline : | the Mainstream book of Scottish gay writing / | $c: edited by Joseph Mills ; introduction by Toni Davidson.,2001,u,high_male,160082.12158700018
mdp.39015059246861,,Bracket : | [a new generation in fiction / | $c: edited by Ra Page].,2004,u,,160049.10960033035
mdp.39015008011788,"Maclaren-Ross, J. (Julian),",The funny bone.,1956,m,high_male,160006.99287635842
mdp.39015016746391,"Mitford, Mary Russell,",Stories of American life;,1830,f,,159976.96128151525
mdp.39015016870761,,Hard feelings : | fiction and poetry from Spare Rib / | $c: edited and illustrated by Alison Fell.,1979,u,high_female,159955.38565352684
pst.000067154463,"Chen, Willi.",Crossbones / | $c: Willi Chen.,2009,m,,159946.9514228009
uc2.ark:/13960/t06w9cb40,"Newbolt, Henry John,",Taken from the enemy,1892,m,,159936.71255600246
uc1.b3325232,"Willcocks, M. P.",The eyes of the blind,1917,f,,159933.0793756011
uc1.32106014670225,"Hudson, Mark,",The music in my head / | $c: Mark Hudson.,1998,m,mixed,159925.60761207045
mdp.39015028485996,,Femmes de Sic̀le : | stories from the '90s : women writing at the end of two centuries / | $c: edited and introduced by Joan Smith.,1992,u,high_female,159806.47313641614
uc1.b3835494,"Galsworthy, John,",Over the river / | $c: by John Galsworthy.,1933,m,,159744.0284506712
uc2.ark:/13960/t39023q38,"Donovan, Dick,",The chronicles of Michael Danevitch of the Russian secret service,1897,m,mixed,159713.343067736
pst.000049507164,"Atkins, Marc.","Thirteen / | $c: Marc Atkins ; texts, Toby Litt ... [et al.].",2002,m,high_female,159669.96669121576
uc1.32106013189789,"Byatt, A. S. (Antonia Susan),",The virgin in the garden / | $c: by A. S. Byatt.,1978,f,mixed,159660.40327519787
inu.30000029410549,"Kilworth, Garry.",Standing on Shamsan / | $c: Garry Kilworth.,1992,m,,159624.26135522206
uiuo.ark:/13960/t4fn1pf0z,"Lennox, William Pitt,","Compton Audley; or, Hands not hearts",1841,m,,159588.65438949526
mdp.39015012358670,"Morier, James Justinian,",Abel Allnutt,1837,m,mixed,159561.85186917332
nyp.33433075766380,"Pinsent, Ellen Frances Parker,","Job Hildred, artist and carpenter",1897,f,high_female,159556.15577334585
mdp.39015065803465,"Mille, Pierre,",Under the tricolour,1915,m,mixed,159529.71451911255
uc1.$b156146,"James, Brian.",Australian short stories: | $n: second series.,1963,m,mixed,159526.85719910887
uiuo.ark:/13960/t6154w074,"Schmidt, Otto Ernst,",Asmus Semper,1909,m,high_male,159489.3051299457
mdp.39015005485308,"Coover, Robert.",The origin of the Brunists: | a novel.,1967,m,mixed,159467.65386787345
mdp.39015043789869,"Chambers, Clare.",Learning to swim / | $c: Clare Chambers.,1998,f,,159449.8394042099
pst.000009864269,"Hampden, John,",Ghost stories / | $c: selected with an introd. by John Hampden.,1939,m,,159432.4894664723
uc1.b3810890,"Campion, Sarah.","The pommy cow, | $c: by Sarah Campion.",1944,f,mixed,159394.68975243272
mdp.39015020167139,"Geake, Charles,",John Bull's adventures in the fiscal wonderland,1904,m,high_male,159391.7555852707
mdp.39015056675864,"Mackay, Shena.",Heligoland / | $c: Shena Mackay.,2003,f,high_female,159371.2862894818
mdp.39015056908935,"Griffiths, Niall,",Stump / | $c: Niall Griffiths.,2003,m,high_male,159361.94155446344
uiuo.ark:/13960/t3dz0j08g,"Chamier, Frederick,",The unfortunate man,1835,m,,159360.24770542505
mdp.39015059172737,"Ferguson, Alex.",The pineapple king of Jarrow & other stories / | $c: Alex Ferguson.,2004,m,,159359.8044835564
uiuo.ark:/13960/t22b9nv4t,"Strangford, George Augustus Frederick Percy Sydney Smythe,",Angela Pisani,1875,m,mixed,159344.81835409702
mdp.39015002712696,"Riley, Elizabeth.",All that false instruction : | a novel of lesbian love / | $c: Elizabeth Riley.,1975,f,high_female,159293.3018384813
uc1.b3160554,"Moorcock, Michael,","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1",1975,m,high_male,159254.14071306292
inu.30000004090332,"Sitwell, Sacheverell,",Touching the Orient; | six sketches | $c: by Sacheverell Sitwell.,1934,u,high_male,159252.3721791758
wu.89092496744,"García Márquez, Gabriel,",Of love and other demons / | $c: Gabriel García Márquez ; translation from the Spanish by Edith Grossman.,1995,m,mixed,159126.8073401922
pst.000033009544,"Lord, Walter,",A night to remember / | $c: Walter Lord.,1955,m,,159077.61679095228
inu.30000011865858,"West,",Ringrove;,1827,f,high_female,159025.41327518516
mdp.39015063510492,"Boissard, Violet.","The land of afternoon, | $c: by Violet Boissard.",1930,f,high_female,159010.73735826762
uc2.ark:/13960/t6639m589,"London, Jack,",The red one,1919,m,,159009.49920075724
mdp.39015000630916,"Lawrence, D. H. (David Herbert),","Kangaroo, | $c: by D. H. Lawrence.",1923,m,,158953.8568747804
uc1.32106002015920,"Stewart, Angus.",Sandel.,1968,m,high_male,158898.1081464777
mdp.39015016445804,"Charles, Gerda.",The crossing point.,1960,f,,158875.08491931684
uc1.32106013037244,"Hammick, Georgina",The Arizona game / | $c: Georgina Hammick,1996,f,high_female,158849.95071160086
mdp.39015051000936,"Thorn, Michael,",Pen friends / | $c: Michael Thorn.,1988,m,,158810.2755425691
nnc1.cu01579690,"Sharp, Jonathan,","Jonathan Sharp; or, The adventures of a Kentuckian",1845,m,high_male,158793.07058100658
mdp.39015014828662,"Nye, Robert.",Tales I told my mother.,1969,m,,158742.4869568142
mdp.39015035336257,"Ngũgĩ wa Thiongʼo,",Petals of blood / | $c: Ngugi Wa thiongʼo.,1977,u,high_male,158679.33855784364
mdp.39015025172431,"Tondelli, Pier Vittorio,",Separate rooms / | $c: Pier Vittorio Tondelli ; translated by Simon Pleasance.,1992,u,high_male,158644.6289791157
uc1.32106018997434,"McAuliffe, Nichola",A fanny full of soap : | the story of a West End musical / | $c: Nichola McAuliffe,2007,f,,158628.88616006717
inu.39000002079320,"Keneally, Thomas.",Confederates / | $c: Thomas Keneally.,1979,m,mixed,158604.72962605584
uc2.ark:/13960/t3cz33x05,"Ker, David,",Under the flag of France,1908,m,high_male,158516.20610353633
mdp.39015014233087,"Amis, Kingsley.",Difficulties with girls / | $c: Kingsley Amis.,1988,m,,158508.106534341
mdp.39015074041149,,Sea stories : | a collection of new stories from the National Maritime Museum.,2007,u,mixed,158500.34946405698
mdp.39015038123751,"Gathorne-Hardy, Jonathan.",Particle theory : | a novel / | $c: Jonathan Gathorne-Hardy.,1996,m,high_male,158488.55331387802
uiuo.ark:/13960/t4zg79m1b,"Henty, G. A.",Dorothy's double,1894,m,,158461.51856111785
mdp.39015003639021,"Thackeray, William Makepeace,",Works,1883,m,mixed,158420.25545128068
inu.39000001367619,"Okpi, Kalu,",Coup! / | $c: Kalu Okpi.,1982,u,high_male,158397.61970233524
mdp.39015068802647,"Riley, Gwendoline,",Joshua Spassky / | $c: Gwendoline Riley.,2007,f,mixed,158355.60180389349
mdp.39015015490280,"Comfort, Alex,",The philosophers / | $c: Alex Comfort.,1989,m,mixed,158352.33336306174
uiuo.ark:/13960/t2h70sq7q,"Gibbon, Charles,",Of high degree,1883,m,mixed,158341.17633737306
mdp.39015036672916,"O'Faoláin, Seán,",Stories.,1958,m,,158327.1794936187
inu.30000107498333,,Loffing matters / | $c: edited by Paul McDonald.,2006,u,,158299.95163498668
mdp.39015013254548,"Leitch, Maurice,",The hands of Cheryl Boyd and other stories / | $c: Maurice Leitch.,1987,m,,158271.07949489626
mdp.39015000514953,"Sartre, Jean-Paul,","The diary of Antoine Roquentin, | $c: translated from the French ""La Nausée,"" by Lloyd Alexander.",1949,u,high_male,158244.14467173116
uc1.32106005649857,"Klíma, Ivan.",My merry mornings : | stories from Prague / | $c: by Ivan Klíma ; translated by George Theiner.,1985,m,,158236.48770938377
uc1.$b115484,"Rand, James S.",Run for the trees by James S. Rand.,1966,m,high_male,158148.97319771507
mdp.39015062579050,"Harris, Joanne,",Gentlemen & players / | $c: Joanne Harris.,2005,f,,158107.61406752493
uc2.ark:/13960/t6m040h3q,"Castle, Egerton,", La bella,1892,m,,158091.9158563693
mdp.39015046443753,"O'Brian, Patrick,",The Mauritius command / | $c: Patrick O'Brian.,1977,m,high_male,158061.9229550428
mdp.39015061141506,"Martín Gaite, Carmen.",Living's the strange thing / | $c: Carmen Martín Gaite ; translated by Anne McLean.,1996,f,mixed,158023.51955783647
inu.30000087182246,"Barker, Mo.",The rough and the smooth / | $c: Mo Barker.,2006,u,,158016.10330535946
mdp.39015059975840,"Darling, Julia,",The taxi driver's daughter / | $c: Julia Darling.,2003,f,high_female,158013.83776691317
mdp.39015025047344,"Forster, Margaret,",Private papers / | $c: Margaret Forster.,1986,f,high_female,158006.9278702829
mdp.39015014609013,"Swift, Graham,",Out of this world / | $c: Graham Swift.,1988,m,mixed,157977.3527890334
mdp.39015056205076,"Echenoz, Jean.",I'm off ; | + One year / | $c: Jean Echenoz ; translated from the French by Guido Waldman.,2002,f,,157955.81268023906
mdp.39015009147615,"Zweig, Stefan,","Kaleidoscope two. | $c: [Translated from the German by B. W. Huebsch, and Eden and Cedar Paul.",1959,u,mixed,157953.12980343902
mdp.39015002211830,"Saint-Exupéry, Antoine de,",Southern mail and | Night flight / Antoine de Saint-Exupéry ; | $c: translated from the French by Curtis Cate ; with acknowledgements to Stuart Gilbert's translations.,1976,f,,157913.07325479636
uc1.$b301015,"Johnston, Myrtle,",The maiden / | $c: by Myrtle Johnston.,1932,f,,157912.43394096923
mdp.39015064952297,"Jones, Gail,",Sorry / | $c: Gail Jones.,2007,f,high_female,157881.14577356566
uc1.b4937283,"Stanford, Derek.",Short stories of the 'Nineties: | a biographical anthology.,1968,m,mixed,157824.1815722947
uiuo.ark:/13960/t4xh06r8n,"Prickett,",Warwick Castle,1815,f,mixed,157815.2263178018
mdp.39076001051957,"Lawrence, D. H. (David Herbert),",Complete short stories.,1955,m,,157788.55871849493
mdp.39015056801189,"DeMarco, Gordon.",Murder at the Fringe / | $c: by Gordon DeMarco.,1987,m,,157781.94248014226
inu.30000000205074,"Osanyin, Bode.","Rich girl, poor boy / | $c: Bode Osanyin.",1984,u,mixed,157773.95941947628
mdp.39015058730436,"Riley, Gwendoline,",Sick notes / | $c: Gwendoline Riley.,2004,f,,157765.87250646425
uc2.ark:/13960/t21c21s79,"Wilson, John Mackay,",Wilson's tales of the borders and of Scotland,1857,m,mixed,157714.86662378025
mdp.39015064739819,"Drabble, Margaret,",The sea lady : | a late romance / | $c: Margaret Drabble.,2006,f,high_female,157699.25319778797
nyp.33433074854112,"Franklin, Miles,",Some everyday folk and dawn,1909,f,,157690.96088433717
mdp.39015059177553,"Harwood, John,",The ghost writer / | $c: John Harwood.,2004,m,high_female,157647.21477659594
uc1.32106011785422,"Sanza, Silvia.",Twice real / | $c: Silvia Sanza.,1993,f,,157623.52848814518
mdp.39015041107759,"Hawes, J. M. (James M.)",Rancid aluminium / | $c: James Hawes.,1997,m,mixed,157617.732933901
uc2.ark:/13960/t6c24sz04,"Sutherland, James.",The adventures of an elephant hunter,1912,m,high_male,157589.5565795845
mdp.39015066740286,"Amis, Martin.",House of meetings / | $c: Martin Amis.,2006,m,high_female,157580.92840177397
uc1.$b182827,"Cotterell, Geoffrey",Then a soldier,1945,m,,157559.0934493524
mdp.39015003686378,"Frederic, Harold,",Illumination,1896,m,,157532.9440307709
mdp.39015011580019,"Barnes, Julian.",Staring at the sun / | $c: Julian Barnes.,1986,m,,157430.21453360913
nyp.33433082539549,"Henty, G. A.",For the temple;,1887,m,high_male,157385.63471514895
mdp.39015062880557,"Parks, Tim.",Talking about it / | $c: Tim Parks.,2005,m,,157338.40359350436
mdp.39015063587425,"Burke, Barbara, 1867-1941.",Barbara goes to Oxford,1907,f,mixed,157325.29914206578
uc1.$b100831,"Farrell, James T. (James Thomas),",Fellow countrymen; | collected stories | $c: [by] James T. Farrell.,1937,m,mixed,157314.74374175994
uiuo.ark:/13960/t0sq9bf6f,"Hardy, Iza Duffus.",Glencairn,1877,f,,157301.3860616028
inu.39000005835983,"O'Donnell, Elliott,",The dead riders / | $c: Elliot O'Donnell.,1952,m,,157293.4700047264
mdp.39015010866195,"Danielsson, Bengt,",Forgotten islands of the South Seas.,1957,u,high_male,157268.45494010075
uc1.$b190276,"Bosco, Henri,",The dark bough. | $c: Translated from the French by Mervyn Savill.,1955,m,,157258.01973124887
mdp.39015010474073,"Manning, Olivia.",My husband Cartwright. | $c: With illus. by Len Deighton.,1956,f,high_male,157234.58754101954
mdp.39015064690400,"Robertson, James,",The testament of Gideon Mack / | $c: James Robertson.,2006,m,,157232.71582383654
uc1.b4553762,,Any woman's blues : | stories by contemporary black women writers / | $c: edited and with an introduction by Mary Helen Washington.,1980,u,,157214.8282125869
inu.39000000614235,"Malouf, David,",Fly away Peter / | $c: David Malouf.,1983,m,,157211.97346317428
uc1.$b155126,"Wilson, Dorothy Clarke.",Dr. Ida : | the story of Dr. Ida Scudder of Vellore / | $c: Dorothy Clarke Wilson.,1959,f,high_female,157196.30558165818
uc1.32106018113032,"Cortázar, Julio.",A change of light : | and other stories / | $c: Julio Cortázar ; translated from the Spanish by Gregory Rabassar.,1984,m,,157160.18837268584
uc2.ark:/13960/t1gh9gk7s,"Buchanan, Robert Williams,",The new Abelard,1884,m,,157146.30092683953
mdp.39015038123736,"Hughes, David,",The little book / | $c: David Hughes.,1996,m,,157097.197243034
mdp.39015057018973,"Lloyd, Josie.",Love lives / | $c: Josie Lloyd & Emlyn Rees.,2003,f,mixed,157045.62046011328
mdp.39015061185719,"Govier, Katherine,",Three views of crystal water / | $c: Katherine Govier.,2005,f,mixed,157038.6845475593
mdp.39015031840443,"Day, Christopher.",Places of the soul : | architecture and environmental design as a healing art / | $c: Christopher Day.,1993,m,mixed,156956.57577762048
uc2.ark:/13960/t8df6pd80,"Mathews, Basil,","John Williams, the shipbuilder",1915,m,high_male,156900.60237409975
nnc1.cu58325697,"Nordhoff, Charles,",Whaling and fishing;,1860,m,,156800.5703559343
uc1.b3548201,"Conrad, Joseph,",The works of Joseph Conrad.,1923,m,,156740.8793890975
mdp.39015020642511,"O'Faoláin, Seán,",Teresa and other stories.,1947,m,,156679.6333608871
mdp.39015076198111,,Jambula tree : | a selection of works from the Caine Prize for African Writing.,2008,u,,156607.59059773682
mdp.39015060640185,"Corrick, Martin.",After Berlin / | $c: Martin Corrick.,2005,m,high_female,156530.4622736364
mdp.39015039777936,"Ouida,",Puck,1877,f,mixed,156523.38825565105
mdp.39015070703130,"Mount, Ferdinand,",The condor's head : | an American romance / | $c: Ferdinand Mount.,2007,m,,156514.14250679302
uc1.b3261857,"Delafield, E. M.,","The time and tide album, | $c: edited by E.M. Delafield [pseud.] with a foreword by John Galsworthy.",1932,f,high_female,156505.14986502318
mdp.39015063346707,"Titley, Alan.",Parabolas : | stories & fables / | $c: Alan Titley.,2005,m,high_male,156477.05060040674
uc1.b3324541,"Lever, Charles James,",Barrington,1863,m,,156473.53525747987
mdp.39015013763522,"Druon, Maurice,",The curtain falls : | a modern trilogy,1959,m,mixed,156434.8745133785
uc1.$b396489,"Glanville, Brian.","The things he loves, and other stories.",1973,m,,156395.6760533696
uc1.$b236260,"Galsworthy, John,","Over the river, | $c: by John Galsworthy.",1933,m,,156346.2651701072
uc2.ark:/13960/t71v5d24b,"Goldsmith, Oliver,",The poems and plays of Oliver Goldsmith,1883,m,,156329.62884107613
uc1.b3326058,"Vachell, Horace Annesley,","A woman in exile, | $c: by Horace Annesley Vachell.",1926,m,,156318.23817813385
uiuo.ark:/13960/t9x06cj0n,"Chamier, Frederick,",The life of a sailor,1832,m,high_male,156266.89782307533
uc1.$b252046,"Tarrant, Noëline.",Dead on noon.,1965,u,mixed,156265.6694039663
