htid,author,title,year,authgender,female_category,gb_fraction
nnc1.0315302903,"Wilson, John Mackay,",Wilson's Tales of the Borders and of Scotland,1885,m,mixed,0.5601659751037346
uiuo.ark:/13960/t19k4pt46,"Dowling, Richard,",Tempest-driven,1886,m,,0.5600000000000002
uc1.$b312338,"Quirk, Violet.","The skirts of the forest, | $c: by Violet Quirk.",1931,f,high_female,0.56
mdp.39015064003000,"Bray,",The novels and romances of Anna Eliza Bray,1815,f,,0.56
njp.32101072041765,"Neil, Ross,","Abbot's Cleve, or, Can it be proved?",1864,f,high_female,0.56
uiuo.ark:/13960/t61555t25,"Lee, Holme,",Basil Godfrey's caprice,1868,f,high_female,0.56
uiuo.ark:/13960/t6d228w8f,"Diehl, Alice M.",Griselda,1886,f,high_female,0.56
uiuo.ark:/13960/t4rj4zq55,"M'Donogh, Felix,",The highlanders,1824,m,high_female,0.56
uc1.b3328954,"Dickens, Charles,",Sketches of young gentlemen,1838,m,,0.5599999999999999
uiuo.ark:/13960/t1bk1w12k,"Jephson, R. Mounteney",The girl he left behind him,1876,m,,0.5599999999999999
nyp.33433074970710,"Christie, Agatha,",The mysterious affair at Stiles,1920,f,mixed,0.5599999999999999
mdp.39076006608082,"Huxley, Aldous,",Collected works.,1970,m,mixed,0.5599999999999998
uiuo.ark:/13960/t2g73rh40,,"Edith Vernon, or, Contrasts of character",1855,m,high_female,0.5599999999999998
mdp.49015002143510,"Shaw, Bernard,",Works.,1930,m,mixed,0.5598377281947262
uiuo.ark:/13960/t0sq9gk7c,"Plumptre, Anne,",The history of myself and my friend;,1813,f,mixed,0.5597014925373135
uiuo.ark:/13960/t7wm20x0v,"Collins, Wilkie,",The moonstone,1868,m,mixed,0.5597014925373133
uiuo.ark:/13960/t7np2kr62,"St. Aubyn, Alan.",The master of St. Benedict's,1893,f,high_female,0.5595854922279794
inu.32000002882506,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,0.5595238095238095
uc1.32106005226854,"Avery, Gillian,",The lost railway / | $c: Gillian Avery.,1980,f,,0.5595238095238094
uc1.b3810795,"Boyd, Martin,",Such pleasure.,1949,m,high_female,0.5594936708860759
mdp.39015059502651,"Kaye-Smith, Sheila.",Starbrace,1909,f,,0.5594059405940593
mdp.39015019192759,"Blythe, Ronald,",The stories of Ronald Blythe.,1985,m,high_female,0.5594059405940593
uc1.b3327615,"Prior, James.",Three shots from a popgun,1880,m,mixed,0.559322033898305
mdp.39015053110972,"Woodward, Gerard,",August / | $c: Gerard Woodward.,2001,m,high_female,0.559322033898305
mdp.39015059376007,,The New British novelist;,1830,u,,0.5592105263157896
njp.32101075728483,"Opie, Amelia Alderson,",Tales of the heart,1820,f,mixed,0.5592105263157895
mdp.39015059408206,"James, G. P. R.",Pequinillo,1852,m,,0.5592105263157895
uiuo.ark:/13960/t08w4377h,"James, G. P. R.",The fate,1851,m,mixed,0.5592105263157895
mdp.39015055899481,"Bardsley, Wendy Louise.",The other concerto / | $c: Wendy Louise Bardsley.,2002,f,,0.5592105263157894
mdp.39015001039000,"Berridge, Elizabeth.",Family matters : | sixteen stories / | $c: Elizabeth Berridge.,1980,f,high_female,0.5592105263157893
mdp.49015002625425,,The Diva book of short stories / | $c: edited by Helen Sandler.,2000,u,high_female,0.5591836734693876
uc2.ark:/13960/t03x85708,"Lytton, Edward Bulwer Lytton,",The disowned,1829,m,high_male,0.5591397849462365
nyp.33433034410401,"Alexander,",The wooing o't,1874,f,high_female,0.5591259640102828
njp.32101013270481,"Reynolds, George W. M.",The mysteries of the court of London,1850,m,,0.5591182364729459
uc1.b3445494,"Thackeray, William Makepeace,",The Newcomes;,1854,m,mixed,0.559090909090909
uc1.$b302195,"Parry, Dennis,",Fair house of joy / | $c: by Dennis Parry.,1950,m,,0.5590909090909089
uiuo.ark:/13960/t9q24f21r,"Lillie, Arthur,",The cobra diamond,1890,m,mixed,0.5590551181102362
uiuo.ark:/13960/t3st8816q,"Wilkins, W. H.",The forbidden sacrifice,1893,m,high_female,0.5590551181102361
nyp.33433074954987,"Cullen, Margaret.",Home,1802,f,high_female,0.5588235294117648
uiuo.ark:/13960/t4gm8r35b,"Braddon, M. E.",The golden calf,1883,f,high_female,0.5588235294117647
mdp.39015018889785,"Francis, Dick.",Longshot / | $c: Dick Francis.,1990,m,,0.5588235294117647
njp.32101067633543,"Anstey, F.,",Love among the lions,1898,m,high_female,0.5588235294117647
uc2.ark:/13960/t1cj88m4b,,"The fisherman's children; or, The sunbeam of Hardrick Cove",1882,u,,0.5588235294117647
dul1.ark:/13960/t14m9s97v,"Trollope, Frances Milton,",The young heiress,1864,f,high_female,0.5588235294117646
mdp.39015084104069,"Kennedy, A. L.",What becomes / | $c: A.L. Kennedy.,2009,u,,0.5588235294117646
njp.32101066121896,"Gore,",The debutante;,1846,f,high_female,0.5587188612099644
uc1.b3401746,"Disraeli, Benjamin,",Endymion,1880,m,,0.5587044534412955
uiuo.ark:/13960/t3126gn1p,"Plumptre, Anne,",The history of myself and my friend;,1813,f,mixed,0.5586854460093897
mdp.39015053497080,"Moggach, Deborah.",Final demand / | $c: Deborah Moggach.,2001,f,high_female,0.5586854460093897
mdp.39015050047961,,Catwomen from hell : | contemporary short stories by women from Wales / | $c: edited by Janet Thomas.,2000,u,high_female,0.5586592178770949
