htid,author,title,year,authgender,female_category,streets
mdp.39015003465526,"Munro, Alice.","Dance of the happy shades, and other stories.",1974,f,high_female,129.19335577027468
wu.89034614867,"Hockin, Olive.",Two girls on the land,1918,f,,129.1927843437485
uc1.b2795239,"Carew, Jan.",The last barbarian / | $c: Jan Carew.,1961,u,mixed,129.1695851109312
inu.32000001014564,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_female,129.15891713163876
uc1.b3862766,"Firbank, Ronald,",Sorrow in sunlight.,1924,m,high_female,129.14143213395084
mdp.39015082690481,"Seymour, Gerald.",Timebomb / | $c: Gerald Seymour.,2008,m,high_male,129.11977491961414
uc1.$b156134,"Jones, Gwyn,","Welsh short stories, | $c: by E. Tegla Davies, Rhys Davies, Caradoc Evans ... [and others] Selected by Gwyn Jones.",1941,u,,129.1135254290663
njp.32101067644573,"Flecker, James Elroy,",The king of Alsander. --,1914,m,high_male,129.0953300077708
uc1.b4104692,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_female,129.0477993048625
uc1.32106012273410,"Healy, Dermot,",Sudden times,1999,m,mixed,128.95479911955
uc1.b3810837,"Buchan, John,",The path of the king / | $c: John Buchan.,1923,m,high_male,128.81235013178494
mdp.39015034649288,"Borowski, Tadeusz,","This way for the gas, ladies and gentlemen: and other stories; | $c: selected and translated by Barbara Vedder.",1967,m,,128.77589315280179
uc1.b4358582,"Hindus, Maurice Gerschon,",We shall live again,1939,m,high_male,128.72914083679873
mdp.39015035762692,"Sholokhov, Mikhail Aleksandrovich,","And quiet flows the Don, | $c: by Mikhail Sholokhov, translated from the Russian by Stephen Garry.",1934,m,,128.7244761571837
mdp.39015057591961,"Mills, Magnus.",Once in a blue moon / | $c: Magnus Mills.,2003,m,high_male,128.7001287001287
mdp.39015031228250,"Dawson, Jennifer.",A field of scarlet poppies / | $c: [by] Jennifer Dawson.,1979,f,,128.6357464446509
uiuo.ark:/13960/t3zs3358q,"Curtois, Margaret Anne.",Tracked,1888,f,,128.6053022894423
uc2.ark:/13960/t7vm4bq74,"Weyman, Stanley John,",A gentleman of France,1893,m,high_male,128.59695709537885
mdp.39015016926555,,Stories of the forties / | $c: edited by Reginald Moore and Woodrow Wyatt.,1945,u,mixed,128.4341243514502
mdp.39015038166263,"Orga, Margarete,",The house on the Fontanka: | modern Soviet short stories; | $c: edited by Margarete Orga.,1970,f,,128.3252829644582
uc2.ark:/13960/t09w0bw7q,"Pawlowska, Yoï.",In a grain of sand,1922,u,mixed,128.32125603864733
uc1.$b739103,"Bianchi, Oliviero Honoré,","Devil's night, | $c: translated by Isabel Quigly.",1961,u,high_female,128.27402104387318
mdp.39015028020710,"Guli͡ashki, Andreĭ.",The Zakhov mission; | $c: translated by Maurice Michael.,1968,u,mixed,128.19295413540974
mdp.39015053584218,"Baron, Alexander,","With hope, farewell.",1973,m,,128.0996372068669
uc1.b2806719,"Wahlöö, Per,",The assignment | $c: [by] Peter Wahlöö.  Translated from the Swedish by Joan Tate.,1965,u,high_male,128.09815374128874
uc1.b2800312,"Asturias, Miguel Angel.",The president / | $c: by Miguel Angel Asturias ; translated from the Spanish by Frances Partridge.,1963,m,,128.07178896519713
mdp.39015012884584,"Edgell, Zee.",Beka Lamb / | $c: Zee Edgell.,1982,f,,127.97807567511667
mdp.39015019780264,"Clarke, Pauline,",The white elephant. | $c: Illustrated by Richard Kennedy.,1952,f,high_female,127.88032332006273
mdp.39015033263883,"Headley, Victor.",Excess.,1994,m,,127.80265211946546
nyp.33433074932389,"Banim, John,",The Anglo-Irish of the nineteenth century,1828,m,,127.75561769841157
mdp.39015053607084,"Morrieson, Ronald Hugh,",Predicament / | $c: Ronald Hugh Morrieson.,1982,m,high_male,127.71657304245797
mdp.39015036672916,"O'Faoláin, Seán,",Stories.,1958,m,,127.66826677561025
mdp.39015031840443,"Day, Christopher.",Places of the soul : | architecture and environmental design as a healing art / | $c: Christopher Day.,1993,m,mixed,127.66181464030954
uc1.b4938199,"Kiely, Benedict.",A ball of malt and Madame Butterfly; | a dozen stories.,1973,m,,127.58732370866908
nyp.33433074876230,"MacIlwaine, Herbert C.",The tower maiden,1907,m,high_male,127.53656048067113
wu.89100064526,"Ellison, Wallace.",Escaped! adventures in German captivity,1918,m,,127.4810834521329
mdp.39015055080876,"Charry, Brinda.",The hottest day of the year / | $c: Brinda Charry.,2001,f,high_female,127.46160219233956
inu.32000002424788,"Lowther, Anthony William George.","The Roman theatre at Verulamium (St. Albans), | a reconstruction, | $c: by Anthony W. G. Lowther.",1935,m,high_male,127.420998980632
inu.30000036605800,"Narayan, R. K.,","An astrologer's day, | and other stories.",1947,m,high_male,127.34243049784187
uc1.$b472851,"Neumann, Alfred,",Look upon this man : | a novel / | $c: by Alfred Neumann ;  translated ... by Ransom T. Taylor].,1950,m,high_male,127.2402079056982
uc1.$b242895,"Frost, Ernest,",The dark peninsula.,1949,m,,127.23674112372258
