htid,author,title,year,authgender,female_category,urban_metric_gb
mdp.39015019594293,"Collins, Merle.",Rain darling :stories / | $c: Merle Collins.,1990,u,high_female,-0.40951519943558456
uc1.b3751224,"Dutourd, Jean,",A dog's head; | $c: translated from the French by Robin Chancellor.,1951,f,,-0.4095252844242353
uc1.32106001633764,"Gbadamosi, Bakare.",Not even God is ripe enough: | Yoruba stories; | $c: told by Bakare Gbadamosi & Ulli Beier.,1968,u,high_male,-0.4096201550201456
njp.32101066122548,"Grey, Elizabeth Caroline.",The duke,1839,f,,-0.4097663448146101
mdp.39015001144453,"Hartley, L. P. (Leslie Poles),",The collected short stories of L. P. Hartley; | with an introduction | $c: by Lord David Cecil.,1968,m,,-0.40984199577517977
uc1.32106018330834,"Dickson, Jack",Out of this world / | $c: Jack Dickson,2002,m,high_male,-0.41008255591566
mdp.39015051761164,"Niranjchana, Shakti.",The web of silk and gold / | $c: Shakti Niranjchana.,2001,u,,-0.41038810336722736
mdp.39015009227243,"Martineau, Harriet,",The billow and the rock,1846,f,high_female,-0.41054632118501716
mdp.39015030711231,"Reade, Charles,",The wandering heir,1889,m,mixed,-0.4105478118543738
mdp.39015015401618,"Beti, Mongo,",King Lazarus: | a novel.,1970,u,high_male,-0.4105585600243262
mdp.39015065763503,"Smith, Horace,",Walter Colyton,1830,m,,-0.4105699553685458
mdp.39015063958089,"Cooper, James Fenimore,",The headsman;,1833,m,,-0.41060858550093643
mdp.39015064001525,"Defoe, Daniel,",The novels and miscellaneous works,1840,m,high_male,-0.4107320072578365
uiuo.ark:/13960/t2t44c55w,"Wills, C. J.",The Pit Town coronet;,1888,m,mixed,-0.4107657507062877
mdp.39015013239200,"Kinsella, W. P.",The moccasin telegraph and other stories / | $c: by W.P. Kinsella.,1983,m,mixed,-0.4107810914867088
uiuo.ark:/13960/t9q247n69,"Croker, B. M.",Mr. Jervis,1894,f,,-0.4108368207258122
uc1.$b322939,"Barke, James,",The well of the silent harp : | a novel of the life and loves of Robert Burns.,1954,m,,-0.41095441978401376
uiuo.ark:/13960/t2988ww5r,,Yarndale,1872,u,,-0.41102982541444205
mdp.39015001070542,"Rasputin, Valentin,",Money for Maria and Borrowed time : | two village tales / | $c: Valentin Rasputin ; translated by Kevin Windle and Margaret Wettlin.,1981,m,mixed,-0.4111059713194401
