htid,author,title,year,authgender,female_category,urban_metric_gb
uiuo.ark:/13960/t0cv4wk6m,"Grant, Maria M.",One May day,1882,f,,0.5857799604855608
uiuo.ark:/13960/t3708cf7k,"Belfast, Frederick Richard Chichester,",The farce of life,1852,m,,0.5857520670885767
mdp.39015030738382,"Ertz, Susan.",The philosopher's daughter / | $c: Susan Ertz.,1976,f,high_female,0.5856357355740172
mdp.39015014315827,"Naipaul, Shiva,",A hot country / | $c: Shiva Naipaul.,1983,u,,0.5854178793899876
mdp.39015065764048,"Thomson, Richard,",Tales of an antiquary,1828,m,high_male,0.5853053281984109
uiuo.ark:/13960/t09w13v7r,,Wedded life in the upper ranks,1831,u,,0.585279942538664
mdp.49015000240045,"Aria, Eliza (Davis),",My sentimental self,1922,f,mixed,0.585245119809926
uc2.ark:/13960/t3hx1bd1z,"Grant, James,",Second to none,1864,m,mixed,0.5849334841644085
inu.30000095825646,"Charlesworth, Monique,",The children's war / | $c: Monique Charlesworth.,2004,f,mixed,0.5849043636190797
inu.30000110565557,"Broughton, Sarah.",Other useful numbers / | $c: Sarah Broughton.,2008,f,high_female,0.5847661287400624
mdp.39015022004983,"Dyer, Geoff.",But beautiful : | a book about jazz / | $c: Geoff Dyer.,1991,m,high_male,0.584365136108292
uc1.b3123812,"Hood, Tom,",A golden heart,1867,m,high_female,0.5842800048553642
mdp.39015039762904,"Shapcott, Thomas W.",Limestone and lemon wine : | stories / | $c: by Thomas Shapcott.,1988,m,,0.5837842217510416
uiuo.ark:/13960/t6ww81j60,"Spender, John Kent,",A modern Quixote,1894,f,mixed,0.5833962586814887
mdp.39015058120810,"Zeh, Juli,",Eagles and angels / | $c: Juli Zeh ; [translated by Christine Slenczka.],2003,f,high_female,0.5833700039053662
mdp.39015025106819,"Simenon, Georges,","A Simenon omnibus, | comprising Mr. Hire's engagement, The little man from Archangel, In case of emergency, Sunday, The premier.",1965,m,mixed,0.58318457540483
mdp.39015050794240,"Thorpe, Adam,",Nineteen twenty-one / | $c: Adam Thorpe.,2001,m,mixed,0.582627866590464
mdp.39015029177857,"Lasdun, James.",Three evenings and other stories / | $c: James Lasdun.,1992,m,high_female,0.5825577324699629
mdp.39015082663785,"Irvine, Susan.",Muse / | $c: A.S. Irvine.,2008,f,,0.5823932434541985
mdp.39015014863693,"Sitwell, Osbert,",Collected stories / | $c: Osbert Sitwell.,1953,m,high_female,0.5823770623101844
mdp.39015008410360,"Sharpe, Tom.",Vintage stuff / | $c: Tom Sharpe.,1982,m,high_male,0.5820608590632778
uc2.ark:/13960/t0ht2v58x,"Gowing, Aylmer.",My only love;,1880,u,high_female,0.5817815633279401
uc2.ark:/13960/t4cn7376s,"Mitton, G. E.",The cellar-house of Pervyse;,1917,f,mixed,0.5815934151426736
uiuo.ark:/13960/t9086wq6c,"Scargill, William Pitt,","Penelope, or, Love's labour lost",1828,m,,0.5812417811545794
wu.89095838025,"Millar, George Reid.",Horned pigeon.,1946,m,,0.5811351244678022
uiuo.ark:/13960/t79s2b97r,"James, G. P. R.",Arabella Stuart,1844,m,,0.5810833404062018
uc1.$b301784,"Lake, Elizabeth.",The lovers disturbed.,1949,f,high_female,0.5810621557058909
uiuo.ark:/13960/t7gq7dw2j,"Lamington, Alexander Dundas Ross Wishart Cochrane-Baillie,",Lucille Belmont,1849,m,mixed,0.5808796533052982
mdp.39015008236047,"Colegate, Isabel.",Agatha.,1973,f,mixed,0.5808168608221438
uc1.b4938185,"(Ray Coryton), Hutchinson, R. C.",The unforgotten prisoner / | $c: R. C. Hutchinson.,1983,u,high_male,0.5807185483351398
uiuo.ark:/13960/t8bg38q94,"Phillips, Samuel,",Caleb Stukely,1844,m,,0.5798623276281187
mdp.39015080879896,"Vincenzi, Penny.",The best of times / | $c: Penny Vincenzi.,2009,f,,0.5793121961183441
inu.32000011401025,"Lyulph,",Shakespeare,1899,u,,0.578827039711605
uiuo.ark:/13960/t8rb7pw6r,"Strange, Calthorpe.",Two worlds of fashion,1872,u,,0.5786711867240593
uc1.$b787324,"Raymond, Ernest,",A chorus ending / | $c: by Ernest Raymond.,1951,m,high_female,0.5786499112088891
uiuo.ark:/13960/t13n2j35p,"Gibbon, Charles,",Fancy free,1884,m,,0.5784373970339727
mdp.39015060807727,"Cunliffe, Barry W.",Fishbourne : | a guide to the site / | $c: by Barry Cunliffe ; with the results of recent excavations in the north wing by David J. Rudkin.,1977,m,high_male,0.5782484426543419
mdp.39015080886982,,Paint a vulgar picture : | fiction inspired by The Smiths / | $c: edited by Peter Wild.,2009,u,mixed,0.5782410413960306
inu.32000013013240,"Trollope, Anthony,",Sir Harry Hotspur of Humblethwaite,1877,m,mixed,0.5782195544025861
umn.319510021168086,"Tegner, Henry.",The old man hunts / | $c: by a Northumbrian gentleman. Drawings by Peter Biegel.,1959,m,,0.5781292261366094
mdp.39015060032169,"Green, Angela.",The colour of water / | $c: Angela Green.,2003,f,high_female,0.5781221199209744
mdp.39015062842466,,Nova Scotia : | new Scottish speculative fiction / | $c: edited by Neil Williamson & Andrew J. Wilson.,2005,u,mixed,0.5780986469446607
mdp.39015008777883,"Anand, Mulk Raj,",Untouchable; | a novel. | $c: With a pref. by E. M. Forster.,1935,m,high_male,0.5779240285952041
uc1.$b236122,"Coxhead, Elizabeth,",The figure in the mist / | $c: Elizabeth Coxhead.,1955,f,high_female,0.577898780641947
uc1.b4184454,Sister of Notre Dame.,Vittorino da Feltre,1920,f,,0.5778417400165545
mdp.39015063544921,"Craik, Dinah Maria Mulock,",Studies from life,1862,f,high_female,0.5772656942726333
uiuo.ark:/13960/t1kh0xv97,"Davidson, Hugh Coleman,",The old Adam,1888,m,high_male,0.5768853827126588
uc2.ark:/13960/t05x2774c,"Scott, P. E. S.",The gates of Kut,1917,f,high_female,0.5767694917472412
inu.32000009614910,"Wilson, Colin,",The world of violence.,1963,m,,0.5767460450330628
mdp.39015004198142,"Moravia, Alberto,","Paradise, & other stories; | $c: translated from the Italian by Angus Davidson.",1971,m,,0.5766075291648165
mdp.39015031237988,"Hanley, James,",What Farrar saw | $c: [by] James Hanley.,1946,m,mixed,0.5762384731052712
mdp.39015009167241,"Tert͡s, Abram,",The Makepeace experiment / | $c: Translated by Manya Harari.,1965,m,high_male,0.5759911291254485
mdp.39015000523301,"(Pelham Grenville), Wodehouse, P. G.","Jill the reckless,",1935,m,mixed,0.5756896076532774
mdp.39015032951694,"Conlon, Evelyn.",Taking scarlet as a real colour / | $c: Evelyn Conlon.,1993,f,high_female,0.5755203054329316
uc1.$b794738,"Firbank, Ronald,",Caprice,1917,m,high_female,0.575315159309234
inu.30000114176047,"Apter, T. E.",Silken lines and silver hooks / | $c: [by] T. E. Apter.,1976,u,high_female,0.575262555560034
mdp.39015008808803,"Thackeray, William Makepeace,",Works,1883,m,,0.5751717153889947
mdp.39015012187459,"Banville, John.",Mefisto / | $c: John Banville.,1986,m,,0.5747982796284807
wu.89074007592,"Bjørneboe, Jens,",The silence : | an anti-novel and absolutely the very last protocol / | $c: Jens Bjørneboe ; translated from the Norwegian by Esther Greenleaf Mürer.,2000,m,high_male,0.5747412413438558
mdp.39015059400310,"Del-Rivo, Laura,",The furnished room.,1961,f,high_male,0.5747338652754193
uiuo.ark:/13960/t3rv16c58,"Speight, T. W.",A secret of the sea,1876,m,mixed,0.5738242044571591
uc1.32106014535824,"Woolf, Virginia,","The death of the moth,",1942,f,,0.5736473280513936
mdp.39015014622024,"Moorcock, Michael,",The Runestaff / | $c: Michael Moorcock.,1977,m,high_male,0.5735424994549763
wu.89016705428,"Rey Rosa, Rodrigo,",The beggar's knife / | $c: Rodrigo Rey Rosa ; translated from the Spanish by Paul Bowles.,1988,m,high_male,0.5735347423849502
mdp.39015049983086,"Fishwick, Michael.",Smashing people / | $c: Michael Fishwick.,2001,m,,0.5732239352009288
uc1.b5302290,"Pickthall, Marmaduke William,",Saïd the fisherman,1903,m,high_male,0.5732227329919943
mdp.39015063961430,"Winter, John Strange,",Into an unknown world,1897,m,high_female,0.5731739193840935
uc2.ark:/13960/t4wh2h10j,"Henham, Ernest George,",Wintering Hay,1912,m,mixed,0.5727768560274417
hvd.hnnzlg,,The pic-nic papers,1841,m,,0.5726720201454937
mdp.39015063961398,"Winter, John Strange,",Aunt Johnnie,1894,m,high_female,0.5724211711146617
mdp.39015051323171,"Belloc, Hilaire,","The green overcoat, | $c: by Hilaire Belloc. With illustrations by G. K. Chesterton.",1923,m,high_male,0.5723149494704111
uiuo.ark:/13960/t3pv73f43,"Braddon, M. E.","Weavers and weft, and other tales",1877,f,mixed,0.5721960604038161
mdp.39015017711089,,Forgiveness: | Ireland's best contemporary short stories / | $c: edited by Augustine Martin.,1989,u,,0.5721565915577299
mdp.39015056797783,"Funder, Anna.",Stasiland / | $c: Anna Funder.,2003,f,,0.5721230660173345
nyp.33433082539549,"Henty, G. A.",For the temple;,1887,m,high_male,0.5719744269212813
mdp.39015025098750,"Mottram, R. H. (Ralph Hale),","The Spanish farm trilogy, 1914-1918.",1930,m,,0.5719703900786882
mdp.39015026486327,"Simpson, Alyse.",An innocent in England.,1961,f,,0.5718010187406082
wu.89006405963,"Owen, John,",The idealist;,1922,m,,0.5713799264001358
uc1.b4974544,"Morris, G. H.,","Grandmother, Grandmother, come and see / | $c: G.H. Morris.",1989,u,,0.5712385377623133
mdp.39015067683691,"Fletcher, Susan,",Oystercatchers / | $c: Susan Fletcher.,2007,f,high_female,0.5710626280592146
mdp.39015060123430,"Sharpe, Tom,",Wilt in nowhere / | $c: Tom Sharpe.,2004,m,,0.5708259428934004
dul1.ark:/13960/t74t7bp9b,"Besant, Walter,",The revolt of man,1896,m,,0.5706000930386641
uc1.b4265616,"Sykes, John,",A Japanese family / | $c: by John Sykes.,1957,m,,0.5705523146174749
mdp.39015030042736,"Williamson, Henry,",The sun in the sands.,1945,m,,0.570312862223514
uc1.$b312023,"Romains, Jules,",Tussles with time. | $c: Translated by Gerard Hopkins.,1952,m,high_female,0.5698502084921513
uc2.ark:/13960/t8mc8tn6r,"Oliphant,",The Melvilles,1852,f,,0.5698180158690245
uc1.b2848202,"Lyall, Gavin.",Midnight plus one / | $c: by Gavin Lyall.,1965,m,high_male,0.5696888469775996
mdp.39015031228722,"Davies, W. H.",A weak woman,1911,m,high_female,0.5694549521790111
mdp.39015020642511,"O'Faoláin, Seán,",Teresa and other stories.,1947,m,,0.569279886724434
uiuo.ark:/13960/t9x06ck1k,"Buxton, Bertha H. (Leopold),",A noble name,1883,f,mixed,0.5688530365030202
mdp.39015064876413,"Newland, Courttia.",Music for the off-key : | twelve macabre short stories / | $c: Courttia Newland.,2006,u,,0.5687646638270312
mdp.39015064888988,"King, Danny,",Milo's run / | $c: Danny King.,2006,m,mixed,0.5684982136492932
mdp.39015024982889,"Common, Jack.",Kiddar's luck / | $c: Jack Common.,1990,m,mixed,0.5684588773330558
mdp.39015039745727,"Bosanquet, David.",Escape through China / | $c: by David Bosanquet.,1983,m,high_male,0.5682931395971321
inu.39000005883637,"Dietrich, Anton.",Russian popular tales / | $c: translated from the German version of Anton Dietrich; with an introd. by Jacob Grimm.,1974,m,high_male,0.5681836101777245
mdp.39015013928133,"Simenon, Georges,",The second Simenon omnibus.,1974,m,,0.5678442519562115
dul1.ark:/13960/t18k82d6j,"Riddell, J. H.,",Mitre Court,1885,f,mixed,0.5677228956864231
uiuo.ark:/13960/t2f76tm8x,"Clarke, Charles.",Lord Falconberg's heir,1868,m,high_male,0.5676542171533484
uiuo.ark:/13960/t0bv7vb9b,"Fothergill, Caroline.",Put to the proof,1883,f,high_female,0.5674460279659908
uc1.$b242924,"Gibbs, Philip,","Out of the ruins, | and other little novels, | $c: by Philip Gibbs ...",1928,m,mixed,0.5671873356102781
uc1.32106006702077,"Forbes, Colin.",The leader and the damned / | $c: Colin Forbes.,1983,m,,0.5668569696255413
uc2.ark:/13960/t4qj78t14,"Thayer, John Adams,",Getting on;,1911,m,high_male,0.5666877508814968
mdp.39015039722270,"Caine, Hall,",The scapegoat,1891,m,high_female,0.5664618085127595
nyp.33433074929310,"Brebner, Percy James,",The crucible of circumstance,1906,m,,0.5663743624522074
uc2.ark:/13960/t40r9p728,"Ayscough, John,",Pages from the past,1922,m,mixed,0.5662615900914539
nyp.33433074870134,"Holmes, F. M.",Faith's father: a story of child-life in London bye-ways,1880,u,,0.5661651098538355
mdp.39015014889300,,Sojourn / | $c: edited by Zhana.,1988,u,high_female,0.5660578968951495
uiuo.ark:/13960/t2794hz6s,"Hopton, Anna Maria,",Dawn and twilight,1858,f,mixed,0.5658322150939648
uc2.ark:/13960/t6154t46m,,George Cruikshank's Table-book,1845,m,,0.5658190568248682
uc1.b3477705,"Braine, John.",The queen of a distant country.,1972,m,mixed,0.5655237840019322
uc1.$b244598,"Royde-Smith, Naomi Gwladys.","A blue rose, | a tale",1959,f,high_female,0.5654858767230727
uc1.b3834475,"Farnol, Jeffery,",The amateur gentleman,1913,m,high_male,0.5654270131951356
uc1.32106011414205,"Simenon, Georges,",Maigret's first case / | $c: by Georges Simenon. Translated from the French by Robert Brain,1953,m,,0.5649590036532848
nyp.33433074964325,"Norris, W. E.",Thirlby hall,1883,f,,0.564709975583691
uc1.$b188543,"Gascar, Pierre,",The fugitive. | $c: Translated by Merloyd Lawrence.,1964,m,,0.5646112291689875
inu.30000005351618,"Trollope, Anthony,",The warden,1894,m,,0.5645943130372413
mdp.39015013286086,"Maugham, Robin,","The black tent, | and other stories. | $c: With an introduction by Peter Burton.",1973,m,,0.5645509119953931
uc2.ark:/13960/t5r78cz8d,"Carrel, Frederic.",The adventures of John Johns,1897,m,,0.5640232231270352
uc1.$b119999,"Tripp, Miles,",One is one.,1968,m,mixed,0.5628856360840961
uc1.$b783912,"Dame. Macaulay, Rose,","They were defeated, | $c: by Rose Macaulay.",1960,f,high_male,0.5627499787752694
mdp.39015031234480,"Holder, Philip.",Captain Mahjong / | $c: Philip Holder.,1976,m,,0.5626473809407204
uiuo.ark:/13960/t5m90gs99,"Battersby, John.",Tell-tale Sophas,1826,m,high_female,0.5625848252887934
njp.32101063882672,"Norris, W. E.",Adrian Vidal,1885,f,high_female,0.5624871489196392
mdp.39015030707270,"Meredith, George,",Lord Ormont and his Aminta,1894,m,,0.5623887344026708
uc1.32106010366224,"Allingham, Margery,",Flowers for the judge | $c: [by] Margery Allingham.,1967,f,,0.5620234843282835
uc1.b4379991,"Soriano, Osvaldo.",Winter quarters : | a novel of Argentina / | $c: Osvaldo Soriano ; translated by Nick Caistor.,1989,m,mixed,0.5619948286595254
nyp.33433075763502,"Thackeray, William Makepeace,",The history of Pendennis;,1906,m,mixed,0.5618267516538564
mdp.39015047645919,"Surr, T. S.",A winter in London;,1806,m,,0.5615792541089717
uc1.b4948552,"Feinstein, Elaine.",The survivors / | $c: Elaine Feinstein.,1982,f,,0.5614814921014413
mdp.39015048693579,"Nyamfukudza, S.,",The non-believer's journey / | $c: S. Nyamfukudza.,1980,u,,0.5612563412620246
njp.32101065762294,"Braddon, M. E.",Hostages to fortune;,1875,f,mixed,0.561249455819556
uva.x030742633,"Dawson, A. J.",The genteel A. B,1907,m,high_male,0.5612349422547928
mdp.39015004319417,"Lively, Penelope,","Nothing missing but the samovar, and other stories / | $c: [by] Penelope Lively.",1978,f,high_female,0.5610965493499858
inu.30000100689912,"Nesin, Aziz.",Out of the way! Socialism's coming! = | Sosyalizm geliyor savulun / | $c: Aziz Nesin ; English translations by Damian Croft.,2001,u,high_male,0.5610852067334748
uc1.b4505377,"Tantri, K'tut.",Revolt in paradise.,1960,u,high_male,0.5608909930682788
mdp.39015016870761,,Hard feelings : | fiction and poetry from Spare Rib / | $c: edited and illustrated by Alison Fell.,1979,u,high_female,0.5606740330390647
uiuo.ark:/13960/t4dn4pr0t,"Meeke, Mary,",Langhton Priory,1809,f,mixed,0.5605333175086904
mdp.39015003679555,"Taylor, Elizabeth,",Angel.,1957,f,high_female,0.5603400884750386
uiuo.ark:/13960/t3tt53s18,"Donelan, A. M.",What 'tis to love,1873,u,mixed,0.5602460642473341
uiuo.ark:/13960/t71v6546p,"Tabor, Eliza.",Alec's bride,1867,f,,0.5601774453553032
mdp.39015021881159,"Gardam, Jane.",The queen of the tambourine / | $c: Jane Gardam.,1991,f,,0.5601722037151886
mdp.39015025220255,"Flint, Helen.",Making the angels weep / | $c: Helen Flint.,1992,f,,0.5599281401951122
mdp.39015020703164,"graf, Tolstoy, Aleksey Nikolayevich,","Darkness and dawn,",1935,m,mixed,0.5595699407918617
uc2.ark:/13960/t9c53p432,"Belloc, Hilaire,",The green overcoat,1912,m,high_male,0.5595442798750903
mdp.39015014517083,,Stepping out : | short stories on friendships between women / | $c: edited by Ann Oosthuizen.,1986,u,high_female,0.5593946979835138
uc1.$b244965,"Stern, G. B. (Gladys Bronwyn),",See-saw.,1931,f,high_female,0.5592594277833302
uc1.32106015024448,"Brady, Joan",The emigré / | $c: Joan Brady,1999,f,mixed,0.5589229243022974
uc1.$b301785,"Magno, Paschoal Carlos,",Sun over the palms.,1943,m,mixed,0.5587850908943786
mdp.39015000599079,"Raven, Simon,",The Judas boy: | the fifth novel in the Alms for oblivion sequence.,1968,m,mixed,0.5587506378169198
mdp.39015032640743,"Maddy, Yulisa Amadu,","No past, no present, no future.",1973,u,high_male,0.5585836228181803
uc1.$b244144,"Murry, John Middleton,","The voyage, | $c: by John Middleton Murry.",1924,m,,0.5585443620197128
inu.30000110621319,"Bone, Ann.",After Anjelica (detail) / | $c: Ann Bone.,2009,f,mixed,0.558284823259817
mdp.39015084096117,"Moyes, Jojo,",The horse dancer / | $c: Jojo Moyes.,2009,f,high_female,0.5578183613190125
uc2.ark:/13960/t3vt1nq85,"Whyte-Melville, G. J.",The White Rose,1868,m,,0.5573947876316323
mdp.39015016977277,"Griffiths, Paul,",Myself and Marco Polo : | a novel of changes / | $c: Paul Griffiths.,1989,m,high_male,0.557181697734504
uiuo.ark:/13960/t9f48648v,"Macquoid, Katharine S.",At the red glove,1885,f,high_female,0.5571583670897804
uc2.ark:/13960/t8rb7051n,"Adderley, J. G.",Old seed on new ground,1920,u,,0.5570712663755804
mdp.39015037060616,"Brown, George Mackay.","Greenvoe, | a novel.",1972,m,,0.5570429533902554
uiuo.ark:/13960/t76t16s20,"Braddon, M. E.",Wyllard's weird,1880,f,,0.5568073785991803
mdp.39015061752674,"Shukman, Henry.",Darien dogs / | $c: Henry Shukman.,2004,m,,0.5565192865364039
mdp.39015028303462,"Chaves Nogales, Manuel,",And in the distance a light-- ?,1938,m,high_male,0.5565084145525154
mdp.39015048901006,"Mackenzie, Compton, Sir,","The south wind of love; | being book two of ""The four winds of love"", | $c: by Compton Mackenzie.",1937,m,,0.556024604648739
mdp.39015074299101,"Gittins, Chrissie.",Family connections / | $c: Chrissie Gittins.,2007,f,high_female,0.5554095988472758
mdp.39015016437496,"MacInnes, Colin.",To the victors the spoils.,1950,m,high_male,0.5552530851338309
mdp.39015000643042,"Croft-Cooke, Rupert,",Nasty piece of work.,1973,m,,0.5551461969684167
mdp.39015074228381,"McCarthy, Tom,",Men in space / | $c: Tom McCarthy.,2007,m,,0.5550681794117467
inu.32000002197491,"Laurent, Livia.","A tale of internment, | $c: by Livia Laurent.",1942,u,high_female,0.5549303356033786
uc1.b4948947,"Manning, Olivia.",The sum of things : | a novel / | $c: by Olivia Manning.,1980,f,high_female,0.5549163745053591
njp.32101066164227,,The green room;,1880,m,mixed,0.5549114667099784
mdp.39015001012916,"Maugham, Robin,",The deserters : | a novel / | $c: Robin Maugham.,1981,m,high_male,0.5549084461598953
mdp.39015031238663,"Hanley, James,","Crilley, | and other stories | $c: by James Hanley.",1945,m,mixed,0.5545841550906515
uc1.b3826722,"Waugh, Evelyn,","Brideshead revisited; | the sacred and profane memories of Captain Charles Ryder, a novel.",1960,m,mixed,0.5543650632997784
mdp.39015006992567,"Benson, Stella,",I pose,1915,f,,0.5538864487532673
nyp.33433074970652,"Chatelain, Clara de,",Truly noble,1870,f,high_male,0.5537902067495653
mdp.39015051293416,"Hamilton-Paterson, James.",Loving monsters / | $c: James Hamilton-Paterson.,2001,m,mixed,0.5536891236309722
uc2.ark:/13960/t3222zm9p,"Pickthall, Marmaduke William,",Tales from five chimneys,1914,m,,0.5533232218116942
mdp.39015019589970,"Mannin, Ethel,","The living lotus, | $c: by Ethel Mannin.",1970,f,high_female,0.5530092171536651
hvd.hxkelx,"Brunton, Mary,",Self-control,1811,f,high_female,0.5528788566897185
uc1.b3322307,"Banks, G. Linnaeus",In his own hand,1885,f,,0.5526192862088861
inu.30000044450660,"Mackay, Shena.",Collected short stories / | $c: Shena Mackay.,1994,f,,0.5522367112152932
mdp.39015049860797,"Josipovici, Gabriel,",The air we breathe / | $c: Gabriel Josipovici.,1981,m,,0.5521955659838085
mdp.39015005637635,"Hanley, James,","Men in darkness; | five stories, | $c: by James Hanley; with a preface by John Cowper Powys.",1931,m,,0.5519892922826801
uc2.ark:/13960/t46q1vc8h,"Watson, William Davy,",Trevethlan,1848,m,mixed,0.551850324306784
uc1.32106008238773,"Vázquez Montalbán, Manuel.",Southern seas / | $c: Manuel Vazquez Montalban ; translated by Patrick Camiller.,1986,m,high_male,0.5518258961572756
uiuo.ark:/13960/t4cn7cf97,"Baldwin, Alfred,",Richard Dare,1894,f,,0.5516837287987901
uc2.ark:/13960/t5s759n39,"Marriott, Charles,",The happy medium,1908,m,mixed,0.5516720639160979
mdp.39015031308227,"Tremain, Rose.",Sadler's birthday / | $c: Rose Tremain.,1976,f,mixed,0.5513688502778934
inu.39000003355935,"Cross, John Keir,",The other passenger : | 18 strange stories / | $c: by John Keir Cross ; with 8 colour plates by Bruce Angrave.,1944,m,,0.5510893184665608
uc1.b3462129,"Lambert, Gavin.",In the night all cats are grey / | $c: Gavin Lambert.,1976,m,high_female,0.5510420613114425
uiuo.ark:/13960/t9765vr32,"Gore,",The birthright and other tales,1844,f,,0.5509697076843898
mdp.39015031227906,"Davidson, John,","The Great Men ; and, A practical novelist",1891,m,mixed,0.5509534955470643
mdp.39015008008214,"Braine, John.",One and last love / | $c: John Braine.,1981,m,,0.5508169638460931
mdp.39015000630726,"Lawrence, D. H. (David Herbert),",Works.,1954,m,,0.5505242335493841
uc2.ark:/13960/t1rf5pg8p,"Smith, Charlotte,",The old manor house,1820,f,mixed,0.5504277137542308
mdp.39015073621057,"Diamond, Elizabeth.",An accidental light / | $c: Elizabeth Diamond.,2008,f,high_female,0.550296851052847
uiuo.ark:/13960/t7hq4bq34,"Hamley, W. G.",The house of Lys,1879,u,,0.5502070365590789
mdp.39015040179494,"Pears, Tim,",In a land of plenty / | $c: Tim Pears.,1997,m,,0.55013941936963
mdp.39015050246019,"Broady, Bill.",Swimmer / | $c: Bill Broady.,2000,m,mixed,0.5500528633994879
mdp.39015034015555,"Birch, Carol,",Songs of the west / | $c: Carol Birch.,1994,f,,0.5499026136780012
inu.30000103141283,"Kotting, Mark.",Nappy rash / | $c: Mark Kotting.,2005,m,,0.5498020413399035
mdp.39015000630882,"Lawrence, D. H. (David Herbert),",Works.,1954,m,,0.5497518727943369
mdp.39015032027016,"McCrory, Moy.","The water's edge, and other stories / | $c: Moy McCrory.",1985,u,high_female,0.549649824893157
mdp.39015011722645,"Reck, Gregory G.,",In the shadow of Tlaloc : | life in a Mexican village / | $c: Gregory G. Reck.,1978,m,high_male,0.5494634446916404
mdp.39015063914702,"Farjeon, B. L.",Miser Farebrother,1888,m,mixed,0.5493921059967828
uc1.$b244329,"Williamson, Henry,",A test to destruction / | $c: Henry Williamson.,1960,m,,0.5490451356169668
uc2.ark:/13960/t1qf91q47,"Lamb, Caroline,",Graham Hamilton,1822,f,,0.5488383326380928
uiuo.ark:/13960/t4zg7838k,"Robinson, F. W.",Woodleigh,1859,m,,0.5487773017740976
inu.39000001049829,"Böll, Heinrich,",The casualty / | $c: Heinrich Böll ; translated from the German by Leila Vennewitz.,1986,u,high_male,0.5486063872763598
mdp.39015013301679,"Billington, Rachel.",Occasion of sin / | $c: Rachel Billington.,1982,f,high_female,0.5484016756316563
mdp.39015001143810,"Schirach, Henriette von,",The price of glory. | $c: Translated and adapted by Willi Frischauer.,1960,f,,0.5481238559036234
uiuo.ark:/13960/t3pv7527f,"Tabor, Eliza.",Jeanie's quiet life,1868,f,high_female,0.5477820505730663
mdp.39015008633334,"Braine, John.",Room at the top.,1957,m,high_female,0.5477433070679131
njp.32101073479956,"Francillon, R. E.",Strange waters,1878,f,,0.5476609178413244
njp.32101068169133,"Fullerton, Georgiana,",Ellen Middleton,1844,f,,0.5476514308504328
uc1.$b243179,"Hichens, Robert Smythe,","The last time, | and other stories, | $c: by Robert Hichens ...",1923,m,,0.5475728698968582
uc1.$b299594,"Armstrong, Martin Donisthorpe,",The sleeping fury.,1929,m,,0.5475387725278945
mdp.39015063101730,"Torrington, Jeff,",Swing hammer swing! / | $c: Jeff Torrington.,1993,m,,0.5475210511219331
uc1.32106014959404,"Symonds, John,",The collected dramatic works of John Symonds.,1981,m,,0.5474768855632559
mdp.39015005291011,"Briggs, Katharine Mary.","A dictionary of British folk-tales in the English language, | incorporating the F. J. Norton collection | $c: [by] Katharine M. Briggs.",1970,f,,0.5474131046714952
mdp.39015078806471,"Macbeth, Nigel J.",The watchers / | $c: Nigel J Macbeth.,2008,m,mixed,0.5474117311941864
mdp.39015008237995,"Gray, John Alfred.",At the court of the Amīr,1901,m,high_male,0.5473328369561606
mdp.39015059376296,,The New British novelist;,1830,u,,0.5471492760296307
mdp.39015028521196,"Hostovský, Egon,","Letters from exile,",1942,u,,0.5469106733585063
mdp.39015063513314,"Drage, Charles,",William King's profession.,1960,m,,0.5468080620658613
uc1.$b787118,"McNellie, John.",A Galloway childhood,1967,m,,0.5466775855211552
inu.32000006900023,"Collins, Mortimer,",You play me false,1878,m,high_female,0.5465922728389994
mdp.39015026094832,"Young, Miriam.",Among the women of the Punjab,1916,f,,0.5464500215172896
mdp.39015016965918,,And thus will I freely sing : | an anthology of lesbian and gay writing from Scotland / | $c: edited by Toni Davidson ; with an introduction by Edwin Morgan.,1989,u,,0.5462507851877544
uc1.$b302082,"Muir, Edwin,",The marionette / | $c: by Edwin Muir.,1927,m,high_male,0.5461666056403633
uva.x000206056,"Forbes, Rosita Torr.",Quest,1922,u,high_female,0.5459572767592895
mdp.39015008604301,"Mitford, Nancy,",Don't tell Alfred.,1960,f,mixed,0.5455851987986241
mdp.39015048927241,"March, Caeia,",Spinsters' rock / | $c: Caeia March.,1999,u,high_female,0.5453001252742804
mdp.39015005604411,"Collins, Wilkie,",Poor Miss Finch,1872,m,high_female,0.5452253155293306
inu.30000107600995,"Berry, Eleanor.",The house of the weird doctors / | $c: Eleanor Berry.,2005,f,high_male,0.5449158754920609
uc2.ark:/13960/t2s46m595,"Ainsworth, William Harrison,",Old St. Paul's,1903,m,,0.5447848045397952
uiuo.ark:/13960/t6c25fn5r,,Memoirs of a man of fashion,1821,u,mixed,0.5446101131032012
uc2.ark:/13960/t9j38vw47,"Bagnold, Enid.",A diary without dates,1918,f,high_male,0.5443085885583248
mdp.39015056908935,"Griffiths, Niall,",Stump / | $c: Niall Griffiths.,2003,m,high_male,0.5441453954401653
uc1.$b236237,"Frankau, Gilbert,","Men, maids and Mustard-Pot; | a collection of tales, | $c: by Gilbert Frankau.",1923,m,,0.544107663295487
mdp.39015032813456,"Deighton, Len,",Violent ward / | $c: Len Deighton.,1993,m,,0.5438658256807924
uiuo.ark:/13960/t4sj2431s,"Oliphant,",Kirsteen,1890,f,high_female,0.5438235428337979
mdp.39015018951866,"Edric, Robert,",In the days of the American museum / | $c: Robert Edric.,1990,m,,0.5437162516172356
