htid,author,title,year,authgender,period,diff
mdp.39015013248656,"Mackenzie, Compton, Sir,","The red tapeworm, | $c: by Compton Mackenzie.",1941,m,1901-1950,-0.47787599526748004
uc1.$b245257,"Walpole, Hugh, Sir,","Farthing Hall, | $c: by Hugh Walpole and J. B. Priestley.",1929,m,1901-1950,-0.4759320601242253
uc1.$b281591,"Astle, M. J.",The principles of golf / | $c: by M.J. Astle ; illustrated by Marjorie Bates.,1923,u,1901-1950,-0.47538471474929345
uc2.ark:/13960/t9w090v4w,"Gibbs, A. Hamilton",The compleat Oxford man,1911,m,1901-1950,-0.47538471474929345
mdp.39015063975406,"Wyndham, Horace,",Limelight,1914,m,1901-1950,-0.47449936725040015
uc2.ark:/13960/t5w66bv5b,"Horniman, Roy,",Lord Cammarleigh's secret,1907,m,1901-1950,-0.4740775252068098
mdp.39015050141392,"Adams, Herbert,",The Sloane square mystery / | $c: by Herbert Adams.,1926,u,1901-1950,-0.47392272644519984
uc1.$b117512,"Bateson, J. K.",Moorland mysteries / | $c: by J. K. Bateson ; with 20 ill. from photographs taken by C. W. Bateson.,1925,u,1901-1950,-0.4734690059370331
mdp.39015068649048,"Hartley, Edward R.",Rounds with the socialists,1914,m,1901-1950,-0.47260693697151546
uc2.ark:/13960/t2p55k95n,"Legge, Arthur Edward John,",The Ford,1912,m,1901-1950,-0.46953676153291934
mdp.39015063925815,"Rendall, Vernon Horace,",The London nights of Belsize,1917,m,1901-1950,-0.468440270304849
uc1.$b794766,"Frankland, Edward  Percy,",England growing. / | $c: by Edward Frankland.,1944,m,1901-1950,-0.4684402703048489
uc1.$b812567,"Begbie, Harold,",The little that is good,1917,m,1901-1950,-0.46809874025020426
wu.89004700464,"Hookham, Albert E.",Amid the strife,1912,m,1901-1950,-0.4675184413962944
mdp.39015016453741,"Hoult, Norah.",Poor women! | $c: By Norah Hoult.,1928,f,1901-1950,-0.46683770620228504
uva.x030786521,"Parr, Olive Katharine,",Through a Dartmoor window,1918,f,1901-1950,-0.4668377062022848
mdp.39015063963261,"Verschoyle, Catherine Mildred.",Oldham; | a novel | $c: by Catherine M. Verschoyle.,1927,f,1901-1950,-0.46683770620228476
uc1.$b322782,"Borden, Mary.",Action for slander; | a novel | $c: by Mary Borden.,1936,f,1901-1950,-0.46633657866532663
inu.32000002424788,"Lowther, Anthony William George.","The Roman theatre at Verulamium (St. Albans), | a reconstruction, | $c: by Anthony W. G. Lowther.",1935,m,1901-1950,-0.46589961989834505
uc1.$b787171,"Moore, John,",The blue field.,1948,m,1901-1950,-0.46484831628186063
uc1.b3039417,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,1901-1950,-0.4640302946357493
mdp.39015063562550,"Onions, Oliver.",In accordance with the evidence,1912,m,1901-1950,-0.4635643837800263
uva.x030788437,"Watson, John Reay,",The mystery of the downs,1918,m,1901-1950,-0.4623128193244569
uc2.ark:/13960/t0js9k943,"Walpole, Hugh,",Maradick at forty;,1910,m,1901-1950,-0.4623128193244569
uc2.ark:/13960/t59c7659g,"Dickinson, Humphrey Neville,",Thomson's friend,1917,m,1901-1950,-0.46231281932445667
uc1.$b322848,"Boden, Frederick C.",Miner / | $c: by F. C. Boden.,1932,m,1901-1950,-0.45951169887627763
uc1.$b312483,"Shanks, Edward,","Elizabeth goes home, | $c: by Edward Shanks, with illustrations by Michael Rivett.",1942,m,1901-1950,-0.45951169887627763
inu.39000003581910,"Benson, Robert Hugh,",The Queen's tragedy,1906,m,1901-1950,-0.4582626746764339
mdp.39015081814736,"Green, Leonard.",The youthful lover and other prose studies,1919,m,1901-1950,-0.45760693697151544
inu.39000005803031,"Grice, Frederick.","Folk tales of the north country, | $c: drawn from Northumberland and Durham.",1945,m,1901-1950,-0.45710060785759166
nyp.33433074946850,"Clouston, J. Storer",Our lady's inn;,1903,m,1901-1950,-0.45710060785759166
wu.89095872966,"Brown, Beatrice Curtis.","Anne Stuart, queen of England, | $c: by Beatrice Curtis Brown ...",1929,f,1901-1950,-0.456809390959246
uc1.b4103043,"James, M. R. (Montague Rhodes),","A thin ghost, and others / | $c: by Montague Rhodes James.",1925,u,1901-1950,-0.45622762662668803
uc1.b3834475,"Farnol, Jeffery,",The amateur gentleman,1913,m,1901-1950,-0.45541943697151566
mdp.39015051324997,"Benson, E. F. (Edward Frederic),","Rex, | $c: by E. F. Benson.",1925,m,1901-1950,-0.4548884903695741
uc1.31158004587340,"Andom, R.,",The identity exchange;,1902,u,1901-1950,-0.45455138141596024
mdp.39015063960325,"Smedley, Francis Edward",Frank Fairlegh;,1904,m,1901-1950,-0.45310144246602113
wu.89096955281,"Price, Nancey.",A vagabond's way : | haphazard wanderings on the fells / | $c: by Nancy Price ; with illustrations by A.S. Hartrick.,1936,u,1901-1950,-0.45260693697151555
uc1.$b137584,"Lloyd, J. H.","Trevor of Nant Gwynant, | $c: by J.H. Lloyd.",1927,u,1901-1950,-0.45232391810359096
mdp.39015063963006,"Veness, Molly.",Towards freedom.,1928,f,1901-1950,-0.4512301253773129
uc1.$b322734,"Beresford, J. D. (John Davys),",The middle generation.,1932,m,1901-1950,-0.45001851253421654
wu.89005036330,"Gould, Nathaniel,",The dapple grey,1908,m,1901-1950,-0.44905202367671826
inu.32000001881533,"Powys, Theodore Francis,",Make thyself many / | $c: T.F. Powys.,1935,m,1901-1950,-0.44760693697151566
uc2.ark:/13960/t7jq0x17x,"Price, A. J.",An angler's lines,1911,u,1901-1950,-0.44760693697151555
nyp.33433075861348,"Young, Florence Ethel Mills,",The triumph of Jill,1903,f,1901-1950,-0.44760693697151555
uc1.32106001932869,"Darton, F. J. Harvey (Frederick Joseph Harvey),","Vincent Crummles, | his theatre and his times, | $c: arranged by F. J. Harvey Darton ... With an historical introductory note and appendices from Nicholas Nickleby by Charles Dickens.",1926,m,1901-1950,-0.44505591656335236
uc1.31158000126374,"Myles, Iwan G.",Tales from Welsh traditions. | Hunchbacks of Lavan Sands and other tales.,1923,u,1901-1950,-0.44387559368793367
uc2.ark:/13960/t57d30539,"Maclagan, Robert Craig,",Evil eye in the western Highlands,1902,m,1901-1950,-0.44387559368793345
uc1.$b301046,"Kenward, James,","Summervale; | a fantasy, | $c: by James Kenward ...",1935,m,1901-1950,-0.44363868300326187
uc1.b3810859,"Burke, Thomas,","The wind and the rain; | a book of confessions, | $c: by Thomas Burke",1924,m,1901-1950,-0.44325153627465164
mdp.39015062996734,"Converse, Florence,",Long Will.,1933,f,1901-1950,-0.44315853839500335
nyp.33433075876734,"Thurston, E. Temple","The ""Flower of Gloster,""",1911,f,1901-1950,-0.44201588265841685
uc1.$b300610,"Hamilton, Patrick,",The siege of pleasure / | $c: Patrick Hamilton.,1942,m,1901-1950,-0.43987497820862886
mdp.39015027213332,"Hanshew, Thomas W.,",Fate & the man,1910,m,1901-1950,-0.43806495223869124
uc2.ark:/13960/t80k28t34,"Vachell, Horace Annesley,",The fourth dimension,1920,m,1901-1950,-0.43753367689825545
wu.89087899456,"Beresford, J. D.",The early history of Jacob Stahl,1911,m,1901-1950,-0.436460440156229
uc1.$b20576,"Townsend, Walter,","Black cap, murder will out, | $c: by W. & L. Townsend.",1930,m,1901-1950,-0.4353118550043025
mdp.39015030855608,"Bates, H. E. (Herbert Ernest),",Sally go round the moon.,1932,m,1901-1950,-0.43444904223467357
umn.31951002134535d,"Carter, Reginald.",Nest for cuckoos.,1946,m,1901-1950,-0.4331838600484387
njp.32101047320898,"Read, John,",Cluster-o'-vive : | stories and studies of old-world Wessex / | $c: by John Read ; with 8 illustrations by W. Young.,1923,m,1901-1950,-0.43305667242125123
nyp.33433071388346,"Mackintosh, W. R.",Around the Orkney peat-fires,1905,u,1901-1950,-0.4330236036381824
njp.32101066384825,"Forster, E. M.",The longest journey,1907,m,1901-1950,-0.43290105461857425
uc1.$b244850,"Sitwell, Osbert,","The true story of Dick Whittington; | a Christmas story for cat-lovers, | $c: by Osbert Sitwell.",1945,m,1901-1950,-0.43230081452253616
mdp.39015027247314,"Welch, Denton.",A voice through a cloud.,1950,m,1901-1950,-0.43178415216138905
uc1.$b244170,"Priestley, J. B. (John Boynton),",I'll tell you everything : | a frolic / | $c: J.B. Priestley & Gerald Bullett.,1933,m,1901-1950,-0.43130258914542857
mdp.39015000543895,"Peake, Mervyn Laurence,","Letters from a lost uncle, | from polar regions. | $c: Written and illustrated by Mervyn Peake.",1948,m,1901-1950,-0.43094027030484894
inu.39000005770560,"Mackintosh, William R.",Around the Orkney peat-fires,1914,m,1901-1950,-0.43067466605518107
uc2.ark:/13960/t8nc65r78,"Matz, B. W.","The inns & taverns of ""Pickwick""",1921,u,1901-1950,-0.43050595977281875
mdp.39015059423056,"Kennedy, Bart,",Slavery,1905,m,1901-1950,-0.42984737412998547
uc2.ark:/13960/t5fb5090k,"Kaye-Smith, Sheila,",Green apple harvest,1920,f,1901-1950,-0.42974979411437286
uc2.ark:/13960/t3zs2pc7k,"Roper, Edward.",A sportsman's memories,1921,m,1901-1950,-0.42965113586654313
uc1.$b268541,"Conquest, Joan.","The naked truth: | shocking revelations about the slums, | $c: by an ex-nursing sister (Joan Conquest).",1933,f,1901-1950,-0.42956569985811344
uc2.ark:/13960/t3611nt38,"Panton, Jane Ellen Frith,",The year's mind;,1913,f,1901-1950,-0.42722067087709514
inu.32000005557592,"Burke, Thomas,","Dark nights, | $c: by Thomas Burke.",1944,m,1901-1950,-0.42688870492731656
uc2.ark:/13960/t7xk87p39,"Gilkes, Arthur Herman.",A day at Dulwich,1905,m,1901-1950,-0.4260019986999107
wu.89034614867,"Hockin, Olive.",Two girls on the land,1918,f,1901-1950,-0.42487966424424295
coo.31924029890195,"Hartland, Edwin Sidney,",English fairy and other folk tales,1906,m,1901-1950,-0.42487966424424284
uc1.$b298875,"Gunn, Neil Miller,","The drinking well, | $c: by Neil M. Gunn.",1947,m,1901-1950,-0.42445878882336757
mdp.39015059375629,"Burke, Thomas,","The Winsome Wench; | the story of a London inn, 1825-1900.",1938,m,1901-1950,-0.42379741316199204
uc1.b3872923,"Harben, Henry Devenish,","Love letters to a dead woman, | $c: by H. D. Harben.",1923,m,1901-1950,-0.42334533359598825
uc1.b3328718,"Matz, Bertram Waldron,","The inns & taverns of ""Pickwick""",1922,m,1901-1950,-0.42309713304994695
mdp.39015031237988,"Hanley, James,",What Farrar saw | $c: [by] James Hanley.,1946,m,1901-1950,-0.4220163857904133
njp.32101065845875,"Munro, Neil,",Hurricane Jack of the Vital Spark / | $c: by Hugh Foulis.,1923,m,1901-1950,-0.42113634873622147
nyp.33433074865316,"Buckrose, J. E.,",The wood end;,1906,f,1901-1950,-0.42101119229066464
mdp.39015015358214,"Benson, Robert Hugh,",Come rack! Come rope!,1912,m,1901-1950,-0.42086669928051385
inu.30000108973037,"Bliss, Douglas Percy,","The devil in Scotland; | being four great Scottish stories of diablerie, | $c: along with an introductory essay and thirty-nine original wood engravings, by Douglas Percy Bliss.",1934,m,1901-1950,-0.41925642150759806
uva.x000875409,"Wood, Walter,",Survivors' tales of famous crimes,1916,m,1901-1950,-0.41879652804958256
mdp.49015000487372,"Gibbs, Arthur Hamilton,",The compleat Oxford man,1911,m,1901-1950,-0.41794592002236325
mdp.39015031223848,"Bentley, Phyllis Eleanor,","Inheritance, | $c: by Phyllis Bentley.",1932,f,1901-1950,-0.41772355504731745
uc2.ark:/13960/t9r20tz3q,"Gaskell, Elizabeth Cleghorn,",Mrs. Gaskell,1911,f,1901-1950,-0.41770871814199917
uc2.ark:/13960/t1xd0z54b,"Capes, Bernard Edward Joseph,",Where England sets her feet;,1918,m,1901-1950,-0.41741370025653995
uc2.ark:/13960/t6d21sc53,"Straus, Ralph.",The scandalous Mr. Waldo,1909,m,1901-1950,-0.41727220893804273
uc1.b3872919,"Hamilton, Patrick,",Twenty thousand streets under the sky : | a London trilogy / | $c: by Patrick Hamilton ; with an introduction by J.B. Priestley.,1935,m,1901-1950,-0.41714716685657316
uc2.ark:/13960/t4vh5d15j,"Silberrad, Una Lucy,","Sampson Rideout, Quaker",1911,f,1901-1950,-0.41711913209346685
mdp.39015063964483,"Smith, Bertram,",Crashie Howe,1921,m,1901-1950,-0.41690518258555087
uc1.b4064067,"Beerbohm, Max, Sir,",The dreadful dragon of Hay Hill / | $c: Max Beerbohm.,1929,m,1901-1950,-0.41635693697151577
mdp.39015063949641,"Rea, Lorna, Mrs.","The happy prisoner, | $c: by Lorna Rea; wood engravings by Leslie N. Smith.",1931,f,1901-1950,-0.41635693697151577
mdp.39015048899127,"Spring, Howard,",Hard facts.,1944,m,1901-1950,-0.41505846051722195
uc1.32106019365698,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,1901-1950,-0.4149982413193419
mdp.39015031468591,"Blakeborough, Richard,","The hand of glory and further grandfather's tales and legends of highwaymen and others collected by the late R. Blakeborough,",1924,m,1901-1950,-0.41464873761460264
nyp.33433074938527,"Caine, William,",The confectioners,1906,m,1901-1950,-0.41388600673895737
mdp.39015000610306,"Woolf, Virginia,",The voyage out.,1949,f,1901-1950,-0.41296274221496143
umn.31951002097653z,"Eliot, Elizabeth.",Henry.,1950,f,1901-1950,-0.41189265125723007
nyp.33433074867304,"Jacob, Violet,",Irresolute Catherine,1908,f,1901-1950,-0.41189265125723007
njp.32101064794041,"Stanley, Robert.",Angling anecdotes,1903,m,1901-1950,-0.41189265125722996
uc1.b4692515,"Welsh, James C.,",The underworld;,1920,m,1901-1950,-0.41189265125722996
uc1.$b803402,"Kilpatrick, Florence A.","Camilla in a caravan; | a comedy of the open road,",1925,f,1901-1950,-0.41189265125722996
coo.31924003598400,"Fraser, Grace Lovat.","Doll making at home, | $c: by Grace Lovat Fraser.  With drawings by Helen Lovat Fraser.",1940,f,1901-1950,-0.41189265125722985
dul1.ark:/13960/t1qf9cr59,"Ford, Douglas Morey.",A time of terror,1906,m,1901-1950,-0.41165652374837514
nyp.33433082248406,"Atkey, Bertram,",Easy money,1908,m,1901-1950,-0.41025061513243505
wu.89004716627,"Ervine, St. John G.",Mrs. Martin's man,1914,m,1901-1950,-0.40966919378085437
mdp.39015030742780,"Douglas, Robin,","16 to 21, | by Robin Douglas.",1925,m,1901-1950,-0.40858959593105326
mdp.39015010553710,"Green, Henry,",Living; | a novel.,1948,m,1901-1950,-0.40854443697151555
umn.319510020884392,"Maugham, W. Somerset (William Somerset),",Works.,1948,m,1901-1950,-0.40728435632635446
mdp.39015063931888,"Hobson, Coralie,",The revolt of youth,1919,f,1901-1950,-0.4072843563263542
umn.31951002082062h,"Frankland, Edward Percy,",The bear of Britain.,1940,m,1901-1950,-0.40718777529486905
umn.319510020743192,"Smith, W. McCombie (William McCombie)","The romance of poaching in the Highlands of Scotland as illustrated in the lives of John Farquharson and Alexander Davidson, the last of the freeforesters.",1946,m,1901-1950,-0.40679061044090337
mdp.39015013962207,"Woolf, Virginia,",Mrs. Dalloway | $c: [by Virginia Woolf],1925,f,1901-1950,-0.40641919750791416
uc1.$b302196,"Parry, Edward Abbott, Sir,","Berrington; | or, Two hundred years ago, | $c: by His Honour Sir Edward Abbott Parry.",1928,m,1901-1950,-0.40580365828299114
uc1.b4104692,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,1901-1950,-0.40557153874142693
wu.89047148226,"Porteous, Crichton.",Teamsman; | $c: with wood engraving by Kingsley Cook.,1939,u,1901-1950,-0.40492401014224744
njp.32101067644391,"Figgis, Darrell,",Broken arcs,1911,m,1901-1950,-0.4049240101422474
mdp.39015024871959,"Alexander, Louis Charles,",The autobiography of Shakespeare;,1911,m,1901-1950,-0.4039899156949199
