htid,author,title,year,authgender,female_category,gb_subcity_intensity
uc1.b4007836,"Swain, John,","Spit once for luck : | fostering Julie, a disturbed child / | $c: [by] John Swain ; foreword by Jean S. Heywood.",1977,m,high_female,1.9388863037071504
mdp.39015073992250,"Myerson, Julie.",Out of breath / | $c: Julie Myerson.,2008,f,mixed,1.9383977204442808
mdp.39015067683642,"McAuley, Paul J.",Players / | $c: Paul McAuley.,2007,m,,1.937784208350558
uiuo.ark:/13960/t2891q545,"Tytler, Sarah,",Citoyenne Jacqueline;,1865,f,high_female,1.9372336303758233
uiuo.ark:/13960/t3kw61r4b,"Williams, F.,",Seymour and his friends;,1857,u,,1.9371210506944576
uc1.$b395374,,Stories of Africa / | $c: chosen by E. C. Parnwell.,1930,u,,1.9370272442881908
uiuo.ark:/13960/t1hh75z43,"Veley, Margaret,",Mitchelhurst Place,1884,f,,1.9363708537459097
njp.32101067640720,"Moore, Alicia Radford.",The sisters,1821,f,high_female,1.935958493049909
mdp.39015063546280,"Dawe, W. Carlton.",Yellow and white,1895,m,mixed,1.934909639719825
mdp.39015006582731,"Mann, Heinrich,",Man of straw. | $c: [Translated by Ernest Boyd],1947,m,,1.9342235059735269
uiuo.ark:/13960/t3bz6gz1g,"Chetwynd, Henry Wayland,",A brilliant woman,1892,f,high_female,1.934086337614111
mdp.39015047755536,"Chapman, Robin,",The Duchess's diary / | $c: Robin Chapman.,1980,u,,1.9339741234262289
uc2.ark:/13960/t1pg1kd78,"Martin, Mary Letitia,",Julia Howard,1850,f,,1.9332637358388431
uc1.$b358676,"Boothby, Guy Newell,",Doctor Nikola,1896,m,high_male,1.9331516170813277
mdp.39015014752474,"Lustig, Arnošt.",Dita Sax. | $c: Translated from the Czech by George Theiner.,1966,u,mixed,1.932740626207963
uc1.$b302076,"Mottram, R. H. (Ralph Hale),","The Lame Dog, | $c: by R. H. Mottram.",1933,m,mixed,1.9322177995903695
