htid,author,title,year,authgender,female_category,gb_scotland_intensity
mdp.49015000752700,"Wideman, John Edgar.",Damballah / | $c: John Edgar Wideman.,1981,m,high_female,4.065481352992195
mdp.39015000512742,"Simenon, Georges,",Maigret and the ghost / | $c: [by] Georges Simenon ; translated from the French by Eileen Ellenbogen.,1976,m,,4.064379775646237
uc2.ark:/13960/t4dn4215c,"Street, G. S.",A book of stories,1902,m,,4.060638873849486
uc2.ark:/13960/t17m0bg1b,"Thynne, Arthur Christopher,",Sir Bevill,1904,m,,4.060089321965083
uiuo.ark:/13960/t3708mj5v,"Barrett, Eaton Stannard,",The metropolis,1819,m,,4.058771004139946
inu.39000001728729,"Marsh, Ngaio,",Enter a murder / | $c: by Ngaio Marsh.,1935,f,,4.058167061210686
uiuo.ark:/13960/t0xp7ks1j,"Payn, James,",For cash only,1882,m,mixed,4.058057272714976
uc1.b5015633,"Croft-Cooke, Rupert,",Three names for Nicholas / | $c: by Rupert Croft-Cooke.,1951,m,,4.0521265560165975
inu.30000101133936,"Dunn, Suzannah,",The queen of subtleties / | $c: Suzannah Dunn.,2005,f,,4.050255571126538
uiuo.ark:/13960/t6k07ks0q,"Marryat, Florence,",Nelly Brooke,1868,f,high_female,4.050113403175289
uiuo.ark:/13960/t7cr6gh6d,"Smart, Hawley,",Long odds,1889,m,high_male,4.048992813037757
nyp.33433074899000,"Manning, Anne,","The colloquies of Edward Osborne, citizen and clothworker, of London",1860,f,,4.047517859672555
mdp.39015053541333,"Jacob, Alaric,",Eminent nonentities / | $c: by Alaric Jacob ; illustrated by Philippe Jullian.,1970,u,,4.046289552480376
uc1.$b243589,"Houghton, Claude,",Birthmark / | $c: by Claude Houghton.,1950,m,,4.044775666629589
mdp.39015063927282,"Sedgwick, Anne Douglas,",The dull Miss Archinard,1898,f,high_female,4.043712532476066
uc1.32106012050883,"Rendell, Ruth,",Blood lines : | long and short stories,1995,f,,4.043671653861706
mdp.39015041310460,"Benson, E.F.",The relentless city,1903,u,,4.042952325506178
nyp.33433074950530,"Hine, Muriel.",The hidden valley,1919,f,high_female,4.041138792911843
uc2.ark:/13960/t2h70f08n,"Whyte-Melville, G. J.",Uncle John,1874,m,,4.0406489282178715
njp.32101067644656,"Fletcher, J. S.",When Charles the First was king,1892,m,high_male,4.040567295648309
njp.32101068142304,"Wordsworth, Elizabeth,",Thornwell Abbas,1876,f,,4.039832750924112
mdp.39015032175690,"King, Naomi.",O.P.P. / | $c: Naomi King.,1993,f,high_female,4.036530601947626
njp.32101064911918,"Marryat, Frederick,",The novels of Captain Marryat,1895,m,,4.0358708198467985
inu.39000002994304,,The Second bedside book of strange stories / | $c: [edited by] Herbert Van Thal.,1976,u,mixed,4.035132554104402
uc1.b3687340,"De Camp, Etta,",Return of Frank R. Stockton,1913,f,,4.034318603587854
wu.89099775991,"Cooper, Lettice Ulpha,",Black Bethlehem.,1947,f,mixed,4.033504981378652
uc1.32106008803774,"Burgess, Anthony,",The devil's mode / | $c: Anthony Burgess.,1989,m,high_male,4.033396523212197
uc1.b3346079,"Blight, Leslie,",Love and idleness.,1958,m,,4.0316890761384485
mdp.39015013148245,"Thorndike, Arthur Russell,","The slype, | $c: by Russell Thorndike.",1933,m,,4.031120248317007
uiuo.ark:/13960/t46q2gh46,,"Geraldine Hamilton, or, Self-guidance",1832,u,,4.030795275907937
mdp.39015004103571,"McCaffrey, Anne.",Restoree / | $c: Anne McCaffrey.,1976,f,high_male,4.0305515809838575
uiuo.ark:/13960/t6b28444n,,Amat,1881,u,,4.028684231729917
nyp.33433082354121,F. M. S.,King Jack of Haylands,1872,u,high_male,4.027061855670103
uiuo.ark:/13960/t16m3w71n,"Smart, Hawley,",From post to finish,1884,m,mixed,4.0269807711668175
mdp.39015060123414,"Weldon, Fay.",Mantrapped / | $c: Fay Weldon.,2004,f,,4.026332212670868
uc1.$b275367,,"A book of broadsheets, | $c: with an introduction by Geoffrey Dawson .",1928,u,,4.024922318999243
mdp.39015064810339,"Swan, Annie S.,",Courtship and marriage,1894,f,high_male,4.024306813151434
uc1.$b244767,"Strong, L. A. G. (Leonard Alfred George),","The last enemy; | a study of youth, | $c: by L. A. G. Strong.",1936,m,high_male,4.024112481992097
mdp.39015060398990,"Freeman, Sandra.",The other side / | $c: Sandra Freeman.,2004,f,high_female,4.021515105816116
mdp.39015065648167,"Gamow, George,",Puzzle-math | $c: [by] George Gamow & Marvin Stern.,1958,m,high_male,4.021393815096312
dul1.ark:/13960/t0ns1dw70,"Dick,",James Ingleton,1893,m,high_male,4.020876390218012
uc2.ark:/13960/t6n016x1s,"Watson, Gilbert,",Sunshine and sentiment in portugal,1904,m,,4.0186142210720055
nyp.33433074857891,"Laffan, May.","Hogan, M.P.;",1881,f,mixed,4.017415496175923
uc2.ark:/13960/t7br8s493,"Trollope, Frances Milton,",Father Eustace,1847,f,high_female,4.016225551226957
njp.32101066458942,"Gibbon, Charles,",By mead and stream,1884,m,mixed,4.014774369680424
mdp.39015029177857,"Lasdun, James.",Three evenings and other stories / | $c: James Lasdun.,1992,m,high_female,4.014049172102358
mdp.39015008603857,"Maugham, W. Somerset (William Somerset),",Altogether : | being the collected stories of W. Somerset Maugham.,1934,m,mixed,4.012959747901645
nyp.33433074919899,,Evenings at Haddon Hall,1878,u,mixed,4.012519059465532
mdp.39015043101354,"McEwan, Ian.",Amsterdam / | $c: Ian McEwan.,1998,m,high_male,4.011472812243015
mdp.39015019906778,"Dickens, Charles,",The lazy tour of two idle apprentices,1890,m,,4.011419173246509
mdp.39015018994858,"Howard, Elizabeth Jane.",The light years / | $c: Elizabeth Jane Howard.,1990,f,high_female,4.010809130606986
uiuo.ark:/13960/t57d3jg3z,"Westall, William,",Trust-money,1892,m,,4.009194419201368
uc1.$b783883,"Harrison, Michael,",Treadmill.,1947,m,,4.007574315456212
mdp.39015050763211,"Tennant, Emma.",The ballad of Sylvia and Ted / | $c: Emma Tennant.,2001,f,high_female,4.006972131508825
uc1.32106009250041,"Bailey, Hilary,",A stranger to herself / | $c: Hilary Bailey.,1989,f,high_female,4.004182145796721
mdp.39015038701317,"De Quincey, Thomas,",Confessions of an English opium-eater,1867,m,high_female,4.003523100328289
uiuo.ark:/13960/t3rv15x13,"Mackenzie, Mary Jane.",Geraldine,1821,f,,4.00312243549969
inu.39000003106015,"Mortimer, John,",Like men betrayed.,1953,m,high_female,4.001707395155266
uc1.$b792351,"Robinson, Julien Louis,","Silence is Goldberg, | $c: by Julien Vedey [pseud.]",1956,m,high_male,4.001680705896477
uiuo.ark:/13960/t8ff45v3r,"Hardinge, William M.",The willow-garth,1886,m,high_female,3.9989602703297145
mdp.39015054451219,"Stevenson, Jane,",The pretender / | $c: Jane Stevenson.,2002,f,mixed,3.9969942603162423
uc2.ark:/13960/t03x87s3q,"Ayscough, John,",French windows,1917,m,,3.996270147861995
