htid,author,title,year,authgender,female_category,transit
mdp.39015056946208,"Mills, Magnus.",The scheme for full employment / | $c: Magnus Mills.,2003,m,high_male,68.91914607497058
mdp.39015059175748,,North : | new Scottish writing : the Scotsman & Orange short story award 2004 / | $c: Edited by Jackie Kay.,2004,u,mixed,68.89208993549195
uc1.b4974565,"Rawlinson, Jane.",The lion and the lizard / | $c: Jane Rawlinson.,1986,f,high_female,68.88614464410226
mdp.39015048705480,"Ekwensi, Cyprian.",Iska /,1966,m,high_female,68.87052341597796
mdp.39015042150519,"Dorman, Sean.",Sex and the Reverend Strong / | $c: Sean Dorman.,1998,m,,68.87052341597796
uiuo.ark:/13960/t13n2fw29,"Collins, Mortimer,",Marquis and merchant,1871,m,mixed,68.86802711225488
nyp.33433074859459,"Greer, Tom.",A modern Dædalus,1887,m,high_male,68.83365200764818
uc1.$b243163,"Henderson, Robert,","The enameled wishbone, | and other touchstones.",1964,m,high_male,68.82786151834263
mdp.39015066080386,"Littlewood, Joan.",Joan's book : | Joan Littlewood's peculiar history as she tells it.,1994,f,,68.82544032987269
uiuo.ark:/13960/t3514nn9r,"Robertson, Anne I.",Yaxley and its neighbourhood,1865,f,high_female,68.82465254651214
mdp.39015008376769,"Hanley, James,",Drift | $c: [by] James Hanley.,1944,m,mixed,68.75738524310059
uc1.32106002011796,"(Victoria), Sackville-West, V.",Seducers in Ecuador,1924,f,,68.7167153410067
nnc1.cu50294199,"Bjørnson, Bjørnstjerne,",Captain Mansana,1884,m,,68.69929337869668
uiuo.ark:/13960/t3hx1ws20,"Murray, David Christie,",Time's revenge,1893,m,high_male,68.68306580855231
mdp.39015000546955,"Plunkett, James,",Strumpet city.,1969,m,,68.64243974842992
mdp.39015043786915,"Darling, Julia,",Crocodile soup / | $c: Julia Darling.,1998,f,,68.63165635149213
inu.30000123121687,"Welsh, Irvine.",Trainspotting / | $c: Irvine Welsh.,1994,m,mixed,68.63144118046078
mdp.39015013160810,"Adamson, Iain,",The forgotten men.,1965,u,high_male,68.613630409561
mdp.39015012974104,"Guérard, Albert J. (Albert Joseph),","Maquisard, | a Christmas tale, | $c: by Albert J. Guerard.",1946,m,mixed,68.61175548077237
inu.39000002201098,"Traven, B.",The cotton-pickers / | $c: B. Traven.,1979,u,high_male,68.60150923320313
mdp.39015059585508,"MacLeod, Anne,",The blue moon book / | $c: Anne MacLeod.,2004,f,,68.53460552549132
mdp.39015031233755,"Fisher, Michael,",The voyager.,1972,m,,68.53180682093041
uc1.32106015022251,"Husain, ʻAbdullāh",The weary generations / | $c: Abdullah Hussein ; translated from the Urdu by the author,1999,u,high_male,68.53114903893221
mdp.39015062110344,"Follett, Ken.",On wings of eagles / | $c: by Ken Follett.,1983,m,high_male,68.52634921696111
mdp.39015000595374,"Omotoso, Kole,",The edifice. -,1971,u,,68.44219610177058
uc2.ark:/13960/t41r6qp2p,"Bryusov, Valery Yakovlevich,","The Republic of the Southern Cross, and other stories",1913,u,high_female,68.40247131509267
mdp.39015038920172,"Achebe, Chinua.",Anthills of the Savannah / | $c: Chinua Achebe.,1987,m,mixed,68.39801330078289
uc1.b4393843,"Lavin, Mary,","A memory, and other stories",1972,f,,68.36258463156511
mdp.39015066986780,"Romanov, Panteleĭmon,",On the Volga and other stories | $c: [by] Panteleimon Romanof; translated by Ann Gretton.,1934,u,mixed,68.2637001453764
mdp.39015048737202,"Hanson, Lawrence.",Boy and man.,1952,m,high_male,68.25025092004014
mdp.39015014134657,"Neuburg, Paul,",The long birth.,1967,m,mixed,68.17733283097404
mdp.39015074054688,"Jooste, Pamela.",Star of the morning / | $c: Pamela Jooste.,2007,f,high_female,68.14992984566045
uc1.b3047254,"Richardson, Dorothy M.",Backwater,1917,f,high_female,68.1494331206245
mdp.39015002287590,"MacLean, Alistair,",Circus / | $c: Alistair MacLean.,1975,m,high_male,68.12848527667735
inu.30000100855364,"Plivier, Theodor,",Berlin | $c: [by] Theodor Plievier; [translated from the German by Louis Hagen],1969,m,high_male,68.08918724526492
mdp.39015063963006,"Veness, Molly.",Towards freedom.,1928,f,,68.07351940095303
mdp.39015057606397,"Ferris, Paul,",Cora Crane / | $c: Paul Ferris.,2003,m,,68.01613227700767
uc2.ark:/13960/t3707zx7h,"Hamilton, Cicely,",William,1919,u,mixed,68.01324333341888
inu.39000002002967,"Daudet, Alphonse,",Sappho,1896,m,high_female,67.95833737847246
uc1.$b302067,"Morton, H. V. (Henry Vollam),","I, James Blunt, | $c: by H.V. Morton.",1942,m,,67.87802840434419
mdp.39015030948338,"Brown, Geoff,",My struggle / | $c: Geoff Brown.,1975,u,,67.86826880284825
mdp.39015057231295,"Winter, John Strange,",A magnificent young man,1895,m,high_female,67.84523532604481
uiuo.ark:/13960/t1ng4z542,"Coke, Henry J.","High and low; or, Life's chances and changes",1854,m,,67.77708117999899
mdp.39015054507366,"Sullivan, J. W. N.",An attempt at life,1917,u,,67.77088020819214
uc1.$b299593,"Armstrong, Martin Donisthorpe,",Saint Christopher's day ...,1928,m,,67.73589887833944
mdp.39015019773806,"Cole, Barry.",The search for Rita.,1970,m,mixed,67.68533089666143
inu.32000002913129,"Bunin, Ivan Alekseevich,","Dark avenues, and other stories / | $c: by Ivan Bunin ; translated from the Russian by Richard Hare.",1949,m,high_female,67.64828648329663
uc1.$b252040,"Taaffe, Michael.",The dark glass.,1963,m,high_male,67.62540660845745
mdp.39015043807364,"Robinson, Rose.",Eagle in the air : | a novel / | $c: by Rose Robinson.,1970,f,high_male,67.6084403800306
uc1.$b312575,"Stallings, Laurence,",Plumes / | $c: by Laurence Stallings.,1925,m,high_male,67.60648020632496
mdp.39015058730436,"Riley, Gwendoline,",Sick notes / | $c: Gwendoline Riley.,2004,f,,67.5742820232535
uiuo.ark:/13960/t2k64vj35,"Gissing, Algernon,",At society's expense,1894,m,high_female,67.5692584899522
mdp.39015049689121,"Rankin, Robert,",Waiting for Godalming / | $c: Robert Rankin.,2000,m,high_male,67.56452412053511
mdp.39015000655343,"Lessing, Doris May,",The habit of loving.,1957,f,mixed,67.55399755344982
uc1.$b301115,"Lehmann, John,",Evil was abroad / | $c: John Lehmann.,1938,m,high_male,67.50749168505286
mdp.39015062113934,"Böll, Heinrich,",Billiards at half past nine. | $c: Translated from the German by Patrick Bowles.,1961,u,,67.50290518832456
mdp.39015000679764,"Moore, Brian,",Judith Hearne / | $c: Brian Moore.,1955,m,high_female,67.47708374425147
uc1.$b105515,"Smith, Emma,",The far cry.,1949,f,high_female,67.4542756374429
mdp.39015027250318,"Ekwensi, Cyprian,",Jagua Nana.,1961,m,high_female,67.42304473170277
inu.39000004007436,,The Penguin complete rivals of Sherlock Holmes / | $c: collected and introduced by Hugh Greene.,1983,u,,67.39914199822408
mdp.39015064735015,"Binchy, Maeve.",Whitethorn Woods / | $c: Maeve Binchy.,2006,f,,67.35569043324676
uc1.$b389728,"Duncan, Ronald,",A kettle of fish | $c: [by] Ronald Duncan.,1971,m,mixed,67.35216200440034
uc2.ark:/13960/t1vd6qz0g,"Cox, Edmund Charles,","John Carruthers, Indian policeman",1905,m,,67.35177178612554
mdp.39015025098750,"Mottram, R. H. (Ralph Hale),","The Spanish farm trilogy, 1914-1918.",1930,m,,67.32205765719239
pst.000017521055,"Mahjoub, Jamal,",Navigation of a rainmaker / | $c: Jamal Mahjoub.,1989,m,high_male,67.31251484834887
mdp.39015056167979,"Svit, Brina.",Con Brio / | $c: Brina Svit.,2002,u,high_female,67.29248679384946
mdp.39015008818026,"Tey, Josephine,","The man in the queue, | $c: by Josephine Tey [pseud.]",1953,f,,67.25726956503463
uc1.b3933598,"Pullar, Philippa,",The shortest journey / | $c: by Philippa Pullar.,1981,f,,67.23496218033377
uiuo.ark:/13960/t8hd83z70,"Caine, Hall,",A son of Hagar,1887,m,,67.16593343855996
uc1.$b244108,"Mottram, R. H. (Ralph Hale),","Ten years ago : | Armistice & other memories : | $c: forming a pendant to ""The Spanish farm trilogy"" / by R.H. Mottram ; with a foreword by W.E. Bates.",1928,m,high_male,67.16538898024412
uc1.b3632621,"Foster, Harry L.",The adventures of a tropical tramp,1922,m,high_male,67.15643378986141
mdp.39015001210247,"Szechter, Szymon.",A stolen biography / | $c: Szymon Szechter ; translated by Frances Carroll and Nina Karsov.,1983,u,,67.15253500819657
mdp.39015047667137,"Black, William,",Green pastures and Piccadilly,1877,m,high_female,67.140668307883
wu.89059818096,"Belloc, D. (Denis)",Slow death in Paris / | $c: Denis Belloc ; translated by William Rodarmor.,1992,m,,67.07862427839662
inu.30000055891182,"Abrahams, Peter,",Song of the city; | a novel.,1943,m,mixed,67.0192284259011
njp.32101067301109,"Hamilton, Cosmo,",The infinite capacity,1910,m,,67.00987066031314
nyp.33433074892526,"Mathew, Frank James,",A child in the temple,1897,m,mixed,66.97549813026734
mdp.39015047457356,"Bedford, Martyn",The Houdini girl / | $c: Martyn Bedford,1998,m,,66.9077604532789
mdp.39015063338167,"Stekelman, Greg.",A year in the life of TheManWhoFellAsleep / | $c: Greg Stekelman.,2006,m,high_male,66.89794241042843
uc1.$b662124,"Guerney, Bernard Guilbert,",New Russian stories.,1953,m,high_male,66.88963210702342
mdp.39015013392520,,The State of the art : | the mood of contemporary Australia in short stories.,1983,u,mixed,66.87572862913794
mdp.39015030945557,"Appiah, Peggy.",A smell of onions / | $c: Peggy Appiah.,1979,f,,66.87315218921583
mdp.39015022268208,,"A New book of Dubliners : | short stories of modern Dublin / | $c: edited by Ben Forkner, with a preface by Benedict Kiely.",1989,u,,66.82524403147151
mdp.39015018903545,"Rose, Dilys,",Our lady of the Pickpockets / | $c: Dilys Rose.,1989,u,high_female,66.74394913408509
uc1.b3456907,"Zilahy, Lajos,","Two prisoners, | $c: translated by Joseph Collins, M. D., and Ida Zeitlin.",1931,u,,66.73644385976705
mdp.39015056498143,"Youngblood, Shay.",Black girl in Paris / | $c: Shay Youngblood.,2000,f,mixed,66.70936065748747
uc1.b3463032,"Harris, MacDonald,",Trepleff: | $c: a novel by MacDonald Harris.,1968,m,high_female,66.67340135367209
mdp.39015082679484,"Ripley, Mike.",Angels unaware / | $c: Mike Ripley.,2008,m,high_female,66.59406607698274
uc1.$b163403,"De Polnay, Peter,",Out of the square.,1950,m,mixed,66.57903272615532
mdp.39015079149228,"Knight, Alanna.",Murder in paradise / | $c: Alanna Knight.,2008,f,,66.56255600215049
uiuo.ark:/13960/t8nc69v1c,"Diehl, Alice M.",Griselda,1886,f,high_female,66.55062967134228
mdp.39015082701932,"Billingham, Mark.",In the dark / | $c: Mark Billingham.,2008,m,mixed,66.54504127287953
mdp.39015046820653,"Lodge, David,",Therapy : | a novel / | $c: David Lodge.,1995,m,,66.5251897631038
mdp.39015054151363,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,66.49500580062816
mdp.39015080814299,"Slater, Catherine Ponton.",Marget Pow / | $c: Catherine Ponton Slater ; with an introduction by Anne McManus Scriven and Jan Pilditch.,2008,f,high_female,66.48936170212765
mdp.39015048899127,"Spring, Howard,",Hard facts.,1944,m,mixed,66.4826797158252
uc1.32106005850737,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,66.47055495842055
inu.32000009177983,"English, Isobel.",The key that rusts.,1954,f,,66.45058924042908
mdp.39015051324146,"Baron, Alexander,",The in-between time.,1971,m,high_male,66.41392478623018
nyp.33433074931068,"Buchanan, Emily Handasyde,",For the week-end,1907,f,high_female,66.41282210218719
mdp.39015037755173,"Cooper, John.",A breeze that lingers : | a collection of stories / | $c: by John Cooper.,1992,m,high_female,66.40445420646677
mdp.39015051348707,"Bermant, Chaim,",The companion : | a novel / | $c: Chaim Bermant.,1987,u,high_female,66.34115274387008
wu.89006404990,"Orczy, Emmuska Orczy,",The case of Miss Elliott,1909,f,,66.3248386520752
uc1.$b104892,"Rickwood, Mary,",More laughter for Sam.,1956,f,high_female,66.3129973474801
uc1.$b299591,"Armstrong, Martin Donisthorpe,","Adrian Glynde, | a novel, | $c: by Martin Armstrong",1930,m,,66.29396922772473
mdp.39015050556524,"Higgins, Aidan,",Scenes from a receding past / | $c: Aidan Higgins.,1977,m,,66.28641899182982
uc1.b3759145,"Camara, Laye.",A dream of Africa; | $c: translated from the French by James Kirkup.,1968,u,,66.25067406209075
mdp.39015062319531,"Sala, George Augustus,",The seven sons of Mammon,1862,m,mixed,66.24290002959789
nyp.33433074936398,"Barker, Dalgairns Arundel.",The great leviathan,1920,u,,66.23010764724539
uc1.$b120324,"Campbell, Anthony.",The sacred malady: | a novel.,1967,m,,66.21841890790546
mdp.39015063675980,"Bolger, Dermot,",The family on Paradise Pier / | $c: Dermot Bolger.,2005,m,,66.20912394025031
mdp.39015047770626,"Friel, George.",Mr Alfred M.A. / | $c: George Friel.,1987,m,high_male,66.19250337451977
mdp.39015027247447,,Love.,1989,u,high_female,66.15976144132397
mdp.39015015453767,,Love.,1989,u,high_female,66.14834485337117
uiuo.ark:/13960/t9d510f2w,"Dering, Edward Heneage,","Sherborne, or, The house at the four ways",1875,m,mixed,66.1198880182322
nyp.33433076094618,"Gibbs, George,",The golden bough,1918,m,mixed,66.08792141248654
uc1.b5015220,"Hegarty, Walter.",You can't get there from here / | $c: Walter Hegarty.,1975,m,,66.0492892821268
inu.30000026041230,"Hodson, Peregrine.",A circle round the sun : | a foreigner in Japan / | $c: Peregrine Hodson.,1992,u,mixed,66.03639524872315
njp.32101063580326,"Hume, Fergus,",The harlequin opal,1893,m,high_male,66.01941747572816
mdp.39015000555220,"Bauer, Josef Martin,",As far as my feet will carry me / | $c: Josef Martin Bauer ; translated from the German by Lawrence Wilson.,1973,m,high_male,65.99571027883188
uiuo.ark:/13960/t8ff45v3r,"Hardinge, William M.",The willow-garth,1886,m,high_female,65.98284446044029
uiuo.ark:/13960/t79s28s8p,"Manning, Anne,",The lady of limited income,1872,f,high_female,65.87504011621033
uc1.$b285045,"Mansfield, Katherine,",Selected stories / | $c: Katherine Mansfield ; chosen and introduced by D. M. Davin.,1953,f,high_female,65.87205906113672
inu.32000003313980,"Chirasha, Ben,",Child of war / | $c: Ben Chirasha.,1985,m,,65.86701795742911
mdp.39015030853009,"Burke, Thomas,",The flower of life.,1929,m,high_female,65.86629142840034
uc1.32106017968279,"Thomas, Leslie,","Dover beach : | love, life and death in wartime England / | $c: Leslie Thomas",2005,m,,65.8527936781318
mdp.39015078786285,"Drayson, Nicholas.",A guide to the birds of East Africa : | a novel / | $c: Nicholas Drayson.,2009,m,high_male,65.78562657154552
uc1.32106012163546,"Vaughan, Dai",Moritur / | $c: Dai Vaughan,1995,u,mixed,65.75322990527981
umn.31951002040911w,"West, Anthony,",On a dark night.,1949,m,,65.75004993674679
mdp.39015037453563,"Vaughan, Dai",Moritur / | $c: Dai Vaughan,1995,u,mixed,65.73687483343697
uc1.$b244994,"Mackenzie, Compton, Sir,","Figure of eight, | $c: by Compton Mackenzie.",1936,m,high_female,65.72401391158294
mdp.39015000614779,"Smith, Emma,",The opportunity of a lifetime / | $c: by Emma Smith.,1978,f,,65.71403665233922
mdp.39015023517025,"Chalmers, Thomas Wightman.","The automatic stabilisation of ships,",1931,m,high_male,65.67002742689381
mdp.39015047764249,"Elms, Robert,",In search of the crack / | $c: Robert Elms.,1988,m,high_male,65.66706796541534
wu.89007244767,"Klein, Gerda Weissmann,",My tortured years.,1960,f,,65.66604127579737
uc1.b4088954,"Sharp, Margery,","Martha, Eric, and George.",1964,f,high_female,65.6549077043509
uc1.$b42205,"Gray, Bernard.",War reporter.,1942,m,high_male,65.64682010781993
uc1.32106010485719,,Victorian tales of mystery and detection : | an Oxford anthology / | $c: selected and introduced by Michael Cox.,1992,u,mixed,65.64115253491697
uc1.b3321971,"Coleman, John,",The rival queens,1887,m,mixed,65.62096483986367
mdp.39015074228506,"Gardam, Jane.",The people on Privilege Hill : | and other stories / | $c: Jane Gardam.,2007,f,,65.58930165612986
uiuo.ark:/13960/t7xk8n02t,"Collins, Mabel,",Juliet's lovers,1893,f,high_female,65.57377049180327
mdp.39015003344721,"Faulkner, William,",Sanctuary.,1957,m,mixed,65.57178597369058
mdp.39015045695635,"King, John,",England away / | $c: John King.,1998,m,high_male,65.55926794783694
inu.30000038165381,"Lively, Adam.",Blue fruit / | $c: Adam Lively.,1993,m,high_male,65.50626988583193
wu.89092544279,"Lucas, E. V. (Edward Verrall),","Encounters and diversions, | $c: by E. V. Lucas.",1930,m,,65.50014035744363
mdp.39015054181956,"Williamson, Graeme.",Strange faith / | $c: Graeme Williamson.,2001,m,,65.49229983915862
mdp.39015080878039,"Grace, Harriet.",Cells / | $c: by Harriet Grace.,2008,f,,65.4821670231807
mdp.39015028744871,"Fitzgerald, Penelope.",The beginning of spring / | $c: Penelope Fitzgerald.,1988,f,mixed,65.47326756246001
mdp.39015026486327,"Simpson, Alyse.",An innocent in England.,1961,f,,65.46993711840923
mdp.39015051280033,,Signals -- 3 : | thirty London magazine stories / | $c: selected by Jane Rye and with introduction by Alan Ross.,2001,u,,65.45559645349677
uiuo.ark:/13960/t69313d1r,"Alford, Elizabeth M.",Netherton-on-Sea,1869,f,,65.43132328308208
mdp.39015080845434,"Duffy, Maureen.",The Orpheus trail / | $c: Maureen Duffy.,2009,f,,65.35022273534248
mdp.39015061103381,"Fairbairns, Zoë.",How do you pronounce nulliparous? / | $c: Zoë Fairbairns.,2004,u,high_female,65.28480496164518
mdp.39015008836739,,Territorial song : | contemporary writing from Finland / | $c: selected and translated by Herbert Lomas.,1981,u,high_male,65.26882597699274
njp.32101068179041,"Harwood, John Berwick.",Lady Livingston's legacy,1874,m,,65.25112866817156
uc1.b3114119,"Hallé, Clifford.",To Menelek in a motor-car,1913,m,,65.2507259143258
uiuo.ark:/13960/t7tm7kd9s,"Dillwyn, E. A.",Jill,1884,f,high_female,65.1631462674232
inu.30000038749259,"North, Sam.",Chapel Street / | $c: Sam North.,1993,m,high_female,65.15719172503665
mdp.39015022238409,"Davie, Elspeth.",Death of a doctor & other stories / | $c: by Elspeth Davie.,1992,f,,65.13416048421688
uc1.$b101953,"Herbert, Xavier,",Larger than life; | twenty short stories.,1963,m,high_male,65.0938583065041
uc1.32106015107094,"Zeller, Eva,",The manuscript / | $c: Eva Zeller ; translated from the German by Nadia Lawrence,2000,f,high_female,65.05475441830207
nyp.33433082320015,"Mitton, G. E.",A bachelor girl in Burma;,1907,f,high_male,65.05159264244055
mdp.39015025220255,"Flint, Helen.",Making the angels weep / | $c: Helen Flint.,1992,f,,65.00189588863009
uc1.$b245069,"Malet, Oriel.","The green leaves of summer, | $c: by Oriel Malet [pseud.]",1950,u,,64.98059132338105
uc2.ark:/13960/t5h991x77,"Little, Frances Delanoy.",Sketches in Poland,1914,f,high_female,64.97303618998116
nyp.33433075772529,"Willoughby, George,","The adventures, and other stories",1913,m,,64.96760900636683
uiuo.ark:/13960/t1gj05742,"Webber, Bryon.",Pigskin and willow,1879,m,mixed,64.9001879867514
mdp.39015013435493,"Allen, Eric,",The latchkey children / | $c: illustrated by Charles Keeping.,1963,m,high_male,64.8766297637235
mdp.39015059168719,"Hensher, Philip",The fit / | $c: Philip Hensher,2004,m,high_female,64.86967971805895
uc2.ark:/13960/t59c7659g,"Dickinson, Humphrey Neville,",Thomson's friend,1917,m,high_male,64.86135884546782
uc1.32106017658342,"Hensher, Philip",The fit / | $c: Philip Hensher,2004,m,high_female,64.84456660601603
uc1.$b312336,"Quennell, Peter,","The phoenix-kind, | a novel | $c: by Peter Quennell ...",1931,m,,64.83822861959412
njp.32101066460112,"Grant, James,",The girl he married,1869,m,high_male,64.83742360909932
mdp.39015064690475,"Warner, Alan.",The worms can carry me to heaven / | $c: Alan Warner.,2006,m,high_female,64.83185544587586
uc1.$b787118,"McNellie, John.",A Galloway childhood,1967,m,,64.81743090295667
inu.30000125237242,,A Rhondda anthology / | $c: edited by Meic Stephens ; introduced by Dai Smith.,1993,u,,64.79765918456195
uc2.ark:/13960/t7dr2tf8d,"Bairnsfather, Bruce,",Bullets & billets,1916,m,high_male,64.78082487583676
mdp.39015061095249,"Walsh, Helen,",Brass / | $c: Helen Walsh.,2004,f,,64.7600743696338
mdp.39015056429239,"Seabrook, Mike,",Full circle / | $c: Mike Seabrook.,1997,m,high_male,64.71775395331807
mdp.39015030742780,"Douglas, Robin,","16 to 21, | by Robin Douglas.",1925,m,,64.71499855242766
uc1.b3578077,"Ray, Satyajit,",Stories / | $c: by Satyajit Ray.,1987,m,high_male,64.70397929472662
mdp.39015041920052,"O'Grady, Timothy.","I could read the sky : | a novel / | $c: Timothy O'Grady, Steve Pyke ; with a preface by John Berger.",1997,m,mixed,64.70397929472662
mdp.39015025172431,"Tondelli, Pier Vittorio,",Separate rooms / | $c: Pier Vittorio Tondelli ; translated by Simon Pleasance.,1992,u,high_male,64.67983481765262
mdp.39015059978679,"Gay, Jackie.",Wist / | $c: Jackie Gay.,2003,u,mixed,64.6630492844893
mdp.39015059585177,"Gardam, Jane.",Old filth / | $c: Jane Gardam.,2004,f,,64.64820601228315
mdp.39015008285564,"Howells, William Dean,",The undiscovered country,1884,m,,64.62035541195476
uc1.$b301776,"Maclaren-Ross, J. (Julian),",Of love and hunger : | a novel / | $c: by J. Maclaren-Ross.,1947,m,mixed,64.60022840795044
uc2.ark:/13960/t2j67b19z,"Romer, Mabel.",A Peke's pilgrimage,1920,f,high_female,64.58756228086362
mdp.39015061210426,"Hayles, David L.,",Cannon fodder / | $c: David L. Hayles.,2005,m,high_male,64.56513482719332
mdp.39015063963832,"Quin, Shirland.","I sing of Honolulu, | $c: by Shirland Quin.",1935,u,mixed,64.55168070534519
uc2.ark:/13960/t6nz8415j,"Bindloss, Harold,",A sower of wheat,1901,m,mixed,64.53088976364096
uiuo.ark:/13960/t4wh2z484,"Fothergill, Caroline.",Put to the proof,1883,f,high_female,64.5287994837696
uiuo.ark:/13960/t5j96sf1b,,Rose Aylmer's home,1865,u,,64.49165402124432
uc1.$b745621,"Gordon, Ernest.",Miracle on the River Kwai.,1963,m,high_male,64.47088630502647
mdp.39015058232490,,Mordecai's first brush with love : | new stories by Jewish women in Britain / | $c: edited by Laura Phillips and Marion Baraitser.,2004,u,,64.45481062302676
mdp.39015029198408,"St Aubin de Terán, Lisa,",Nocturne / | $c: Lisa St Aubin de Terán.,1992,f,,64.4431882419446
mdp.39015057650486,"Brill, Marius.",Making love : | a conspiracy of the heart / | $c: Marius Brill.,2003,m,high_male,64.43637266179496
mdp.39015030712239,"Sillitoe, Alan.","Men, women and children.",1973,m,mixed,64.38341106452474
nyp.33433075744882,"Orczy, Emmuska Orczy,",The old man in the corner,1908,f,mixed,64.37429400833221
uc2.ark:/13960/t7np1zk41,"Tremlett, Horace,",Curing Christopher,1914,f,,64.32178042688221
mdp.39015070685337,"Davidar, David.",The solitude of emperors / | $c: David Davidar.,2007,m,high_male,64.28471607583734
mdp.39015014557238,"Burgess, Anthony,",Any old iron / | Anthony Burgess.,1989,m,,64.28098504181479
uc1.32106005224586,"Barnes, Julian.",Metroland / | $c: Julian Barnes.,1980,m,high_female,64.25599588761627
inu.30000110565557,"Broughton, Sarah.",Other useful numbers / | $c: Sarah Broughton.,2008,f,high_female,64.15559419898364
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,64.09679740913998
nyp.33433074877477,"Lowis, C. C.",Four blind mice,1920,u,,64.08404938984764
mdp.39015008852306,"Sillitoe, Alan.",Key to the door / | $c: by Allan Sillitoe.,1961,m,,64.04489987484355
njp.32101076045689,"Chesterton, G. K.",The Napoleon of Notting Hill,1904,m,high_male,64.0165833434947
uiuo.ark:/13960/t9v12q59d,"Yates, Edmund Hodgson,",The yellow flag,1872,m,mixed,63.95434643577508
uc1.32106011414205,"Simenon, Georges,",Maigret's first case / | $c: by Georges Simenon. Translated from the French by Robert Brain,1953,m,,63.949669881433856
uc1.b3917861,"Powell, Patricia,",Me dying trial / | $c: Patricia Powell.,1993,f,high_female,63.939896497292544
mdp.39015003928002,"Gathorne-Hardy, Jonathan.",Chameleon.,1967,m,,63.92866216980436
mdp.39015015340154,"Barstow, Stan,",Give us this day / | $c: Stan Barstow.,1989,m,high_female,63.886333435551464
mdp.39015004993005,"(John Michael), Cohen, J. M.","Writers in the new Cuba: | an anthology / | $c: edited by J. M. Cohen, [translated by J. M. Cohen and others].",1967,u,,63.85873337590582
uc1.$b242722,"Kirstein, Lincoln,",For my brother : | a true story / | $c: by José Martínez Berlanga as told to Lincoln Kirstein.,1943,m,mixed,63.82679959661463
mdp.39015000638018,"Leacock, Stephen,",Sunshine sketches of a little town,1912,m,high_male,63.80510440835267
mdp.39015022251097,"Saʻdāwī, Nawāl.",Searching / | $c: Nawal El Saadawi ; translated by Shirley Eber.,1991,f,high_male,63.75111564452378
mdp.39015034413834,"Ranga Rao,",The drunk tantra / | $c: Ranga Rao.,1994,u,mixed,63.70754760691285
uc1.32106005359697,"Sarton, May,",The single hound / | $c: by May Sarton,1938,f,mixed,63.703376278942784
mdp.39015050774986,"Walker, Ted,",He danced with a chair : | fictions and factions / | $c: Ted Walker.,2001,m,,63.69795587468875
nnc1.1002386461,"Slow, Edward.",Humorous West Countrie tales,1899,m,,63.69173201703754
mdp.39015013254654,"Storey, David,",Pasmore. -,1972,m,high_male,63.68750663411527
uc1.$b182827,"Cotterell, Geoffrey",Then a soldier,1945,m,,63.68684711273349
mdp.39015016442512,"Kimenye, Barbara.",Kalasanda. | $c: Illus. by N. Kagwa.,1965,f,high_female,63.672299896532515
mdp.39015010844457,"Welch, Denton.",A last sheaf.,1951,m,,63.66723259762309
uc1.b4284526,"Saʻdāwī, Nawāl.",Searching / | $c: Nawal El Saadawi ; translated by Shirley Eber.,1991,f,high_male,63.66588145412873
umn.31951002087730d,"Oppenheim, E. Phillips (Edward Phillips),",The missing Delora.,1927,m,mixed,63.64793598836152
mdp.39015058515126,"Raphael, John N.",Pictures of Paris & some Parisians,1908,m,mixed,63.62094037809016
mdp.39015064983177,"Johnston, Fred,",The neon rose / | $c: Fred Johnston.,2007,m,,63.61147219072379
mdp.39015059375629,"Burke, Thomas,","The Winsome Wench; | the story of a London inn, 1825-1900.",1938,m,mixed,63.58663461203442
inu.39000002132194,"Lurie, Morris.",Running nicely / | $c: by Morris Lurie.,1979,m,high_male,63.5862653666808
uc1.31158003738555,"Elbe, Lili,","Man into woman : | an authentic record of a change of sex / | $c: [ed. by Niels Hoyer, i.e. E. Harthern] ; translated from the German by H. J. Stenning ; introduction by Norman Haire.",1937,u,high_female,63.54436337961874
uc1.$b118705,"Hayes, Douglas.",My father in his Dizzerbell.,1968,m,high_female,63.50397621487436
mdp.39015003681072,"Gardam, Jane.",The Sidmouth letters / | $c: by Jane Gardam.,1980,f,high_female,63.48714772375349
mdp.39015028872946,"Rose, Dilys,",Red tides / | $c: Dilys Rose.,1993,u,,63.45289503833612
mdp.39015055084712,"Chalmers, Robert.",Who's who in hell / | $c: Robert Chalmers.,2002,m,,63.4376138059044
mdp.39015078793406,"Lambert, Charles,",The scent of cinnamon : | & other stories / | $c: Charles Lambert.,2008,m,,63.433961086904525
nyp.33433074902127,"Mitton, G. E.",The opportunist,1902,f,,63.40303602999451
mdp.39015005915288,"Akare, Thomas,",The slums / | $c: Thomas Akare.,1981,m,,63.39376059102491
mdp.39015024933056,"Ibrahim, Gamil Atia.",Down to the sea / | $c: Gamil Attiyah Ibrahim ; introduced and translated by Frances Liardet.,1991,u,,63.39367472001127
inu.30000007046091,"Wilson, Colin,","Adrift in Soho, | a novel.",1961,m,,63.377782284642294
mdp.39015060845636,"Ferguson, Patricia.",It so happens / | $c: Patricia Ferguson.,2004,f,high_female,63.31618519984171
