htid,author,title,year,authgender,female_category,transit
uiuo.ark:/13960/t9668r34m,"Chatterton, Georgiana,",The lost bride,1872,f,high_female,2.3014959723820483
uiuo.ark:/13960/t3bz6r290,"Middlemass, Jean.",Sackcloth and broadcloth,1881,f,,2.3013900395839086
uiuo.ark:/13960/t05x2kt1p,"Beaton, Patrick.",Marion Leslie,1863,m,mixed,2.2997493273233216
uc2.ark:/13960/t3st7hr0r,"Lever, Charles James,",[Charles Lever's novels,1872,m,mixed,2.299709661655216
mdp.39015011254656,"Egbuna, Obi B.","Daughters of the sun, | and other stories | $c: [by] Obi Egbuna.",1970,u,,2.2990091270662343
mdp.39015005533776,"Haggard, H. Rider (Henry Rider),","She, | a history of adventure, | $c: by H. Rider Haggard. With illustrations.",1927,m,mixed,2.2986392055902907
njp.32101065192492,"Oliphant,",Brownlows,1868,f,,2.297213480048701
uc2.ark:/13960/t9668hk5g,"Quiller-Couch, Arthur,",Fort Amity,1904,m,,2.2970287932559237
uiuo.ark:/13960/t5h99gq2h,"Du Bois, Edward,",Old Nick;,1801,m,,2.2966331358228835
uc2.ark:/13960/t8ff3qk5c,"Hill, Thomas,",Marmion travestied,1809,m,,2.296474911011597
hvd.32044086799046,"Normanby, Constantine Henry Phipps,",Matilda,1825,m,,2.2944199706314246
uc1.32106014536228,,Don't bet on the prince : | contemporary feminist fairy tales in North America and England / | $c: [edited by] Jack Zipes.,1986,u,high_female,2.294314688202634
mdp.39015030051588,"James, G. P. R.",The gipsy;,1835,m,,2.293367580955876
mdp.39015008152061,"Haggard, H. Rider (Henry Rider),","She, | a history of adventure, | $c: by H. Rider Haggard. With illustrations.",1927,m,mixed,2.290793301720386
mdp.39015063536828,"Browne, Thos. Alex.",A modern buccaneer,1894,m,high_male,2.28932487809345
uc1.32106019365573,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,2.2879979255485474
njp.32101064911884,"Marryat, Frederick,",The novels of Captain Marryat,1895,m,mixed,2.2871388464815228
uc1.b3039415,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,2.286550509900764
njp.32101068970670,"Kavanagh, Julia,",Nathalie,1850,f,high_female,2.286001668781218
njp.32101064907049,"Roche, Regina Maria,",The maid of the hamlet;,1833,f,,2.285087518851972
uva.x002037437,"Martineau, Harriet,",Illustrations of taxation,1824,f,,2.2843828168724514
uiuo.ark:/13960/t13n2p45s,"McCarthy, Justin H.",A London legend,1895,m,,2.2837828579258685
