htid,author,title,year,authgender,female_category,intl_intensity
mdp.39015002742404,"Rolfe, Frederick,","The desire and pursuit of the whole; | a romance of modern Venice, | $c: by Frederick Rolfe. With an introd. by A.J.A. Symons.",1934,m,high_male,296.6488677346026
inu.30000027289606,"Milligan, Spike,",It ends with magic ... : | a Milligan family story / | $c: Spike Milligan.,1991,u,mixed,296.6472883650553
uc1.32106005810202,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1974,m,high_male,296.64201241941225
uiuo.ark:/13960/t0rr2bv7p,"Keary, Annie,",Clemency Franklyn,1866,f,high_female,296.5979213010092
mdp.39015054151520,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,mixed,296.4329736310771
mdp.39015034803539,"Sewell, William Gawan.",Strange harmony / | $c: by William G. Sewell.,1947,m,high_female,296.3375300839896
uiuo.ark:/13960/t58d05x5c,"Bradshaw, John,",Roger North,1885,f,high_female,296.29384404019004
uiuo.ark:/13960/t2c82xh62,"Sherard, Robert Harborough,",A bartered honour,1883,m,,296.2449554514662
wu.89066705278,"Larsson, Björn,",The Celtic ring / | $c: Björn Larsson ; translated by George Simpson.,1997,u,,296.222286329447
uc1.$b547610,"McCloy, Helen.",Two-thirds of a ghost.,1957,f,mixed,296.21698786581015
mdp.39015018047657,"Winny, James.","The descent of Euphues,",1957,m,mixed,296.1925128432023
mdp.39015020169515,"Kuhn, Isobel.",Precious things of the lasting hills / | $c: Isobel Kuhn.,1950,f,,296.1847389558234
mdp.39015014329570,"Fahrni, Audrey M.",No turning back / | $c: Audrey Fahrni.,1973,f,,296.1225828248902
mdp.39015032186028,"Tremain, Rose.",Evangelista's fan & other stories / | $c: Rose Tremain.,1994,f,,296.08827704094875
uiuo.ark:/13960/t1zc8697g,"Besant, Walter,","The captains' room, etc",1883,m,,296.082599453386
mdp.39015076846149,"Cacucci, Pino,",Without a glimmer of remorse / | $c: Pino Cacucci ; illustrated by Flavio Costantini.,2006,u,high_male,296.07817758219
mdp.39015059975873,"Rathbone, Julian,",As bad as it gets / | $c: Julian Rathbone.,2003,m,mixed,295.976981859808
uc1.32106011414155,"Simenon, Georges,",Maigret loses his temper / | $c: translated from the French by Robert Eglesfield,1967,m,high_male,295.9083748456593
mdp.39015003928861,"Gerhardie, William Alexander,",Works.,1970,m,,295.88716835979875
uc1.32106006416074,"Beier, Ulli.",The origin of life and death: | African creation myths.,1966,u,mixed,295.85798816568047
uc1.b3327555,"Pepys, Charlotte,",Domestic sketches in Russia,1861,f,high_female,295.80371474432474
uiuo.ark:/13960/t9j391m3m,"Black, William,",In far Lochaber,1888,m,high_female,295.7971495911039
mdp.39015073894514,,In praise of navigation : | twentieth century stories from the Dutch / | $c: edited by PC Evans & Paul Vincent.,2007,u,mixed,295.7800099569507
njp.32101068176260,"Cartwright, Robert,",Ambrose the sculptor,1854,f,,295.72608928252987
njp.32101076417292,Saʻdī.,"Gulistān; or, Flower-garden",1890,m,,295.6875278565917
inu.30000118523228,"Dehn, Olive.","Tales of the Taunus mountains, | $c: by Olive Dehn; pictures by Charles Folkard.",1937,f,,295.62828475871953
uc1.32106018430477,,A Visual history of costume.,1983,u,high_male,295.4833262980161
mdp.39015066824023,"Mercurio, Jed.",Ascent / | $c: Jed Mercurio.,2007,m,high_male,295.47504804738054
uiuo.ark:/13960/t02z1r626,"Kett, Henry,",Emily,1809,m,mixed,295.4484062668828
uiuo.ark:/13960/t25b0s039,,The Twickenham tales,1861,u,,295.3706333428004
dul1.ark:/13960/t5bc4sx44,,The affecting history of Caroline;,1805,u,,295.3686200378072
mdp.39015030663762,"Wittlin, Tadeusz.",A reluctant traveller in Russia. [Translated from the Polish by Noel E. P. Clark],1952,m,,295.32938159498883
mdp.39015008272851,"Jones, Gwyn,","Eirik the Red, and other Icelandic sagas / | $c: translated with an introd. by Gwyn Jones.",1980,u,high_male,295.3182573513475
uc2.ark:/13960/t54f1st5z,"Robinson, A. Mary F.",Arden,1883,f,,295.24330235101144
uc2.ark:/13960/t87h1tb1m,"Lowndes, Marie Belloc,",The Red cross barge,1916,f,,295.18566241068294
mdp.39015040122403,"Dikobe, Modikwe,",The Marabi dance. -,1973,u,,295.17339582900706
mdp.39015063542503,"Aumonier, Stacy.",Just outside,1917,m,,295.154918491834
mdp.39015058737548,"Beard, Richard,",Dry bones / | $c: Richard Beard.,2004,m,mixed,295.10417338579634
uc1.b4949045,"Tremain, Rose.",The cupboard / | $c: Rose Tremain.,1981,f,mixed,295.09804736531476
nyp.33433067347066,"Ingemann, Bernhard Severin,","King Eric and the outlaws, or, The throne, the church, and the people",1843,f,,295.0947130336444
mdp.39015066189104,"Thackeray, William Makepeace,",Works,1883,m,,295.0911640953717
mdp.39015002218462,"Straub, Peter.",Marriages; | a novel. -,1973,m,mixed,295.08946198125557
mdp.39015058232490,,Mordecai's first brush with love : | new stories by Jewish women in Britain / | $c: edited by Laura Phillips and Marion Baraitser.,2004,u,,294.9626926816478
inu.39000005806919,,"Tales from the long lakes: | Finnish legends from the Kalevala, | $c: by Keith Bosley; illustrated by Richard Kennedy.",1966,u,,294.9375782796655
uc1.b4974556,"MacDowell, John,",Cara massimina / | $c: John MacDowell.,1990,m,,294.81579432262816
umn.31951d02155124v,"Park, Frances,",When my sister was Cleopatra Moon / | $c: Frances Park.,2000,f,high_female,294.7403379135706
nyp.33433043146269,"Grousset, Paschal,",The conquest of the moon;,1889,m,,294.6906965416462
mdp.39015000512742,"Simenon, Georges,",Maigret and the ghost / | $c: [by] Georges Simenon ; translated from the French by Eileen Ellenbogen.,1976,m,,294.66753373435205
mdp.39015032436480,"McKenzie, Alecia,",Satellite city / | $c: Alecia McKenzie.,1992,f,,294.64457572661735
njp.32101064790239,"Robinson, Emma.",Owen Tudor;,1849,f,high_male,294.60303604795473
uc1.32106013145930,"Williamson, Nicol",Ming's kingdom / | $c: Nicol Williamson,1996,u,mixed,294.514775579741
mdp.39015035336257,"Ngũgĩ wa Thiongʼo,",Petals of blood / | $c: Ngugi Wa thiongʼo.,1977,u,high_male,294.474086828728
mdp.39015029863118,"McCrum, Robert.",The psychological moment / | $c: Robert McCrum.,1993,m,,294.42219643948755
wu.89095839858,"Higgs, Dorothy Pickard.","Guernsey diary, 1940-1945; | a human record of the occupation years.",1947,f,,294.3934972905377
uc2.ark:/13960/t4fn11n37,"Ker, David,",Among the dark mountains,1906,m,high_male,294.3896133305656
mdp.39015001787616,"Rathbone, Julian,",A spy of the old school / | $c: Julian Rathbone.,1982,m,high_male,294.32116990358435
uc1.b4948342,"Harwood, Ronald,",One. interior. day. : | adventures in the film trade / | $c: Ronald Harwood.,1978,m,,294.31885072466076
mdp.39015000618754,"Greene, Graham,",The collected edition.,1970,m,,294.2985153298779
uc2.ark:/13960/t88g8mj8t,"Bennett, Arnold,",The regent;,1913,m,high_male,294.25538557602243
mdp.39015012972769,"Trevor, William,",The news from Ireland & other stories / | $c: William Trevor.,1986,m,,294.2518912724694
mdp.39015064983318,"Crofts, Lewis,",The pornographer of Vienna / | $c: Lewis Crofts.,2007,m,,294.1413129967546
uc1.b2794678,"Borrelli, Mario,","A street lamp and the stars, | the autobiography of Don Borrelli of Naples, | $c: written with the help of Anthony Thorne.",1963,m,high_male,294.1176470588235
uva.x001478014,"Kingsley, Charles,",Westward ho!,1878,m,mixed,294.11384049905524
njp.32101076207677,,Tales from  Blackwood,1858,u,mixed,294.109711016972
inu.30000107352480,"Nakyana, Basiima.",Rope round the head / | $c: Basiima Nakyana.,2005,u,mixed,294.08666338928293
inu.39000002002967,"Daudet, Alphonse,",Sappho,1896,m,high_female,294.0238270252278
uiuo.ark:/13960/t8ff4dc98,"Savile, Charles Stuart,","Karah Kaplan; or, The Koordish chief",1842,m,high_male,293.9660602821311
mdp.39015059979099,"Grunberg, Arnon.",Phantom pain / | $c: by Arnon Grunberg ; translated from the Dutch by Sam Garrett.,2003,u,high_female,293.9474385236489
inu.30000055891166,"Haining, Peter.","The Hollywood nightmare: | tales of fantasy and horror from the film world; | $c: edited by Peter Haining, introduced by Christopher Lee.",1970,m,,293.9353530041508
uiuo.ark:/13960/t5t72x582,"Lever, Charles James,",Tony Butler,1865,m,,293.9215056684862
hvd.32044090306952,"Normanby, Constantine Henry Phipps,",Matilda,1825,m,,293.88862374720554
mdp.39015066809883,"Wu, Fan,",February flowers / | $c: Fan Wu.,2006,u,high_male,293.8875852050509
njp.32101067646578,"Holmes, W. H. M.","Oakleigh, or, The minor of great expectations",1843,u,high_male,293.8492425625114
mdp.39015010558701,"Linklater, Eric,","Sealskin trousers, | and other stories, | $c: with wood engravings by Joan Hassall.",1947,m,,293.8062466913711
uiuo.ark:/13960/t0vq3b299,"Grant, Maria M.",The sun-maid,1876,f,,293.7495654592226
uc1.b3727158,"Ogilvie, Elisabeth,",My world is an island.,1951,f,,293.70032644394394
mdp.39015082737639,"El-Youssef, Samir,",A treaty of love : | a novel / | $c: by Samir El-Youssef.,2008,m,high_female,293.6926017435085
mdp.39076002947815,"Hilsenrath, Edgar.",The story of the last thought / | $c: by Edgar Hilsenrath.,1990,m,high_male,293.5900377547402
mdp.39015053245026,,Nineteenth century short stories / | $c: edited with an introduction by Peter Keating.,1981,u,mixed,293.5776561682352
mdp.39015011487181,,The Best of the Fiction Magazine.,1986,u,,293.54519638811786
uc1.b3346922,"Forrest, David,",The last blue sea / | $c: David Forrest.,1959,m,high_male,293.5420743639922
uc1.32106006790882,"Campbell, John.",Saturday night in York Street / | $c: John Campbell ; illustrated by Hector McDonnell.,1982,m,,293.5305858870494
mdp.39015033456594,"Loti, Pierre,",My brother Yves,1887,f,,293.4632906028181
nyp.33433081859450,"Edgeworth, Maria,",The novels of Maria Edgeworth,1893,f,mixed,293.460235056601
mdp.39015019867145,"Booth, Martin.",A very private gentleman / | $c: Martin Booth.,1991,m,,293.3715291559529
