htid,author,title,year,authgender,female_category,gb_strict_london_intensity
nyp.33433074859814,"Griffith, George Chetwynd.",The world masters,1903,m,,66.85017695635077
mdp.39015030737921,"Defoe, Daniel,",The novels and miscellaneous works,1840,m,high_female,66.83205372227806
uc2.ark:/13960/t78s4kb62,"Harland, Henry,",Mea culpa,1891,m,high_male,66.82190948668624
njp.32101068169430,"Fullerton, Georgiana,",Grantley Manor,1847,f,high_female,66.81979536437669
mdp.39015049907325,"Wills, C. J.",Laura Ruthven's widowhood,1892,m,high_female,66.80724023466044
mdp.39015014860103,"Stewart, Desmond,",The round mosaic.,1965,m,mixed,66.77831718640691
mdp.39015059159650,"Parsons, Tony,",The family way / | $c: Tony Parsons.,2004,m,,66.76966793736074
nyp.33433075766380,"Pinsent, Ellen Frances Parker,","Job Hildred, artist and carpenter",1897,f,high_female,66.76774561488921
mdp.39015048883915,"Lang, Andrew,",The mark of Cain,1886,m,mixed,66.75294598460596
uc1.b3311933,"Symons, Arthur,",The collected works of Arthur Symons.,1924,m,high_female,66.73727276684028
mdp.39015062843662,"Yardley, Jane.",A sauceful of secrets / | $c: Jane Yardley.,2005,f,,66.73228674863616
mdp.39015063927282,"Sedgwick, Anne Douglas,",The dull Miss Archinard,1898,f,high_female,66.72125678585509
mdp.39015063556263,"Opie, Amelia Alderson,",New tales,1818,f,,66.71699703284935
uc1.32106012960461,"Livesey, Margot,",Criminals : | a novel / | $c: by Margot Livesey,1996,f,,66.69936243256498
uiuo.ark:/13960/t9086wq6c,"Scargill, William Pitt,","Penelope, or, Love's labour lost",1828,m,,66.69668017274441
mdp.39015064948212,"Boyne, John,",Next of kin / | $c: John Boyne.,2006,m,,66.67681694326168
uva.x030581134,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,mixed,66.67468220223195
uiuo.ark:/13960/t8kd28g17,"Fetherstonhaugh,",Kingsdene,1878,f,high_female,66.64260128287007
uc1.b4091171,"Leslie, Shane,",A ghost in the Isle of Wight / | $c: by Shane Leslie ...,1929,u,high_male,66.63113006396588
mdp.39015005604411,"Collins, Wilkie,",Poor Miss Finch,1872,m,high_female,66.62225183211193
uiuo.ark:/13960/t8rb7dj02,"Dowling, Richard,",An isle of Surrey,1889,m,mixed,66.61749660964526
uiuo.ark:/13960/t41r72858,"Ainsworth, William Harrison,",The goldsmith's wife,1875,m,mixed,66.56048684241804
mdp.39015034298664,"Newman, Robert,",Dependence day / | $c: Robert Newman.,1994,m,,66.54688227856525
uiuo.ark:/13960/t2m623x3j,"Plumptre, Anne,",The history of myself and my friend;,1813,f,mixed,66.54097815237883
nyp.33433074937172,"Beazley, Samuel,",The Oxonians,1830,m,high_female,66.5305813865578
uiuo.ark:/13960/t3126gn1p,"Plumptre, Anne,",The history of myself and my friend;,1813,f,mixed,66.52648585718188
mdp.39015046820653,"Lodge, David,",Therapy : | a novel / | $c: David Lodge.,1995,m,,66.52518976310381
uiuo.ark:/13960/t0wq0m58n,"Sinclair, Catherine,",Cross purposes,1855,f,,66.50269705382496
mdp.39015015401956,"Aldiss, Brian Wilson,",The hand-reared boy | $c: [by] Brian W. Aldiss.,1970,m,high_female,66.49326266794438
uc1.b4594152,"Deloney, Thomas,",The history of John Winchcomb,1859,m,high_male,66.48759341506874
mdp.39015062286045,"James, G. P. R.","Morley Ernstein; or, The tenants of the heart",1842,m,mixed,66.47412093705589
mdp.39015031305736,"Storey, Anthony.",Brothers keepers : | a novel / | $c: by Anthony Storey.,1975,m,high_male,66.44794219029029
njp.32101067643658,"Farjeon, Benjamin Leopold.",Basil and Annette,1890,m,mixed,66.40751538710722
mdp.39015092871014,"Beerbohm, Max, Sir,",[Works].,1922,m,,66.40297947281809
uc1.b3322533,"Gore,",Peers and parvenus,1846,f,,66.38846737481032
uc1.$b105426,"Priestley, J. B. (John Boynton),","Four-in-hand, | $c: by J. B. Priestley.",1934,m,,66.3737685475937
njp.32101068163789,,Lavinia Fitz-Aubyn,1816,u,high_female,66.35891517599538
uc2.ark:/13960/t53f4rq4j,"Gilbert, William,","The landlord of 'The Sun,'",1871,m,mixed,66.35139699850409
uc2.ark:/13960/t4mk67860,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,mixed,66.34493915351128
mdp.39015004264001,"Bragg, Melvyn,",Love and glory / | $c: Melvyn Bragg.,1983,m,mixed,66.33794728608487
umn.31951002120845o,"Shann, Renée,",Never say good-bye : | a romance / | $c: Carol Gaye.,1962,u,,66.30933303862518
mdp.39015030715919,"Sir, Squire, John Collings,","The Grub street nights entertainments, | $c: by J.C. Squire.",1924,m,high_male,66.29868327731351
uc1.32106009789477,,One step in the clouds : | an omnibus of mountaineering novels and short stories / | $c: compiled by Audrey Salkeld and Rosie Smith.,1991,u,,66.27751794452527
uiuo.ark:/13960/t3126849b,"Gissing, Algernon,",Between two opinions,1893,m,,66.25944714773786
uiuo.ark:/13960/t6b28dx0b,"Moore, Frank Frankfort,",A gray eye or so,1893,m,mixed,66.23978803267829
mdp.39015063959954,"Thackeray, William Makepeace,",Roundabout papers,1907,m,,66.22788787846955
uiuo.ark:/13960/t04x5xf7m,"Sedley, Charles,",A winter in Dublin,1808,m,high_female,66.21931838248278
uiuo.ark:/13960/t6154xz35,"Davenport, Selina,",The hypocrite;,1814,f,high_female,66.21347223448397
mdp.39015053239581,"(Herbert George), Wells, H. G.",You can't be too careful : | a sample of life 1901-1951.,1941,m,mixed,66.16939364773822
mdp.39015063891371,"Kingsley, Henry,",Number seventeen,1875,m,,66.16851992317996
inu.30000107600995,"Berry, Eleanor.",The house of the weird doctors / | $c: Eleanor Berry.,2005,f,high_male,66.1603958117593
uc1.$b87099,"Charques, Dorothy.",The nunnery.,1959,f,,66.15594278834067
uiuo.ark:/13960/t57d3d89h,"Smith, Caroline Mary.",Magdalen Havering: being chapters in the history of a family,1861,f,high_female,66.13308010581292
uc1.32106005810228,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1974,m,high_male,66.10125816462575
mdp.39015064950317,"Freud, Esther.",Love falls / | $c: Esther Freud.,2007,f,high_female,66.08032016380474
uc2.ark:/13960/t4dn42010,"Marriott, Charles,","""Now""!",1910,m,,66.07978854467666
uiuo.ark:/13960/t9377mx6q,"Beale, Anne.",Restitution,1889,f,,66.0683807741012
mdp.39015059376098,,The New British novelist;,1830,u,high_male,66.06656206127674
hvd.hxk4ki,,Maurice Powell: an historical Welsh tale of England's troubles,1821,u,mixed,66.05723539815466
mdp.39015046888692,"Jennings, Luke.",Beauty story / | $c: Luke Jennings.,1998,m,,66.05320699708454
uiuo.ark:/13960/t8hd83z70,"Caine, Hall,",A son of Hagar,1887,m,,66.04650121458396
njp.32101064788241,"D'Auvergne, Edmund B.",The night of memory;,1915,m,high_female,66.0368911174785
mdp.39015018508914,"Gurnah, Abdulrazak,",Dottie / | $c: Abdulrazak Gurnah.,1990,u,high_female,66.01911745081927
uc1.b3827542,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1927,m,high_male,66.01767931073067
mdp.39015019773806,"Cole, Barry.",The search for Rita.,1970,m,mixed,65.99319762424487
njp.32101066457415,"Collins, Mortimer,",Sweet Anne Page,1868,m,mixed,65.98977158540427
nyp.33433074970652,"Chatelain, Clara de,",Truly noble,1870,f,high_male,65.98378684094766
mdp.39015001785305,"Woolf, Virginia,","The Captain's death bed, | and other essays.",1950,f,mixed,65.9820528816162
mdp.39015084103939,"Joso, Jayne.",Soothing music for stray cats / | $c: Jayne Joso.,2009,f,mixed,65.90556370516828
uiuo.ark:/13960/t9474zg09,"Oliphant, Laurence,",Altiora Peto,1883,m,,65.90027092333602
uc1.$b242643,"Manning, Rosemary.",Man on a tower | $c: [by] Rosemary Manning.,1965,f,,65.89687139626484
mdp.39015032226394,"Gee, Sue.",Letters from Prague / | $c: Sue Gee.,1994,f,high_female,65.88932074773274
uiuo.ark:/13960/t87h24b83,"Braddon, M. E.","Lucius Davoren, or, Publican and sinners",1873,f,,65.85406738667113
uiuo.ark:/13960/t4dn4s42z,Sejanus.,Littledale,1878,u,,65.84145377929946
mdp.39015063548252,"Barr, Robert,","From whose bourne, etc",1893,m,,65.79428320783683
mdp.39015043089369,"Hill, Susan,",The service of clouds / | $c: Susan Hill.,1998,f,high_female,65.77187193436191
