htid,author,title,year,authgender,female_category,urban_others
nyp.33433074879150,"Lynch, Theodora Elizabeth,",Years ago: a tale of West Indian domestic life of the eighteenth century,1865,f,mixed,4.992511233150275
uc1.b4097772,"Crowley, Aleister,",The stratagem : | and other stories / | $c: by Aleister Crowley.,1929,u,high_male,4.990767080900334
mdp.39015006214699,,The Penguin Brontë sisters.,1984,u,,4.990569544447045
uiuo.ark:/13960/t16m3t75r,"Noel, Augusta,",Owen Gwynne's great work,1875,f,mixed,4.987282429804
mdp.39015047757060,"[Cove, Joseph Walter]",Vanessa & the dean; | the ironic history of Esther Vanhomrigh and Jonathan Swift | $c: [by] Lewis Gibbs [pseud.],1939,m,high_female,4.986785019697801
mdp.39015055857760,"Wheatle, Alex,",The seven sisters / | $c: Alex Wheatle.,2002,m,high_male,4.985790497083313
uc1.b3073039,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,4.98415749937698
uiuo.ark:/13960/t59c7hc2h,"Nicholson, Jessie L.",After long waiting,1897,f,,4.983968235509113
uiuo.ark:/13960/t3bz6g13b,"Carey, Rosa Nouchette,",The search for Basil Lyndhurst,1889,f,,4.983430094934343
njp.32101068169497,"Gerard, E.",Beggar my neighbor,1882,f,high_female,4.981485478969828
uc1.32106019365649,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,mixed,4.979973392713587
uiuo.ark:/13960/t6ww7z58t,"Munster, Wilhelmina Fitzclarence,",Dorinda,1889,f,high_female,4.979087831109341
inu.30000001666621,"Briggs, Katharine Mary.","A dictionary of British folk-tales in the English language, | incorporating the F. J. Norton collection | $c: [by] Katharine M. Briggs.",1970,f,high_male,4.968805219729884
nyp.33433073356820,"Turgenev, Ivan Sergeevich,",Liza,1869,m,high_female,4.965243296921549
uiuo.ark:/13960/t0ns19n7m,"Moore, George,",Grasville Abbey,1801,m,mixed,4.964750273061265
hvd.hwkd81,"Lewis, M. G.",Romantic tales,1808,m,mixed,4.9646270323941915
mdp.39015025976161,"Henty, G. A.",The Lion of the North,1886,m,high_male,4.963870116792773
uc1.31158010777703,"Grant, John,",Legends of the braes o' Mar,1910,m,high_male,4.957787976655901
uc2.ark:/13960/t00001c80,"Robinson, F. W.",Coward conscience,1879,m,mixed,4.952047671712253
uiuo.ark:/13960/t2w388f8g,"Lloyd, Jessie Sale,",Scamp;,1887,f,,4.950249987624375
uc1.b3321961,"Broughton, Rhoda,",Cometh up as a flower,1867,f,,4.949923276189219
uc2.ark:/13960/t3st7gj33,"MacDonald, George,",The wise woman;,1875,m,high_female,4.94743351886209
uiuo.ark:/13960/t1dj63c0r,"Walford, Lucy Bethia,",A stiff-necked generation,1889,f,,4.943479550472926
wu.89099772360,"Charlesworth, Maria Louisa,",Ministering children,1903,f,mixed,4.930966469428008
uiuo.ark:/13960/t2f76z32z,"Lee, Holme,",The Wortlebank diary,1860,f,,4.928354052955164
uc1.b4948999,"Wilson, Barbara Ker,",Jane Austen in Australia / | $c: Barbara Ker Wilson.,1984,f,high_female,4.927356684311296
mdp.39015050498149,"Stevenson, Jane,",Astraea / | $c: Jane Stevenson.,2001,f,,4.926715112698608
uiuo.ark:/13960/t3708cf7k,"Belfast, Frederick Richard Chichester,",The farce of life,1852,m,,4.924976195948386
njp.32101064786856,"Barber, Margaret Fairless,",The grey brethren and other fragments in prose and verse,1905,u,high_female,4.923440500221555
uiuo.ark:/13960/t3st85m9j,"Marryat, Florence,",How they loved him,1882,f,high_female,4.913763451427449
uc1.$b312338,"Quirk, Violet.","The skirts of the forest, | $c: by Violet Quirk.",1931,f,high_female,4.91357029845026
uc1.$b242805,"Kaye-Smith, Sheila,",The treasures of the snow / | $c: by Sheila Kaye-Smith.,1950,f,mixed,4.913377160657606
uc2.ark:/13960/t18k76s2t,"Compton-Rickett, Arthur,",Lost chords,1895,m,,4.910867750331484
mdp.39015013142420,"Gore,",Polish tales,1833,f,high_male,4.904364884747425
mdp.39015048903002,"Malory, Thomas,",La mort d'Arthure,1858,m,high_male,4.903093852220751
inu.39000001190797,"McGonagall, William.","Further poetic gems / | $c: William McGonagall, poet and tragedian ; died in Edinburgh 29th September, 1902.",1980,m,high_male,4.900519455062237
uiuo.ark:/13960/t7wm20x0v,"Collins, Wilkie,",The moonstone,1868,m,mixed,4.899499026224569
mdp.39015031240784,"James, G. P. R.",The Old Dominion,1856,m,,4.889656746096424
uiuo.ark:/13960/t1sf38s5v,"Lewis, Arthur,",The master of Riverswood,1876,f,,4.888700583384936
uc1.$b794766,"Frankland, Edward  Percy,",England growing. / | $c: by Edward Frankland.,1944,m,mixed,4.883945250973737
uiuo.ark:/13960/t75t4542w,"MacDonald, George,",What's mine's mine,1886,m,mixed,4.883368873406801
uc1.$b244876,"Simpson, Helen,","Saraband for dead lovers, | $c: by Helen Simpson.",1935,f,,4.881525379050446
uiuo.ark:/13960/t9g450k2g,"Beale, Anne.",Country landlords,1860,f,high_female,4.880667675337986
uc2.ark:/13960/t3513xx2w,"Francis, M. E.,",In a North country village,1897,f,high_female,4.8783660725900875
uiuo.ark:/13960/t4rj4tk1s,"Fothergill, Caroline.",An enthusiast,1887,f,high_female,4.875670404680643
uc1.32106006692732,"Avery, Gillian,",Onlookers / | $c: Gillian Avery.,1983,f,high_female,4.8688454750167365
uc2.ark:/13960/t90865d2q,"Fowler, Ellen Thorneycroft,",Miss Fallowfield's fortune,1908,f,,4.868786211597449
uiuo.ark:/13960/t3dz0t97b,"Walsh,","The officer's daughter; or, A visit to Ireland in 1790",1810,f,high_female,4.868312156175454
uc1.$b242749,"Douglas, Norman,",In the beginning / | $c: by Norman Douglas.,1929,u,high_male,4.865627584864654
uc1.b4374032,"Vaphopoulou-Richardson, C. E.",Greek terracottas / | $c: by C.E. Vafopoulou-Richardson.,1981,u,mixed,4.865469761105435
uc2.ark:/13960/t3125sd0d,"Nivedita,",Myths of the Hindus & Buddhists,1913,u,,4.863982211722197
uc2.ark:/13960/t5cc15k3w,"Milne, A. A.",Once on a time,1917,m,,4.860976083997667
mdp.39076000791272,,Shorter novels: seventeenth century. | $c: Edited by Philip Henderson.,1962,u,,4.853073208609352
uc2.ark:/13960/t29886z5c,"Lane, Laura M.","Gentleman Verschoyle, a novel",1875,f,,4.850679903633159
hvd.hn5bup,"Selwyn, A.","Montague Park, or, Family incidents",1825,m,high_female,4.850483835762617
uiuo.ark:/13960/t9q246b3d,"Carrington, Edmund Frederick John.",Confessions of an old maid,1828,m,high_female,4.8503662026483
wu.89004548004,"Bancroft, Francis.",The liquor king,1921,m,,4.842302353358944
mdp.39015065792957,"Gyp,",Chiffon's marriage,1895,f,high_male,4.835589941972921
mdp.39015063976412,"Wilson, John,",Lights and shadows of Scottish life,1822,m,,4.825362103214496
uc2.ark:/13960/t0tq5t27k,"Hubback,",The old vicarage,1856,f,high_female,4.825168076688005
uiuo.ark:/13960/t8mc9kk0f,"Russell, William Clark,","List, ye landsmen!",1893,m,high_male,4.823868501344653
uc1.$b119562,"Duncan, Jane,",My friends the hungry generation.,1968,f,,4.818348270212971
uc1.32106014159039,"Tezel, Naki.","Fairy tales from Turkey; | $c: tr. from the Turkish by Margery Kent, illus. by Olga Lehmann.",1946,u,mixed,4.814404698858986
mdp.39015025360580,,Shorter novels. | $c: Edited by Philip Henderson.,1960,u,mixed,4.814172925091469
nyp.33433074939442,"Bidder, M.",Westminster cloisters;,1887,u,high_male,4.810390443357653
mdp.39015025027882,,"Flamenca, | $c: translated from the thirteenth-century Provençal of Bernardet the troubadour, by H. F. M. Prescott ...",1930,u,high_male,4.809619238476954
uiuo.ark:/13960/t6k07g132,"Gibbon, Charles,",Robin Gray,1869,m,mixed,4.808617041738796
uc1.$b119737,"Dennis, Nigel Forbes,",A house in order: | a novel | $c: [by] Nigel Dennis.,1966,f,high_male,4.808154630252909
mdp.39015020934876,"Haggard, H. Rider",Swallow;,1899,m,,4.8041507862793456
nyp.33433006611846,"Neish, Rosalie Galsworthy,",A world in a garden,1899,f,high_male,4.803650774588688
uiuo.ark:/13960/t2891vb61,"Gascoigne, Gwendolen Trench,", A step aside,1893,f,,4.799846404915042
uiuo.ark:/13960/t55d93269,"Balfour, Alexander,","The foundling of Glenthorn, or, The smuggler's cave",1823,m,mixed,4.795243118826124
uiuo.ark:/13960/t49p3mf7c,"Norris, W. E.",Marcia,1890,f,,4.794170288928663
njp.32101067178556,"Trollope, Frances Milton,","Second love, or, Beauty and intellect",1851,f,,4.786903033300889
wu.89034614867,"Hockin, Olive.",Two girls on the land,1918,f,,4.784917938657352
uiuo.ark:/13960/t9m33f81g,"Reade, Charles,",White lies,1857,m,high_female,4.784536378424931
uiuo.ark:/13960/t7zk60h46,"Trollope, Frank.",Old times revived;,1870,m,mixed,4.784460073680685
njp.32101066458579,"Elliot, Frances,",The red cardinal,1884,f,,4.78274386015257
mdp.39015059423296,"Street, George Slythe,",The autobiography of a boy;,1894,m,high_male,4.782400765184122
mdp.39015063932068,"[Higgenbotham, John C.]",The root,1905,m,high_female,4.7779069582251665
mdp.39015006575974,"Defoe, Daniel,",The novels and miscellaneous works,1840,m,high_male,4.774050986864539
mdp.39015004398650,,"Something wrong? | $c: by Mrs. Anderson ... [and others]; [editors, Liz Cooper and Roberta Henderson].",1973,u,high_male,4.765649200562347
mdp.39015006995917,"Oliphant,",The Ladies Lindores,1883,f,mixed,4.763322417386127
uc2.ark:/13960/t17m06c1b,"Hales, A. G.",Jair the Apostate,1902,m,high_male,4.761315265729005
mdp.39015063913530,"Byron, Medora Gordon.",The Englishman,1812,f,mixed,4.760431295075334
mdp.39015008307038,"Carr, J. L. (James Lloyd),",A month in the country / | $c: J. L. Carr.,1980,m,mixed,4.758958739827726
uc1.31822038205522,"Cooper, James Fenimore,",The bee-hunter;,1848,m,,4.758505829169641
mdp.39015073316773,"Carlyle, Thomas,",[Works],1885,m,high_male,4.757106468367405
njp.32101063693509,"Neale, W. Johnson",Gentleman Jack,1837,m,,4.753228234175711
