htid,author,title,year,authgender,period,diff
mdp.39015031601746,"Fall, Aminata Sow.","The beggars' strike, or, The dregs of society / | $c: Aminata Sow Fall ; translated by Dorothy S. Blair.",1981,u,1951-2009,0.22122903595443855
mdp.39015032957311,,The Penguin book of Russian short stories / | $c: edited by David Richards.,1981,u,1951-2009,0.22122903595443855
mdp.39015022197837,"Jacobson, Dan.",The rape of Tamar: | a novel.,1970,m,1951-2009,0.22122903595443855
inu.30000041655147,"Tacitus, Cornelius.","The reign of Nero, | $c: translated by G. G. Ramsay with an introduction by Dr. A. S. Osley and illustrations by Eric Fraser.",1952,m,1951-2009,0.22122903595443855
mdp.39015061380930,"Hart, Maarten 't,",Bearers of bad tidings : | a story of father and son / | $c: by Martin Hart ; translated by J. W. Arriens.,1984,m,1951-2009,0.22122903595443855
mdp.39015004949627,"Fair, Ronald L.","Many thousand gone; | an American fable, | $c: by Ronald L. Fair.",1965,m,1951-2009,0.22122903595443855
inu.30000082068531,"Pérez-Reverte, Arturo",The Dumas club / | $c: Arturo Pérez-Reverte ; translated from the Spanish by Sonia Soto.,1999,m,1951-2009,0.2214249607193287
mdp.39015060369934,"Hong, Ying,",Peacock cries at the Three Gorges / | $c: by Hong Ying ; translated by Mark Smith and Henry Zhao.,2004,u,1951-2009,0.22145745075571754
mdp.39076007044089,"Andrzejewski, Jerzy,",Ashes and diamonds; | a novel.,1962,u,1951-2009,0.22148584129598958
mdp.39015058207419,"Scott, Lawrence",Witchbroom / | $c: Lawrence Scott,1993,m,1951-2009,0.2215122418451212
mdp.39015034413834,"Ranga Rao,",The drunk tantra / | $c: Ranga Rao.,1994,u,1951-2009,0.2215222910864033
mdp.39015029189795,"De Bernières, Louis.",The troublesome offspring of Cardinal Guzman | $c: Louis de Bernières.,1992,m,1951-2009,0.221544692520095
mdp.39015022027471,"Shirazi, Manny,",Siege of Azadi Square / | $c: Manny Shirazi.,1991,m,1951-2009,0.22157079945409675
mdp.39015064729026,"Yokomori, Rika,",Tokyo tango / | $c: Rika Yokomori,2006,u,1951-2009,0.22157079945409675
wu.89044447696,"Bielski, Nella.",After Arkadia / | $c: Nella Bielski ; translated by Jonathan Steffen with the participation of John Berger.,1992,f,1951-2009,0.22162292283012797
inu.30000124732995,"Sirdar. Shah, Ikbal Ali,",Escape from Central Asia / | $c: by the Sirdar Ikbal Ali Shah.,1980,m,1951-2009,0.22171003643543896
mdp.39015053680040,"Troyat, Henri,",An intimate friendship; | $c: translated from the French by Joyce Emerson.,1968,m,1951-2009,0.22173976118426475
mdp.39015060363986,"King, John,",The prison house / | $c: John King,2004,m,1951-2009,0.22173976118426475
mdp.39015005583581,"Huihai,","The Zen teaching of instantaneous awakening : | being the teaching of the Zen master Hui Hai, known as the Great Pearl / | $c: rendered into English by John Blofeld.",1987,u,1951-2009,0.22173976118426475
mdp.39015064948279,"Gardiner, Michael,",Escalator / | $c: Michael Gardiner.,2006,m,1951-2009,0.2217856222253104
uc1.b4449967,"Epstein, Seymour,",The successor / | $c: Seymour Epstein.,1962,m,1951-2009,0.22190746200599876
