htid,author,title,year,authgender,female_category,urban_generics
uiuo.ark:/13960/t2k65383v,"Rennie,.",Saint Patrick,1819,m,,19.055157351626285
uiuo.ark:/13960/t1dj5t17z,"Frances, Sophia L.","Vivonio, or, The hour of retribution",1806,f,,19.03794897829674
mdp.39015077669524,"Golightly, Walton.","AmaZulu : | being the many divers adventures of the Induna & the boy among the People of the Sky in the time of Shaka kaSenzangakhona, King of Kings / | $c: by Walton Golightly.",2008,m,high_male,18.9824481802314
njp.32101072858028,"Reeve, Clara,",The old English baron,1820,f,high_male,18.967448245962643
uiuo.ark:/13960/t2t446x08,,"Malcolm Douglas, or, The Sibylline prophecy",1812,u,,18.961967710477843
wu.89100009596,"Wynyard, Noel,","Winning hazard, | $c: by Noel Wynyard.",1947,m,high_male,18.937462671347618
uiuo.ark:/13960/t63498z20,"Williams, F.,",Seymour and his friends;,1857,u,,18.933852006127683
njp.32101076515475,"Fisher, William,",The petrel,1850,m,,18.929355644733853
mdp.39015027551616,"B B,","The little grey men, | a story for the young in heart, by 'BB' [pseud.] | $c: Illustrated by Denys Watkins Pitchford.",1962,u,high_male,18.919089361165415
mdp.39015000619463,"Greene, Robert,","Groats-vvorth of witte, | bought with a million of repentance, The repentance of Robert Greene 1592.",1923,m,high_male,18.917896329928112
nyp.33433084129117,"Beck, Helen Watson.","The princess' wedding feast; or, The wind spirit of Woenfels",1899,f,high_male,18.885265715688618
njp.32101066164854,"Blackwood, Algernon,",The human chord,1916,m,,18.84850154412724
mdp.39015078786301,"Litt, Toby,",Journey into space / | $c: Toby Litt.,2009,m,high_female,18.832138389314107
inu.39000005524892,"Picard, Barbara Leonie.",Celtic tales : | legends of tall warriors & old enchantments / | $c: retold by Barbara Leonie Picard ; illustrated by John G. Galsworthy.,1964,f,high_male,18.820872347433305
uc1.32106017520799,"Osborne, Charles,",Blithe spirit : | a novelisation / | $c: by Charles Osborne,2004,m,high_female,18.80553509582987
mdp.39015010421447,"Powys, John Cowper,",Porius : | a romance of the Dark Ages.,1952,m,,18.798332782347718
uiuo.ark:/13960/t87h22543,"Hart, Fanny Wheeler.",Freda,1878,f,high_female,18.739008850578028
uiuo.ark:/13960/t4wh35c1r,"Parker, Emma,",The guerrilla chief,1815,f,high_female,18.718879862229045
nyp.33433074865480,"Jesse, F. Tennyson",The man who stayed at home,1915,f,,18.718879862229045
nyp.33433074964333,"Norris, W. E.",Thirlby hall,1883,f,,18.667432510051693
uc2.ark:/13960/t8tb11t1x,"Grace, Alfred A.",Tales of a dying race,1901,m,,18.650751358840456
uc1.b4594152,"Deloney, Thomas,",The history of John Winchcomb,1859,m,high_male,18.61652615621925
uiuo.ark:/13960/t09w13677,"Stanhope, Louisa Sidney.",The festival of Mora,1821,f,mixed,18.593581495667696
uc2.ark:/13960/t6251m596,"Chamier, Frederick,",Arethusa;,1837,m,high_male,18.58637353300409
nyp.33433074943741,"Austen, Jane,",The novels of Jane Austen,1892,f,high_female,18.57987799213452
hvd.32044086797545,Deale.,Craven Derby;,1832,m,,18.57941772104862
