htid,author,title,year,authgender,female_category,urban_global_fraction
uc1.b3324572,"Le Fanu, Joseph Sheridan,",Willing to die,1873,m,mixed,0.3464566929133857
mdp.39015032855374,"Zola, Émile,",His excellency <Son exc. Eugène Rougon>,1897,m,high_male,0.3464203233256351
mdp.39015065739024,"Smith, Horace,","Adam Brown, the merchant",1843,m,,0.3464052287581698
mdp.39015019639650,"Plunkett, James,",The circus animals.,1990,m,,0.3463541666666666
inu.32000001014457,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,0.3463414634146342
uc1.$b244478,"Richardson, Dorothy Miller,",Pilgrimage | $c: [by] Dorothy M. Richardson.,1938,f,high_female,0.3463414634146342
uiuo.ark:/13960/t4dn4hp58,"Gaskell, Elizabeth Cleghorn,",North and south,1855,f,high_female,0.3463414634146342
mdp.39015011921643,"Elegant, Robert S.",A kind of treason / | $c: by Robert S. Elegant.,1973,m,high_male,0.3463414634146341
mdp.39015005747012,"Manning, Olivia.","The doves of Venus, | novel.",1955,f,high_female,0.3463035019455252
uiuo.ark:/13960/t3320jn49,"Mathers, Helen,", Cherry ripe!,1878,f,,0.3461538461538462
uc2.ark:/13960/t9w08z21b,"Lynn, Ruth Nadelman,",City sparrows and who fed them,1873,f,high_female,0.3461538461538462
inu.39000004510439,"Esfandiary, F. M.",The day of sacrifice / | $c: Fereidoun Esfandiary.,1960,u,high_male,0.3461538461538461
uc2.ark:/13960/t14m9612t,"Stewart, E. M.",Lillias Davenant,1852,f,,0.3461538461538461
uc2.ark:/13960/t18k75f7b,"Middleton, Richard,",The day before yesterday,1912,m,high_male,0.3461538461538461
uc2.ark:/13960/t4nk3c86t,"Whyte-Melville, G. J.",Satanella,1872,m,high_female,0.3461538461538461
nyp.33433075903710,"Merritt, Anna Lea,",A hamlet in old Hampshire,1902,f,high_male,0.3461538461538461
mdp.39015073480447,"Henty, G. A.",When London burned,1895,m,high_male,0.3461538461538461
uc2.ark:/13960/t1vd6qz0g,"Cox, Edmund Charles,","John Carruthers, Indian policeman",1905,m,,0.346041055718475
mdp.39015038919224,"Binchy, Maeve.",Silver wedding / | $c: Maeve Binchy.,1988,f,high_female,0.3460207612456747
uiuo.ark:/13960/t3223hf8z,"Braddon, M. E.",All along the river,1893,f,,0.3459715639810426
mdp.39015029208397,"Hill, Susan,",The mist in the mirror / | $c: Susan Hill.,1992,f,,0.3459119496855346
uiuo.ark:/13960/t6d226f79,"Black, William,",Kilmeny,1870,m,high_female,0.3459119496855346
uc1.$b395388,"Wesker, Arnold,",Six Sundays in January.,1971,m,high_female,0.3458904109589041
mdp.39015034298664,"Newman, Robert,",Dependence day / | $c: Robert Newman.,1994,m,,0.3458646616541354
uc2.ark:/13960/t00001c80,"Robinson, F. W.",Coward conscience,1879,m,mixed,0.3458646616541352
uc1.b2803013,"Ward, Henry.",The green suns / | $c: Henry Ward; translated by Alan Neame.,1961,m,,0.3457943925233645
uc1.$b440997,"Kennedy, Grace,",Father Clement,1825,f,,0.3457943925233644
inu.30000007412517,"Gaskell, Elizabeth Cleghorn,",Round the sofa,1859,f,mixed,0.3457446808510638
uc1.$b188734,"Lesort, Paul-André,",The wind bloweth where it listeth; | $c: translated by Antonia White.,1955,u,mixed,0.345679012345679
uc1.b3687722,"Fuchs, Daniel,",The apathetic bookie joint / | $c: Daniel Fuchs.,1980,m,mixed,0.345631067961165
mdp.39015037443770,"Bracewell, Michael,",Saint Rachel / | $c: Michael Bracewell,1995,m,mixed,0.3456221198156683
uiuo.ark:/13960/t7vm4rn0t,"Keary, C. F.",The two Lancrofts,1893,u,mixed,0.3455882352941177
inu.30000126982879,,The darker sex : | tales of the supernatural and macabre by Victorian women writers / | $c: edited by Mike Ashley.,2009,u,high_female,0.3455882352941176
wu.89004871596,"Conyers, Dorothea,",For Henri and Navarre,1911,f,,0.3455284552845529
mdp.39015082739668,"Robinson, Peter,",All the colours of darkness / | $c: Peter Robinson.,2008,m,,0.3455284552845527
mdp.39015047518207,"Jenkins, Janette.",Columbus Day / | $c: Janette Jenkins.,1999,f,high_female,0.3454545454545456
uiuo.ark:/13960/t9n30c233,"Carter, Mary Elizabeth.",Juliet,1883,m,high_female,0.3454545454545455
uiuo.ark:/13960/t3bz6v35r,"Scott, Walter",Rob Roy,1818,m,,0.3454545454545455
uva.x030581129,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,mixed,0.3454301075268817
mdp.39015050917809,"Galt, John,",Lawrie Todd;,1830,m,,0.3453237410071942
uc2.ark:/13960/t5v69br7s,"Dickinson, H. N.",The business of a gentleman,1914,u,mixed,0.3452914798206278
uc2.ark:/13960/t31266s6k,"Taylor, Meadows,",Ralph Darnell,1865,m,,0.3452380952380954
wu.89006405963,"Owen, John,",The idealist;,1922,m,,0.3452380952380953
uiuo.ark:/13960/t3bz6fw8j,"Bothmer, Marie,",Aut Caesar aut nihil,1883,f,high_female,0.3452380952380953
mdp.39015072137790,"Leader, Barbara (Blackburn)","Round-the-clock nurse, | $c: by Jane Grant.",1968,f,,0.3452380952380952
mdp.49015001000182,"Rhys, Jean.",Voyage in the dark.,1976,f,,0.3452380952380952
uc2.ark:/13960/t2r49jd7b,"Gibbon, Perceval,",The second-class passenger and other stories,1913,m,mixed,0.3451776649746193
uiuo.ark:/13960/t6640c66t,"Riddell, J. H.,",The senior partner,1881,f,high_male,0.3451327433628318
uc2.ark:/13960/t77s7x44c,"Black, William,",Three feathers,1875,m,,0.3451327433628318
mdp.39015030197951,"Rooks, Margarot",The Mother of Goethe 'Frau Aja',1911,u,mixed,0.3450704225352113
uiuo.ark:/13960/t5w66sg3t,"Crawford, A.,",The lady of the bedchamber,1850,f,mixed,0.3450292397660818
inu.39000001102792,"Škvorecký, Josef.","The engineer of human souls : | an entertainment on the old themes of life, women, fate, dreams, the working class, secret agents, love and death / | $c: Josef Skvorecky.",1986,m,,0.3449931412894377
mdp.39015028401597,"Gallico, Paul,",Thomasina / | $c: Paul Gallico.,1957,m,,0.3448275862068967
nyp.33433043146269,"Grousset, Paschal,",The conquest of the moon;,1889,m,,0.3448275862068966
uc2.ark:/13960/t1dj5bx7t,"O'Kelly, Seumas,",The golden barque and The weaver's grave,1919,u,,0.3448275862068966
mdp.39015024945225,"Mulkerns, Val,",Very like a whale / | $c: Val Mulkerns.,1987,m,,0.3448275862068966
uc2.ark:/13960/t55d8qw45,"Tagore, Rabindranath,",The king of the dark chamber,1914,m,high_female,0.3448275862068966
mdp.39015064702064,"Tóibín, Colm,",The use of reason / | $c: Colm Tóibín.,2006,m,high_male,0.3448275862068965
uiuo.ark:/13960/t5p84ks3f,,Clara Harrington,1852,u,high_female,0.3448275862068965
uc1.32106010780424,"Moorcock, Michael,",The revenge of the rose : | a tale of the albino prince in the years of his wanderings / | $c: Michael Moorcock.,1991,m,high_male,0.3448275862068965
uc1.b3327582,"[Pisani, Marianna",Vandeleur;,1836,f,high_female,0.3448275862068965
uiuo.ark:/13960/t4bp0qt7q,"Trollope, Frances Eleanor,",Among aliens,1890,f,,0.3448275862068964
mdp.39015030737921,"Defoe, Daniel,",The novels and miscellaneous works,1840,m,high_female,0.3446808510638298
njp.32101067486900,"Walpole, Hugh,",A Hugh Walpole anthology,1921,m,mixed,0.3445945945945946
uc1.b3327207,"Braddon, M. E.",In high places,1898,f,,0.3445652173913043
uiuo.ark:/13960/t0sq9hn5q,"Smith, Charlotte.",The republican's mistress;,1821,f,high_female,0.3445378151260504
mdp.39015015470480,,The Freezer counter : | stories by gay men / | $c: edited by David Rees and Peter Robins.,1989,u,high_male,0.3445378151260503
uc1.b4104688,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,0.3444976076555023
inu.32000001391582,"Wodehouse, P. G. (Pelham Grenville),",The mating season : | [a novel] / | $c: by P. G. Wodehouse.,1949,m,mixed,0.3442622950819673
uiuo.ark:/13960/t7dr3gb3w,"Norway, Arthur H.",The government official,1887,f,high_male,0.3442622950819672
uc1.b3326166,"Moreland, Olivia.","The charms of dandyism, or, Living in style",1819,f,,0.3442622950819672
uc1.b3327209,"Roberts, Morley,",The degradation of Geoffrey Alwith,1895,m,,0.3442622950819672
inu.30000025839428,"Birch, Carol,",The fog line / | $c: Carol Birch.,1991,f,high_female,0.3442622950819672
mdp.39015053541341,"Kennard, Coleridge, Sir, bart.,",Level crossings / | $c: by Coleridge Kennard.,1924,m,,0.3442622950819672
uc2.ark:/13960/t9h41n21x,"Raffalovich, George,",The deuce and all,1910,m,mixed,0.3442622950819671
nyp.33433074855267,"Fullom, S. W.","The man of the world, or, Vanities of the day",1857,m,high_female,0.3441558441558441
uc2.ark:/13960/t9c53gt3j,"Ballantyne, R. M.",Under the waves,1887,m,,0.3441558441558441
uiuo.ark:/13960/t3tt5496t,"Lamington, Alexander Dundas Ross Wishart Cochrane-Baillie,",Lucille Belmont,1849,m,mixed,0.3441558441558441
mdp.39015000550437,"Houghton, Claude,","All change, humanity! | $c: By Claude Houghton [pseud.] ...",1942,m,,0.3441295546558705
uc1.b3588958,"Couteaux, André.",Portrait of the boy as a young wolf; | $c: translated from the French by Barbara Wright.,1968,u,high_female,0.3440860215053765
uiuo.ark:/13960/t9f47xt5p,"Lyall, Edna,",We two,1884,f,high_female,0.3440860215053763
uiuo.ark:/13960/t3fx7wz8s,"St. Leonards, Eden.",Oberon spell,1869,f,mixed,0.3440860215053763
inu.32000001875014,"Priestley, J. B. (John Boynton),",Out of town / | $c: by J.B. Priestley.,1968,m,mixed,0.344059405940594
mdp.39015046486125,"Gilfillan, Ross.",The snake-oil Dickens man / | $c: Ross Gilfillan.,1998,m,,0.344017094017094
mdp.39015033493639,"Simenon, Georges,",Red lights / | $c: Georges Simenon; [translated by Norma Denny].,1975,m,,0.3439490445859873
njp.32101065859025,"Maberly,","Melanthe; or, The days of the Medici",1843,f,mixed,0.3439490445859872
uc1.$b103911,"McMinnies, Mary.",The flying fox : | a novel / | $c: by Mary McMinnies.,1956,f,mixed,0.343891402714932
uc1.b3435480,"Middleton, Stanley,",Him they compelled / | $c: Stanley Middleton.,1964,m,,0.34375
uc1.$b787419,"O'Flaherty, Liam,","Return of the brute, | $c: by Liam O'Flaherty.",1929,m,high_male,0.34375
uiuo.ark:/13960/t09w0rn24,,Clara Harrington,1852,u,high_female,0.34375
mdp.39015002300740,"O'Brien, Edna.",The love object.,1968,f,high_female,0.34375
uc1.b4104206,"Weyman, Stanley John,","The House of the Wolf, | $c: by Stanley J. Weyman. With a general preface [by the author]",1926,m,,0.34375
uiuo.ark:/13960/t2f76rp04,"Harding, Anne Raikes,",Realities,1825,f,high_female,0.34375
mdp.39015040052121,"Hamilton, Julia,",After Flora / | $c: Julia Hamilton.,1997,f,high_female,0.34375
uc1.$b312454,"Sansom, Clive,","Passion play, | a novel.",1951,m,,0.3437499999999999
uc2.ark:/13960/t6251mc7x,"Fraser, Mary Crawford.",Storied Italy,1915,f,high_female,0.343701399688958
mdp.39015031237046,"Green, F. L. (Frederick Lawrence),",A fragment of glass.,1947,m,,0.3436532507739939
mdp.39015032966403,"Schmidt, Susan,",Winging it.,1992,f,high_male,0.3436426116838488
uc1.b3771922,"Soldati, Mario,",The Commander comes to dine; | $c: tr. from the Italian.,1952,m,mixed,0.3435754189944134
nyp.33433075758189,"Trafford-Taunton, Winefride.",The redemption of Damian Gier,1904,u,mixed,0.3435114503816794
inu.39000002315450,"Gibbons, Stella,","Nightingale wood, | $c: by Stella Gibbons.",1938,f,high_female,0.3434343434343433
umn.31951002047004u,"Joyce, James,",The essential James Joyce / | $c: with an introduction and notes by Harry Levin.,1948,m,,0.3433395872420263
mdp.39015068801565,"Howell, Anthony, 1945-",Oblivion.,2007,m,mixed,0.343324250681199
uiuo.ark:/13960/t7sn0px4q,"Marryat, Florence,",A broken blossom,1879,f,,0.3432835820895523
mdp.39015060008623,"Freud, Esther",The sea house / | $c: Esther Freud,2003,f,,0.3432835820895523
uc1.b3872914,"Earl of, Halsbury, Hardinge Goulburn Giffard,",Nineteen forty-four / | $c: by the Earl of Halsbury.,1926,u,mixed,0.3432539682539682
uc1.32106015511279,"Archer, Jeffrey,",The eleventh commandment / | $c: Jeffrey Archer,1998,m,mixed,0.3432432432432433
mdp.39015025106819,"Simenon, Georges,","A Simenon omnibus, | comprising Mr. Hire's engagement, The little man from Archangel, In case of emergency, Sunday, The premier.",1965,m,mixed,0.343213728549142
uc1.b2799823,"Broderick, John.",Don Juaneen : | a novel / | $c: by John Broderick.,1963,m,high_female,0.3431952662721894
mdp.39015064962650,"Deloney, Thomas,",The gentle craft / | $c: edited by Simon Barker.,2007,m,,0.3431372549019607
inu.30000068200595,"Gee, Sue.",Spring will be ours / | $c: Sue Gee.,1995,f,,0.3431232091690545
uiuo.ark:/13960/t4qj7pn0c,"Bothmer, Marie,",Aut Caesar aut nihil,1883,f,high_female,0.3430962343096234
mdp.39015067683154,"Gowers, Rebecca.",When to walk / | $c: Rebecca Gowers.,2007,f,,0.3430656934306569
uiuo.ark:/13960/t4pk10550,"Philips, F. C.",The dean and his daughter,1887,m,,0.3430232558139535
mdp.39015059374721,,"The fairies return, | or, New tales for old, | $c: by several hands.",1934,u,,0.3429752066115702
nyp.33433074951686,"Dawe, Carlton,",Kakemonos,1897,m,,0.3428571428571429
mdp.39015051351909,"Bell, Quentin.","The Brandon papers, collected and edited by Maurice Evans, with a foreword / | $c: by Quentin Bell.",1985,m,,0.3428571428571429
nyp.33433074902408,"Molloy, J. Fitzgerald",A modern magician,1887,m,,0.3428571428571428
mdp.39015041189070,"Tennant, Emma.",Alice fell / | $c: Emma Tennant.,1980,f,high_female,0.3428571428571428
mdp.39015067683162,"Truss, Lynne.",A certain age / | $c: Lynne Truss.,2007,f,,0.3426966292134832
osu.32435070795927,"Weyman, Stanley John,","Chippinge, | $c: by Stanley J. Weyman.",1926,m,mixed,0.3426294820717131
nyp.33433075727374,"Fitzgerald, Percy Hetherington,",Never forgotten,1865,m,mixed,0.3425925925925925
uiuo.ark:/13960/t3bz6fw2n,"Bell, Emily Ernst.",A first appearance,1872,f,high_female,0.3424657534246575
uc2.ark:/13960/t3mw2f73w,"Smart, Hawley,",At fault,1883,m,,0.3424657534246575
mdp.39015014622024,"Moorcock, Michael,",The Runestaff / | $c: Michael Moorcock.,1977,m,high_male,0.3424657534246575
njp.32101064710609,"Picken, Andrew,",The sectarian; or The church and the meeting-house,1829,m,mixed,0.3424657534246574
mdp.39015069360173,"Macdonald, Marianne.",The lotus eaters / | $c: Marianne Macdonald.,2007,f,,0.3424657534246574
uiuo.ark:/13960/t2f76mn01,"Banks, G. Linnaeus",Sybilla and other stories,1884,f,,0.3423423423423424
uc2.ark:/13960/t0bv7c67s,"Robinson, F. W.",Coward conscience,1879,m,mixed,0.3423423423423423
mdp.39015002164625,"Billington, Rachel.",Cock Robin; or A fight for male survival.,1973,f,high_female,0.3423076923076922
uc2.ark:/13960/t8ff43d6j,"Balzac, Honoré de,",A harlot's progress =,1896,m,mixed,0.3422939068100358
uc1.b4088608,,The comforters.,1957,u,high_female,0.3422818791946309
wu.89099229502,"Le Sage, Alain René,",Asmodeus,1841,m,,0.3422818791946309
mdp.39015050917825,"Galt, John,",Lawrie Todd;,1830,m,,0.3422818791946308
mdp.39015029237065,"Brookner, Anita.",Fraud / | $c: Anita Brookner.,1992,f,high_female,0.3422459893048128
mdp.39015011927558,"Mather, Berkely.",The memsahib / | $c: Berkely Mather.,1977,u,high_female,0.3421052631578948
mdp.39015038904747,"Kundera, Milan.",The joke. | $c: Translated by David Hamblyn and Oliver Stallybrass.,1969,m,,0.3421052631578947
mdp.39015074275531,"Stasiuk, Andrzej,",Nine / | $c: Andrzej Stasiuk ; translated from the Polish by Bill Johnston.,2007,m,,0.3421052631578947
uc2.ark:/13960/t57d2s689,"Hubback,",The old vicarage,1856,f,high_female,0.3421052631578947
mdp.39015001802647,"Zola, Émile,",The fortune of the Rougons,1886,m,high_male,0.3421052631578947
uc2.ark:/13960/t7np1xs3t,"Miller, George Noyes,",The strike of a sex;,1891,m,,0.3421052631578947
mdp.39015018469232,"Seymour, Miranda.",The reluctant devil : | a cautionary tale / | $c: Miranda Seymour.,1990,f,,0.3421052631578946
uc2.ark:/13960/t9g44m417,"Cannan, Gilbert,",Time and eternity,1919,m,mixed,0.3420074349442379
mdp.39015056164703,"Sinha, Indra.",The death of Mr Love / | $c: Indra Sinha.,2002,f,high_female,0.3420074349442379
mdp.39015031332862,"Beresford, J. D.",Goslings,1913,m,high_female,0.3419999999999999
uc1.b3472565,"Tracy, Honor,",The quiet end of evening | $c: [by] Honor Tracy.,1972,f,,0.3419689119170984
nyp.33433040405528,"Balzac, Honoré de,",A marriage settlement =,1897,f,,0.3418940609951846
uiuo.ark:/13960/t58d0ds3h,"Knight, Legh.",Tonic bitters,1868,u,,0.3418803418803419
uc1.$b745621,"Gordon, Ernest.",Miracle on the River Kwai.,1963,m,high_male,0.3418803418803418
uiuo.ark:/13960/t2t44c55w,"Wills, C. J.",The Pit Town coronet;,1888,m,mixed,0.3418803418803418
uc1.$b245069,"Malet, Oriel.","The green leaves of summer, | $c: by Oriel Malet [pseud.]",1950,u,,0.3418367346938775
uc1.31158001441749,"Maturin, Charles Robert,",Melmoth the wanderer: a tale,1821,m,high_male,0.3417721518987343
mdp.39015002968793,"Achebe, Chinua.",No longer at ease.,1960,m,,0.3416666666666669
uiuo.ark:/13960/t5x645d8f,"Wills, C. J.",The Pit Town coronet;,1888,m,mixed,0.3416666666666667
mdp.39015064414876,"Yonge, Charlotte M.","Magnum bonum, or Mother Carey's brood",1879,f,,0.3416666666666666
dul1.ark:/13960/t8ff48s14,"Braddon, M. E.",Birds of prey,1867,f,mixed,0.3416666666666666
mdp.39015047111169,"Tremain, Rose.",The way I found her / | $c: Rose Tremain.,1997,f,high_female,0.3415094339622642
wu.89047148226,"Porteous, Crichton.",Teamsman; | $c: with wood engraving by Kingsley Cook.,1939,u,,0.3414634146341464
mdp.39015002188111,"Nin, Anaïs,",A spy in the house of love.,1971,f,high_female,0.3414634146341464
uc1.b2793193,"Vulliamy, C. E. (Colwyn Edward),",Floral tribute / | $c: C.E. Vulliamy.,1963,m,,0.3414634146341463
uiuo.ark:/13960/t76t19t16,,"The times, a novel",1811,u,high_female,0.3414634146341463
njp.32101067643989,"Fenn, George Manville,",The Mynns' mystery,1891,m,,0.3414634146341463
uiuo.ark:/13960/t82j6zf76,"Majendie, Margaret,",Precautions,1887,f,mixed,0.3414634146341463
mdp.39015018614969,"Schmidt, Michael,",The love of strangers / | $c: Michael Schmidt.,1989,m,,0.3413897280966768
mdp.39015059407687,"Beresford, J. D. (John Davys),","The tapestry, | $c: by J. D. Beresford.",1927,m,,0.3413897280966767
uc1.b4973364,"Gilbert, Michael Francis,","Paint, gold and blood.",1989,m,mixed,0.3413461538461539
mdp.39015050523722,"Patil, Vivek.",Dawn to dust / | $c: Vivek Patil.,2000,u,mixed,0.3413173652694611
mdp.39015049478863,"Lessing, Doris May,",The diaries of Jane Somers / | $c: by Doris Lessing.,1984,f,high_female,0.3412887828162291
mdp.39015008829668,"Chekhov, Anton Pavlovich,",The grasshopper : | and other stories / | $c: by Anton Chekhov ; translated with an introd. by A. E. Chamot.,1926,m,high_female,0.3412698412698411
mdp.39015002381344,"Bentley, E. C. (Edmund Clerihew),","Elephant's work, an enigma.",1950,m,high_male,0.341246290801187
nyp.33433066731575,"James, Henry,",The spoils of Poynton,1897,m,high_female,0.3412322274881517
mdp.39015031305611,"Strathern, Paul,",One man's war.,1973,m,high_male,0.3411764705882353
uc2.ark:/13960/t1xd0w07q,"Craik, Dinah Maria Mulock,",The head of the family,1852,f,,0.3411764705882352
uc1.$b401285,"Orlovitz, Gil,",Milkbottle H : | a novel.,1967,m,mixed,0.3409836065573772
nyp.33433082167705,"Dickens, Charles,",The old curiosity shop,1866,m,,0.3409090909090909
mdp.39015030706918,"[Matthews, Margaret Bryan, Mrs.,]","Such harmony; | a novel, | $c: by Susan Goodyear [pseud.]",1938,f,high_female,0.3409090909090909
uc1.32106015022251,"Husain, ʻAbdullāh",The weary generations / | $c: Abdullah Hussein ; translated from the Urdu by the author,1999,u,high_male,0.3409090909090909
nyp.33433074939095,"Benson, Robert Hugh,","The history of Richard Raynal, solitary",1915,m,high_male,0.3409090909090909
inu.30000045070913,"Davin, Diarmuid.",The trials of Nero Okambo / | $c: D. Davin and P. Wamuhu.,1993,u,high_female,0.3409090909090908
uiuo.ark:/13960/t2j684v7n,"Dickens, Charles,",Great expectations,1861,m,mixed,0.3409090909090908
uiuo.ark:/13960/t5s762w4d,"Davenport, Selina.",An angel's form and a devil's heart,1818,f,mixed,0.3409090909090908
uc2.ark:/13960/t1cj8886t,"James, Henry,",Daisy Miller,1879,m,,0.3407960199004975
inu.30000110618182,"King, Sophie.",The wedding party / | $c: Sophie King.,2009,f,high_female,0.3407821229050279
uc1.32106008803774,"Burgess, Anthony,",The devil's mode / | $c: Anthony Burgess.,1989,m,high_male,0.3407821229050279
mdp.39015001749764,"Duffy, Maureen.","Londoners, an elegy / | $c: by Maureen Duffy.",1983,f,,0.3407079646017699
mdp.39015021828648,,"Lean tales : | James Kelman, Agnes Owens, Alasdair Gray.",1985,u,mixed,0.3406593406593407
mdp.39015063755634,"Fitzgerald, Percy Hetherington,",Proverbs & comediettas,1869,m,,0.3406593406593406
uiuo.ark:/13960/t7tm7vq94,"Stretton, Hesba,",Paul's courtship,1867,m,,0.3405797101449275
uc1.b3435521,"Farrell, J. G. (James Gordon),",The Singapore grip / | $c: [by] J. G. Farrell,1978,m,high_male,0.3405196241017137
uc1.$b244808,"Swinnerton, Frank,",A tigress in Prothero.,1959,m,,0.3405172413793103
mdp.39015054164069,"Knox, Elizabeth.",Black oxen / | $c: Elizabeth Knox.,2001,f,,0.3404825737265415
mdp.39015050801789,"Kelman, James,",Translated accounts : | a novel / | $c: by James Kelman.,2001,m,high_male,0.3404255319148937
inu.30000101132029,"Bailey, Jane.",Tommy Glover's sketch of heaven / | $c: Jane Bailey.,2005,f,,0.3404255319148936
uc1.b3326044,"Valentine, Laura Jewry,",The cup and the lip,1851,f,,0.3404255319148936
uc1.b2831300,"Knowler, John,",The singing lizard.,1967,m,high_female,0.3404255319148936
uiuo.ark:/13960/t5h99m70x,,The actress of the present day,1817,u,high_female,0.3404255319148936
mdp.39015003231316,"Rowlands, Peter.,",The fugitive mind : | the early development of an autistic child.,1972,m,high_male,0.3404255319148935
mdp.39015030847415,"Balchin, Nigel,",The Borgia testament.,1948,m,mixed,0.3403826787512589
inu.30000029843996,"Sollers, Philippe,",Women / | $c: Philippe Sollers ; translated by Barbara Bray.,1991,m,high_female,0.3403508771929825
mdp.39015010838269,"(Charles Percy), Snow, C. P.",In their wisdom / | $c: C. P. Snow.,1974,f,mixed,0.3403361344537815
uc1.$b242900,"Frankau, Pamela,",The winged horse / | $c: by Pamela Frankau.,1953,f,mixed,0.3403361344537814
uc1.b4539004,"Rayner, Claire.",The running years / | $c: Claire Rayner.,1981,f,high_female,0.3402777777777778
uc1.$b393190,"Gautier, Jean Jacques,",Skin deep. | $c: Translated by Mervyn Savill.,1955,f,high_female,0.3402061855670103
mdp.39015048903895,"Markandaya, Kamala,",The coffer dams.,1969,u,mixed,0.3402061855670102
mdp.39015070757201,,Katha : | short stories by Indian women / | $c: edited by Urvashi Butalia.,2007,u,high_female,0.3402061855670102
mdp.39015047768547,"Fleetwood, Hugh.",The man who went down with his ship / | $c: by Hugh Fleetwood.,1988,m,high_female,0.3402061855670102
mdp.39015010715681,"Barstow, Stan,",The watchers on the shore.,1966,m,,0.3402061855670101
mdp.39015063558202,"Oliphant,",The railway man and his children,1891,f,,0.3401360544217686
nyp.33433066579164,"Boswell, Thomas Alexander.",The journal of an exile,1825,m,,0.3401015228426395
mdp.39015066620678,"Bacchelli, Riccardo,","The fire of Milan, | $c: translated from the Italian by Kathleen Nott.",1958,m,,0.3400809716599191
inu.30000107602645,"Pinto, Shiromi,",Trussed / | $c: Shiromi Pinto.,2006,u,,0.3400673400673402
uc1.b4095578,"Green, Henry,","Party going, | a novel.",1947,m,high_female,0.34
mdp.39015070702983,"Docx, Edward.",Self help : | a novel / | $c: Edward Docx.,2007,m,,0.3399668325041459
uc1.b5091296,"Neznanskiĭ, Fridrikh.",Operation Faust / | $c: Fridrikh Neznansky.,1988,u,,0.3399558498896248
uc1.b3885939,"Johnson, Pamela Hansford,",An error of judgement.,1962,f,high_female,0.3398692810457516
inu.39000002570237,"Newman, G. F. (Gordon F.)",The Guvnor / | $c: G. F. Newman.,1977,m,high_male,0.3398692810457516
nyp.33433074856760,,Getting on,1859,u,,0.3398328690807799
uc2.ark:/13960/t4sj1h29c,"Wood, Henry,",Oswald Cray,1864,f,,0.3398058252427184
inu.30000027138738,"Russo, Richard Paul.",Subterranean gallery / | $c: Richard Paul Russo.,1991,m,,0.3397435897435898
nyp.33433074936844,"Barter-Snow, Laura A.","Honor's quest; or, How they came home",1906,f,,0.3397435897435897
uc1.$b783871,"Grier, Sydney C.,",The great proconsul,1904,m,mixed,0.3396424815983176
uiuo.ark:/13960/t41r7gf9d,"Curwen, Henry,",Lady Bluebeard,1888,m,high_female,0.339622641509434
mdp.39015016746375,"Mitford, Mary Russell,",Stories of American life;,1830,f,,0.339622641509434
mdp.39015029993469,"Haran, Maeve.",Scenes from the sex war / | $c: Maeve Haran.,1993,f,high_female,0.339622641509434
uiuo.ark:/13960/t7kp8db9q,"Grey,",An old country house,1850,f,high_female,0.339622641509434
nyp.33433074870902,"Hocking, Silas K.",Her Benny,1890,m,high_male,0.339622641509434
uiuo.ark:/13960/t37089v55,,Alexena;,1817,u,mixed,0.3396226415094339
mdp.39015054134492,"Curtin, Michael,",Sing! / | $c: Michael Curtin.,2001,m,,0.3396226415094339
uiuo.ark:/13960/t7cr65585,"Corelli, Marie,",A romance of two worlds,1886,f,high_female,0.3396226415094339
uc1.b3324267,"Lockhart, Laurence W. M.",Doubles and quits,1869,m,high_female,0.3396226415094339
uiuo.ark:/13960/t6qz2v669,"Pulleyne,",Out of society,1875,f,high_female,0.3396226415094339
uc1.$b120010,"Winchester, Stanley.",The practice.,1967,m,,0.3396226415094339
inu.30000114449469,"O'Hara, John,",Ourselves to know / | $c: John O'Hara.,1960,m,,0.3395683453237409
mdp.39015065763115,"Smith, Horace,",Zillah;,1828,m,,0.3395348837209302
uc1.b4104366,"Kemble, Adelaide.",A week in a French country-house,1867,f,high_female,0.3394495412844036
inu.32000001014564,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_female,0.3394495412844036
inu.30000037326075,"Cookson, Catherine.",The gillyvors / | $c: Catherine Cookson.,1990,f,high_female,0.3394495412844036
uc1.$b251618,"Sinclair, Upton,",What Didymus did.,1954,m,high_male,0.3394495412844036
mdp.39015030042694,"Lyon, Julia Hart.","Women must love,",1937,f,,0.3393939393939394
inu.30000054077437,"Wood, Henry,",Edina: a novel,1876,f,mixed,0.3392857142857143
uc1.$b396485,"Glanville, Brian.","The king of Hackney Marshes, and other stories / | $c: by Brian Glanville.",1965,m,,0.3392857142857143
uiuo.ark:/13960/t3gx4pc1g,"Fenn, George Manville,",By birth a lady,1871,m,,0.3392857142857142
uc1.b3546991,"Seymour-Smith, Martin.",A cupful of tears; | sixteen Victorian novelettes.,1965,m,,0.3391812865497076
mdp.39015063510492,"Boissard, Violet.","The land of afternoon, | $c: by Violet Boissard.",1930,f,high_female,0.3391812865497075
njp.32101072795097,"C.,","A winter in Paris; or, Memoirs of Madame de C****",1811,u,,0.3391608391608391
mdp.39015010558420,"Pym, Barbara.",Crampton Hodnet / | $c: Barbara Pym.,1985,f,,0.3391608391608391
