htid,author,title,year,authgender,female_category,urban_global_fraction
njp.32101066120039,"Bower, John Graham,",H. M. S. -----,1918,m,high_male,0.1428571428571428
uc1.$b119737,"Dennis, Nigel Forbes,",A house in order: | a novel | $c: [by] Nigel Dennis.,1966,f,high_male,0.1428571428571428
uc1.b4974788,"Rey Rosa, Rodrigo,",Dust on her tongue / | $c: Rodrigo Rey Rosa ; translated from the Spanish by Paul Bowles.,1989,m,high_female,0.1428571428571428
uiuo.ark:/13960/t3ws9c932,"Burney, Fanny,",The wanderer,1814,f,high_female,0.1428571428571428
uc1.b3136621,"Lee, Holme,","Warp and woof, or, The reminiscences of Doris Fletcher",1861,f,high_female,0.1428571428571428
mdp.39015020078567,"Sadoc, Lemuel.",Zarina: | a romance of India.,1938,m,,0.1428571428571428
mdp.39015016868351,"Saurat, Denis,",Death and the dreamer / | $f: with drawings by Edward Bawden.,1946,m,mixed,0.1428571428571428
uiuo.ark:/13960/t7wm1zd3s,"Woollam, Wilfred.",All for naught,1890,m,,0.1428571428571428
uc2.ark:/13960/t48p60h65,"Maurois, André,",General Bramble,1921,m,high_male,0.1428571428571428
mdp.39015014859816,"Tomelty, Joseph.",The apprentice; | the story of a nonentity.,1953,m,,0.1428571428571428
uiuo.ark:/13960/t7zk5pn7b,"Curtois, Margaret Anne.",The romance of a country,1893,f,high_male,0.1428571428571428
wu.89098013931,"Burnett, Frances Hodgson,",The troubles of Queen Silver-bell,1907,f,high_female,0.1428571428571428
mdp.39015063076981,"Edwards, Bruce.",Rachel Noble's experience,1863,m,,0.1428571428571428
hvd.32044086801990,,The English nights' entertainment,1826,u,,0.1428571428571428
mdp.39015063558186,"Oliphant,",Zaidee,1856,f,high_female,0.1428571428571428
wu.89092547124,"Henderson, B. L. K.",Wonder tales of ancient Wales,1921,u,mixed,0.1428571428571428
nnc1.1002361655,"Russell, William Clark,",Memoirs of Mrs. Lætitia Boothby,1872,m,,0.1428571428571428
nyp.33433082353859,"Jones, Cecelia Anne.",Count up the sunny days,1897,f,,0.1428571428571428
uiuo.ark:/13960/t89g60k4f,"Curtois, Margaret Anne.",The romance of a country,1893,f,high_male,0.1428571428571428
uc1.b3796808,"Bates, H. E. (Herbert Ernest),",Seven tales and Alexander / | $c: by H.E. Bates,1929,m,high_male,0.1428571428571428
uc1.$b794675,"Leland, Jeremy.",The Jonah: | a novel.,1970,m,,0.1428571428571428
nyp.33433074923156,"Lauder, Thomas Dick,",Highland rambles,1837,m,mixed,0.1428571428571428
uiuo.ark:/13960/t1cj8x71t,"Lynch, Arthur,",Approaches,1892,m,,0.1428571428571428
wu.89053136404,"Galdino, Dirceu.","Golden Lambari / | $c: Dirceu Galdino ; cover and illustrations by Tânia R. Machado ; translated by Thomas Bonnici from the original Portuguese version, Lambari Dourado.",1994,u,,0.1428571428571428
mdp.39015011573626,"Weiss, Peter,","The conversation of the three walkers; | and, The shadow of the coachman's body; | $c: translated by S. M. Cupitt.",1972,m,high_male,0.1428571428571428
uiuo.ark:/13960/t7jq1jd1s,"Oliphant,",In trust;,1882,f,,0.1428571428571428
coo.31924003394628,"Lidman, Hans Gustav Otto,",People of the forest.,1963,m,high_male,0.1428571428571428
dul1.ark:/13960/t13n2ww35,"Macquoid, Katharine S.",A faithful lover,1882,f,mixed,0.1428571428571428
