htid,author,title,year,authgender,female_category,intl_subcountry_intensity
uc1.$b244850,"Sitwell, Osbert,","The true story of Dick Whittington; | a Christmas story for cat-lovers, | $c: by Osbert Sitwell.",1945,m,mixed,27.16062795371829
mdp.39015005712370,"Taylor, Elizabeth,","The blush, | and other stories.",1968,f,high_female,27.15880139156525
mdp.39015004928035,"Taylor, Elizabeth,","The blush, | and other stories.",1968,f,high_female,27.14440825190011
uc1.$b389806,"Wyndham, John,",Jizzle / | $c: John Wyndham [i.e. J. B. Harris].,1954,m,,27.1421659448424
uc1.b3328954,"Dickens, Charles,",Sketches of young gentlemen,1838,m,,27.129679869777537
mdp.39015079360726,"Brackston, Paula.",Book of shadows / | $c: by Paula Brackston.,2009,f,,27.122689485889417
mdp.39015055165859,"O'Brien, Flann,",The Third policeman / | $c: Flann O'Brien.,1967,u,high_male,27.08686640286414
uc1.b4103043,"James, M. R. (Montague Rhodes),","A thin ghost, and others / | $c: by Montague Rhodes James.",1925,u,,27.08632411495436
uiuo.ark:/13960/t78s5cv0s,"Winter, John Strange,",The soul of the bishop,1893,m,mixed,27.086201837347353
uc1.32106010909965,"Lock, Samuel,",As luck would have it / | $c: Samuel Lock,1995,m,high_male,27.08559046587216
uiuo.ark:/13960/t15m6k41d,"Daniel, Mackenzie,",Gertrude Cameron,1853,f,high_female,27.08283963573581
mdp.39015021856839,"Forster, Margaret,",The battle for Christabel / | $c: Margaret Forster.,1991,f,high_female,27.077367423465414
mdp.39015051324435,"Bates, H. E. (Herbert Ernest),",Twenty tales.,1951,m,mixed,27.066583796138502
nyp.33433075771596,"Prest, Thomas Peckett.",Angelina;,1841,m,mixed,27.064314051659835
njp.32101066459270,"Gleig, G. R.",The country curate,1830,m,mixed,27.060670022189747
uiuo.ark:/13960/t93781458,"Sergeant, Adeline,",Seventy times seven,1888,f,,27.059480119738204
umn.319510020906512,"Oppenheim, E. Phillips (Edward Phillips),",The great awakening.,1925,m,high_female,27.05170256653028
uc2.ark:/13960/t7pn92v2w,"Henham, Ernest George,",Bracken,1910,m,high_female,27.035899812679837
uiuo.ark:/13960/t9v12jj5b,"Stuart, Esmè,",A mine of wealth,1896,u,high_female,27.030679821597513
inu.39000003111643,"Read, Miss.","Winter in Thrush Green, | $c: by Miss Read [pseud.]  Illustrated by J. S. Goodall.",1962,f,mixed,27.00731898344451
uc1.$b252113,"Aickman, Robert.",Powers of darkness / | $c: Robert Aickman.,1966,m,mixed,26.993202620794577
uc1.b3325365,"Broughton, Rhoda,",Joan,1876,f,high_female,26.9887322043047
uc1.31158011647251,"Young, E. H.",A corn of wheat,1910,f,high_female,26.97659780140728
mdp.39015059415698,"James, G. P. R.",The convict;,1847,m,,26.968288465504383
mdp.39015037766113,"Guibert, Hervé.",Blindsight / | $c: Hervé Guibert ; translated by James Kirkup.,1995,u,high_female,26.965080221113656
uc1.b3321872,"Griffith, Cecil.",Valentine Forde,1870,m,,26.953723825407252
mdp.39015012970466,"Ackroyd, Peter,",Chatterton / | $c: Peter Ackroyd.,1987,m,,26.951536237565534
mdp.39015019638157,"Sansom, William,",The body.,1990,m,high_female,26.949819436209776
mdp.39015030853009,"Burke, Thomas,",The flower of life.,1929,m,high_female,26.94530103889105
mdp.39015051321167,"Bainbridge, Beryl,",A weekend with Claude / | $c: Beryl Bainbridge.,1981,f,high_female,26.943042408348752
uiuo.ark:/13960/t76t19t16,,"The times, a novel",1811,u,high_female,26.94276586736461
uiuo.ark:/13960/t7kp8pb15,"Wood, Henry,",The Red court farm,1868,f,,26.93197300465765
uiuo.ark:/13960/t9863643p,"Farjeon, B. L.",Aaron the Jew,1894,m,mixed,26.917900403768503
uc2.ark:/13960/t7br8rp8c,"Tremlett, Horace,",Looking for Grace,1915,f,high_female,26.917621724591314
nyp.33433074873468,"Craig, Isa,",Esther West;,1870,u,high_female,26.909851995814023
uc1.$b792369,"Orsler, Michael,",The big dig.,1970,m,mixed,26.893425197858768
uiuo.ark:/13960/t2n59214k,"Kettle, Rosa Mackenzie,",Lewell pastures,1854,f,,26.86698692115076
uc2.ark:/13960/t5q81j02d,"Ackworth, John.",The scowcroft critics,1898,m,,26.864869705381928
njp.32101065848333,"Murray, David Christie,",The weaker vessel,1888,m,mixed,26.857482686515628
uc1.32106012155815,"Paling, Chris",After the raid / | $c: Chris Paling,1995,m,high_male,26.856729676686292
