htid,author,title,year,authgender,female_category,urban_metric_global_frac
mdp.39015079207372,"Ogden, John.",On fire : | a novel of the 1950s / | $c: John Ogden.,2007,m,high_male,-0.06626438874938773
uc1.32106007094409,,"The Rainy spell and other Korean stories / | $c: translated, with an introduction, by Suh Ji-moon.",1983,u,mixed,-0.06629797784218454
njp.32101064790460,"Scargill, William Pitt,",Rank and talent,1829,m,,-0.06639495818867125
mdp.49015002584614,"Swinfen, Ann.",A running tide / | $c: Ann Swinfen.,1998,f,high_female,-0.06662910219904303
inu.30000120967363,"Hobson, Mary.",Oh Lily / | $c: Mary Hobson.,1981,f,high_female,-0.0666382719525298
uiuo.ark:/13960/t02z1vj99,"Savage, M. W.",My uncle the curate,1849,m,mixed,-0.0667252986558063
uc2.ark:/13960/t6834182f,"Philips, F. C.",Social vicissitudes,1886,m,,-0.0667604365242454
uiuo.ark:/13960/t3708mj5v,"Barrett, Eaton Stannard,",The metropolis,1819,m,,-0.06678867932400126
inu.30000121005353,Two friends.,Panjabi sketches,1899,u,,-0.06695177493758614
inu.32000003235852,"Mann, Thomas,",Mario and the magician / | $c: Thomas Mann ; [translated from the German by H. T. Lowe-Porter].,1930,m,high_male,-0.06718320445728851
coo.31924013520287,"McGonagall, William.","Poetic gems, | $c: selected from the works of William McGonagall,  with biographical sketch and reminiscences by the author.",1954,m,,-0.06746504877838198
mdp.39015004703966,"Ouologuem, Yambo,",Bound to violence; | $c: translated from the French by Ralph Manheim.,1971,u,high_male,-0.06752036637952824
uc1.b3751225,"Gary, Romain.",Nothing important ever dies.,1960,m,high_male,-0.06759671409115982
uiuo.ark:/13960/t70v94b8r,"Sturgis, Julian,",Dick's wandering,1882,m,mixed,-0.06764110993293632
uiuo.ark:/13960/t6c25hb1m,"Pryce, Richard,",Winifred Mount,1894,m,high_female,-0.06766619315768146
nnc1.1002269732,"Daunt, William J. O'Neill,",The gentleman in debt;,1851,m,,-0.0677339449247652
uc1.b3549891,"Reynolds, George W. M.",Mary Price;,1852,m,,-0.06775226949298191
mdp.39015048880812,"Linklater, Eric,",White-maa's saga.,1952,m,,-0.0677984367827131
mdp.39015019996829,"Burgess, Anthony,",The worm and the ring.,1961,m,,-0.06791182184031316
uiuo.ark:/13960/t47p9n68s,"Reynolds, George W. M.",The mysteries of the court of London,1850,m,,-0.06791793182661687
mdp.39015043000499,"Mackay, Shena.",The artist's widow / | $c: Shena Mackay.,1998,f,mixed,-0.06814197586488419
uc1.b3465279,"Fox, Sebastian.",Odd woman out / | $c: by Sebastian Fox.,1958,m,high_female,-0.06818855359359095
mdp.39015047113249,"Ekman, Kerstin,",Witches' rings / | $c: Kerstin Ekman ; translated by Linda Schenck.,1997,f,,-0.06819576886494816
uiuo.ark:/13960/t2k64tj09,"Cuthbertson, Catherine.",Forest of Montalbano,1810,f,mixed,-0.06821036518334178
uc1.b4948463,"Acton, Harold,","The soul's gymnasium, and other stories / | $c: by Harold Acton.",1982,m,mixed,-0.06825512858096493
inu.30000029463019,"Koranteng, Kwasi.",The gold diggers / | $c: Kwasi Koranteng ; illustrated by Pauline King.,1992,u,high_male,-0.06827677244745145
uc2.ark:/13960/t2x34w21d,"Kemp, John,",Wild Dayrell,1861,m,mixed,-0.06828569816725649
uc1.$b119619,"Morris, Ira J.",The troika belle | $c: [by] Ira J. Morris.,1967,m,high_female,-0.06834262121082535
hvd.hwkcjt,"Gore,","Cecil, or, The adventures of a coxcomb",1841,f,,-0.06869593810268358
mdp.39015016451323,"Bergamini, David,",The fleet in the window : | a novel / | $c: by David Bergamini.,1961,m,,-0.06873517085588166
mdp.39015059999444,"Burnside, John,",Living nowhere / | $c: John Burnside.,2003,m,mixed,-0.0687692381395047
inu.30000107538765,"McIntyre, Vestal.",You are not the one / | $c: Vestal McIntyre.,2006,u,,-0.06895017952280554
njp.32101064908955,"Stradling, Matthew,","The misadventures of Mr. Catlyne, Q.C",1873,m,,-0.0690779956641327
mdp.39015050981029,"Tinniswood, Peter.",Call it a canary.,1985,m,high_male,-0.0691955315514029
njp.32101068605599,"Warner, Susan,",Queechy,1852,f,,-0.0693664959750479
uc2.ark:/13960/t4cn70x6h,"MacDonald, George,",Alec Forbes of Howglen,1865,m,mixed,-0.0694327471252616
mdp.39015056946067,"Markham, E. A. (Edward Archibald),",Taking the drawing room through customs : | selected stories (1972-2002) / | $c: E.A. Markham.,2002,m,,-0.06946838745371556
uc1.$b696721,"Bertin, Célia,",Last innocence;,1955,u,mixed,-0.06948176803373787
inu.30000035081136,"Household, Geoffrey,",The high place.,1972,m,,-0.06956006370467846
uc1.$b111876,"'Edith', pseud.","Somersaults and strange company, | $c: by 'Edith'.",1937,u,,-0.06965297283409086
mdp.39015025397814,"Hoban, Russell.","The moment under the moment : | stories, a libretto, essays, and sketches / | $c: Russell Hoban.",1992,m,high_male,-0.06968272598368377
uiuo.ark:/13960/t19k4q55k,,"Eva Desmond, or, Mutation",1858,u,high_female,-0.06970334259522573
uc2.ark:/13960/t51g0kt60,"Sutherland, Joan,",Cavanagh of Kultānn,1916,f,mixed,-0.06994361947135935
inu.32000002848879,"Eliot, George,",Felix Holt,1866,f,,-0.06995153693400866
mdp.39015014860111,"Stewart, Desmond,","The pyramid inch, | $c: by Desmond Stewart.",1966,m,mixed,-0.07000113389647822
njp.32101068142270,"Llanos Gutierrez, Valentin.","Don Esteban, or, Memoirs of a Spaniard",1826,m,,-0.07000915843980632
mdp.39015077129537,"Frewin, Anthony,",The Reich stuff / | $c: Anthony Frewin.,2008,m,mixed,-0.07008318168429523
njp.32101064787649,"Benson, E. F. (Edward Frederic),",Visible and invisible / | $c: by E. F. Benson.,1923,m,mixed,-0.07011127991750087
wu.89092953181,"Mason, George Finch.",The tame fox,1896,m,mixed,-0.07014034598616081
mdp.39015063953122,"Von Arnim, Elizabeth,","Introduction to Sally, | $c: by the author of ""Elizabeth and her German garden"".",1926,f,high_female,-0.07038142876431422
inu.30000054101278,"Marryat, Florence,",The confessions of Gerald Estcourt,1867,f,high_female,-0.07041831054189882
mdp.39015063556271,"Opie, Amelia Alderson,",New tales,1818,f,,-0.0704187155993587
uc1.32106019365631,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,-0.07063955574077158
uc1.$b251230,,Saturday saga : a collection of contemporary short stories.,1946,u,,-0.07064118085545606
mdp.39015080887139,"Pryce, Malcolm.",From Aberystwyth with love / | $c: Malcolm Pryce.,2009,m,,-0.07066662697393211
mdp.39015005503639,Petronius Arbiter.,The satyricon. | $c: Translated and with an introd. by Paul Dinnage.,1953,u,,-0.07092422543833951
uc1.b3322071,"Fox, S. M.",George,1890,u,mixed,-0.07100969428816398
mdp.39015016922042,"Stoker, Bram,",Miss Betty,1898,m,high_female,-0.07101879928313962
njp.32101063581217,"Hook, Theodore Edward,",Peregrine Bunce;,1842,m,,-0.07102679419938174
mdp.39015006998861,"Beresford, J. D. (John Davys),","The monkey-puzzle, | $c: by J. D. Beresford.",1925,m,high_female,-0.07122838090922345
mdp.39015016415468,"Hay, J. Macdougall.",Gillespie.,1963,u,mixed,-0.07133267812140681
mdp.39015032979232,"Boullosa, Carmen.",The miracle-worker / | $c: Carmen Boullosa ; translated from the Spanish by Amanda Hopkinson.,1994,f,,-0.07134873460789319
njp.32101076207669,,Tales from  Blackwood,1858,u,,-0.07135653131774769
mdp.39015064952297,"Jones, Gail,",Sorry / | $c: Gail Jones.,2007,f,high_female,-0.07139440880412001
mdp.39076002947815,"Hilsenrath, Edgar.",The story of the last thought / | $c: by Edgar Hilsenrath.,1990,m,high_male,-0.07144079837497969
umn.31951002076536k,"Watts, Stephen.",The sound of a trumpet.,1946,m,mixed,-0.0715082412459821
uc1.$b106363,"Mitchell, James Leslie,",A Scots quair | $c: [by] Lewis Grassic Gibbon; a trilogy of novels. Foreword [by] Ivor Brown.,1966,m,,-0.07150986144588872
njp.32101066459312,"Gleig, G. R.",The Hussar,1837,m,high_male,-0.07154303855226818
uc2.ark:/13960/t8rb6z708,"Caffyn, Kathleen Mannington Hunt.","""Whoso breaketh an hedge,""",1909,f,high_female,-0.0717600460986933
njp.32101037077292,"Fenn, George Manville,",Sweet mace,1884,m,mixed,-0.07191732039925047
uc2.ark:/13960/t6h12x81f,"Claytor, Graham,",Late laurels,1864,m,,-0.07207834746325908
nyp.33433034409973,"Carey, Rosa Nouchette,",Wee wifie,1887,f,mixed,-0.07220117829379674
uc2.ark:/13960/t55d8qx72,"Prindle, Frances Carruth,",The way of Belinda,1901,f,high_female,-0.07220244586160932
njp.32101063693533,"Newby, C. J.,",Margaret Hamilton;,1858,f,high_female,-0.07251455293613052
uc1.b3327366,"Merriman, Henry Seton,",The money-spinner,1897,f,high_female,-0.07251681934486692
