htid,author,title,year,authgender,female_category,intensity
mdp.39015027238115,"Oz, Amos.","Touch the water, touch the wind / | $c: Amos Oz ; translated from the Hebrew by Nicholas de Lange in collaboration with the author.",1974,m,,442.976060835379
mdp.39015003681072,"Gardam, Jane.",The Sidmouth letters / | $c: by Jane Gardam.,1980,f,high_female,442.86156704862174
uiuo.ark:/13960/t0sq9hm6r,"Payn, James,",A stumble on the threshold,1892,m,,442.8603928111019
uc1.31822038204657,"Firbank, Ronald,",Odette D'Antrevernes;,1905,m,high_female,442.8452809299751
uiuo.ark:/13960/t7gq76w22,"Coke, Henry J.","High and low; or, Life's chances and changes",1854,m,,442.8055666985527
dul1.ark:/13960/t13n2vj0t,"Whiteing, Richard,","The island, or, An adventure of a person of quality",1888,m,,442.7651397112288
mdp.39015065769393,"Surr, T. S.",Splendid misery,1801,m,mixed,442.6225385408545
mdp.39015063560471,"Howitt, William,",The man of the people,1860,m,,442.61928350004786
uc1.b3322745,"Herbert, Henry William,",Oliver Cromwell,1840,m,high_male,442.61451363870304
uiuo.ark:/13960/t50g4932j,"Russell, William.",Autobiography of an English detective,1863,m,,442.6050468471575
mdp.39015049705992,"Rivas, Manuel,",Butterfly's tongue / | $c: Manuel Rivas.,2000,m,,442.5809457255998
uc1.b3425684,"Wilson, Charles Augustus.","Legends and mysteries of the Maori, | $c: by Charles A. Wilson.",1932,m,mixed,442.46954491536593
uc2.ark:/13960/t4zg6j65d,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,high_male,442.46111896586547
njp.32101065101592,"Gilkes, A. H.",A dialogue,1904,u,high_male,442.39743045876
mdp.39015048712288,"De Camp, L. Sprague (Lyon Sprague),",An elephant for Aristotle.,1966,u,mixed,442.2701554122501
uc1.b4948564,"Mankowitz, Wolf.",The devil in Texas / | $c: Wolf Mankowitz ; illustrated by Ralph Steadman.,1984,u,high_male,442.2315193356983
uc1.$b285039,"Farrell, James T. (James Thomas),",The girls at the Sphinx.,1959,m,mixed,442.1391616513568
nyp.33433074872494,"Hume, Fergus,",Tracked by a tattoo;,1896,m,mixed,442.0901704635973
mdp.39015058209597,"Manguel, Alberto.",Stevenson under the palm trees / | $c: Alberto Manguel.,2004,m,high_female,442.0377942314068
uc1.32106009833739,"Nin, Anaïs,",Collages.,1964,f,,442.02118111649605
uc1.b4948981,"Price, Anthony.",Soldier no more : | a novel / | $c: by Anthony Price.,1981,m,high_male,441.86904221516113
uiuo.ark:/13960/t55d95m3v,"Damer, Anne Seymour Conway,",Belmour,1801,f,high_female,441.7884543320909
njp.32101035036035,"Blessington, Marguerite,",Two friends,1835,f,,441.5915505781662
mdp.39015024082565,"Avery, Gillian,",The Italian spring. | $c: Illustrated by John Verney.,1964,f,high_female,441.580305518374
mdp.39015008510227,"(George Bagshawe), Harrison, G. B.","More new tales from Shakespeare, | $c: told by G. B. Harrison ... Illustrated by C. Walter Hodges.",1945,m,high_male,441.5485620731285
uiuo.ark:/13960/t52f87g8b,"Yorke, Curtis.",A romance of modern London,1892,f,,441.5011037527594
mdp.39015000617624,"Greene, Graham,",The collected edition.,1970,m,,441.4951970674016
mdp.39015063986668,"Black, William,",White wings,1880,m,mixed,441.49354871829985
mdp.39015016452875,"Bell, Josephine,",Jacobean adventure / | $c: Josephine Bell.,1969,f,high_male,441.47078444453155
mdp.39015058125777,"Kishtainy, Khalid.",Tomorrow is another day : | a tale of Saddam's Baghdad / | $c: Khalid Kishtainy.,2003,m,high_male,441.3488724915523
inu.30000027256373,"Anthony, Evelyn.","The Evelyn Anthony omnibus : | The Poellenberg inheritance, The occupying power, The grave of truth.",1991,f,mixed,441.2386622069623
mdp.39015031693701,"Williams-Ellis, Clough, Sir,",The adventure of building : | being something about architecture and planning for intelligent young citizens and their backward elders / | $c: by Clough Williams-Ellis; with drawings by Geoffrey Robson.,1946,u,,441.1816609607172
wu.89039010491,"Tournier, Michel",Gemini / | $c: by Michel Tournier ; translated by Anne Carter.,1985,m,,441.1147279974264
mdp.39015014872488,"Oberman, Wendy.",Mothers & other loves / | $c: Wendy Oberman.,1989,f,,441.1009984863544
mdp.39015013286623,"Defoe, Daniel,",The Shakespeare Head edition of the novels and selected writings of Daniel Defoe.,1974,m,high_male,441.0921099551931
mdp.39015028896069,"Rendell, Ruth,",Asta's book / | $c: Barbara Vine.,1993,f,,440.9781697583731
uc1.$b389725,"Langley, Noel,",The loner.,1967,m,mixed,440.90664281084827
mdp.39015011955906,"Morgan,",The O'Briens and the O'Flahertys;,1827,f,mixed,440.8326526013352
inu.30000087814954,"Mankell, Henning,",The white lioness / | $c: Henning Mankell.,2003,u,high_male,440.82109567942217
mdp.39015025200398,"Dibba, Ebou.",Fafa : | an idyll on the banks of a river : a novel / | $c: by Ebou Dibba.,1989,u,mixed,440.7595821521494
uiuo.ark:/13960/t6h13973w,"Briscoe,",The young bride. A novel,1857,f,high_female,440.68561654412207
mdp.39015077642877,"Brownlee, Nick.",Bait / | $c: Nick Brownlee.,2008,m,high_male,440.68189725153655
uiuo.ark:/13960/t02z1r626,"Kett, Henry,",Emily,1809,m,mixed,440.6401944894652
uc1.$b243574,"O'Flaherty, Liam,",Shame the devil / | $c: Liam O'Flaherty.,1934,m,,440.63153647685886
mdp.39015056205597,,Beneath black stars : | contemporary Austrian short stories / | $c: edited by Martin Chalmers.,2002,u,,440.567066521265
yale.39002085618784,"Inglis, Henry D.",Rambles in the footsteps of Don Quixote,1837,m,high_male,440.5188825430557
uiuo.ark:/13960/t3xs60k95,"Allen, Grant,",The scallywag,1893,m,,440.3095509570365
mdp.39015062065597,"Johnston, Hugh Anthony Stephens.",A selection of Hausa stories;,1966,m,high_male,440.19900497512447
inu.32000009526486,"Aldridge, James.","The last exile, | a novel.",1961,m,,440.1970132560957
uiuo.ark:/13960/t6tx40f4g,"Westall, William,",Her two millions,1887,m,mixed,440.1760704281712
uc1.$b243684,"Millin, Sarah Gertrude Liebson,","Two bucks without hair, | and other stories.",1957,f,high_female,440.1650618982119
uiuo.ark:/13960/t3dz0j89j,"Barrett, Frank,",The Harding scandal,1896,m,high_female,440.0889251848827
njp.32101068142270,"Llanos Gutierrez, Valentin.","Don Esteban, or, Memoirs of a Spaniard",1826,m,,440.0496997307931
uiuo.ark:/13960/t1jh46z6n,"Trollope, Thomas Adolphus,",A family party in the piazza of St. Peter,1877,m,mixed,440.014367816092
mdp.39015016866900,"Acker, Kathy,",Young lust / | $c: Kathy Acker.,1989,f,mixed,439.95163890381514
mdp.39015046443373,"Powell, Anthony,",The military philosophers: | a novel.,1968,m,mixed,439.9092970521542
