htid,author,title,year,authgender,female_category,shops
uiuo.ark:/13960/t4hm5jm5r,"Cook, Dutton,",Leo,1863,m,mixed,10.022622490764869
mdp.39015074795710,"Thackeray, William Makepeace,","Lovel the widower, and other stories & sketches",1911,m,,10.022368103357948
uc1.b3435599,"Kilpatrick, Sarah.",Ladies' Close.,1967,f,high_female,10.021474588403722
uva.x030581137,"Thackeray, William Makepeace,",The works of William Makepeace Thackeray,1878,m,mixed,10.02083278394557
uc1.$b244932,"Steni, L.",Soldier adrift / | $c: by L. Steni.,1954,u,high_male,10.020742937881414
mdp.39015060667402,"Palmer, William,",The India House / | $c: William Palmer.,2005,m,high_female,10.020667626980648
mdp.39015031237988,"Hanley, James,",What Farrar saw | $c: [by] James Hanley.,1946,m,mixed,10.020374762016099
mdp.39015037284893,Sony Lab'Ou Tansi.,The seven solitudes of Lorsa Lopez / | $c: Sony Labou Tansi ; translated from the French by Clive Wake.,1995,u,mixed,10.020207418293559
mdp.39015073621057,"Diamond, Elizabeth.",An accidental light / | $c: Elizabeth Diamond.,2008,f,high_female,10.020131354812852
uiuo.ark:/13960/t9d515s4d,"Braddon, M. E.",The fatal three,1888,f,high_female,10.019872747616105
mdp.39015001043812,"Brahms, Caryl,",Stroganov in company : | collected stories / | $c: by Caryl Brahms [i.e. D.C. Abrahams].,1980,f,,10.018032458425166
uc1.32106005849879,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,mixed,10.016761380710388
mdp.39015037403378,"Bryher,",West.,1925,u,high_female,10.011012113324657
mdp.39015017744569,"Ginzburg, Natalia.","The road to the city ; and, The dry heart / | $c: Natalia Ginzburg ; translated by Frances Frenaye.",1989,f,,10.010511036588419
uc1.b3595367,"Sender, Ramón José,",The affable hangman / | $c: by Ramón J. Sender ; translated from the Spanish by Florence Hall.,1954,u,,10.008578781812982
pst.000021714726,"Bradley, Marion Zimmer.",The bloody sun : | a Darkover novel / | $c: Marion Zimmer Bradley.,1993,f,high_male,10.007313036449712
mdp.39015051379041,"Wills, C. J.",Laura Ruthven's widowhood,1892,m,high_female,10.003401156393174
nyp.33433074920335,"Neuman, B. Paul",The greatness of Josiah Polick,1904,m,mixed,10.00180032405833
mdp.39015047574614,"Harkness, Lucy,",The happy pigs / | $c: Lucy Harkness.,1999,f,,10.001714579642224
mdp.39015059392210,"Davidson, John,",A full and true account of the wonderful mission of Earl Lavender,1895,m,,10.001000100010002
mdp.39015049703187,"Chrislieb, Marie Luise",Uphill steps in India / | $c: by M. L. Chrislieb.,1930,f,high_female,9.99533551009529
mdp.39015051321142,"Bainbridge, Beryl,",Another part of the wood / | $c: Beryl Bainbridge.,1979,f,high_male,9.991578526670377
uc1.b4974527,"Legge, Gordon,",The shoe / | $c: Gordon Legge.,1989,m,high_male,9.991150695098627
uc1.b4091200,"Jesse, F. Tennyson (Fryniwyd Tennyson),","The lacquer lady, | $c: by F. Tennyson Jesse.",1929,f,,9.989278174759091
inu.30000050689268,"Bradfield, Scott.",Animal planet / | $c: Scott Bradfield.,1996,m,,9.988014382740712
uc1.b4948949,"Massie, Allan,",The death of men / | $c: Allan Massie.,1981,m,,9.987470264577167
mdp.39015003940312,"Gogarty, Oliver St. John,",Tumbling in the hay ...,1939,m,,9.987198227726278
nyp.33433074855267,"Fullom, S. W.","The man of the world, or, Vanities of the day",1857,m,high_female,9.982094617779358
inu.39000003576993,"Jhabvala, Ruth Prawer,",The householder.,1960,f,mixed,9.981747661419119
mdp.39015013160810,"Adamson, Iain,",The forgotten men.,1965,u,high_male,9.980164423208873
inu.32000009077365,"White, W. J.",One for the road / | $c: by W. J. White.,1956,u,mixed,9.979486610855464
