htid,author,title,year,authgender,female_category,urban_metric_gb_frac
uiuo.ark:/13960/t2x35cd31,"Oliphant,",The son of his father,1887,f,mixed,0.6540353358579595
mdp.39015005594836,"Shadbolt, Maurice.",The New Zealanders: | a sequence of stories.,1960,m,mixed,0.6539533994652758
inu.39000002994254,"Macklin, Robert.",The Queenslander / | $c: Robert Macklin.,1975,m,,0.6537381274869949
uc1.32106001932869,"Darton, F. J. Harvey (Frederick Joseph Harvey),","Vincent Crummles, | his theatre and his times, | $c: arranged by F. J. Harvey Darton ... With an historical introductory note and appendices from Nicholas Nickleby by Charles Dickens.",1926,m,,0.6536218346239362
mdp.39015017663942,,The Pied Piper : | lesbian feminist fiction / | $c: edited by Anna Livia and Lilian Mohin.,1989,u,high_female,0.6536157289235709
uiuo.ark:/13960/t9m33fg91,"Riddell, J. H.,","Frank Sinclair's wife, and other stories",1874,f,,0.6534122737111024
uc2.ark:/13960/t1dj5cc2n,"Paton, Frank Hume Lyall",Lomai of Lenakel,1903,m,,0.65272029295105
uc1.b4315284,"Crocker, Aimée,",Without regrets.,1937,u,mixed,0.6527052863909781
njp.32101018115061,"Hood, Tom,",Captain Master's children,1865,m,mixed,0.6524676844274401
uiuo.ark:/13960/t6vx10c8p,"Scott,",The old grey church,1856,f,,0.6524190591888709
uc2.ark:/13960/t4dn44315,"Wynne, Ellis,","The sleeping bard; or, Visions of the world, death, and hell",1860,m,high_male,0.6523606608512477
mdp.39015017937668,"Roy, Namba.",No black sparrows / | $c: Namba Roy ; edited by Jacqueline Roy.,1989,u,high_male,0.6523529873731435
uiuo.ark:/13960/t3514df76,"Hardy, Duffus,",Madge,1878,m,high_female,0.6521707605663282
uc2.ark:/13960/t88g8vf3z,"Pilling, William.",Ponce de Leon,1910,m,high_male,0.6519998486609899
uc1.b3752233,"Simenon, Georges,","A wife at sea, | $c: translated from the French by Geoffrey Sainsbury.",1949,m,,0.6518738113411521
mdp.39015078787580,"Tallis, Frank.",Darkness rising / | $c: Frank Tallis.,2009,m,high_male,0.6516486434134707
uc1.b4284526,"Saʻdāwī, Nawāl.",Searching / | $c: Nawal El Saadawi ; translated by Shirley Eber.,1991,f,high_male,0.6515291243278862
uc1.$b242654,"Mann, Leonard,",Andrea Caslin | [a novel],1959,m,high_female,0.6515051498557438
uc1.b3477928,"Athill, Diana.",Don't look at me like that: | a novel.,1967,f,high_female,0.6513258871626765
uiuo.ark:/13960/t7vm4j87s,"Chatterton, Georgiana,",Country coteries,1868,f,high_female,0.6510674700139306
njp.32101037974829,"Fullerton, Georgiana,",A will and a way,1881,f,high_female,0.6509287708716547
mdp.39015053172071,"Ray, Satyajit,",Indigo : | stories / | $c: Satyajit Ray ; translated from the Bengali by the author and Gopa Majumdar.,2000,m,high_male,0.6509012055312614
mdp.39015063761186,"Black, William,",Macleod of Dare,1878,m,,0.6508762706457172
uc1.$b236108,"Coppard, A. E. (Alfred Edgar),",Nixey's harlequin;,1931,m,,0.6505427538433466
mdp.39015058132799,"Karnezis, Panos,",The maze / | $c: Panos Karnezis.,2004,u,,0.6505222410146394
uiuo.ark:/13960/t5s75xx8r,"Ogle, Nathaniel.",Mariamne,1825,m,mixed,0.6504713837358576
uiuo.ark:/13960/t5h99gv86,"Eaton, Charlotte A.",Vittoria Colonna,1827,f,high_male,0.6502328738341815
umn.319510020543924,"Orgill, Douglas,",The death-bringers.,1962,m,mixed,0.6495417875382947
uc2.ark:/13960/t21c1ws0w,"Wedmore, Frederick,",Orgeas and Miradou,1896,m,high_female,0.6494788560168865
uiuo.ark:/13960/t3805gj3d,"Gore,",The diary of a désennuyée,1836,f,,0.6494360936161995
mdp.39015031228722,"Davies, W. H.",A weak woman,1911,m,high_female,0.6493489159047785
uiuo.ark:/13960/t4dn4s42z,Sejanus.,Littledale,1878,u,,0.6493403286286881
mdp.39015082670731,"Mackay, Shena.",The atmospheric railway : | new and selected stories / | $c: Shena Mackay.,2008,f,high_female,0.6489861883491524
mdp.39015063562436,"Lee, Aubrey.",John Darker,1895,u,mixed,0.6488681825804347
njp.32101072041773,"Neil, Ross,","Abbot's Cleve, or, Can it be proved?",1864,f,high_female,0.6488090909512862
njp.32101068141108,"Marryat, Florence,",Facing the footlights,1883,f,high_female,0.6487274503295354
mdp.39015066829550,,Oxford anthology of the Brazilian short story / | $c: edited by K. David Jackson.,2006,u,mixed,0.6478431902689162
uc2.ark:/13960/t2s46m716,"Blaker, Richard.",The voice in the wilderness,1922,m,high_female,0.6477858787075378
uc2.ark:/13960/t5fb52k2z,"Trollope, Frances Eleanor,",A charming fellow,1876,f,,0.6474398161715594
mdp.39015029101790,"Lively, Adam.",Sing the body electric : | a novel in five movements / | $c: Adam Lively.,1993,m,mixed,0.6471940070836512
mdp.39015011047746,"Ghānim, Fatḥi.",The man who lost his shadow : | a novel in four books / | $c: by Fathy Ghanem ; translated from the Arabic by Desmond Stewart.,1980,u,high_male,0.6466272088534788
mdp.39015019831612,"Cunningham, John,",Leeds to Christmas / | $c: John Cunningham.,1990,m,,0.6461608056688816
uc2.ark:/13960/t3028rd57,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,,0.6458992855341029
uc1.$b236147,"Davies, Rhys,",The collected stories of Rhys Davies.,1955,m,,0.6458566139724582
njp.32101068169588,"Galt, John,",Eben Erskine;,1833,m,,0.6457999983528069
mdp.39015070772671,"McKay, Malcolm.",Forgotten voices / | $c: Malcolm McKay ; adapted from Forgotten voices of the Great War by Max Arthur.,2007,m,high_male,0.6457708667459385
wu.89070237797,"Arjouni, Jakob.",Magic Hoffman / | $c: Jakob Arjouni ; translated by Geoffrey Mulligan.,1998,m,high_male,0.6455739466926158
mdp.39015030039088,"Moorsom, Sasha.",A lavender trip / | $c: Sasha Moorsom.,1976,u,,0.6454407442297918
uc1.b3123813,"Hood, Tom,",A golden heart,1867,m,high_female,0.6453776041141327
uc1.$b803402,"Kilpatrick, Florence A.","Camilla in a caravan; | a comedy of the open road,",1925,f,high_female,0.644964143804621
mdp.39015001519902,,"The Most beautiful lies : | a collection of stories by five major contemporary fiction writers, Bail, Carey, Lure, Moorhouse and Wilding / | $c: edited by Brian Kiernan.",1977,u,,0.6442830301621082
uiuo.ark:/13960/t9n30df5d,"Mills, John,","The old hall, or, Our hearth and homestead",1845,m,,0.6442067329056234
uc2.ark:/13960/t59c6v49h,"Adams, Arthur Henry,",A touch of fantasy,1912,m,,0.6440357837785287
mdp.39015012430354,"Greene, Graham,",The collected edition.,1970,m,,0.6435626608815981
uc2.ark:/13960/t0wp9wd7p,"Hudson, William Henry,",The strange adventures of John Smith,1902,m,,0.6434057929191788
mdp.39015003942276,"Goudge, Elizabeth,","The reward of faith, | and other stories; illustrated by Claughton Pellew.",1950,f,mixed,0.6429807920787463
mdp.39015016453204,"Baron, Stanley Wade,","People and Americans, | a memoir of transatlantic tourists.",1953,m,,0.6429230701631108
uiuo.ark:/13960/t0rr2bv7p,"Keary, Annie,",Clemency Franklyn,1866,f,high_female,0.6423477853986452
uc1.$b485537,"Allen, Johannes,",It's a swinging life  / | $c: Johannes Allen ; translated by Keith Bradfield.,1966,m,mixed,0.6423099417015613
uiuo.ark:/13960/t0000tq23,"Ainsworth, William Harrison,",Old Saint Paul's,1841,m,mixed,0.6422165595284398
uiuo.ark:/13960/t51g1cb2p,,"The writer's clerk, or, The humours of the Scottish metropolis",1825,u,,0.6421569531084844
mdp.39015019488579,"Scott, Mary.",Nudists may be encountered / | $c: Mary Scott.,1991,f,high_female,0.6420517193832397
uc1.b3466388,"Rutherford, Anna.",Commonwealth short stories; | $c: edited by Anna Rutherford and Donald Hannah; with illustrations by John Rochester.,1971,f,,0.641947475706792
inu.39000002867070,"Kiefer, Warren,",The Pontius Pilate papers / | $c: [by] Warren Kiefer.,1976,m,,0.6419114238857275
mdp.39015014435716,"Moore, George,",A drama in muslin,1886,m,high_female,0.641684212105539
mdp.39015050563843,"Hocking, Mary.",March house / | $c: Mary Hocking.,1981,f,high_female,0.6412617362681023
pst.000066824176,"Dick, Philip K.",The penultimate truth / | $c: by Philip K. Dick.,1964,m,high_male,0.641165506981192
uc1.32106008371111,"Loest, Erich.",The monument / | $c: Erich Loest ; translated from the German by Ian Mitchell.,1987,m,mixed,0.6411633610340365
mdp.39015015407326,"James, M. R.",The five jars,1922,u,high_female,0.6411553790232658
njp.32101068142270,"Llanos Gutierrez, Valentin.","Don Esteban, or, Memoirs of a Spaniard",1826,m,,0.6411521336962547
inu.30000082344098,"Skiadaresēs, Spyros A.",Cephalonian tales / | $c: by Spyridon Skiadaressi ; translated by Maki Razi and Alec Reid.,1987,u,high_male,0.6411515513868108
mdp.39015048898160,"Sillitoe, Alan.",Down from the hill / | $c: Alan Sillitoe.,1984,m,mixed,0.6410354025744187
uiuo.ark:/13960/t4sj24q1v,,True to the life,1868,u,,0.6410174288327912
mdp.39015047643328,"Jefferies, Richard,",The scarlet shawl,1874,m,,0.6409897642710183
uiuo.ark:/13960/t1fj2t155,,The Curate of Sadbrooke,1865,u,mixed,0.6408905336473842
mdp.39015054057859,"Hart, Kitty.",I am alive.,1961,f,high_female,0.6406470191088448
nyp.33433082289962,,The toy book of birds and beasts,1876,u,high_male,0.6405357147719649
mdp.39015050674871,"Jones, Tristan,",Somewheres east of Suez / | $c: Tristan Jones.,1988,m,high_male,0.6405046614428784
uc1.32106018330834,"Dickson, Jack",Out of this world / | $c: Jack Dickson,2002,m,high_male,0.6402698374009769
uc2.ark:/13960/t5bc3zs03,"Herbert, George,",Gerald Fitzgerald,1858,m,,0.6401942140281456
mdp.39015068801565,"Howell, Anthony, 1945-",Oblivion.,2007,m,mixed,0.6398723899159364
mdp.39015047680346,"Fabricius, Johan,",Java revisited.,1947,m,high_male,0.6398531802322496
mdp.39015001164691,"Verel, Shirley.",The dark side of Venus / | $c: Shirley Verel.,1960,f,,0.6395610833937385
uiuo.ark:/13960/t96694947,"Wraxall, Lascelles,","Fides, or, The beauty of Mayence",1866,m,,0.6394601437951246
uc1.32106016496827,"Bakin, Dmitriĭ",Reasons for living / | $c: Dmitry Bakin ; translated by Andrew Bromfield,2002,u,high_female,0.6394234732766625
uc1.b4104692,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_female,0.639329003179006
mdp.39015001749764,"Duffy, Maureen.","Londoners, an elegy / | $c: by Maureen Duffy.",1983,f,,0.6390248196334415
mdp.39015078796607,"Hannah, Sophie,",The other half lives / | $c: Sophie Hannah.,2009,f,mixed,0.6388738939978357
mdp.39015002300732,"Creeley, Robert,","The gold diggers, | and other stories.",1965,m,mixed,0.6388599865778543
uc2.ark:/13960/t55d8qx72,"Prindle, Frances Carruth,",The way of Belinda,1901,f,high_female,0.6388277332812361
mdp.39015078770099,"Cross, Neil.",Burial / | $c: Neil Cross.,2009,m,mixed,0.6388028362073852
mdp.39015060124578,"Coe, Jonathan.",The closed circle / | $c: Jonathan Coe.,2004,m,mixed,0.6382279764450616
nyp.33433074946850,"Clouston, J. Storer",Our lady's inn;,1903,m,high_female,0.6380821244480432
mdp.39015022882495,"Shaw, Tina.",City of reeds / | $c: Tina Shaw.,2000,f,high_female,0.6379760438401176
uiuo.ark:/13960/t5j96sf1b,,Rose Aylmer's home,1865,u,,0.6378031235050572
uc1.$b119569,"Lovelace, Earl,",The schoolmaster.,1968,m,,0.6377074722814028
nyp.33433074898838,"Manning, Anne,",The duchess of Trajetto,1863,f,,0.637673143697283
nyp.33433075727390,"Fitzgerald, Percy Hetherington,",Never forgotten,1865,m,mixed,0.6376122164515773
mdp.39015063959798,"Wedmore, Frederick,",Renunciations,1893,m,,0.6369915158416622
uc1.b3481020,"Meynell, Laurence.",Airmen on the run; | true stories of evasion and escape by British airmen of World War II. | $c: Told by Laurence Meynell. Illustrated by Richard Kennedy.,1963,m,high_male,0.6366917689933445
inu.32000001872912,"Church, Alfred John,",A young Macedonian in the army of Alexander the Great,1890,m,,0.636558718716008
mdp.39015059422199,"Jefferies, Richard,",World's end,1877,m,,0.6365037205698907
mdp.39015011328922,,--and other stories : | a collection of contemporary short stories.,1981,u,,0.6363732932568336
uc1.b3327326,"Montgomery, Florence,",Thrown together,1877,f,high_female,0.6363357550778289
mdp.39015057018973,"Lloyd, Josie.",Love lives / | $c: Josie Lloyd & Emlyn Rees.,2003,f,mixed,0.6362707466682544
mdp.39015062626398,"Rawle, Graham.",Woman's world : | a novel / | $c: Graham Rawle.,2005,m,mixed,0.6361536496017921
mdp.39015014862265,"Vansittart, Peter.",The story of teller: | a novel.,1968,m,,0.636046464769336
inu.30000107602645,"Pinto, Shiromi,",Trussed / | $c: Shiromi Pinto.,2006,u,,0.6360002748389332
mdp.39015080896841,"Mostert, Natasha.",The keeper / | $c: Natasha Mostert.,2009,f,,0.6359761497901729
uc1.$b244811,"Shrinagesh, Shakuntala.",The little black box / | $c: Shakuntala Shrinagesh.,1955,u,,0.6356399750858701
mdp.39015047594034,,The Penguin book of Indian railway stories / | $c: edited by Ruskin Bond.,1994,u,high_male,0.6350580505830201
mdp.39015033413835,"Balch, Elisabeth,",An author's love;,1889,f,,0.6349612790264175
mdp.39015063675980,"Bolger, Dermot,",The family on Paradise Pier / | $c: Dermot Bolger.,2005,m,,0.6348914539197779
mdp.39015054103141,"Drabble, Margaret,",The ice age / | $c: Margaret Drabble.,1977,f,mixed,0.6346054281667204
uc1.b3548208,"Conrad, Joseph,",The works of Joseph Conrad.,1923,m,,0.6342902546907438
mdp.39015053240621,,Best Irish short stories / | $c: edited by David Marcus.,1976,u,,0.6342781497926169
uiuo.ark:/13960/t8x92td2h,"Rhys, J.","The modern pedagogue, or, Rustic reminiscences",1868,u,,0.6341839562800151
inu.30000092668809,"Mulrine, Stephen.",Moscow stations : | a play / | $c: by Stephen Mulrine ; translated and adapted from Moscow-Petushki by Venedikt Yerofeev.,1993,m,,0.6340157488624847
mdp.39015003679555,"Taylor, Elizabeth,",Angel.,1957,f,high_female,0.633965411665353
njp.32101064791096,"Stepney, Catherine Pollock Manners,",The new road to ruin,1833,f,,0.633633344854092
uiuo.ark:/13960/t6rx9k80m,"Chetwynd, Henry Wayland,",A brilliant woman,1892,f,high_female,0.6335988511696361
mdp.39015019191363,"James, Henry,",The reverberator,1888,m,,0.6335737566089363
umn.31951001560752n,"Lee, James S","The underworld of the East; | being eighteen years' actual experiences of the underworlds, drug haunts and jungles of India, China and the Malay archipelago, | $c: by James S. Lee.",1935,m,high_male,0.6334335760277716
uc1.b3473182,"Royce, Kenneth.",Bones in the sand.,1967,m,high_male,0.6333981072562557
uc1.$b393190,"Gautier, Jean Jacques,",Skin deep. | $c: Translated by Mervyn Savill.,1955,f,high_female,0.6332575251769147
dul1.ark:/13960/t4pk1061h,,The three chances,1858,u,,0.6332503815545032
inu.30000008735510,"Dube, Hope.",Desert storm / | $c: Hope Dube.,1992,f,high_female,0.6330603308373471
nyp.33433074927223,"Begbie, Harold,",The vigil,1907,m,mixed,0.6330462877183056
uiuo.ark:/13960/t1fj2sc4r,"Crommelin, May.",Bay Ronald,1893,f,mixed,0.6329593061259065
mdp.39015049860797,"Josipovici, Gabriel,",The air we breathe / | $c: Gabriel Josipovici.,1981,m,,0.6329111109195444
mdp.39015062113934,"Böll, Heinrich,",Billiards at half past nine. | $c: Translated from the German by Patrick Bowles.,1961,u,,0.6328870724595275
uc1.$b802486,"Guenther, Johannes von,","Cagliostro, | a novel, | $c: by Johannes von Guenther, translated by Huntley Paterson.",1928,u,mixed,0.6326767442160564
uc2.ark:/13960/t5t729m0k,"Scott, P. E. S.",Souls in pawn,1913,f,,0.6323386029070813
mdp.39015076846149,"Cacucci, Pino,",Without a glimmer of remorse / | $c: Pino Cacucci ; illustrated by Flavio Costantini.,2006,u,high_male,0.6322664544658935
inu.32000001875014,"Priestley, J. B. (John Boynton),",Out of town / | $c: by J.B. Priestley.,1968,m,mixed,0.6321001770735897
mdp.39015080834446,"Packer, Mez.",Among thieves / | $c: Mez Packer.,2009,u,,0.6317873776170743
uiuo.ark:/13960/t1xd1hn2n,"Robinson, F. W.","Slaves of the ring; or, Before and after",1862,m,,0.6310783422681175
njp.32101068167616,"Forrester, Alfred Henry,",A bundle of crowquills,1854,m,,0.6309960256492826
uc1.$b244479,"Richardson, Dorothy Miller,","Oberland, | $c: by Dorothy M. Richardson ...",1928,f,high_female,0.6307711564096562
mdp.39015013502672,"Colegate, Isabel.",Three novels : | The blackmailer ; A man of power ; The great occasion / | $c: Isabel Colegate.,1984,f,,0.6307174236902255
uc2.ark:/13960/t9p26w66s,"Henty, G. A.",A search for a secret,1867,m,,0.6305887952552909
uc1.b3872914,"Earl of, Halsbury, Hardinge Goulburn Giffard,",Nineteen forty-four / | $c: by the Earl of Halsbury.,1926,u,mixed,0.6304780040289698
wu.89100017912,"Meyer, Deon.",Devil's peak / | $c: Deon Meyer.,2007,u,,0.6304144009651905
uc1.b4948851,,"The Most beautiful lies : | a collection of stories by five major contemporary fiction writers, Bail, Carey, Lure, Moorhouse and Wilding / | $c: edited by Brian Kiernan.",1977,u,mixed,0.630347700805354
uc2.ark:/13960/t0000492f,"Eiffe, John P.",The tales of old Liverpool,1886,m,,0.630333317719056
wu.89099789828,"Smith, Albert,",The adventures of Mr. Ledbury and his friend Jack Johnson,1856,m,high_male,0.6301957575865114
mdp.39015068629214,"Broomhall, A. J.",Strong tower.,1947,u,,0.6301465879549711
uiuo.ark:/13960/t8gf1cm95,"Oliphant,",Carità,1877,f,,0.6299133409336903
uc2.ark:/13960/t0xp73g07,"Symons, F. A.",Cicely in Ceylon,1914,u,mixed,0.6295040831089735
mdp.39015014452190,"Mitchell, James Leslie,",The thirteenth disciple / | $c: J. Leslie Mitchell; introd. by Douglas F. Young.,1981,m,high_male,0.6294738865493006
uc1.32106014860800,,Hoops of fire : | fifty years of fiction by Pakistani women / | $c: edited by Aamer Hussein ; [translated by Yasmin Hameed ... et al.],1999,u,,0.6291967190257005
mdp.39015016915939,"Borden, Mary.","The forbidden zone, | $c: by Mary Borden.",1929,f,high_male,0.6291465356619482
mdp.39015067084635,"Sedley, Charles,",Asmodeus;,1808,m,high_male,0.629124711751879
mdp.39015024534599,"Maitland, Julia Charlotte,",Cat and dog;,1882,m,high_female,0.62908611831868
inu.30000095371450,"Peltz, Daniel.",Out of the blue / | $c: Daniel Peltz.,2004,m,high_female,0.6290670859228471
uc1.b4559309,,Hoops of fire : | fifty years of fiction by Pakistani women / | $c: edited by Aamer Hussein ; [translated by Yasmin Hameed ... et al.],1999,u,,0.6288096090076251
njp.32101068163508,,The eccentric traveller,1826,m,high_male,0.6288023843121724
mdp.39015066683353,"Ruheni, Mwangi.",The minister's daughter.,1975,u,high_female,0.6285533534814894
nyp.33433073356804,"Turgenev, Ivan Sergeevich,",Fathers and sons,1883,m,,0.6277520367591296
mdp.39015063642410,"Schilling, Ton,",Tigermen of Anai | $c: [by] Ton Schilling. Translated by E. W. Dickes.,1957,u,,0.6276919086574043
mdp.39015017652390,"Milne, Ewart,",Drums without end : | short stories mainly about the Spanish Civil War / | $c: Ewart Milne.,1985,m,mixed,0.6275696897170928
mdp.39015003686378,"Frederic, Harold,",Illumination,1896,m,,0.6273987916056266
uc1.32106013464307,"Galloway, Janice,",Blood,1991,f,high_female,0.6273221610000945
uc2.ark:/13960/t3vt1rf0z,"Mayhew, Henry,",1851,1851,m,high_female,0.6272106036032589
mdp.39015078794974,"Salter, James.",Solo faces / | $c: James Salter ; with an introduction by Andy Cave.,2008,m,,0.626459617936877
mdp.39015018984065,"Dixon, Ella Hepworth.",The story of a modern woman / | $c: by Ella Hepworth Dixon ; introduction by Kate Flint.,1990,f,high_female,0.626417368284008
mdp.39015058738900,"Harris, Joanne,",Jigs & Reels / | $c: Joanne Harris.,2004,f,high_female,0.6261385592655546
uc1.b4948381,"Lom, Herbert.",Enter a spy : | the double life of Christopher Marlowe / | $c: by Herbert Lom.,1978,m,high_male,0.6260560524624043
mdp.39015003659755,"Richardson, Mary R",Laugh a defiance.,1953,f,high_female,0.6258768886015575
uiuo.ark:/13960/t9086vr6d,"McCarthy, Justin.",Red diamonds,1893,m,,0.6254659997258454
mdp.39015041189070,"Tennant, Emma.",Alice fell / | $c: Emma Tennant.,1980,f,high_female,0.6251560524107722
uc1.32106007568261,"Templeton, Edith.",Living on yesterday / | $c: Edith Templeton ; new introduction by Anita Brookner.,1986,f,,0.6250329441548856
uc1.$b245196,"Waugh, Alec,",Jill Somerset / | $c: by Alec Waugh.,1953,m,high_female,0.6247858724351995
mdp.39015055165859,"O'Brien, Flann,",The Third policeman / | $c: Flann O'Brien.,1967,u,high_male,0.6247853696419542
inu.39000003098857,"Glaskin, G. M. (Gerald Marcus),",A waltz through the hills.,1961,m,high_male,0.6245210447383037
mdp.39015078809665,"Hayder, Mo.",Skin / | $c: Mo Hayder.,2009,u,,0.6241705139932139
uiuo.ark:/13960/t0ft93q3m,"Braddon, M. E.","Lucius Davoren, or, Publican and sinners",1873,f,,0.6241625678943348
uc1.$b86280,"Balchin, Nigel,",A way through the wood.,1951,m,,0.624155511084526
mdp.39015003639500,"Dathorne, Oscar Ronald,",Caribbean narrative: | an anthology of West Indian writing / | $c: edited and introduced by O.R. Dathorne.,1966,m,,0.6239846274584305
mdp.39015027247314,"Welch, Denton.",A voice through a cloud.,1950,m,mixed,0.6233760424106347
uiuo.ark:/13960/t6g16n64w,"Tottenham, G. L.","Harry Egerton, or, The younger son of the day",1869,u,,0.6233618383992124
mdp.39015059704976,"Cochrane, Louise.",Social work for Jill.,1954,f,high_female,0.6232833878901517
njp.32101067708295,"Berens, Louise.",A woman with a past. A novel,1886,f,high_female,0.62327602458476
uc1.32106014207846,"McGrath, Melanie,","Hard, soft & wet : | the digital generation comes of age / | $c: Melanie McGrath",1997,f,mixed,0.6230971947689116
mdp.39015030947934,"Berkoff, Steven.",Gross intrusion and other stories / | $c: by Steven Berkoff.,1979,m,mixed,0.6226971087236829
mdp.39015003929489,"Ghose, Zulfikar,",The murder of Aziz Khan: | a novel.,1967,u,,0.6225553263191955
nyp.33433067303671,"Grattan, Thomas Colley,","High-ways and by-ways, or, Tales of the roadside",1825,m,mixed,0.6223914779045441
mdp.39015015510384,"Leonard, Hugh.",Out after dark / | $c: Hugh Leonard.,1989,m,,0.6223195030597592
mdp.39015032290945,"Messud, Claire,",When the world was steady / | $c: Claire Messud.,1994,f,high_female,0.622160403441066
uc1.32106001631875,"Mphahlele, Es'kia,",African writing today.,1967,u,,0.6221237545547261
njp.32101068178886,"Hatton, Joseph,",A modern Ulysses,1883,m,mixed,0.6219901416532976
uc1.32106010866546,"Ballard, J. G.,",The kindness of women / | $c: J.G. Ballard.,1991,m,,0.6218860605127965
uiuo.ark:/13960/t4qj8088d,"Oliphant,",Madam,1885,f,,0.6214319558043078
uc1.$b105426,"Priestley, J. B. (John Boynton),","Four-in-hand, | $c: by J. B. Priestley.",1934,m,,0.6214289299665905
uiuo.ark:/13960/t06w9vk5d,Lady.,Julia de Vienne,1811,m,high_female,0.6212941204497074
wu.89052876588,"Madsen, Svend Åge.","Days with Diam, or, Life at night / | $c: by Svend Åge Madsen ; translated by W. Glyn Jones.",1994,u,,0.6212328207864581
mdp.39015030847076,"Harte, Bret,","Wan Lee, the Pagan",1876,m,,0.6210933075441878
mdp.39015024956214,,"Letters from home : | stories / | $c: by Pat Cadigan, Karen Joy Fowler, Pat Murphy.",1991,u,high_female,0.6208348284477314
nyp.33433074917042,"Martineau, Harriet,",Forest and game-law tales,1845,f,,0.6207217509288174
nyp.33433074934690,"Campbell, Frances.",Dearlove,1906,f,,0.6202254583269816
uiuo.ark:/13960/t7kp8kt4n,"Pardoe,",The romance of the harem,1839,f,,0.6200554529712409
uiuo.ark:/13960/t6rx9mq4s,"Dickens, Mary Angela.",Cross currents,1891,f,high_female,0.6200078869172243
uc1.b3327449,"White, William Hale,",The revolution in Tanner's lane,1887,m,,0.6199205600683559
mdp.39015032846308,"Hill, Susan,",Mrs. de Winter / | $c: Susan Hill.,1993,f,mixed,0.6198647071875284
mdp.39015017721922,"De Rosa, Peter,",Rebels : | the Irish rising of 1916 / | $c: Peter De Rosa.,1990,m,high_male,0.6197316509043284
njp.32101069158465,"Prévost, Marcel,",Benoit Castain,1916,m,,0.6197162293599762
inu.30000125237242,,A Rhondda anthology / | $c: edited by Meic Stephens ; introduced by Dai Smith.,1993,u,,0.6195980770308561
uiuo.ark:/13960/t6f19jp8p,"Peake, Richard Brinsley,","Cartouche, the celebrated French robber",1844,m,high_male,0.6190044441287343
wu.89004301826,"Crawford, Hew T. M.,",The long green tunnel | $c: [by] Hew T.M. Crawford.,1967,u,high_male,0.6189652408764357
uiuo.ark:/13960/t12n5jk49,"Hardy, Iza Duffus.",Glencairn,1877,f,,0.6187599464270113
inu.30000100689912,"Nesin, Aziz.",Out of the way! Socialism's coming! = | Sosyalizm geliyor savulun / | $c: Aziz Nesin ; English translations by Damian Croft.,2001,u,high_male,0.6181617111367186
mdp.39015034275845,"McLean, Duncan,",Blackden / | $c: Duncan McLean.,1994,m,mixed,0.6179806223066605
mdp.39015048891561,"Roe, Sue.","Estella, her expectations : | a novel / | $c: by Sue Roe.",1982,f,high_female,0.6179326751437899
uiuo.ark:/13960/t7qn6gr2p,"Douglas, John,",Measure for measure,1886,m,,0.6178578257214442
uc1.b3321465,"Butler, Alfred,",Elphinstone,1844,m,,0.6176468579624333
uc2.ark:/13960/t5t72b168,"Grimshaw, Beatrice Ethel",Kris-Girl,1917,f,high_female,0.6171081225955454
njp.32101068170347,"Horne, R. H.",The poor artist,1871,m,mixed,0.616618068484606
uc1.32106014919937,"Foley, Michael,",Getting used to not being remarkable / | $c: Michael Foley,1998,m,,0.6164691778235858
uc2.ark:/13960/t27941g2s,"Cupples, George,",The adventures of Mark Willis,1872,f,high_male,0.6163660870884408
uc2.ark:/13960/t4wh2h10j,"Henham, Ernest George,",Wintering Hay,1912,m,mixed,0.6161889093119316
mdp.39015012363548,"Dumitriu, Petru.",The prodigals. | $c: Translated by Norman Denny.,1962,u,,0.6160203932773353
uiuo.ark:/13960/t43r14q58,"Browne, J. Jemmett.",Lone lassie,1886,u,,0.615940237963081
mdp.39015055859634,"Smith, Zadie.",The autograph man / | $c: Zadie Smith.,2002,f,high_male,0.6157948231063062
mdp.39015078785808,"Fleming, James,",Cold blood / | $c: James Fleming.,2009,m,high_male,0.6153920925064764
uc1.$b252101,"Manning, Arthur.",Tainted money.,1963,m,mixed,0.6153545087766283
coo.31924027724016,"Serao, Matilde,",The desire of life,1911,f,,0.6152625858081697
uiuo.ark:/13960/t9280xx79,"Reid, Mayne,",The flag of distress,1876,m,high_male,0.6152088391922678
inu.30000027331341,,This fish is loaded : | the book of surreal and bizarre humour / | $c: edited by Richard Glyn Jones.,1991,u,,0.6150684436228718
mdp.39015056903647,"Fell, Alison.",Tricks of the light / | $c: Alison Fell.,2003,f,,0.615051984304552
mdp.39015001750408,,An anthology of African and Caribbean writing in English : | an anthology / | $c: edited by John J. Figueroa for the third world studies course at the Open University.,1982,u,,0.6149035455312186
uiuo.ark:/13960/t9c540365,"Forde, Gertrude.",In the old palazzo,1885,f,high_female,0.6148840978285294
njp.32101068170297,"Hort,",Penelope Wedgebone,1850,m,mixed,0.614647172335774
mdp.39015032814538,"Higgins, Aidan,",Lions of the Grunewald / | $c: Aidan Higgins.,1993,m,,0.6146083804410554
uc2.ark:/13960/t9x064z1m,"Braddon, M. E.",The trail of the serpent,1890,f,,0.6141511240217576
uc1.$b302112,"Niles, Blair.","Free, | $c: by Blair Niles ...",1930,m,high_male,0.6141147340494342
uiuo.ark:/13960/t21c2mc0k,"Robinson, F. W.",The man she cared for,1884,m,mixed,0.614074317107699
