htid,author,title,year,authgender,female_category,urban_metric_gb_frac
njp.32101066477686,"Balfour, Frederic Henry.","Giraldi, or, The curse of love",1889,m,mixed,-0.4692651691196057
uiuo.ark:/13960/t05x2kj0m,"Alford, Elizabeth M.",Netherton-on-Sea,1869,f,,-0.46926640457189606
mdp.39015025157937,,Classic Welsh short stories / | $c: selected by Gwyn Jones and Islwyn Ffowc Elis ; with an introduction by Gwyn Jones.,1992,u,,-0.4692938175849005
hvd.32044080902273,"Cooper, James Fenimore,",The spy; a tale of the neutral ground;,1825,m,,-0.46932116243676447
uiuo.ark:/13960/t9086sb1s,"Loudon,",Stories of a bride;,1829,f,,-0.46936647279682875
mdp.39015012296037,"Raven, Simon,",Close of play / | $c: Simon Raven.,1986,m,,-0.4694973555148746
uc1.b3123807,"Wynne, Catherine Simpson.",A horrid girl,1876,f,high_female,-0.4695085391574839
mdp.39015058486674,"Strong, L. A. G. (Leonard Alfred George),",English domestic life during the last 200 years; | an anthology selected from the novelists.,1950,m,,-0.46953478943588284
mdp.39015063560430,"Howitt, Mary Botham,",Wood Leighton;,1836,f,,-0.4698271970329705
uiuo.ark:/13960/t5r78qs7t,"Grant, Maria M.",One May day,1882,f,,-0.4698630293435029
uiuo.ark:/13960/t7mp5nx1j,"Russell, William Clark,",My shipmate Louise;,1890,m,,-0.46986698897253687
mdp.39076006252022,"Armour, Richard,","Pills, potions - and Granny. | $c: Illustrated by Catherine Barnes.",1959,m,mixed,-0.4699080144609893
uc1.b4536271,"Sellwood, A. V. (Arthur V.)",Stand by to die / | $c: A.V. Sellwood.,1972,m,high_male,-0.47003058109437684
mdp.39015065251095,"James, G. P. R.",Charles Tyrrell;,1839,m,,-0.4701090931754034
uiuo.ark:/13960/t12n5n16b,"Lewis, Arthur,",The master of Riverswood,1876,f,,-0.47022148670339425
dul1.ark:/13960/t1fj30r51,"Bury, Charlotte Campbell,",The exclusives,1830,f,,-0.47026891791975134
mdp.39015070528594,"Donatti, Arthur Louis.","The orphan of Novogorod, an Illyrian tale",1841,m,high_male,-0.4702983239446838
uc2.ark:/13960/t7cr5tc0g,"Holt, Emily Sarah,",One snowy night,1893,f,mixed,-0.4704384431335396
uiuo.ark:/13960/t5m90x77j,"Edgeworth, Maria,",Popular tales,1804,f,mixed,-0.4704657626523877
hvd.hwspyj,"Zschokke, Heinrich,",The bravo of Venice,1805,m,,-0.4704704622563204
mdp.39015050976862,"Overton, Robert.",Palm court / | $c: Robert Overton ; ill. by John Lawrence.,1979,m,,-0.4706458575809829
nyp.33433081852695,"James, Henry,",The madonna of the future,1879,m,mixed,-0.47076900190227533
mdp.39015063025392,"(Charles Edward), Montague, C. E.","Rough justice; | a novel,",1926,u,,-0.47080053841453595
hvd.hn1qjy,"Maurice, Frederick Denison,",Eustace Conway,1834,m,,-0.4709372164826265
uc2.ark:/13960/t8sb43550,"Lever, Charles James,",Roland Cashel,1855,m,,-0.4709461003720622
mdp.39015016451703,"Blechman, Burt,","The Octopus papers, | $c: selected, adapted, compiled & annotated by Burt Blechman.",1966,m,mixed,-0.4709545608574593
uiuo.ark:/13960/t2b85p07r,"Hardinge, William Money,",Eugenia,1883,m,high_female,-0.4710118503801394
uc1.$b686215,"Bennett, M. R.","Challenge! | Christ or compromise,",1938,u,high_male,-0.4710520786923863
mdp.39015043046633,"Mathews, Adrian,",Vienna blood / | $c: Adrian Mathews.,1999,m,,-0.4710681686941919
uiuo.ark:/13960/t7jq1mh4d,"Solly, Henry,",Lady Stella and her lover,1888,m,,-0.47115764949042954
uc1.b3191487,,My favourite village stories / | $c: edited by Ronald Blythe ; with line decorations by Peter McClure.,1979,u,,-0.47136717377470105
uc1.b3125431,"Buchanan, Zetton",In the hands of the Arabs,1921,u,high_male,-0.471446161675789
uiuo.ark:/13960/t6k07m64f,"St. Aubyn, Alan.",A tragic honeymoon,1894,f,high_female,-0.47150679199824613
uiuo.ark:/13960/t6vx0zb4h,"Phillpotts, Eden,",Some every-day folks,1894,m,,-0.4715413395273597
mdp.39015043090649,"Jones, Evan,",Stone haven / | $c: Evan Jones.,1998,m,,-0.4716357287277325
mdp.39015031941878,"Aldanov, Mark Aleksandrovich,","The key, | $c: by M. Aldanov.",1931,m,,-0.4716662366769147
mdp.39015064708343,"Fane, Olivia,",The glorious flight of Perdita Tree / | $c: Olivia Fane.,2005,f,mixed,-0.47167335542309596
uiuo.ark:/13960/t6xw53365,"Westall, William,",Roy of Roy's court,1892,m,,-0.4717514007390212
mdp.39015031240776,"James, G. P. R.",The Old Dominion,1856,m,,-0.47199178194929203
mdp.39015002672585,"Lewis, C. S. (Clive Staples),",The silver chair; | $c: with illus. by Pauline Baynes.,1953,m,high_female,-0.4720776934589942
uiuo.ark:/13960/t58d0dt6d,"Lamb, Caroline,",Glenarvon,1816,f,high_female,-0.4721292026877697
uc2.ark:/13960/t9h41n21x,"Raffalovich, George,",The deuce and all,1910,m,mixed,-0.47258996068290404
nyp.33433067303788,"James, G. P. R.",The Huguenot,1839,m,high_male,-0.4726448419061418
mdp.39015010434234,"Schimanski, Stefan.","A new romantic anthology, | $c: ed. by Stefan Schimanski and Henry Treece.",1949,u,mixed,-0.47275240377634936
uc2.ark:/13960/t17m0gv5v,"Hamsun, Knut,",Mothwise,1921,m,mixed,-0.47277677045477534
mdp.39015065780564,"Besant, Walter,",Herr Paulus;,1888,m,,-0.4728974573975104
mdp.39015063869773,"Gleig, G. R.",The Chelsea pensioners,1829,m,,-0.4729201579112624
nyp.33433074970710,"Christie, Agatha,",The mysterious affair at Stiles,1920,f,mixed,-0.4729893753899554
inu.39000004273715,"Grenville, Kate,",Lilian's story / | $c: Kate Grenville.,1987,f,,-0.4730050691273812
uc1.b3325616,"Marsh-Caldwell, Anne,",Aubrey,1854,f,high_female,-0.47307603751319727
pst.000068121075,"Dick, Philip K.",Eye in the sky / | $c: Philip K. Dick.,1957,m,high_male,-0.4732411232953334
uc1.b4948689,"Bargate, Verity.",No mama no / | $c: Verity Bargate.,1978,u,high_male,-0.4733014115575349
mdp.39015053477447,,Meddling with ghosts : | stories in the tradition of M.R. James / | $c: selected & introduced by Ramsey Campbell.,2001,u,mixed,-0.4733152875589642
nyp.33433074859418,"Greenwood, James.",The bear king,1868,m,high_female,-0.4734447963377112
nyp.33433074947247,"Coleridge, Mary E.",The king with two faces,1898,f,high_male,-0.4735631164375007
uiuo.ark:/13960/t20c5g68c,"Helps, Arthur,",Ivan de Biron;,1874,m,,-0.4736869458291294
mdp.39015019061426,"Lovelace, Earl,",A brief conversation & other stories / | $c: Earl Lovelace.,1988,m,mixed,-0.47371168056813473
njp.32101063603656,"Brock, Henry F.,",Old Robin and his proverb,1862,f,mixed,-0.4737909878142539
dul1.ark:/13960/t75t4760n,"Gore,",The sketch book of fashion,1833,f,high_female,-0.4738531078804519
njp.32101065640151,"Scharling, C. Henrik",Nöddebo parsonage;,1867,m,,-0.4738634761421521
uc1.$b596918,"Tassart, François.",Recollections of Guy de Maupassant,1912,u,high_male,-0.47390750967024414
mdp.39015011955997,"Morgan,",The O'Briens and the O'Flahertys;,1827,f,mixed,-0.4739277220775095
mdp.39015002996208,"Mitford, Nancy,",Love in a cold climate.,1949,f,high_female,-0.4739667397968842
mdp.39015029863696,"Opie, Iona Archibald.",The people in the playground / | $c: Iona Opie.,1993,f,,-0.47420503498518174
uc1.b3488794,"Johnson, Pamela Hansford,",The good husband / | $c: Pamela Hansford Johnson.,1978,f,high_female,-0.4742700816208707
mdp.39015017694178,"Wang, Anyi,",Baotown / | $c: Wang Anyi ; translated by Martha Avery.,1989,u,high_male,-0.4743596019625812
uc1.$b285109,"Saki,","The unbearable Bassington, | $c: by ""Saki"" H.H. Munro, with an introduction by Maurice Baring.",1929,u,high_female,-0.4743630598376446
mdp.39015048900990,"Mackenzie, Compton, Sir,",The rival monster.,1952,m,,-0.47448835102557957
uiuo.ark:/13960/t11n8ns61,,The Observant pedestrian mounted; or A donkey tour to Brighton,1815,u,mixed,-0.47448954530959725
mdp.39015041172266,"Cooper, William,","Memoirs of a new man: | a novel, | $c: by William Cooper.",1966,m,,-0.47453442670035423
uc1.b3327170,"Roberts, Margaret,",The secret of Madame de Monluc,1894,f,high_female,-0.4751226187692449
uiuo.ark:/13960/t7tm7mb3d,"Grant, James,",Fairer than a fairy,1874,m,,-0.47521167862880914
mdp.39076006258102,"Faulkner, William,","The hamlet, | $c: by William Faulkner.",1957,m,high_male,-0.47521229312265423
uc2.ark:/13960/t0ks6wz4h,"Black, William,",The beautiful wretch ;,1881,m,,-0.47529800716161247
mdp.39015082743819,"Weisgarber, Ann.",The personal history of Rachel DuPree / | $c: Ann Weisgarber.,2008,f,,-0.47539859931186434
mdp.39015030846748,"Boyle, Kay,","Wedding day, | and other stories, | $c: by Kay Boyle.",1932,f,high_female,-0.4754331644473725
njp.32101068171188,"Hughes, William,",The three students of Gray's inn;,1846,m,,-0.4754918435942868
mdp.39015034257900,Xiaoxiaosheng.,"The golden lotus : | a translation, from the Chinese original, of the novel Chin Pʻing Mei / | $c: by Clement Egerton.",1995,u,mixed,-0.47552437974727224
dul1.ark:/13960/t5cc1m03n,"Macquoid, Katharine S.",In the sweet spring-time,1880,f,high_female,-0.47576021288830217
mdp.39015059585151,"Flint, James,",The book of ash / | $c: James Flint.,2004,m,,-0.4757839719059067
mdp.39015054403087,"Gunn, Daniel.",Body language : | a novel / | $c: Dan Gunn.,2002,m,mixed,-0.47598544539451254
mdp.39015057083993,"Taylor, Meadows,",Tara,1863,m,mixed,-0.4760924204046725
uiuo.ark:/13960/t4gm8tk5f,"Riddell, J. H.,",The Earl's promise,1873,f,,-0.4761628200200464
pst.000005604562,"Corderoy, Eileen.",The Pegasus book of dressmaking and fashion / | $c: illustrated by Nanda van Essen.,1967,f,mixed,-0.47619441139183866
njp.32101067300663,"Bowen, Marjorie,",God's playthings,1912,f,,-0.47632419967200773
mdp.39015056479077,"Dunne, Catherine,",Another kind of life / | $c: Catherine Dunne.,2003,f,high_female,-0.47654434537243023
uc2.ark:/13960/t2r49k60p,"Morgan,",O'Donnel,1814,f,high_female,-0.47655651909071967
uiuo.ark:/13960/t8bg31516,"Crowberry, Daniel.","North of the Tweed, or, Lorance Langton: his life, incidents, and adventures in Scotland",1867,m,,-0.4767086632865885
njp.32101068178019,"Hervey, Elizabeth",Amabel;,1814,f,mixed,-0.4768668800187708
mdp.39015034434301,"Jordan, Neil,",Sunrise with sea monster / | $c: Neil Jordan,1994,m,high_male,-0.4768715109759192
njp.32101068166824,"Fane, Violet,",Thro' love and war,1886,f,high_female,-0.47687606342035416
mdp.39015084105025,"Bell, Alex.",Jasmyn / | $c: Alex Bell.,2009,m,high_male,-0.47691950053456117
nyp.33433074943675,"Austen, Jane,",The novels of Jane Austen,1892,f,,-0.4769302933988506
mdp.39015003687806,"Gordon, Giles,",Ambrose's vision : | sketches towards the creation of a cathedral / | $c: Giles Gordon.,1980,m,,-0.4769563665857959
mdp.39015066836878,"Rickman, Philip.",The remains of an altar / | $c: Phil Rickman.,2006,m,mixed,-0.4770389705652792
uc2.ark:/13960/t9k35pm95,"Penny, F. E.",The Rajah,1911,m,,-0.47712142436736604
uc2.ark:/13960/t6k07cc4s,"Straparola, Giovanni Francesco,",The Nights of Straparola,1894,m,,-0.47736095737074746
mdp.39015002719527,"Wright, Patricia,",Journey into fire / | $c: Patricia Wright.,1977,f,mixed,-0.4773954170199631
njp.32101063581167,"Hewlett, J.",Dunster Castle,1846,m,high_male,-0.4775050117320362
mdp.39015008192646,"Manning, Olivia.",School for love.,1951,f,high_female,-0.47751452218511664
uc2.ark:/13960/t56d5w74w,"Matheson, Annie,",A plain friend,1920,f,high_female,-0.47757606809329683
uc1.b3346520,"Cozzens, James Gould,","A cure of flesh, | $c: by James Gould Cozzens ...",1958,m,mixed,-0.4776163409377347
mdp.39015001787616,"Rathbone, Julian,",A spy of the old school / | $c: Julian Rathbone.,1982,m,high_male,-0.4776748087097803
uc1.$b243864,"Porteous, Crichton.",Wild acres.,1951,u,,-0.4777726437727095
njp.32101072858093,"Radcliffe, Ann Ward,",The mysteries of Udolpho,1820,f,high_female,-0.4778799097377696
wu.89047240379,"Kitchen, Fred.",The farming front / | $c: by Fred Kitchen; thirty-seven photographs by Harold Burdekin.,1943,m,,-0.4779313409400577
uiuo.ark:/13960/t13n2jv42,,Hardenbrass and Haverill;,1817,m,,-0.4779527751168709
uc1.$b794453,"Clewes, Howard,",The long memory : | a novel / | $c: by Howard Clewes.,1951,m,,-0.47803592100159514
mdp.39015022190550,"Garcia Morales, Adelaida.",The silence of the sirens / | $c: Adelaida Garcia Morales ; translated from the Spanish by Concilia Hayter.,1988,f,high_female,-0.4781644787538918
mdp.39015063930971,"Hodgetts, J. Frederick.","Richard IV, Plantagenet",1888,m,high_male,-0.4782138532510642
uiuo.ark:/13960/t2891gh6q,"Butt, Beatrice May.",Ingelheim,1892,f,high_female,-0.4782147354839745
uiuo.ark:/13960/t0tq6g56p,"Morier, David R.",Photo the Suliote,1857,m,,-0.47833637409063007
mdp.39015062319523,"Sala, George Augustus,",The seven sons of Mammon,1862,m,mixed,-0.47835920260652526
nyp.33433074856778,,Getting on,1859,u,,-0.4783813888726399
inu.32000009471550,"Vallance, Ute.",A girl survives.,1958,u,high_female,-0.47884785798615975
mdp.39015011923664,"Wilson, Angus.","For whom the cloche tolls; | a scrap-book of the twenties, | $c: by Angus Wilson and Philippe Jullian.",1953,m,high_female,-0.4789644129816186
nyp.33433067345763,"Eliot, George,",Daniel Deronda,1876,f,,-0.4789713537645083
nyp.33433000662902,"Kingston, William Henry Giles,",My first voyage to southern seas,1860,m,high_male,-0.47904993033075427
mdp.39015063558186,"Oliphant,",Zaidee,1856,f,high_female,-0.4791811234351719
uc2.ark:/13960/t72v2qj9x,"Yonge, Charlotte M.",A storehouse of stories,1872,f,high_female,-0.47921042866902225
