htid,author,title,year,authgender,female_category,gb_england_intensity
uiuo.ark:/13960/t0vq39k46,"Farjeon, B. L.",Toilers of Babylon,1888,m,high_male,20.896894721444394
uc1.b3324498,"Lever, Charles James,",The Daltons,1852,m,mixed,20.8961917964609
uc1.b2857393,"Kollek, Amos.",Don't ask me if I love : | a novel / | $c: by Amos Kollek.,1971,m,,20.889151264701876
uc1.32106013857443,"Dunmore, Helen,",Your blue-eyed boy / | $c: Helen Dunmore,1998,f,high_male,20.87475149105368
wu.89006380992,"Muddock, Joyce Emmerson Preston,",The dead man's secret;,1911,m,high_male,20.86869417624308
uiuo.ark:/13960/t8hd8b900,"Harding, Anne Raikes,",Decision,1819,f,,20.86718039677453
mdp.39015063546587,"Cunningham, J. W.",Sancho,1816,m,high_female,20.85257231374185
pst.000066824176,"Dick, Philip K.",The penultimate truth / | $c: by Philip K. Dick.,1964,m,high_male,20.850467397977503
uiuo.ark:/13960/t18k7zc9x,,Ravensdale,1873,u,mixed,20.838069258164733
uiuo.ark:/13960/t3st7v616,"Armitt, Annie.",The garden at Monkholme,1878,f,,20.83738504709249
mdp.39015013965408,"Dorcey, Mary,",A noise from the woodshed : | short stories / | $c: by Mary Dorcey.,1989,f,high_female,20.83271331210381
uiuo.ark:/13960/t6543c86j,"Rhodes, Henrietta.",Rosalie,1811,f,high_female,20.830233596191043
mdp.39015008631205,"Ballard, J. G.,",Hello America / | $c: J.G. Ballard.,1981,m,high_male,20.819236974964863
uc1.$b302095,"Naughton, Bill.",Rafe Granite : | a novel / | $c: by Bill Naughton.,1947,m,,20.812987304077744
pst.000043105601,,The Oxford book of modern fairy tales / | $c: edited by Alison Lurie.,1994,u,mixed,20.811365780564955
uc1.32106006602301,"Pym, Barbara.",Some tame gazelle / | $c: Barbara Pym.,1978,f,high_female,20.794343938448744
njp.32101007066069,"Brunton, Mary,",Self-control,1811,f,high_female,20.78454738183985
njp.32101072858028,"Reeve, Clara,",The old English baron,1820,f,high_male,20.773871888435277
nyp.33433073356564,"Gogolʹ, Nikolaĭ Vasilʹevich,",Cossack tales,1860,m,high_male,20.77320038485087
mdp.39015023991238,"Huddleston, George,",The white fakir; | a tale of the mystical East.,1932,m,,20.767507750730573
mdp.39015022378486,"Ouida,",Strathmore;,1877,f,high_female,20.766805792917506
uc1.$b299691,"Bromfield, Louis,","Lilli Barr, | $c: by Louis Bromfield.",1926,m,high_female,20.764620949088048
mdp.39076002819055,"Tahta, Haig.",April 1915 / | $c: Haig Tahta.,2005,m,mixed,20.764003075317213
uc1.b3310870,"Finn, F. E. S. (Frederick Edward Simpson)",Contact: short stories of the 1960s; | $c: collected by F. E. S. Finn.,1969,m,,20.75372651471683
nyp.33433074876594,"Kenyon, Charles R.","The young ranchmen; or, Perils of pioneering in the wild west",1891,m,high_male,20.74717492634753
uc1.$b157595,"lady, Wellesley, Dorothy (Ashton)","The annual, | being a selection from the Forget-me-nots, Keep-sakes, and other annuals of the nineteenth century, | $c: edited by Dorothy Wellesley, with an introduction by V. Sackville-West.",1930,f,high_female,20.744121264206026
mdp.39015064983177,"Johnston, Fred,",The neon rose / | $c: Fred Johnston.,2007,m,,20.742871366540363
mdp.39015065767934,"Eliot, George,",The works of George Eliot,1878,f,,20.740691577619963
nyp.33433081852604,"James, Henry,",The two magics ;,1898,m,,20.73183373069348
njp.32101066457035,"Cobbold, Richard.",Courtland,1852,m,,20.730856938240898
mdp.39015029986091,"Costello, Mary,",Titanic town : | memoirs of a Belfast girlhood / | $c: Mary Costello.,1993,f,,20.71711924620378
uc2.ark:/13960/t0tq5tc83,"Benson, Margaret,",The court of the king,1913,f,high_male,20.70393374741201
nyp.33433082524681,"Ballantyne, R. M.",Three little kittens,1859,m,high_male,20.70393374741201
