htid,author,title,year,authgender,female_category,female_fraction
uiuo.ark:/13960/t8v98sn3c,"Tinsley, Lily.",In the ring,1886,f,mixed,0.3542079296771184
uiuo.ark:/13960/t3tt55s8g,"Muir, Alan,",Golden girls,1883,m,mixed,0.3541593970069155
uiuo.ark:/13960/t20c5hk2t,"Muir, Alan,",Golden girls,1883,m,mixed,0.3541593970069155
uiuo.ark:/13960/t6c25fw5w,"Muir, Alan,",Golden girls,1883,m,mixed,0.3541593970069155
inu.32000003292143,"Grant, James,",The Cameronians,1881,m,mixed,0.3541481598289924
inu.32000003292085,"Grant, James,",The Cameronians,1881,m,mixed,0.3541481598289924
inu.30000042783757,"Grant, James,",The Cameronians,1881,m,mixed,0.3541481598289924
nyp.33433074970710,"Christie, Agatha,",The mysterious affair at Stiles,1920,f,mixed,0.3541284359733507
uiuo.ark:/13960/t7mp5kq6f,,Memoirs of a man of fashion,1821,u,mixed,0.3540339455940479
uiuo.ark:/13960/t7np2mk3s,,Memoirs of a man of fashion,1821,u,mixed,0.3540339455940479
uiuo.ark:/13960/t6c25fn5r,,Memoirs of a man of fashion,1821,u,mixed,0.3540339455940479
uc1.b3324434,"Ouida,",The Massarenes,1898,f,mixed,0.3540333588733895
nyp.33433074929443,"Brebner, Percy James,",Mr. Quixley of the Gate house,1904,m,mixed,0.3539976974667378
