htid,author,title,year,authgender,female_category,gb_suba1_intensity
inu.32000001379231,"Gunn, Neil Miller,",The other landscape / | $c: by Neil M. Gunn.,1954,m,mixed,40.43853342918763
uc1.$b242924,"Gibbs, Philip,","Out of the ruins, | and other little novels, | $c: by Philip Gibbs ...",1928,m,mixed,40.426678771028975
mdp.39015019638157,"Sansom, William,",The body.,1990,m,high_female,40.42472915431467
mdp.39015047730869,"Fane, Julian,",Evening / | $c: Julian Fane.,1999,m,,40.420935256812314
mdp.39015058135206,"Armitage, Simon,",The white stuff / | $c: Simon Armitage.,2004,m,high_female,40.41021832439576
mdp.39015025002828,"Clewlow, Carol.",Love in the modern sense / | $c: Carol Clewlow.,1992,f,,40.40329837835852
uiuo.ark:/13960/t5db8pt0d,"Viles, Edward.",Black Bess;,1866,m,high_male,40.401702657434456
mdp.39015029507251,"Ginzburg, Natalia.",Dear Michael : | a novel / | $c: Natalia Ginzburg ; translated by Sheila Cudahy.,1975,f,,40.39751151329078
mdp.39015077132697,"McLeod, Suzanne.",The sweet scent of blood / | $c: by Suzanne McLeod.,2008,f,,40.39543458142985
uiuo.ark:/13960/t0tq68p4z,"Elliot, Frances,",The ill-tempered cousin,1885,f,,40.3855946339836
uc1.$b119160,"Rae, Hugh C.",The interview; | a novel. | $c: by Hugh C. Rae.,1969,m,high_female,40.37772712471507
inu.30000110614207,"Williams, Niall,",Boy and man / | $c: Niall Williams.,2008,m,,40.352202299040854
uiuo.ark:/13960/t72v2tc6g,"Carey, Rosa Nouchette,",The search for Basil Lyndhurst,1889,f,,40.336056977561626
uc1.$b322709,"Benson, Stella,","Mundos; | an unfinished novel, | $c: by Stella Benson.",1935,f,,40.333103988232224
umn.319510020731917,"Punshon, E. R. (Ernest Robertson),",Secrets can't be kept.,1944,m,,40.32300852088838
nyp.33433074880356,"Marryat, Frederick,","Rattlin, the reefer",1856,m,,40.3165424533192
uc1.$b104892,"Rickwood, Mary,",More laughter for Sam.,1956,f,high_female,40.307900348468294
hvd.hnp4pz,"Jones, Hannah Maria,","The strangers of the glen; or, The travellers benighted",1827,f,mixed,40.30649910477144
uiuo.ark:/13960/t5gb2m944,"Linton, E. Lynn",Through the long night,1889,f,high_female,40.30570325701087
uiuo.ark:/13960/t05x2tq2q,"King, Richard Ashe,",Love the debt,1882,m,mixed,40.30240702651621
