htid,author,title,year,authgender,female_category,windows
nyp.33433069632952,"Weber, Henry,",Tales of the East,1812,m,,8.944965495399991
uiuo.ark:/13960/t03x8vb0w,,The ordeal;,1813,u,high_female,8.944743844898142
uc2.ark:/13960/t3bz64c64,"Baldwin, May.","Barbara Bellamy, a public school girl",1909,f,high_female,8.941433609855446
uiuo.ark:/13960/t7hq4mz42,"Burdon, Hannah D.",The ward of the crown,1845,f,mixed,8.938547486033519
uiuo.ark:/13960/t9n30df6w,"Mills, John,",Our county,1850,m,,8.936390770495612
mdp.39015010783796,"Porter, Anna Maria,",Don Sebastian,1809,f,,8.936390770495612
nyp.33433074877428,"King, R. J.",Anschar,1850,u,high_male,8.9351531261867
uc1.$b389872,"Johnston, George Henry,",The far face of the moon / | $c: George Johnston.,1965,m,high_male,8.93096365097794
hvd.32044086780350,"Knowles, James Sheridan,","The Magdalen, and other tales",1832,m,,8.93080412960383
uiuo.ark:/13960/t56d67c46,"Gore,",The ambassador's wife,1842,f,high_female,8.924746537198343
inu.30000114933561,"Bayly, Thomas,","Herba parietis; | or, The wallflower.",1969,m,high_male,8.924245901221347
uiuo.ark:/13960/t6737dh00,"Shipton, Helen.",Alston Crucis,1893,f,,8.92283532015133
uc2.ark:/13960/t9p26wn0q,"Whyte-Melville, G. J.",Digby Grand,1853,m,,8.919313658813953
uiuo.ark:/13960/t1xd1j22f,"Ormsby, Anne.",The soldier's family,1807,f,,8.916868039269886
njp.32101066459288,"Gleig, G. R.",The country curate,1830,m,mixed,8.915380304651281
wu.89098869043,"Pansy,",Mrs. Solomon Smith looking on,1889,f,high_female,8.909038714722682
mdp.39015047747947,"Trollope, Anthony,",An old man's love,1884,m,,8.906503974527398
nyp.33433081859476,"Edgeworth, Maria,",The novels of Maria Edgeworth,1893,f,high_female,8.904536518874192
uc2.ark:/13960/t6vx08n29,"Nevill, Ralph,",The romantic past,1911,m,,8.903034821994947
uc2.ark:/13960/t2j67bc22,"Blessington, Marguerite,",The memoirs of a femme de chambre,1846,f,high_female,8.900888605379103
mdp.39015059706104,"(Gopal Das), Khosla, G. D.",Grim fairy tales and other facts and fancies / | $c: G.D. Khosla.,1966,u,,8.898855607168919
uc2.ark:/13960/t48p60j35,"Moncrieff, A. R. Hope",The Pampas,1876,u,high_male,8.894126541185365
uiuo.ark:/13960/t79s2b97r,"James, G. P. R.",Arabella Stuart,1844,m,,8.891786952784612
uiuo.ark:/13960/t10p1pk26,"Holstein, Anthony Frederick,","The inhabitants of Earth, or, The follies of woman",1811,m,high_female,8.89110178533324
nyp.33433082306089,"Henty, G. A.",Yarns on the beach,1886,m,high_male,8.890469416785207
mdp.39015008463690,"Pinget, Robert.",Baga: | a novel; | $c: translated from the French by John Stevenson.,1967,m,high_female,8.89020595643799
wu.89092951961,"Grand, Gordon.",The silver horn; | sporting tales of John Weatherford | $c: by Gordon Grand. With an appreciation by E. OE. Somerville. Drawings by K.F. Barker.,1934,m,,8.88742175894773
uc2.ark:/13960/t0sq8x87b,"Thisted, Valdemar Adolph,",Letters from hell,1911,m,high_female,8.88549265614032
uiuo.ark:/13960/t9j399s2p,,"Modern times, or, Anecdotes of the English family",1809,u,,8.881783462119193
njp.32101067630226,"Boyle, Frederick,",A good hater,1885,m,mixed,8.881625692766804
uiuo.ark:/13960/t1vd76x25,"Gore,",A life's lessons,1856,f,,8.880206020779681
uc1.b4096972,"(Ivy), Compton-Burnett, I.",Darkness and day / | $c: by I. Compton-Burnett.,1951,u,high_female,8.875914712321743
uiuo.ark:/13960/t5m90tf32,"Maunsell, Thomasine.",Legends of the Jacobite wars,1873,f,mixed,8.869966294128082
wu.89004189460,"Wilkinson, Tim",Hold on a minute.,1965,m,,8.869067227529584
inu.30000005477298,"Weeks, John H.",Congo life and jungle stories,1910,m,high_male,8.868679050567595
njp.32101073395038,"Reid, Mayne,","The war trail, or, The hunt of the wild horse",1857,m,high_male,8.86426592797784
njp.32101064912353,"Russell, William Clark,",The tale of the ten,1896,m,high_male,8.864013371997315
uc2.ark:/13960/t2k64d944,"Young, Francis Brett,",The crescent moon,1918,m,mixed,8.86230198294007
mdp.39015010460916,"Malgonkar, Manohar,","The devil's wind, Nana Saheb's story; | a novel.",1972,m,,8.859393373173758
uiuo.ark:/13960/t9280z88p,"Riddell, J. H.,",The senior partner,1881,f,high_male,8.856163257043812
uiuo.ark:/13960/t7jq1mj0x,"Tabor, Eliza.",Hagar,1870,f,high_female,8.853788536114603
mdp.39015065907977,"Green, Henry,",Doting : | a novel / | $c: by Henry Green.,1952,m,,8.853474988933156
inu.39000002347248,"Gore,",The banker's wife,1843,f,mixed,8.853474988933156
uiuo.ark:/13960/t3rv0v43n,"Allen, Grant,",The scallywag,1893,m,,8.85112409275978
mdp.39015003470831,"Painter, William,",The palace of pleasure;,1890,f,,8.850758510004308
uc2.ark:/13960/t24b2zw4z,"Johns, Richard.","Legend and romance, African and European",1839,m,mixed,8.849870791886438
uiuo.ark:/13960/t8bg39w1x,"Siddons, Henry,","The maid, wife, and widow",1806,m,mixed,8.849557522123893
uc2.ark:/13960/t5db7w52z,"Pangborn, Frederic Werden,",Perdida,1899,m,high_female,8.848983251824365
uc2.ark:/13960/t7jq0x17x,"Price, A. J.",An angler's lines,1911,u,high_female,8.847208705653367
uc2.ark:/13960/t2m61f37g,"Kerr, Telkin.",At Moseti's bidding;,1904,u,mixed,8.84486113568017
uiuo.ark:/13960/t0pr8dt48,"Smart, Hawley,",Bitter is the rind,1870,m,,8.843140376010329
uiuo.ark:/13960/t4hm5hr35,"Caine, Hall,",The scapegoat,1891,m,high_female,8.842905778838926
uc1.b3407022,"Household, Geoffrey,",The Spanish cave.,1960,m,high_male,8.842123878155533
uc1.b3322543,"Grattan, Thomas Colley,",The heiress of Bruges,1830,m,,8.841576629944651
uiuo.ark:/13960/t3dz0w163,"Rolfe, Ann,",The oath of allegiance,1847,f,mixed,8.840393018615341
uiuo.ark:/13960/t8v98f065,"Chamier, Frederick,",The unfortunate man,1835,m,,8.834442546675305
uiuo.ark:/13960/t22b9d63x,"Gore,",The ambassador's wife,1842,f,high_female,8.8265927586633
uiuo.ark:/13960/t3hx1r852,,Hardenbrass and Haverill;,1817,m,,8.825123866917131
uiuo.ark:/13960/t2n593h86,"Mongredien, Augustus,",Frank Allerton,1878,m,,8.823477508955829
mdp.39015009349294,"Abdullah, Achmed,","My nine lives; | adventures and reminiscences, | $c: by Achmed Abdullah. Illustrated by Erick Berry.",1934,m,,8.822491471591578
uc1.32106017692432,"Manṭo, Saʻādat Ḥasan,",Kingdom's end and other stories / | $c: Saadat Hasan Manto ; translated from the Urdu by Khalid Hasan.,1987,u,high_male,8.819314298313307
uiuo.ark:/13960/t48p6h214,,The actress of the present day,1817,u,high_female,8.809020436927414
dul1.ark:/13960/t9n30fj0r,"Linton, E. Lynn",Under which Lord?,1879,f,high_female,8.80785660809442
mdp.39015012334531,"Weeks, John H.",Congo life and folklore,1911,m,high_male,8.805071721311476
uiuo.ark:/13960/t1pg2683c,"Lyttleton, M.","Peregrine, or, The fool of fortune",1803,u,high_male,8.804948380990117
mdp.39015063553161,"Gresley, W.",The siege of Lichfield,1840,u,high_male,8.804920692821474
mdp.39015064001525,"Defoe, Daniel,",The novels and miscellaneous works,1840,m,high_male,8.800131415295802
uiuo.ark:/13960/t7np2rz8s,"Helme, Elizabeth,",St. Margaret's cave,1801,f,mixed,8.79971840901091
njp.32101068141108,"Marryat, Florence,",Facing the footlights,1883,f,high_female,8.799524825659415
uc1.32106019365565,"Phillpotts, Eden,",Widecombe edition of Eden Phillpotts's Dartmoor novels in twenty volumes / | $c: by Eden Phillpotts ; with an introd. by Arnold Bennett.,1927,m,,8.798873744160748
mdp.39015064544813,"Hofland,",Tales of the Priory,1820,f,high_female,8.79600309619309
njp.32101067407955,"Defoe, Daniel,",The memoirs of Captain George Carleton,1840,m,high_male,8.79600309619309
uiuo.ark:/13960/t6xw53365,"Westall, William,",Roy of Roy's court,1892,m,,8.795848359574281
uc2.ark:/13960/t7br8nt9d,,Mother Goose's nursery rhymes,1877,m,,8.791595234955382
nyp.33433074871512,"Tytler, Sarah,", Noblesse oblige;,1871,f,high_female,8.791466416598288
uiuo.ark:/13960/t20c5br9c,"Everett-Green, Evelyn,",Torwood's trust,1884,f,mixed,8.790564793788
wu.89094365780,"May, William John,",Stories of Bible women / | $c: by William J. May.,1950,m,high_female,8.789508842245896
hvd.32044020392437,"Hatton, Ann Julia,","Guilty or not guilty, or, A lesson for husbands",1822,f,high_female,8.788736355486808
inu.39000005989020,"Devi, Shovona.",The orient pearls,1915,u,high_male,8.78456727221617
uiuo.ark:/13960/t2s475k44,"King, Richard Ashe,",Love the debt,1882,m,mixed,8.780916142250842
inu.30000009570122,,Mabinogion tales / | $c: translated by Charlotte Guest ; edited by Owen Edwards ; illustrations prepared by Jo Nathan. ,1991,u,high_male,8.77635649560085
uiuo.ark:/13960/t4fn1tn28,"Smart, Hawley,",Without love or licence,1890,m,mixed,8.77635649560085
mdp.39015061332972,"Benmalek, Anouar,",The child of an ancient people / | $c: Anouar Benmalek ; translated from the French by Andrew Riemer.,2003,u,high_male,8.774238834781082
njp.32101067643955,"Fenn, George Manville,",Devon boys,1887,m,high_male,8.769457233236244
uc2.ark:/13960/t5w66bv5b,"Horniman, Roy,",Lord Cammarleigh's secret,1907,m,,8.76894915105611
mdp.39015001995714,"Compton-Burnett, I. (Ivy),",Darkness and day.,1951,f,high_female,8.76731544800982
uc2.ark:/13960/t0gt5m956,"Wilson, A. J.","The rise and progress of Sir Timothy Buncombe, Kt. and M.P",1886,u,,8.76321785359584
uva.x000673702,,The British novelists,1810,m,,8.762374364478928
mdp.39015063932068,"[Higgenbotham, John C.]",The root,1905,m,high_female,8.759496090079473
uiuo.ark:/13960/t44q8j495,"Payn, James,",A stumble on the threshold,1892,m,,8.758868354208635
mdp.39015051348715,"Bermant, Chaim,",Dancing bear / | $c: Chaim Bermant.,1984,u,,8.758408071748878
mdp.39015059375850,,The New British novelist;,1830,u,,8.758229086078796
