htid,author,title,year,authgender,female_category,windows
uiuo.ark:/13960/t18k7z08h,"Combermere,",Shattered idols,1865,u,,47.76393999433909
mdp.39015061542075,"Nemet-Nejat, Murat.",The bridge / | $c: Murat Nemet-Nejat.,1977,u,,47.75549188156638
mdp.39015030700747,"Kuehnelt-Leddihn, Erik von,",Black banners.,1952,m,high_male,47.74909109186255
uiuo.ark:/13960/t8nc6cc1x,"Hargreaves, C. Y.",Poste restante,1894,u,mixed,47.744091668656004
uiuo.ark:/13960/t58d0m05n,"Ainsworth, William Harrison,",Old Saint Paul's,1841,m,mixed,47.73902665428988
uc1.$b245254,"Treece, Henry,",The rebels.,1953,m,,47.72344264984415
inu.32000005557592,"Burke, Thomas,","Dark nights, | $c: by Thomas Burke.",1944,m,high_male,47.722934278701935
inu.32000006225819,"Murdoch, Iris.",The bell / | $c: Iris Murdoch.,1958,f,mixed,47.71703796486833
inu.32000002539601,"Storey, David,",This sporting life.,1960,m,mixed,47.70992366412214
uc1.$b730115,"Miró, Gabriel,","Our father San Daniel; | scenes of clerical life, | $c: by Gabriel Miró, translated from the Spanish by Charlotte Remfry-Kidd.",1930,u,,47.70794440987347
uc2.ark:/13960/t23b5z64t,"Lytton, Edward Bulwer Lytton,",Novels of Sir Edward Bulwer Lytton,1859,m,mixed,47.70200763232122
uiuo.ark:/13960/t4fn1n48c,"Hatton, Joseph,",Bitter sweets,1865,m,,47.69854519437157
uc1.$b259946,"Hunebelle, Danielle,",Philippine. | $c: Translated from the French of Helen Beauclerk.,1955,u,high_female,47.686138506556844
uc1.$b312410,"Rodker, John,",Memoirs of other fronts.,1932,m,high_female,47.67712606719149
nyp.33433081587606,"Lang, Cosmo Gordon,",The young Clanroy,1897,m,,47.6711975777878
inu.30000100607153,"Dalton, John.",The concrete sea / | $c: John Dalton.,2005,m,mixed,47.65535646206634
uc1.32106010866546,"Ballard, J. G.,",The kindness of women / | $c: J.G. Ballard.,1991,m,,47.654260126530275
mdp.39015064809968,"Sicking, Anja,",The silent sin / | $c: by Anja Sicking ; translated from the Dutch by David Colmer.,2006,f,high_male,47.643415503520316
uc1.$b120263,"Brewster, Harry.",Where the trout sing; | $c: with an introduction by David Garnett.,1969,m,,47.63830839063413
mdp.39015046832427,"Lodge, David,",Out of the shelter.,1970,m,,47.636060497796834
uc1.32106012097702,"Willocks, Tim",Bloodstained kings / | $c: Tim Willocks,1995,m,mixed,47.62920309945262
inu.32000007175351,"Armstrong, Martin Donisthorpe,",Simplicity Jones : | and other stories / | $c: by Martin Armstrong.,1940,m,,47.620102327847796
mdp.39015032130224,"Navarre, Yves,",Cronus' children / | $c: Yves Navarre ; translated by Howard Girven.,1986,m,mixed,47.61996692342838
mdp.39015001573248,"Firbank, Ronald,","The new rythum, | and other pieces.",1962,m,,47.604379602923466
mdp.39015019641359,,Green.,1990,u,high_female,47.59519038076152
mdp.39015080822862,"Fitch, Stona.",Printer's devil / | $c: Stona Fitch.,2009,u,mixed,47.56727371568361
uc2.ark:/13960/t20c4w069,"Goldring, Douglas,",The permanent uncle,1912,m,,47.549861312904504
mdp.39015059422025,"Jeffries, Richard,",Greene Ferne farm,1880,m,,47.54923326861354
mdp.39015063945771,"Parker, Gilbert,","The trail of the sword, | $c: by Sir Gilbert Parker.",1927,m,,47.54236638294609
uc1.b3477668,"York, Andrew,",The predator | $c: [by] Andrew York.,1968,m,,47.542193696906004
uc1.32106014953365,"Legge, Gordon,",Near neighbors / | $c: Gordon Legge,1998,m,mixed,47.52529024373685
mdp.39015063938958,"Lyons, A. Neil",A London lot,1919,m,high_female,47.51825132835112
uc1.32106013454209,"Litt, Toby,",Adventures in capitalism / | $c: Toby Litt,1996,m,,47.51321940378573
uiuo.ark:/13960/t60582z9x,"Mallock, W. H.",The old order changes,1886,m,mixed,47.511957175889265
mdp.39015016452412,"Braithwaite, E. R. (Edward Ricardo)",Choice of straws.,1965,m,mixed,47.50593824228029
mdp.39015025234355,"Sorel-Cameron, James.",Mag / | $c: James Sorel-Cameron.,1990,m,,47.5019738995911
inu.39000005886747,"Robertson, R. MacDonald.","Selected Highland folk tales; | gathered orally | $c: by R. MacDonald Robertson, edited by Jeremy Bruce Watt.",1961,m,high_male,47.4966813216256
uc2.ark:/13960/t5k932k04,"Reeve, Wybert.","Romance of reality, or, Tales from a wanderer's diary",1862,u,mixed,47.4955244601951
uc1.32106012734304,"Bigsby, C. W. E",Still lives / | $c: Cristopher Bigsby,1996,u,,47.458387622852506
mdp.39015019867145,"Booth, Martin.",A very private gentleman / | $c: Martin Booth.,1991,m,,47.45715912816885
pst.000063470451,"Frisch, Max,",I'm not Stiller. | $c: Translated from the German by Michael Bullock.,1958,m,,47.43803406799868
mdp.39015030847076,"Harte, Bret,","Wan Lee, the Pagan",1876,m,,47.43501014798168
uiuo.ark:/13960/t8kd2768m,"Broughton, Rhoda,"," Good-bye, Sweetheart!",1872,f,high_female,47.420160863776466
uiuo.ark:/13960/t5s75w58g,"Kettle, Rosa Mackenzie,",The earl's cedars,1860,f,,47.41765987440728
mdp.39015019387243,,Travelling towards Epsilon : | an anthology of French science fiction / | $c: edited by Maxim Jakubowski ; translations by Beth Blish and Maxim Jakubowski.,1977,u,,47.41702021462441
uc1.b3845908,"Jacobsen, Ernst Ludwig Harthern,","Man into woman; | an authentic record of a change of sex. The true story of the miraculous transformation of the Danish painter, Einar Wegener (Andreas Sparre) | $c: edited by Niels Hoyer [pseud.] Translated from the German by H. J. Stenning; introduction by Norman Haire.",1933,m,high_female,47.41639896158086
uiuo.ark:/13960/t5w676591,"Hardy, Thomas,",The trumpet-major,1880,m,high_female,47.40459824602986
mdp.39015063923638,"Hornung, E. W.",The unbidden guest,1894,m,high_female,47.38012221641782
uc1.$b301016,"Jones, Timothy.",The small hours of the night.,1950,m,high_female,47.37964254691901
mdp.39015073446109,"Fay, Edward Francis.",Unsentimental journeys,1907,m,high_male,47.379464386435934
uc1.32106017282655,"Morris, Paula",Queen of beauty / | $c: Paula Morris,2002,f,high_female,47.37209534257505
mdp.39015068801581,"Tennant, Emma.",Confessions of a sugar mummy / | $c: Emma Tennant.,2007,f,mixed,47.3698457096454
mdp.39015084096679,"Shaw, Fiona.",Tell it to the bees / | $c: Fiona Shaw.,2009,f,,47.360898503903044
nyp.33433074928791,"Howard, Keble,",Miss Charity,1908,m,mixed,47.352755479390275
uiuo.ark:/13960/t3kw62v24,"Bird, M. A.",The Hawkshawes,1865,f,high_female,47.34568266556193
mdp.39015049548889,"Kelly, Vivien.",Take one young man.,2000,f,,47.339117655371226
mdp.39015040378302,"Gardam, Jane.",Missing the midnight : | hauntings & grotesques / | $c: Jane Gardam.,1997,f,,47.33625957483432
uc1.$b252051,"Trease, Geoffrey,","Missing from home, | $c: by Geoffrey Trease.",1937,m,,47.333204242776304
uiuo.ark:/13960/t8sb4r697,"Wallace, Ellen.",Margaret Capel,1846,f,high_female,47.33210755311209
mdp.39015077137126,"Knight, Afsaneh,",Slaughterhouse heart / | $c: by Afsaneh Knight.,2008,u,mixed,47.326076668244205
uiuo.ark:/13960/t52f8b94d,"Ponsonby, Emily,",Mary Lyndsay,1863,f,high_female,47.325102880658434
uc1.$b245194,"Watson, Boris,",Former people.,1953,m,mixed,47.32327713694173
uc1.b4948511,"Boyd, William,",On the Yankee station and other stories / | $c: by William Boyd.,1981,m,,47.32174205071059
mdp.39015003928937,"Gerhardie, William Alexander,",Futility / | $c: William Gerhardi.,1947,m,,47.30957894474739
mdp.39015062827293,"Mazelis, Jo.",Circle games / | $c: Jo Mazelis.,2005,f,mixed,47.30368968779565
mdp.39015019954950,"Coppard, A. E. (Alfred Edgar),","Selected tales from his twelve volumes published between the wars, | $c: by A. E. Coppard.",1946,m,,47.30038848351853
mdp.39015051313727,,Chartist fiction / | $c: edited by Ian Haywood.,1999,u,,47.280614197693005
mdp.39015064875019,"Hardie, Kerry,",The bird woman / | $c: Kerry Hardie.,2006,u,,47.27643417495236
njp.32101064633447,"Putnam Weale, B. L.",The revolt,1912,m,high_female,47.27522778064294
inu.39000004436130,"Chauncy, Nan.",Lizzie lights / | $c: Nan Chauncy ; illustrated by Judith White.,1968,f,high_female,47.26748897091924
uc1.$b597568,"Deval, Jacques,","Chérie, | $c: by Jacques Deval ...",1932,m,high_female,47.2666818789321
uc1.b4949044,"Tremain, Rose.",The colonel's daughter and other stories / | $c: Rose Tremain.,1984,f,mixed,47.25463686124201
uc1.$b242974,"Gerhardie, William Alexander,",Futility / | $c: William Gerhardi.,1947,m,,47.24194089784552
mdp.39015031240867,"Jacobson, Dan.",The confessions of Josef Baisz : | a novel / | $c: by Dan Jacobson.,1977,m,,47.24076629495643
mdp.39015046878099,"Conway, Simon,",Damaged / | $c: Simon Conway.,1998,m,high_male,47.23753643816544
mdp.39015032980198,"Artmann, Hans Carl.","The Quest for Dr. U : | or, A solitary mirror in which the day reflects / | $c: Hans Carl Artmann ; translated by Malcolm Green & Derk Wynand.",1993,m,,47.235540020311284
mdp.39015004198142,"Moravia, Alberto,","Paradise, & other stories; | $c: translated from the Italian by Angus Davidson.",1971,m,,47.234243549972554
uiuo.ark:/13960/t4cn7mt35,"Chalcraft, Harriette Amiel.",Lucy Aylmer,1857,f,high_female,47.22651554181693
mdp.39015004762236,"Rilke, Rainer Maria,","The notebook of Malte Laurids Brigge | $c: [by] Rainer Maria Rilke, translated by John Linton.",1930,u,high_female,47.21001901514655
inu.30000076436546,"Zimler, Richard.",Unholy ghosts / | $c: Richard Zimler.,1996,m,high_male,47.203557968181855
uiuo.ark:/13960/t7np2kr62,"St. Aubyn, Alan.",The master of St. Benedict's,1893,f,high_female,47.189983925911726
uc2.ark:/13960/t85h7kb78,"Lynd, Sylvia Dryhurst,",The chorus,1915,f,high_female,47.18761796904492
uc1.b3442223,"Habe, Hans,",Palazzo : | a novel / | $c: by Hans Habe ; translated by Salomé Hangartner.,1977,m,,47.1849719283609
mdp.39015051324278,"Bascom, Harold A.,",Apata : | the story of a reluctant criminal / | $c: Harold Bascom.,1986,m,high_male,47.17970224365695
uc1.b4097211,"Chitty, Thomas Willes, Sir, bart.,","Games of chance; | the interviewer, the investigator, | $c: [by] Thomas Hinde.",1965,m,,47.179603313895335
mdp.39015048898160,"Sillitoe, Alan.",Down from the hill / | $c: Alan Sillitoe.,1984,m,mixed,47.17341969044037
uc1.32106014720913,"Magrs, Paul,",Could it be magic? / | $c: Paul Magrs,1997,m,high_female,47.172283662665755
inu.39000002501927,"Lindsay, Jack,",Fires in Smithfield : | a novel of Mary Tudor's reign / | $c: Jack Lindsay.,1950,m,,47.16545349340413
uc1.b3472664,"Clarke, Austin,",Amongst thistles and thorns / | $c: Austin C. Clarke.,1965,m,,47.163798597833015
uc1.$b242719,"Kneale, Nigel.","Tomato Cain, | and other stories; | $c: with a foreword by Elizabeth Bowen.",1949,u,mixed,47.15598434931114
uc1.$b282836,"Nivelle, Robert.",And yet France smiled. | $c: Foreword by Jacques Soustelle. Translated by Leigh Waller.,1944,m,high_male,47.15392388009431
uc1.$b312527,"Singmaster, Elsie,","Bennett Malin, | a novel | $c: by Elsie Singmaster.",1923,f,,47.14710880177587
uiuo.ark:/13960/t5v69sj8z,"Deccan, Hilary.",Light in the offing,1892,f,high_female,47.13487307252037
uc1.$b243520,"Meyerstein, Edward Harry William,",Robin Wastraw.,1951,m,,47.13260614455282
mdp.39015015531190,"Govier, Katherine,",Between men / | $c: Katherine Govier.,1987,f,high_female,47.10709265661209
mdp.39015041293476,"Dorman, Sean.",The selected works of Sean Dorman.,1993,m,mixed,47.10648420755117
mdp.39015056167979,"Svit, Brina.",Con Brio / | $c: Brina Svit.,2002,u,high_female,47.10474075569463
mdp.39015067683493,"Seiffert, Rachel.",Afterwards / | $c: Rachel Seiffert.,2007,f,,47.097204034277574
mdp.39015039379998,"Colette,","Gigi, and The cat / | $c: Colette.",1953,f,,47.08177094718434
uc1.b3122262,"Yates, Dornford,",Adele and Co. / | $c: Dornford Yates.,1953,u,,47.07927425487995
mdp.39015053683051,"Giono, Jean,",To the slaughterhouse: | a novel; | $c: translated from the French by Norman Glass.,1969,f,mixed,47.07380896340704
mdp.39015014863099,"Mittelhölzer, Edgar.",The aloneness of Mrs. Chatham.,1965,m,high_female,47.07359171504786
uc2.ark:/13960/t1qf8mn02,"Leather, Robinson Kay.",The student and the body-snatcher,1890,m,,47.07359171504786
wu.89100091537,"McDougall, Grace.",Nursing adventures;,1917,f,high_male,47.06726135777843
uc1.$b486070,"Küpper, Heinz,",Simplicius 45 : | a novel ; | $c: translated from the German by Eric Mosbacher.,1966,m,,47.06491428302486
uiuo.ark:/13960/t9x06kd48,"Clayton, Ellen C.",Cruel fortune,1865,f,high_female,47.06382461893484
mdp.39015049991212,,Something wicked : | Scottish crime fiction / | $c: edited by Susie Maguire and Amanda Hargreaves.,1999,u,,47.061507964803695
mdp.39015029123307,"Francis, Dick.",Driving force / | $c: Dick Francis.,1992,m,mixed,47.06073268692442
njp.32101033250323,"Kay-Shuttleworth, James,",Scarsdale,1860,m,,47.05824076482025
uc1.b4538467,"Beaty, David.",The white sea-bird / | $c: David Beaty.,1979,m,,47.05157014334504
mdp.39015049522785,"Harris, Joanne,",Blackberry wine / | $c: Joanne Harris.,2000,f,high_male,47.04634492669324
uc1.b3872957,"Heney, Helen,",The Chinese camellia : | a novel / | $c: by Helen Heney.,1950,f,mixed,47.037159355891156
nyp.33433074800677,"Barnett, Ada.",The man on the other side,1922,f,,47.03668861712136
mdp.39015063918216,"Fletcher, J. S. (Joseph Smith),","The Kang-he vase, | $c: by J. S. Fletcher.",1925,m,mixed,47.03555405470597
uiuo.ark:/13960/t6543061p,"Besant, Walter,",Ready-money Mortiboy,1872,m,,47.02172680376727
mdp.39015010683467,"Benedictus, David.",Local hero / | $c: David Benedictus ; based on a screenplay by Bill Forsyth.,1983,m,,47.02010109321735
mdp.39015012979673,"Holme, Constance.","The wisdom of the simple, | and other stories, | $c: by Constance Holme.",1937,f,,47.015424675864814
uc1.32106017520799,"Osborne, Charles,",Blithe spirit : | a novelisation / | $c: by Charles Osborne,2004,m,high_female,47.01383773957468
uc1.32106018834512,"Patchett, Ann",Taft,1999,f,mixed,47.01024085835169
uc1.$b389798,"Hutchinson, R. C. (Ray Coryton),",Johanna at daybreak | $c: [by] R. C. Hutchinson.,1969,m,,47.00970471531242
mdp.39015060827410,"Nicholson, William.",The trial of true love / | $c: William Nicholson.,2005,m,,47.003255835282246
mdp.39015057615885,"Dorrestein, Renate.",A crying shame / | $c: Renate Dorrestein ; translated from the Dutch by Hester Velmans.,2003,f,high_female,47.00271698632336
inu.30000027212327,"Power, M. S.,",Crucible of fools / | $c: M.S. Power.,1991,u,mixed,47.0021997029461
uc1.$b154139,"Kramp, Willy,",The prophecy. | $c: [Translated from the German],1952,u,,46.991182242861484
uc1.$b396589,"Kops, Bernard,",The passionate past of Gloria Gaye.,1971,m,high_female,46.98943547864411
uc1.b5015395,"Driver, C. J.","Death of fathers, | $c: [by] C.J. Driver.",1972,u,mixed,46.98196787328292
inu.30000110600941,"Schreiber, Claudia,",Emma's luck / | $c: Claudia Schreiber ; translated from the German by Anthea Bell.,2008,f,,46.98144233027954
mdp.39015028406018,"Beeding, Francis.","The seven sleepers, | $c: by Francis Beeding.",1928,m,,46.97972563840227
uc1.b3575697,"Radcliffe, Ann Ward,",Gaston de Blondeville,1826,f,mixed,46.97776385844034
mdp.39015039630242,"Farnol, Jeffery,",Portrait of a gentleman in colours; | the romance of Mr. Lewis Berger.,1935,m,high_male,46.97356059589317
mdp.39015051768664,,The weretiger : | stories of the supernatural / | $c: Shaiontoni Bose ... [et al.].,2002,u,mixed,46.97261496547513
mdp.39015024482500,"Radcliffe, Ann Ward,",The posthumous works of Anne Radcliffe,1833,f,high_male,46.9603825136612
uc1.b2838581,"Masters, Anthony,",A literary lion.,1968,m,mixed,46.95885509838998
uiuo.ark:/13960/t3ws90t6p,"Cresswell, Henry.",A wily widow,1888,m,high_female,46.955705118171856
uc1.b4353996,"Maksimov, Vladim",Farewell from nowhere : | a novel / | $c: [by] Vladimir Maximov ; translated from the Russian by Michael Glenny.,1978,u,high_male,46.94578067175144
uc1.b3739978,"Bascom, Harold A.,",Apata : | the story of a reluctant criminal / | $c: Harold Bascom.,1986,m,high_male,46.94150045898356
uc1.$b690098,"Wignall, Sydney.",Prisoner in Red Tibet.,1957,m,,46.939305801195275
mdp.39015029497784,"Millar, George Reid.","Maquis, | $c: by George Millar.",1945,m,high_male,46.93721203750661
inu.30000126983950,"Dolan, Mike.",Another Santana morning : | stories / | $c: Mike Dolan.,2008,m,mixed,46.93465934316847
mdp.39015063642733,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,46.93058814624177
uc1.b3578247,,A. E. Housman; | catalogue of an exhibition on the centenary of his birth. | $c: Assembled by John Carter [and] Joseph W. Scott.,1959,u,,46.92852785208128
uc1.32106015014613,"Burnside, John,",The mercy boys,1999,m,,46.92282262106622
njp.32101068573482,"Prevost, Marcel,",Léa,1902,u,high_female,46.92235002769722
inu.30000045074337,"Lees-Milne, James.",Ruthenshaw : | a ghost story / | $c: James Lees-Milne.,1994,m,mixed,46.917519001595196
nyp.33433074902929,"Maitland, Agnes C.",Elsie,1875,f,high_female,46.91354288049153
uc1.b3929709,"Sansom, William,","South : | aspects and images from Corsica, Italy and southern France.",1948,m,high_male,46.90999334180739
inu.30000025844899,"Mason, Simon,",The great English nude / | $c: Simon Mason.,1992,m,mixed,46.90718495706973
uc1.$b120413,"Goldsmith, John,","Mrs. Mount, ascendant: | a novel.",1968,m,high_female,46.90431519699813
mdp.39015015495636,"Cook, David,","Walter ; and, June : | two novels / | $c: by David Cook.",1989,m,high_male,46.90222003841515
mdp.39015002188111,"Nin, Anaïs,",A spy in the house of love.,1971,f,high_female,46.89736881078146
mdp.39015014944246,"Ackroyd, Peter,",First light / | $c: by Peter Ackroyd.,1989,m,,46.891398033538515
inu.30000037504473,"Moorcock, Michael,",The time dweller / | $c: Michael Moorcock.,1971,m,high_male,46.88749758667292
uc1.$b170811,"Bruce, Jean,",Short wave. | $c: Translated from the French by Lawrence Wilson.,1964,f,,46.88452341881945
uc1.$b120324,"Campbell, Anthony.",The sacred malady: | a novel.,1967,m,,46.862265688671556
njp.32101065704148,"Quiller-Couch, Arthur Thomas,",The astonishing history of Troy town,1893,m,,46.857678373467124
uc1.b3494242,"Berridge, Elizabeth.",Sing me who you are.,1967,f,high_female,46.848489452759
mdp.39015000635014,"Leitch, Maurice,",The liberty lad.,1965,m,high_male,46.84389272748565
mdp.39015002757170,"Sansom, William,",The marmalade bird. -,1973,m,,46.84360399896451
uc1.$b244788,"Suddaby, Donald.","Village fanfare, or, The man from the future / | $c: Donald Suddaby ; illustrated by Fred Exell.",1954,m,high_male,46.84114995023128
mdp.39015051842584,"Abbasi, Talat.",Bitter gourd and other stories / | $c: Talat Abbasi.,2001,u,high_female,46.83762399424566
uiuo.ark:/13960/t77s8256t,"Deccan, Hilary.",Light in the offing,1892,f,high_female,46.83641318232138
uc1.32106011414155,"Simenon, Georges,",Maigret loses his temper / | $c: translated from the French by Robert Eglesfield,1967,m,high_male,46.83441904032018
mdp.39015013018331,"Kirst, Hans Hellmut,",Camp 7 last stop; | $c: translated by J. Maxwell Brownjohn.,1969,m,high_male,46.82056613206574
mdp.39015084109050,"Graham, Robert,",The only living boy / | $c: Robert Graham.,2009,m,mixed,46.81994036618122
mdp.39015060028241,"Binebine, Mahi.",Welcome to paradise / | $c: Mahi Binebine ; translated by Lulu Norman.,1999,u,,46.81548315706595
inu.30000029803438,"Lindsay, Frederic.",After the stranger came / | $c: Frederic Lindsay.,1992,m,high_female,46.809174598221254
mdp.39015055608288,"Marsden, Philip,",The main cages / | $c: Philip Marsden.,2002,m,,46.799379052141354
mdp.39015064951679,"Tremain, Rose.",The road home / | $c: Rose Tremain.,2007,f,,46.78958309889185
mdp.39015063512332,"Dougall, L.",Beggars all,1893,u,,46.78806272129489
uc1.b3472881,"Walton, Su,",Here before Kilroy.,1968,u,,46.787127925365176
wu.89016145146,"Black, Jack.","You can't win, | $c: by Jack Black; with a foreword by Robert Herrick.",1927,m,mixed,46.7814371257485
uc1.$b243791,"Jeffery, Margaret.",Mairangi.,1964,f,,46.77851930393563
uc2.ark:/13960/t3nv99h8v,"Webster, Jean,",The wheat princess,1916,f,high_female,46.76773202971957
uc1.b4975714,,Men on men : | best new gay fiction / | $c: edited and with an introduction by George Stambolian,1986,u,,46.76347526458282
uc1.$b176932,"Ravignant, Patrick,",A house of pretence. | $c: Translated from the French by Humphrey Hare.,1963,m,mixed,46.76114149142063
mdp.39015049989323,"Burnside, John,",Burning Elvis / | $c: John Burnside.,2000,m,,46.760534109211825
pst.000049849950,,The Time Out book of Paris short stories / | $c: edited by Nicholas Royle.,1999,u,,46.7528051683101
mdp.39015000550460,"Houghton, Claude,","The enigma of Conrad Stone, | $c: by Claude Houghton [pseud.]",1952,m,mixed,46.74986788080816
mdp.39015002759036,"(Jerome David), Salinger, J. D.","For Esmé-- | with love and squalor, and other stories.",1953,u,high_female,46.74535468037864
nyp.33433074934708,"Cameron, H. Lovett,",A passing fancy,1899,f,high_female,46.74535468037864
mdp.39015040053749,"Thynne, Jane.",Patrimony : | a novel / | $c: Jane Thynne.,1997,f,mixed,46.74262342973999
inu.32000001616103,"Moravia, Alberto,",Conjugal love / | $c: Alberto Moravia ; tr. by Angus Davidson.,1964,m,,46.73716188584448
uc2.ark:/13960/t22b91b54,"Wood, Henry,",Lord Oakburn's daughters,1864,f,high_female,46.718531006885904
wu.89092586635,"Bemelmans, Ludwig,",The snow mountain / | $c: Ludwig Bemelmans.,1950,m,high_male,46.710327848113586
uc1.32106005852287,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,,46.69166930248671
uiuo.ark:/13960/t0zp4qr0f,"Varty-Smith, Augusta A.",Matthew Tindale,1891,f,mixed,46.68366430854311
mdp.39015054151397,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,mixed,46.680419822614404
njp.32101064787649,"Benson, E. F. (Edward Frederic),",Visible and invisible / | $c: by E. F. Benson.,1923,m,mixed,46.67898473208208
inu.39000005682021,"Wickwar, John William,",The ghost world;,1919,m,high_male,46.67113086179258
uc1.b3327633,"Quiller-Couch, Arthur,",The astonishing history of Troy town,1913,m,,46.66939853389792
mdp.39015024982368,"Pristavkin, Anatoly,",The Inseparable twins / | $c: Anatoly Pristavkin ; translated from the Russian by Michael Glenny.,1991,u,mixed,46.66632727519558
uiuo.ark:/13960/t2g741g5q,"Tabor, Eliza.",Janita's cross,1864,f,high_female,46.6653704063776
mdp.39015058731061,"Hoydal, Gunnar.",Under southern skies / | $c: Gunnar Hoydal ; translated from the Faroese by Marjun Stewart and Jill Burrows.,2003,m,mixed,46.658923270889794
uiuo.ark:/13960/t0ks6zb9p,"Banim, John,",Father Connell,1842,m,mixed,46.65833037830574
uc1.b3346792,"Gibbon, Perceval,",Margaret Harding,1911,m,,46.65539161369336
mdp.39015002711649,"Powys, Theodore Francis,",Captain Patch : | twenty-one stories / | $c: by T.F. Powys.,1935,m,mixed,46.64396660291991
mdp.39015008995360,"Popescu, Petru,","Burial of the vine / | $c: Petru Popescu ; translated from the Romanian by Carol Telford, Peter Jay and Petru Popescu.",1975,u,high_male,46.643830624590045
mdp.39015007028478,L. E. L.,Romance and reality,1831,f,high_female,46.629708305269155
mdp.39015053483924,"Hutchison, Stewart.",Beneath the law / | $c: Stewart Hutchison.,2000,m,,46.616508748726176
inu.39000002592520,"Eastlake, Elizabeth,",Livonian tales,1849,f,,46.61417322834646
mdp.39015050483083,"Perriam, Wendy,","Dreams, demons and desire / | $c: Wendy Perriam.",2001,f,,46.61280298321939
mdp.39015029107664,,Border lines : | stories of exile and home / | $c: edited by Kate Pullinger.,1993,u,high_female,46.597148758248956
uiuo.ark:/13960/t2988h62s,"Barry, William Francis,",The new Antigone,1887,m,,46.5960954861526
uiuo.ark:/13960/t2b85xs8f,"Austin, Alfred,",Jessie's expiation,1867,m,mixed,46.57811471065354
uiuo.ark:/13960/t6d226f79,"Black, William,",Kilmeny,1870,m,high_female,46.554934823091244
mdp.39015016453097,"Barker, A. L. (Audrey Lillian),","John Brown's body, | $c: by A. L. Barker.",1969,f,,46.552711993888465
uiuo.ark:/13960/t0xp79n5c,"Chorley, Henry Fothergill,",Sketches of a sea port town,1834,m,high_female,46.54968120521357
inu.39000001864110,"Deighton, Len,",XPD / | $c: Len Deighton.,1981,m,high_male,46.54585710421869
mdp.39015012884584,"Edgell, Zee.",Beka Lamb / | $c: Zee Edgell.,1982,f,,46.53748206367879
uc1.32106013037244,"Hammick, Georgina",The Arizona game / | $c: Georgina Hammick,1996,f,high_female,46.52364952184027
mdp.39015024652698,,Original prints : | new writing from Scottish women / | $c: introduction by Elspeth Davie.,1985,u,high_female,46.51983509520525
uc1.$b236260,"Galsworthy, John,","Over the river, | $c: by John Galsworthy.",1933,m,,46.51578853206906
uc2.ark:/13960/t6sx69c95,"Wood, Henry,",Bessy Rane,1870,f,,46.51099164170121
uiuo.ark:/13960/t6vx0z459,"O'Meara, Kathleen,",Narka,1888,f,high_female,46.509310167267415
mdp.39015061187947,"Maguire, Susie.",Furthermore / | $c: Susie Maguire.,2005,f,,46.50267791283153
njp.32101005842180,"Zola, Émile,",Fat and thin,1888,m,mixed,46.499732626537394
mdp.39015000609357,"Soyinka, Wole.",Seasons of anomy.,1973,u,high_male,46.49360712901976
mdp.39015050923195,"Tennant, Emma.",The house of hospitalities / | $c: Emma Tennant.,1987,f,high_female,46.48651890951624
uc2.ark:/13960/t3gx4jc7q,"Merriman, Henry Seton,",Prisoners and captives,1891,m,mixed,46.48136097424933
nyp.33433074865662,"Buckrose, J. E.,",Voices,1908,f,high_female,46.47840045445547
mdp.39015010553710,"Green, Henry,",Living; | a novel.,1948,m,,46.47314192444147
mdp.39015012309137,"Moorcock, Michael,",Breakfast in the ruins: | a novel of inhumanity.,1972,m,high_male,46.4728694593122
inu.30000100685415,"Daeninckx, Didier,",Murder in memoriam / | $c: Didier Daeninckx ; translated by Liz Heron.,2005,m,mixed,46.472400557668806
uc1.$b103911,"McMinnies, Mary.",The flying fox : | a novel / | $c: by Mary McMinnies.,1956,f,mixed,46.471053425405806
mdp.39015046800887,"Pym, Barbara.",The sweet dove died / Barbara Pym.,1978,f,,46.466167822979926
uc1.32106016496827,"Bakin, Dmitriĭ",Reasons for living / | $c: Dmitry Bakin ; translated by Andrew Bromfield,2002,u,high_female,46.45760743321719
uc1.b2838857,"Carter, Angela,",The magic toyshop / | $c: Angela Carter.,1968,f,high_female,46.44741765259912
mdp.39015047454254,"Hartnett, D. W.,",Brother to dragons / | $c: David Hartnett.,1998,u,high_female,46.44732600012021
uiuo.ark:/13960/t57d3d913,"Macleod, Norman,",The starling,1867,m,mixed,46.44454765455034
mdp.39015029210625,"Hughes, Glyn,",Roth / | $c: Glyn Hughes.,1992,m,mixed,46.444367037166046
mdp.39015065847421,"Isherwood, Christopher,",All the conspirators : | a novel / | $c: by Christopher Isherwood.,1928,m,,46.4428237236824
mdp.39015022219094,"Burford, Barbara.",The threshing floor.,1986,f,high_female,46.442609395000055
uiuo.ark:/13960/t9v12c96m,"Cox, Annie.",A romance of Regent Street,1881,f,high_female,46.44219605241334
uc2.ark:/13960/t6ww7b205,"Richardson, Henry Handel,",Maurice Guest,1908,m,,46.43875047856728
uiuo.ark:/13960/t8bg3b05m,"Ellis, Sarah Stickney,","Agatha Beaufort; or, Family pride",1852,f,high_female,46.431317923939694
