htid,author,title,year,authgender,female_category,intl_subcity_intensity
nyp.33433082300926,,Brother Reginald's golden secret,1871,u,high_male,27.201632097925877
njp.32101068169588,"Galt, John,",Eben Erskine;,1833,m,,27.19651884558777
mdp.39015073661368,"Rush, Christopher,",Hellfire and herring : | a childhood remembered / | $c: Christopher Rush.,2007,m,mixed,27.19377262606863
mdp.39015054036374,"Salgādo, Gāmini,",Cony-catchers and bawdy baskets: | an anthology of Elizabethan low life; | $c: edited with an introduction and notes by Gämini Salgädo.,1972,u,,27.18026838934786
uc1.$b119760,"Lerner, Laurence.",A free man: | a novel.,1968,m,high_female,27.179892057000117
uc2.ark:/13960/t5h993w83,"Maclean, Donald.","The man from Curdie's River; or, Where men are made",1907,m,high_male,27.177605652941978
mdp.39015056303194,"Edric, Robert,",Cradle song / | $c: Robert Edric.,2003,m,,27.177228810081093
uc1.b3326182,"Nares, Edward,",Thinks I-to-myself;,1811,m,mixed,27.175927069693905
njp.32101068598901,"Goldsmith, Oliver,",The miscellaneous works of Oliver Goldsmith,1801,m,,27.175143801802612
mdp.39015033393961,"Montherlant, Henry de,",The boys; | a novel; | $c: translated by Terence Kilmartin.,1974,m,high_male,27.171144244812
uc1.b4101633,"Eliot, George,",Felix Holt,1866,f,,27.17041570736032
uc1.b3746342,,Stories of Sicily / | $c: edited and translated with an introduction by Alfred Alexander.,1975,u,,27.166530834012494
inu.32000007038484,"MacDonald, George,",Malcolm,1875,m,mixed,27.16243133940967
uc1.$b311810,"Cattaert, Claude,",Where goldfish go; | a novel. | $c: Translated from the French by Len Ortzen.,1965,m,high_female,27.15792332412982
uc1.$b243945,"Norris, Kathleen Thompson,","The Callahans and the Murphys, | $c: by Kathleen Norris;",1924,f,high_female,27.1547276380818
uc1.$b799192,"Engstrand, Stuart David,",The scattered seed.,1954,m,mixed,27.152129502728144
uc1.$b790389,"Peterkiewicz, Jerzy,","That angel burning at my left side, | a novel | $c: by Jerzy Peterkiewicz.",1963,u,mixed,27.150856948922453
uiuo.ark:/13960/t6pz5jt8f,,The Davenels;,1829,u,high_female,27.14787607793037
