htid,author,title,year,authgender,female_category,trains
mdp.39015030851755,"Blackmore, R. D.",Mary Anerley,1880,m,mixed,1.3210388649634073
uc2.ark:/13960/t3nv9pj00,"Falkner, John Meade,",The lost Stradivarius,1896,m,high_male,1.3205329671055237
uc1.b3324248,"Ouida,",Chandos,1898,f,high_male,1.3203978358679471
nyp.33433075771596,"Prest, Thomas Peckett.",Angelina;,1841,m,mixed,1.3202104415443823
uc1.32106013248205,"Weldon, Fay",Worst fears / | $c: Fay Weldon,1996,f,high_female,1.3195919821591164
uc1.b4095436,"Hanley, James,","Boy, | $c: by James Hanley.",1931,m,mixed,1.3175751347220575
mdp.39015014184918,"Condé, Maryse.",A season in Rihata / | $c: Maryse Condé ; translated from the French by Richard Philcox.,1988,f,,1.3175577749084297
uiuo.ark:/13960/t88g98g66,"Wilks, John,","The Tory baronet, or Tories, Whigs, and Radicals",1841,m,mixed,1.3163437236731255
uc2.ark:/13960/t1ng4jk7x,"Blundell, Peter.",Mr. Podd of Borneo,1920,m,,1.3143540606968704
uc1.b3810590,"Close, Robert Shaw,",She's my lovely.,1962,m,mixed,1.3142331449599158
mdp.39015070703130,"Mount, Ferdinand,",The condor's head : | an American romance / | $c: Ferdinand Mount.,2007,m,,1.3140172793272231
mdp.39076002869191,"Salibian-Best, Marie.",Antaram / | $c: by Marie Salibian-Best.,2005,f,mixed,1.3131976362442548
uc1.b3325611,"Marsh-Caldwell, Anne,",Angela,1848,f,high_female,1.312801123757762
uc1.l0072665615,"McIver, G. M.",Neuroomia,1894,u,high_male,1.312783889516108
uc1.31822038204038,"Nugent, George Nugent Grenville,",Legends of the library at Lilies,1832,m,high_female,1.312714957074221
uc2.ark:/13960/t1pg1kb00,"Holl, Henry.",The golden bait,1871,m,,1.3118883320651746
uc2.ark:/13960/t81j99n9t,"Moore, Henry Charles.","The Dacoit's treasure, or, In the days of Po Thaw",1897,m,high_male,1.3116646335864846
mdp.39015005311256,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,,1.3109538937515568
inu.30000048964963,"Kingsley, Henry,",The Hillyars and the Burtons,1865,m,,1.3101352059532543
nyp.33433074872270,"Hort, Alfred,","Hena; or, Life in Tahiti",1866,f,high_female,1.3098263170303617
mdp.39015070493963,"Richardson, Samuel,",The works of Samuel Richardson,1883,m,mixed,1.3076852663101044
uiuo.ark:/13960/t4zg74p53,"Jeaffreson, John Cordy,",A noble woman,1868,m,high_female,1.3073604392731075
uiuo.ark:/13960/t77s88r20,"Hawthorne, Julian,",Idolatry,1874,m,high_male,1.3072749852931564
uc2.ark:/13960/t17m0889p,"Warner, Anna Bartlett,",Stories of Vinegar Hill,1882,f,mixed,1.3068991204568918
mdp.39015059372006,"Lockhart, J. G.",Reginald Dalton,1823,m,,1.3057387216817915
nyp.33433081859427,"Edgeworth, Maria,",The novels of Maria Edgeworth,1893,f,high_female,1.3055852938872496
uiuo.ark:/13960/t7tm7hh2x,"Besant, Walter,",This son of Vulcan,1876,m,,1.3054148608427758
uiuo.ark:/13960/t7br92991,"Baring-Gould, S.",John Herring;,1883,m,,1.3049038285878332
uc1.$b312109,"Simenon, Georges,",The burgomaster of Furnes / | $c: Georges Simenon ; translated from the French by Geoffrey Sainsbury.,1952,m,mixed,1.304393196285088
uc1.$b374284,"Takizawa, Bakin,",A captive of love,1911,u,,1.3040019820830127
mdp.39015036624222,"Tolstoy, Leo,","The long exile, and other stories for children",1889,m,high_male,1.3034750645220157
uc1.$b396489,"Glanville, Brian.","The things he loves, and other stories.",1973,m,,1.3032881961188079
mdp.39015001718371,"Carter, Angela,",The passion of new Eve / | $c: Angela Carter.,1982,f,high_female,1.3027618551328817
njp.32101035558053,"Radcliffe, Ann Ward,",The romance of the forest,1820,f,,1.3024394691256724
uc1.32106010984638,"Calvino, Italo.",Our ancestors : | three novels / | $c: Italo Calvino ; translated from the Italian by Archibald Colquhoun with a new introduction by the author.,1980,m,high_female,1.3014139862961107
mdp.39015002742925,"Roland, Nicholas.",Natural causes.,1969,m,mixed,1.3006269021668444
mdp.39015016441175,"Hanley, James,",Say nothing / | $c: James Hanley.,1962,m,high_female,1.3003393885804195
uc1.$b119435,"Rodoreda, Mercè,",The pigeon girl: | a novel; | $c: translated from the Catalan by Eda O'Shiel.,1967,u,high_female,1.2999675008124796
mdp.39015070756153,"Doyle, Roddy,",The deportees and other stories / | $c: Roddy Doyle.,2007,m,,1.2998323216305097
uc2.ark:/13960/t21c1tp6m,"Colcord, Lincoln,",Under sail,1922,m,high_male,1.299562047589962
uiuo.ark:/13960/t2d79x585,"Payn, James,",The burnt million,1890,m,,1.2988699831146902
nyp.33433082524731,"Ballantyne, R. M.",Martin Rattler;,1893,m,high_male,1.2985326580963512
nyp.33433075861496,,"The young apprentice; or, The watch-words of old London",1868,u,,1.298429086295452
mdp.39015004856038,"Asturias, Miguel Angel.","The Mulatta and Mr. Fly, | a novel. | $c: Translated by Gregory Rabassa.",1963,m,high_female,1.2977827381917992
inu.30000103852194,"Eglesfield, Robert,",Bawdy tales of the Middle Ages; | $c: translated from the French by Robert Eglesfield.,1967,m,,1.2968486577616392
hvd.hn1qjz,"Maurice, Frederick Denison,",Eustace Conway,1834,m,,1.296478763677851
mdp.39015048898327,"McCrory, Moy,",Bleeding sinners / | $c: Moy McCrory.,1988,u,high_female,1.295622092947929
hvd.hnnxez,"Maxwell, W. H.",Stories of Waterloo,1833,m,mixed,1.2953787363580427
mdp.39015067683113,,Bedford Square 2 : | new writing from the Royal Holloway Creative Writing Programme / | $c: foreword by Andrew Motion.,2007,u,,1.2939121433654655
mdp.39015012091016,"Lermontov, Mikhail I͡Urʹevich,",The heart of a Russian,1912,u,high_female,1.2937280066238874
uc1.$b244971,"Stern, G. B. (Gladys Bronwyn),","Seventy times seven, | a novel.",1957,f,high_female,1.2937280066238874
uc1.b4082975,"Williams, Tennessee,",Three players of a summer game : | and other stories / | $c: Tennessee Williams.,1960,m,,1.293209357662912
mdp.39015028874512,"McGrath, Eamonn,",The fish in the stone / | $c: Eamonn McGrath.,1994,u,high_female,1.2930923009284403
uc1.$b799192,"Engstrand, Stuart David,",The scattered seed.,1954,m,mixed,1.2929585477489591
uc2.ark:/13960/t71v5ds95,"Steuart, John A.",In the day of battle,1895,m,high_male,1.2923402990475452
mdp.39015019642050,,The Sun maiden and the crescent moon : | Siberian folk tales / | $c: collected and translated by James Riordan.,1989,u,,1.2919228980414448
uc1.b3578771,"Hewlett, J.","Peter Priggins, the college scout",1841,m,high_male,1.2914557288976134
mdp.39015063240017,"Caldwell, Lucy,",Where they were missed / | $c: Lucy Caldwell.,2006,f,,1.2913223140495869
uc2.ark:/13960/t2m61df5k,"Howitt, William,",Madam Dorrington of the Dene,1851,m,,1.2911889267637642
uc1.$b568065,"Meester, James.",And the river flowed on; | an adventurous journey down the Tana River.,1958,m,high_male,1.2903725305495697
inu.32000009218639,"Golding, William,","Sometime, never; | three tales of imagination, | $c: by William Golding, John Wyndham [and] Mervyn Peake.",1956,m,mixed,1.2893410178057993
uc1.b3290575,"Ward, R. Plumer",Illustrations of human life,1837,m,high_male,1.289174799211025
wu.89001126705,"Howarth, David Armine,",A near run thing: | the day of Waterloo | $c: [by] David Howarth.,1968,m,high_male,1.288261362465217
nyp.33433075865711,"Navarro Villoslada, Francisco,",Doña Blanca of Navarre,1854,m,mixed,1.2880456483377771
uc2.ark:/13960/t5gb23h15,"Scott, Walter,",The fortunes of Nigel,1822,m,high_male,1.2873326467559216
dul1.ark:/13960/t0jt05v5q,"Bury, Charlotte Campbell,",The manœuvring mother,1842,f,high_female,1.2872000823808052
uc1.$b323494,"Burnett, W. R. (William Riley),","Tomorrows another day, | $c: by W.R. Burnett ...",1946,m,,1.28628944084998
mdp.39015009367676,,The craft of terror : | stories from the famous Gothic 'horror' novels / | $c: selected and edited by Peter Haining.,1976,u,,1.2837794466910584
uiuo.ark:/13960/t7zk5x86t,"James, G. P. R.","Beauchamp: or, The error",1848,m,,1.2826597232020318
uiuo.ark:/13960/t74t7970r,"Burney, Fanny,",The wanderer,1814,f,high_female,1.2826268197268005
uc2.ark:/13960/t6g15wj1f,"Castle, Agnes (Sweetman),",Incomparable Bellairs,1907,f,mixed,1.2820184097843645
uiuo.ark:/13960/t8x92g77j,"Banim, Michael,",The mayor of Wind-Gap ; and Canvassing,1835,m,mixed,1.2807213022374202
mdp.39015063946787,"Quiller-Couch, Arthur,",Mortallone,1917,m,high_male,1.2806556957162067
uc2.ark:/13960/t9p26sk6g,"Sidgwick, Ethel,",Le gentleman,1911,f,,1.280557298536323
wu.89008695462,"Curtis, Jean Louis,",The neon halo : | the face of the future / | $c: Jean Louis Curtis ; translated from the French by Humphrey Hare.,1958,f,,1.2801474729888884
mdp.39015051279720,"Jenkins, Robin,",Childish things / | $c: Robin Jenkins.,2001,f,high_female,1.2801146982769656
mdp.39015073483847,"Henty, G. A.",The lion of St. Mark,1889,m,high_male,1.2800245764718683
uc1.32106012883820,"Oakley, Ann",A proper holiday / | $c: Ann Oakley,1996,f,,1.2792467794962326
nyp.33433034410674,"Parr, Louisa,",Adam and Eve,1881,f,mixed,1.2790913335166698
uiuo.ark:/13960/t3zs39k16,"Noel, Augusta,",From generation to generation,1879,f,,1.2787560261377733
uc2.ark:/13960/t8cf9p28b,"Hyatt, Stanley Portal,",The law of the bolo,1910,m,,1.2786579206464894
uiuo.ark:/13960/t1zc8fb6b,"Lockhart, Laurence W. M.",Fair to see,1871,m,mixed,1.278363694471077
mdp.39015048497278,"Stickley, Caroline.",Broken snare / | $c: by Caroline Stickley.,1975,f,high_male,1.2780206016920992
mdp.39015040054002,"D'Aguiar, Fred,",Feeding the ghosts / | $c: Fred D'Aguiar.,1997,m,high_male,1.276845680431063
mdp.39015004198142,"Moravia, Alberto,","Paradise, & other stories; | $c: translated from the Italian by Angus Davidson.",1971,m,,1.2766011770262853
uc1.b3581586,"Morgan,",The O'Briens and the O'Flahertys;,1827,f,mixed,1.2753800632588512
uc2.ark:/13960/t1rf5qx3h,"James, G. P. R.",The smuggler,1845,m,mixed,1.2748272609061473
mdp.39015066683353,"Ruheni, Mwangi.",The minister's daughter.,1975,u,high_female,1.2747135081390457
njp.32101068169380,"Aulney, Léonie, d',",The notary's daughter,1878,m,mixed,1.27396649468119
uc1.$b188331,"Didelot, Francis,",Warrant for arrest | $c: [by] Francis Didelot. Translated by W.G. Corp.,1963,m,high_female,1.2729772391669636
mdp.39015041105654,"Chatzēs, Dēmētrēs,",The end of our small town / | $c: Dimitris Hatzis ; translated by David Vere ; edited by Dimitris Tziovas.,1995,u,mixed,1.2721189685659402
mdp.39015061139047,"MacEnulty, Pat.",The language of sharks : | stories / | $c: by Pat MacEnulty.,2004,u,high_female,1.271746871502696
mdp.39015016446000,"Chapman, Hester W.,",Lucy.,1965,f,mixed,1.271043717548665
uc1.b4097002,"Asterisk,","Gone native; | a tale of the South Seas, | $c: by ""Asterisk"" [pseud.].",1924,u,high_male,1.2709871757393967
uiuo.ark:/13960/t1pg29b6z,"Robertson,","Florence, or, The aspirant",1829,f,,1.2700831904489744
mdp.39015053127695,"Wright, S. Fowler (Sydney Fowler),",The siege of Malta / | $c: by S. Fowler Wright ; founded on an unfinished romance by Sir Walter Scott.,1942,u,mixed,1.2700186692744384
mdp.39015033170112,"Morgan,",The princess;,1835,f,,1.269905772991644
njp.32101062932924,"Wedgwood, Julia,",Framleigh Hall,1858,f,,1.2695027357783957
uc1.b4663482,"Grierson, Elizabeth Wilson.",The Scottish fairy book,1918,f,,1.2685203978079969
uiuo.ark:/13960/t50g40g18,"Beale, Anne.","Simplicity and fascination, or, Guardians and wards",1855,f,,1.2681986506366356
nyp.33433074793690,"Harrison, W. H.","Christmas tales, historical and domestic",1832,u,,1.267716335792703
mdp.39015058131015,"O'Hanlon, Redmond,",Trawler : | a journey through the North Atlantic / | $c: Redmond O'Hanlon.,2003,m,high_male,1.2671219858335763
uiuo.ark:/13960/t10p1qf0v,"Russell, William Clark,","List, ye landsmen!",1893,m,high_male,1.267073819720737
