htid,author,title,year,authgender,female_category,trains
mdp.39015034543366,"Tamaro, Susanna,",Follow your heart / | $c: Susanna Tamaro ; translated from the Italian by Avril Bardoni.,1995,f,high_male,20.59925093632959
mdp.39015012334887,"Miller, Joaquin,",The one fair woman,1876,m,,20.59819264063548
uc1.b4507341,"Cayley, George John,",The bridle roads of Spain,1908,m,high_male,20.596222500228848
njp.32101068574175,"Wood, Henry,",Johnny Ludlow,1899,f,,20.59228561500148
uc1.b2801756,"Vyvyan, C. C. (Clara Coltman)",Coloured pebbles /cC.C. Vyvyan.,1964,f,high_female,20.58611613510374
mdp.39015009349294,"Abdullah, Achmed,","My nine lives; | adventures and reminiscences, | $c: by Achmed Abdullah. Illustrated by Erick Berry.",1934,m,,20.58581343371368
nyp.33433084128275,"Travers, Graham,","Mona Maclean, medical student;",1898,m,high_female,20.584168135707724
uc2.ark:/13960/t5q81cb58,"Gissing, George,",Human odds and ends,1898,m,mixed,20.57837334011209
uiuo.ark:/13960/t6h13gm9s,"Neil, Ross,",Carleton Grange,1866,f,,20.572894606271102
mdp.39015080843736,"Nichols, Mary,",The summer house / | $c: Mary Nichols.,2009,f,,20.568755472758152
njp.32101067708295,"Berens, Louise.",A woman with a past. A novel,1886,f,high_female,20.563053800426218
uc2.ark:/13960/fk4xg9fk2g,"Schultz, James Willard,",My life as an Indian,1907,m,,20.56277751717313
mdp.39015005062925,"Goldsmith, Oliver,",The citizen of the world,1891,m,mixed,20.55876560843126
inu.30000082369228,,Libyan stories : | twelve short stories from Libya / | $c: edited by Ahmed Fagih.,2000,u,high_male,20.555588183473308
mdp.39015000550791,"Houghton, Claude,","Passport to paradise, | $c: by Claude Houghton [pseud.] ...",1944,m,,20.544335569390725
mdp.39015029554741,,The Oxford book of American short stories / | $c: edited by Joyce Carol Oates.,1992,u,mixed,20.542773385449053
mdp.39015003673079,,Where monsoons meet : | the story of Malaya in the form of an anthology / | $c: edited by Donald Moore.,1956,u,high_male,20.5392793177673
uc1.b4411114,"(Veniamin), Kaverin, V.",Open book / | $c: by Venyamin Kaverin ; [English translation by Brian Pearce].,1955,u,,20.53612989786698
uc2.ark:/13960/t6542pz1f,"Buchanan, Robert Williams,",The new Abelard,1884,m,,20.53598932128555
inu.32000001014457,"Machen, Arthur,",The Caerleon edition of the works of Arthur Machen.,1923,m,high_male,20.53448326439614
uc1.32106019839627,,"Wrongteous : | with 11 stories, 48 plates many in colour / | $c: edited by Leo Fitzmaurice & Paul Rooney",2008,u,,20.532074032792654
mdp.39015062842466,,Nova Scotia : | new Scottish speculative fiction / | $c: edited by Neil Williamson & Andrew J. Wilson.,2005,u,mixed,20.524515393386544
uc2.ark:/13960/t6sx69c95,"Wood, Henry,",Bessy Rane,1870,f,,20.51955513604465
bc.ark:/13960/t3jw8vz3x,"Scott-James, R. A.",An Englishman in Ireland;,1910,u,,20.511137547688396
mdp.39015063025392,"(Charles Edward), Montague, C. E.","Rough justice; | a novel,",1926,u,,20.507163364306223
mdp.39015005910743,"Manning, Olivia.",The great fortune.,1960,f,,20.494387690755456
mdp.39015000630882,"Lawrence, D. H. (David Herbert),",Works.,1954,m,,20.493003103226183
inu.32000009191729,"Barry, Paul.",Unwilling to school.,1961,m,,20.491803278688526
mdp.39015010845405,"Nesbitt, Lewis Mariano,","Desert and forest; | the exploration of Abyssinian Danakil, | $c: by L.M. Nesbitt.",1937,m,,20.491667823454367
mdp.39015013248649,"Wells, H. G.",The wheels of chance,1896,m,,20.483967881138362
uc2.ark:/13960/t6zw1br9t,"Coulevain, Pierre de.",The unknown isle,1911,m,high_female,20.483408439164275
uiuo.ark:/13960/t6f19hx11,"Oliphant,",Hester,1883,f,,20.478966896352336
mdp.39015077682931,"Esler, Gavin.",A scandalous man / | $c: Gavin Esler.,2008,m,,20.471946609163243
mdp.39015058374110,"Schofield, Stephen,","Musketoon; | commando raid, Glomfjord, 1942.",1964,m,high_male,20.468543570086155
mdp.39015063975406,"Wyndham, Horace,",Limelight,1914,m,mixed,20.46733754050827
njp.32101064919150,"Maxwell,",The Venetians A novel,1892,f,high_female,20.45946103934062
mdp.39015063761202,"Black, William,",Madcap Violet,1876,m,,20.457428092140255
mdp.39015000646805,"Faulkner, William,",Pylon : | a novel / | $c: by William Faulkner.,1935,m,high_male,20.45607301843969
inu.32000009144462,"Johnston, Hamilton.",The fly in the ointment.,1962,m,mixed,20.45467827713167
inu.30000107606992,"Doughty, Anne,",The hawthorns bloom in May / | $c: Anne Doughty.,2006,f,,20.447646161347656
mdp.39015054153674,"Humphreys, Emyr.",Ghosts and strangers / | $c: Emyr Humphreys.,2001,m,,20.444487204156243
uc1.b3435521,"Farrell, J. G. (James Gordon),",The Singapore grip / | $c: [by] J. G. Farrell,1978,m,high_male,20.44213415880618
inu.39000005786145,,African tales / | $c: selected by Raymond Tong.,1964,u,high_male,20.43631533234558
uc1.$b244836,"Strachey, Isobel.","The younger sister, | a novel.",1951,f,high_female,20.430236750390577
mdp.39015003941518,"Glanville, Brian.",The rise of Gerry Logan.,1963,m,high_male,20.429916503819506
mdp.39015061459601,"James, Siân.",Love & war / | $c: Siân James.,2004,u,,20.428130611016137
uc2.ark:/13960/t0rr1qr9g,,Hugh Russell at Harrow,1880,u,high_male,20.42761813972491
inu.30000107647764,,The Dedalus book of Finnish fantasy / | $c: edited by Johanna Sinisalo ; and translated by David Hackston.,2005,u,mixed,20.426773664052526
uc1.$b745779,"Douglas, Keith Castellain,",Alamein to Zem Zem.,1946,m,high_male,20.415385034161744
nyp.33433082432323,"Corner, Caroline.",Ceylon,1908,f,high_female,20.414302905277633
mdp.39015030712239,"Sillitoe, Alan.","Men, women and children.",1973,m,mixed,20.414252288751747
mdp.39015059392152,"Davidson, John,",Baptist Lake,1894,m,,20.411733830990844
wu.89057817041,"Lindgren, Torgny,","In praise of truth : | the personal account of Theodore Marklund, picture-framer / | $c: Torgny Lindgren ; translated from the Swedish by Tom Geddes.",1994,u,high_female,20.409633346939756
uiuo.ark:/13960/t63491h9n,"Gillmor, C.","Jessie of Boulogne, or, The history of a few minutes",1877,m,,20.403999183840032
nyp.33433075909907,"Borrow, George Henry,",Wild Wales,1862,m,high_male,20.403305335464346
nyp.33433075909915,"Borrow, George Henry,",Wild Wales,1862,m,high_male,20.400530413790758
mdp.39015004106822,"Berger, John.",Pig Earth / | $c: John Berger.,1979,m,,20.40035700624761
mdp.39015018984065,"Dixon, Ella Hepworth.",The story of a modern woman / | $c: by Ella Hepworth Dixon ; introduction by Kate Flint.,1990,f,high_female,20.39817232375979
uc1.b3124540,"James, G. P. R.",The castle of Ehrenstein,1847,m,high_male,20.389598168073025
uc1.$b157657,,African tales / | $c: selected by Raymond Tong.,1964,u,high_male,20.388399000968448
njp.32101068585437,"Rossetti, Christina Georgina,","Commonplace, and other short stories",1870,f,high_female,20.385761329778894
uiuo.ark:/13960/t6m04mk6h,"Tytler, Sarah,",Saint Mung's city,1884,f,mixed,20.383550474766864
uc1.$b696721,"Bertin, Célia,",Last innocence;,1955,u,mixed,20.377932266888212
dul1.ark:/13960/t2k65772k,"Lyall, Edna,",Donovan,1882,f,,20.376974019358126
inu.30000110569740,"Scott-Wilson, Sin̥.",The sleepwalker's introduction to flight / | $c: Sin̥ Scott-Wilson.,2008,u,mixed,20.3756201275691
mdp.39015049986808,"Wall, Alan.",The school of night / | $c: Alan Wall.,2001,m,mixed,20.374436873203088
uc1.$b703802,"Hougron, Jean.",A question of character / | $c: Jean Hougron ; translated from the French by Mervyn Savill.,1957,f,high_male,20.373388650170394
uiuo.ark:/13960/t2p56366c,"McDonnel, Emily Fanny Dorothy Osborn,",Peccavi,1888,f,high_female,20.371577574967404
uc1.32106014953365,"Legge, Gordon,",Near neighbors / | $c: Gordon Legge,1998,m,mixed,20.367981533030076
uiuo.ark:/13960/t2r49zr88,"Cambridge, Ada,",A mere chance,1882,f,high_female,20.367981533030076
mdp.49015002580182,,The Oxford book of American short stories / | $c: edited by Joyce Carol Oates.,1994,u,mixed,20.367888097721824
uiuo.ark:/13960/t12n5sm4n,"Wills, W. G.",Notice to quit,1861,m,mixed,20.36659877800407
mdp.39015057606355,"Thomas, David N.",The Dylan Thomas murders / | $c: David N. Thomas.,2002,m,mixed,20.363932566291872
uiuo.ark:/13960/t2k651j5k,"Braddon, M. E.",The lady's mile,1866,f,high_female,20.3593423932407
mdp.39015063338407,"Robinson, Ray,",Electricity / | $c: Ray Robinson.,2006,m,high_male,20.358108828633195
uc1.$b300957,"Hurst, Fannie,",A president is born / | $c: by Fannie Hurst.,1928,f,,20.356599729376967
uiuo.ark:/13960/t2891r88v,"Braddon, M. E.",A strange world,1875,f,,20.35607472245275
wu.89098869100,"Pansy,",The Randolphs,1889,f,high_female,20.35581972886048
mdp.39015048931599,,Suspect device : | a reader in hard-edged fiction / | $c: edited by Stewart Home.,1998,u,,20.35394438016883
mdp.39076006608082,"Huxley, Aldous,",Collected works.,1970,m,mixed,20.353597498357836
mdp.39015060845636,"Ferguson, Patricia.",It so happens / | $c: Patricia Ferguson.,2004,f,high_female,20.351630957091977
mdp.49015000983156,"Huxley, Aldous,","Eyeless in Gaza, | a novel.",1969,m,,20.349236903616113
uc1.32106013640393,"Freud, Esther",Gaglow / | $c: Esther Freud,1997,f,high_female,20.34857102160001
uc1.32106015216820,"Johnson-Davies, Denys.",Modern Arabic short stories; | $c: selected and translated by Denys Johnson-Davies.,1967,f,high_male,20.339672531272246
mdp.39015064952289,"Sheers, Owen,",Resistance / | $c: Owen Sheers.,2007,m,high_female,20.337273341088615
mdp.39015078776922,"Bragg, Melvyn,",Remember me / | $c: Melvyn Bragg.,2009,m,,20.33105738440947
mdp.39015031240875,"Isherwood, Christopher,","The memorial, | portrait of a family | $c: [by] Christopher Isherwood.",1952,m,,20.329610755719397
uc1.$b604761,"Gulʹ, Roman,",General B.O. / | $c: Roman Gul : authorized translation by. L. Zarine ; edited by Stephen Graham.,1930,m,,20.325069990361982
uiuo.ark:/13960/t1rf64929,"Grant, Louisa Keir.",Charles Stanley,1854,f,high_female,20.324613106471936
uc1.b3862769,"Coward, Noel,",Collected short stories.,1962,m,high_female,20.32344766966268
uiuo.ark:/13960/t0dv2388k,"Merrick, Leonard,",Violet Moses,1891,m,high_female,20.32244953258366
mdp.49015000947144,"Coward, Noel,",The collected short stories of Noël Coward.,1969,m,high_female,20.317769921573408
mdp.39015008919477,"Packe, Michael St. John.",First Airborne.,1948,m,,20.312817387771684
inu.30000037512682,"Thomas, Donald, 1926-",The raising of Lizzie Meek / | $c: Donald Thomas.,1993,m,mixed,20.312600226645856
uc2.ark:/13960/t2x34w21d,"Kemp, John,",Wild Dayrell,1861,m,mixed,20.30869212022746
uc1.$b322999,"Hay, Ian.",A safety match / | $c: by Ian Hay [i.e. J. H. Beith].,1923,m,,20.300961758063288
uiuo.ark:/13960/t9862sg0c,"Besant, Walter,",Ready-money Mortiboy,1872,m,,20.300446609825418
uc1.$b794663,"Jones, Richard,",A way out.,1969,m,,20.299961788307222
uc1.$b252065,"Mayo, Gael.",Nobody's nothing.,1963,m,,20.289234306840854
uc1.$b115506,"Bermant, Chaim,","Ben preserve us, | $c: by Chaim Bermant.",1965,u,mixed,20.281037230189774
uc1.b2830317,"Crosthwaite, Charles.",Thakur Pertáb Singh,1913,m,,20.276399338349073
uc1.b4105428,"Yonge, Charlotte M.",The pillars of the house,1896,f,mixed,20.27317104196149
uiuo.ark:/13960/t9v12jj5b,"Stuart, Esmè,",A mine of wealth,1896,u,high_female,20.273009866198134
mdp.39015063928504,"Disraeli, Benjamin,",Lothair,1870,m,,20.268558398783888
uc1.b3472758,"Freeman, Gillian.",The marriage machine : | a novel / | $c: by Gillian Freeman.,1975,f,,20.266971285386592
mdp.39015039762904,"Shapcott, Thomas W.",Limestone and lemon wine : | stories / | $c: by Thomas Shapcott.,1988,m,,20.26107846826247
inu.30000110565557,"Broughton, Sarah.",Other useful numbers / | $c: Sarah Broughton.,2008,f,high_female,20.259661325994834
mdp.39015070226223,"Read, Opie Percival,",Odd folks,1897,m,,20.250088594137598
mdp.39015002204744,"Lytton, Edward Bulwer Lytton,",[Novels],1890,m,,20.243188167181742
mdp.39015079360940,"Derbyshire, Ron.",The dormant register / | $c: Ron Derbyshire.,2009,m,,20.241093918675784
uc2.ark:/13960/t1cj8886t,"James, Henry,",Daisy Miller,1879,m,,20.233358062993187
uc1.$b152110,"Borel, Jacques,",The bond; | $c: translated by Norman Denny.,1968,m,high_female,20.232559915099596
njp.32101065762096,"Lyons, A. Neil",Clara,1912,m,high_female,20.231592226308212
uc1.32106017858892,"Pearse, Lesley",Secrets / | $c: Lesley Pearse,2004,u,high_female,20.228249927084214
uc1.$b100831,"Farrell, James T. (James Thomas),",Fellow countrymen; | collected stories | $c: [by] James T. Farrell.,1937,m,mixed,20.22565268727861
njp.32101068551595,"Hugo, Victor,",History of a crime,1877,m,high_male,20.21472530434392
nyp.33433074855069,"Gallichan, Walter M.",Like stars that fall,1895,m,high_female,20.209224916785544
nyp.33433082446075,"Elkington, E. Way (Ernest Way),",Adrift in New Zealand,1906,m,mixed,20.188619386842788
uc2.ark:/13960/t71v5d269,"Smedley, Frank E.","The fortunes of the Colville family, or, A cloud and its silver lining",1886,m,mixed,20.184967704051672
mdp.39015048881166,"Linklater, Eric,","Mr. Byculla, | a story.",1950,m,,20.180277142472757
mdp.39015022622859,"Pickthall, Marmaduke William,",The myopes,1907,m,mixed,20.177802043892655
mdp.39015055184272,"Bardwell, Leland.",Mother to a stranger / | $c: Leland Bardwell.,2002,m,,20.173492031470648
wu.89100091537,"McDougall, Grace.",Nursing adventures;,1917,f,high_male,20.171683439047897
mdp.39015001741860,"Cooper, William,",Scenes from later life : | a novel / | $c: by William Cooper.,1983,m,,20.166905148322787
mdp.39015069302563,"Thorpe, Adam,",Between each breath / | $c: Adam Thorpe.,2007,m,,20.166517818558958
nyp.33433074946934,"Cobb, Thomas,",The judgment of Helen,1899,m,high_female,20.165981540370744
njp.32101064919077,"Maxwell,",The Venetians A novel,1892,f,high_female,20.145980876815074
mdp.39015012405711,"Sillitoe, Alan.",Out of the whirlpool / | $c: Alan Sillitoe ; with illustrations by Peter Farmer.,1987,m,,20.145624082654617
njp.32101064753914,"Warr, Charles Laing,",Echoes of Flanders,1916,m,high_male,20.145314871271438
nyp.33433084129117,"Beck, Helen Watson.","The princess' wedding feast; or, The wind spirit of Woenfels",1899,f,high_male,20.144283430067862
uiuo.ark:/13960/t3xs6030j,"Black, William,",The strange adventures of a phaeton,1872,m,mixed,20.14265740894334
uc1.b4692439,"Vince, Charles,",Wayfarers in Arcady,1921,m,high_male,20.135772638361523
mdp.39015039630242,"Farnol, Jeffery,",Portrait of a gentleman in colours; | the romance of Mr. Lewis Berger.,1935,m,high_male,20.131525969668502
mdp.39015054159937,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,mixed,20.130850528434827
uiuo.ark:/13960/t9s18k343,"Payn, James,",For cash only,1882,m,mixed,20.128824476650564
inu.30000084059991,"Yonge, Charlotte M.",The trial,1884,f,mixed,20.11989629108003
uc1.$b247952,"Christesen, Clement Byrne,",Australian heritage / | $c: edited by C. B. Christesen.,1949,m,,20.11814839877828
uc1.b3188862,"Wain, John.","A John Wain selection : | ten short stories, together with a selection of poems and extracts from two novels / | $c: by John Wain with a specially written introd. by the author ; Geoffrey Halson, editor.",1977,m,,20.11429653205864
njp.32101068574167,"Wood, Henry,",Johnny Ludlow,1899,f,,20.107719928186714
njp.32101064912080,"Marks, Mary A. M.",Five-chimney farm,1877,f,high_female,20.104206805274004
uc1.b3325647,"Asquith, Margot,",Octavia / | $c: by Margot Oxford.,1928,f,,20.103455474712174
uc1.b3334152,"Cunninghame Graham, R. B.","Progress, and other sketches",1905,m,high_male,20.100791109707245
mdp.39015033179758,"Vercors,",Freedom in December | $c: [by] Vercors. Translated from the French by Rita Barisse.,1961,u,mixed,20.09992534313444
wu.89099400848,"Klimov, Grigoriĭ Petrovich.","The terror machine; | the inside story of the Soviet administration in Germany, | $c: by Gregory Klimov.  Translated from the German by H. C. Stevens.  Introduced by Edward Crankshaw and Ernst Reuter.",1953,u,,20.099083047238278
nyp.33433075738090,"Brackel, Ferdinande Maria Theresia,",Nora;,1877,f,,20.09226988555134
pst.000067154463,"Chen, Willi.",Crossbones / | $c: Willi Chen.,2009,m,,20.089196030374865
mdp.39015063935954,"Phillpotts, Eden,","Black, white, and brindled, | $c: by Eden Phillpotts.",1923,m,,20.08577808759762
uc1.$b64068,"Sanborn, Pitts,",Prima donna : | a novel of the opera / | $c: by Pitts Sanborn.,1929,u,high_female,20.083970122703494
wu.89018081869,"Horst, Kate A. ter.","Cloud over Arnhem, | September 17th-26th 1944.",1959,f,high_male,20.08334588542451
mdp.39015019996431,"Pullinger, Kate.",When the monster dies / | $c: Kate Pullinger.,1989,f,high_female,20.076002007600202
njp.32101066458942,"Gibbon, Charles,",By mead and stream,1884,m,mixed,20.07387184840212
mdp.39015024905351,"Barstow, Stan,",Next of kin / | $c: Stan Barstow.,1991,m,,20.071199940842778
uc1.$b742633,"Tilsley, W. V.",Other ranks / | $c: W. V. Tilsley ; with an introduction by Edmund Blunden.,1931,u,high_male,20.070648683365448
mdp.39015073645478,,"The Dedalus book of Russian decadence : | perversity, despair and collapse / | $c: edited by Kirsten Lodge ; poetry translated by Kirsten Lodge ; prose translated by Margo Shohl Rosen with Grigory Dashevsky.",2007,u,,20.06533272334722
inu.32000004529188,"Praed, Campbell,","Moloch, a story of sacrifice",1883,f,mixed,20.064608037881978
mdp.39015000615511,"Smith, Jonathan,",Wilfred and Eileen / | $c: Jonathan Smith.,1976,m,mixed,20.063107592974266
uc1.b3346626,"Chitty, Thomas,","Happy as Larry, | $c: [by] Thomas Hinde [pseud.]",1957,m,high_male,20.06036345731246
mdp.39015041543888,"Warner, Alan.",These demented lands / | $c: Alan Warner.,1997,m,,20.058168689198677
mdp.39015043101354,"McEwan, Ian.",Amsterdam / | $c: Ian McEwan.,1998,m,high_male,20.057364061215075
uc1.$b784001,"Campbell, Patrick,",A bunch of new roses / | $c: by Patrick Campbell,1967,m,mixed,20.053475935828878
mdp.39015013443281,"Lavin, Mary,","A family likeness, and other stories / | $c: by Mary Lavin.",1985,f,,20.049838169163348
mdp.39015010844457,"Welch, Denton.",A last sheaf.,1951,m,,20.043388039992454
mdp.39015001043812,"Brahms, Caryl,",Stroganov in company : | collected stories / | $c: by Caryl Brahms [i.e. D.C. Abrahams].,1980,f,,20.036064916850332
mdp.39015063558335,"Oliphant,",The railway man and his children,1891,f,,20.035828776164436
mdp.39015054151389,"(Herbert George), Wells, H. G.",The works of H. G. Wells.,1924,m,mixed,20.033197870757256
uc2.ark:/13960/t6g15x330,"Gibbon, Perceval,",Those who smiled and other stories,1920,m,,20.028994353731115
uc1.32106006786252,"Troyat, Henri,",Sylvie / | $c: Henri Troyat ; translated by Anthea Bell.,1982,m,high_female,20.024028834601523
uc1.32106010909965,"Lock, Samuel,",As luck would have it / | $c: Samuel Lock,1995,m,high_male,20.01978425738377
inu.30000054101278,"Marryat, Florence,",The confessions of Gerald Estcourt,1867,f,high_female,20.01971171615129
uc2.ark:/13960/t2b858c9p,"Agate, James,",Responsibility;,1919,m,mixed,20.013914435750568
uiuo.ark:/13960/t16m3n88k,"Griffiths, Arthur,",The queen's shilling,1872,m,,20.010005002501252
mdp.39015000630726,"Lawrence, D. H. (David Herbert),",Works.,1954,m,,20.008146173799332
mdp.39015049862462,"Kennaway, James,",The bells of Shoreditch / | $c: James Kennaway ; introduction by Frank Delaney.,1981,m,,19.999428587754636
mdp.39015055174513,"Baker, Howard.",Sawdust Caesar / | $c: Howard Baker.,1999,m,,19.999250028123946
uiuo.ark:/13960/t3qv3wj4r,,"Eva Desmond, or, Mutation",1858,u,high_female,19.997250378073016
inu.32000006736120,"Wodehouse, P. G. (Pelham Grenville),",Uncle Dynamite : | [a novel] / | $c: by P. G. Wodehouse.,1948,m,,19.99400179946016
uc1.b3472730,"Lewis, Norman.",Cuban passage / | $c: Norman Lewis.,1982,m,high_male,19.990480723465016
mdp.39015007057113,"White, Patrick,",The Twyborn affair : | a novel / | $c: by Patrick White.,1979,m,high_female,19.979902568592767
mdp.39015030836798,,Anticipations / | $c: edited by Christopher Priest.,1978,u,,19.97979820403814
inu.39000000524541,"Sharp, Colin Ainsworth.",Birthright / | $c: Colin Ainsworth Sharp.,1982,m,high_male,19.9689055613402
uiuo.ark:/13960/t8v98pc5h,"Braddon, M. E.",The Lovels of Arden,1871,f,,19.96247055535593
inu.32000009077365,"White, W. J.",One for the road / | $c: by W. J. White.,1956,u,mixed,19.958973221710927
uc1.b3401748,"Disraeli, Benjamin,",Endymion,1880,m,,19.951546244833974
njp.32101067645547,"Griffiths, Arthur,",A wayward woman,1879,m,,19.94979302089741
mdp.39015024907951,"Sillitoe, Alan.",Leonard's war : | a love story / | $c: Alan Sillitoe.,1991,m,,19.94840013830891
uiuo.ark:/13960/t2z32j87d,"Collins, Wilkie,",The moonstone,1868,m,mixed,19.935144330444952
mdp.39015038166156,"Chukovskai͡a, Lidii͡a Korneevna.",The deserted house / | $c: Lydia Chukovskaya ; translated from the Russian by Aline B. Werth.,1967,u,high_female,19.93074067615038
uc1.b3590279,"Merle, Robert,",Death is my trade : | a novel / | $c: Robert Merle.,1954,m,,19.929467016732087
nyp.33433005069566,"Milman, Constance.",Mum Fidgets,1892,f,,19.926934573231485
uc2.ark:/13960/t2s46m716,"Blaker, Richard.",The voice in the wilderness,1922,m,high_female,19.924287706714484
uc2.ark:/13960/t47p9676w,"Adams, Johns Bernard Pye,",Nothing of importance;,1917,m,high_male,19.922663841270705
uc2.ark:/13960/t1hh6j380,"Dymow, Ossip,",The flight from the cross,1916,u,mixed,19.922303018228906
mdp.39015051324278,"Bascom, Harold A.,",Apata : | the story of a reluctant criminal / | $c: Harold Bascom.,1986,m,high_male,19.9203187250996
mdp.39015031309894,"Stevenson, Robert Louis,",The Stevenson reader;,1898,m,high_male,19.91858279283429
uc1.$b242911,"Hartley, L. P. (Leslie Poles),",A perfect woman.,1955,m,mixed,19.914735429051913
uc1.$b726798,"Simpson, Alyse.","The convent,",1939,f,high_female,19.910752977828793
mdp.39015038021948,"German, I͡Uriĭ Pavlovich,",Antonina; | $c: Yuri Herman ; translated from the Russian by Stephen Garry.,1937,u,high_female,19.90502459692325
mdp.39015003976340,"Huxley, Aldous,","Antic hay, | $c: by Aldous Huxley.",1923,m,mixed,19.896178125056522
uiuo.ark:/13960/t1wd4853s,"Church, A. B.,",Greymore,1860,f,high_female,19.893278412282346
uc1.32106018190436,"Dobbs, Michael,",Churchill's hour / | $c: Michael Dobbs,2004,m,,19.88697568817222
inu.30000041996913,,The Dedalus book of Portuguese fantasy / | $c: edited by Eugňio Lisboa & Helder Macedo ; translated by Margaret Jull Costa.,1995,u,mixed,19.88053605154481
mdp.39015014828662,"Nye, Robert.",Tales I told my mother.,1969,m,,19.879803648708577
mdp.39015049991105,"Graham, Laurie,","Dog days, Glen Miller nights / | $c: Laurie Graham.",2000,f,,19.877482426498492
hvd.hn5cy3,"Hofland,",Theodore,1838,f,,19.87632508833922
uc1.$b244956,"Stern, G. B. (Gladys Bronwyn),",Jack a' Manory / | $c: by G.B. Stern.,1927,f,,19.86728652600628
uiuo.ark:/13960/t74t75v1n,"Warden, Florence,",Ralph Ryder of Brent,1892,f,high_female,19.86639847028732
mdp.39015053144948,,Don't think of tigers : | the First Edition anthology / | $c: edited by Peter Guttridge.,2001,u,high_female,19.85868974455454
uiug.30112041406049,"Bindloss, Harold,",The impostor / | $c: by Harold Bindloss.,1908,m,,19.854341332226305
mdp.39015032821699,"Duffy, Maureen.",Occam's razor / | $c: Maureen Duffy.,1993,f,high_male,19.852907999819518
mdp.39015062688018,"Ritchie, Anne Thackeray,",The works of Miss Thackeray,1875,f,high_female,19.846707809206983
uc1.32106017692432,"Manṭo, Saʻādat Ḥasan,",Kingdom's end and other stories / | $c: Saadat Hasan Manto ; translated from the Urdu by Khalid Hasan.,1987,u,high_male,19.84345717120494
uc1.$b322862,"Brierley, Walter,",Means-test man / | $c: by Walter Brierley.,1936,m,mixed,19.83918589317182
mdp.39015050246175,"Desai, Anita,",Diamond dust : | and other stories / | $c: Anita Desai.,2000,f,,19.837333862328904
mdp.39015033987820,"Trevor, William,",Felicia's journey / | $c: William Trevor.,1994,m,,19.83449218190433
mdp.39015022182508,"De Wet, Oloff.",Cardboard crucifix : | the story of a pilot in Spain / | $c: by Oloff de Wet.,1938,u,high_male,19.82929562893353
uiuo.ark:/13960/t7vm4j87s,"Chatterton, Georgiana,",Country coteries,1868,f,high_female,19.827322049784602
uiuo.ark:/13960/t42r4h82c,"Wood, Henry,",Anne Hereford,1868,f,,19.82432597291692
uc1.$b146870,"Ramsbotham, Michael,",The remains of a father: | a novel.,1969,m,mixed,19.82322348935376
uc1.b3739978,"Bascom, Harold A.,",Apata : | the story of a reluctant criminal / | $c: Harold Bascom.,1986,m,high_male,19.819744638237502
mdp.39015025221402,"Feinstein, Elaine.",Loving Brecht / | $c: Elaine Feinstein.,1992,f,,19.818518990388018
mdp.39015012363548,"Dumitriu, Petru.",The prodigals. | $c: Translated by Norman Denny.,1962,u,,19.81833195706028
uc1.b4101775,"De la Mare, Walter,",The lord fish | $c: [by] Walter De La Mare; illustrated by Rex Whistler.,1933,m,,19.80372309994279
uiuo.ark:/13960/t46q2g33b,"Kennard, Edward,",A crack county,1888,f,,19.80372309994279
uc1.b4539004,"Rayner, Claire.",The running years / | $c: Claire Rayner.,1981,f,high_female,19.803493753213726
uc1.b3723293,"Vučo, Aleksandar.",The holidays. | $c: Translated by Alec Brown.,1959,u,,19.799497092773844
nyp.33433075766042,"Pemberton, Max,",The phantom army,1898,m,,19.797347155481166
mdp.39015059984875,"Sealy, I. Allan.",The Everest Hotel : | a calendar / | $c: I. Allan Sealy.,1999,m,,19.794793969186102
uiuo.ark:/13960/t79s21g2v,"Belgrave, Dalrymple J.",Jack Warleigh,1891,m,high_male,19.793861075372195
nyp.33433075766463,"Perrin, Alice,",The stronger claim,1908,f,,19.77733052572798
uiuo.ark:/13960/t3pv6sw3b,"Chetwynd, Henry Wayland,",Mrs. Dorriman,1886,f,high_female,19.77667569294429
mdp.39015033350110,"Sutherland, Margaret.",The love contract / | $c: Margaret Sutherland.,1976,f,high_female,19.775221647275963
mdp.39015047776268,"Finn, Timothy,","Knapworth at war : | stories from an English village, 1939-45 / | $c: Timothy Finn.",1982,m,high_male,19.775171511583686
mdp.39015000674310,"Orwell, George,",Coming up for air.,1954,m,,19.77210052552162
uc1.b3752269,"Simenon, Georges,","Lost moorings, | $c: translated from the French by Stuart Gilbert.",1946,m,mixed,19.770961020789926
mdp.39015056909438,"Madhavan, Cauvery.",The uncoupling / | $c: Cauvery Madhavan.,2003,u,,19.762113558045034
uiuo.ark:/13960/t4dn4s42z,Sejanus.,Littledale,1878,u,,19.752436133789836
uc1.$b243554,"O'Connor, Frank,",Bones of contention and other stories / | $c: by Frank O'Connor.,1936,m,mixed,19.740738303612556
njp.32101067627453,"Arnold, Frederick,",Reminiscences of a literary and clerical life,1889,m,high_male,19.73704187289345
uc2.ark:/13960/t39023q38,"Donovan, Dick,",The chronicles of Michael Danevitch of the Russian secret service,1897,m,mixed,19.73127279439377
nc01.ark:/13960/t7rn45d40,"Penny, F. E.",The unlucky mark,1909,m,,19.728535353535353
uc1.$b395224,"La Guma, Alex.","A walk in the night, | and other stories.",1967,m,high_male,19.72308784663327
mdp.39015050154411,"Leitao, Lino.",The gift of the holy cross / | $c: Lino Leitão.,1999,m,,19.718161741508045
