htid,author,title,year,authgender,female_category,urban_metric_global
uc2.ark:/13960/t6f18tz48,"Cresswell, Philip.",A loss gained,1862,m,,-0.28111839644521774
uiuo.ark:/13960/t1zc8h33k,"James, G. P. R.","Beauchamp: or, The error",1848,m,,-0.28116314352584787
mdp.39015063934395,"Matheson, C. M.",The generation between,1915,u,high_female,-0.281266542181137
mdp.39015015519815,"Weldon, Fay.",Little sisters / | $c: Fay Weldon.,1987,f,high_female,-0.2814172305542426
uc2.ark:/13960/t09w0ft2n,"Rodziewiczówna, Maria,",Devaytis,1901,f,,-0.2814347318608796
mdp.39015029176610,"Ali, Tariq.",Shadows of the pomegranate tree / | $c: Tariq Ali.,1992,u,,-0.28150440952655265
mdp.39015065597083,"Trollope, Anthony,",The chronicles of Barsetshire,1891,m,mixed,-0.28164336403337525
mdp.39015002750852,"Rubens, Bernice.",Birds of passage / | $c: by Bernice Rubens.,1981,f,high_female,-0.2816512291656184
uc1.$b119618,"Middleton, Stanley,",Harris's requiem / | $c: Stanley Middleton.,1960,m,high_male,-0.28179357837608154
uc1.$b661973,"Wasilewska, Wanda,",Just love; | $c: translated by Edith Bone.,1945,f,high_female,-0.281794484888905
uiuo.ark:/13960/t3902ph5k,"Muir, Alan.",Children's children,1879,m,high_female,-0.28179631371475233
uc1.b3322604,"Harte, Bret,",The complete works of Bret Harte,1880,m,,-0.2818902131502758
uc1.b4103668,"Moir, D. M.",The life of Mansie Wauch,1911,u,high_male,-0.2819045752778379
nyp.33433082167705,"Dickens, Charles,",The old curiosity shop,1866,m,,-0.28200338988417406
mdp.39015063964608,"Willcocks, M. P.",The power behind,1913,f,high_female,-0.28202764493395416
nyp.33433075861421,,The young wanderer's cave,1830,u,,-0.28207141306606665
mdp.39015028909532,"Banville, John.",Ghosts / | $c: John Banville.,1993,m,high_female,-0.2821081192726232
uc1.b3331970,"Scott, Walter,",Peveril of the peak,1823,m,,-0.2821466172203211
uiuo.ark:/13960/t88g8wg3t,"Beale, Anne.","Nothing venture, nothing have",1864,f,,-0.2821630504161564
njp.32101076417292,Saʻdī.,"Gulistān; or, Flower-garden",1890,m,,-0.28218352042006883
uc2.ark:/13960/t6445pd8g,"Reade, Charles,",Foul play,1868,m,high_male,-0.282337895045196
mdp.39015063959723,"Weatherly, F. E.",Oxford days;,1879,m,high_male,-0.28240977341079915
wu.89047405857,"Homewood, Robert A.",Three farms.,1947,m,,-0.2824972674822475
njp.32101068162732,"Adams, F. Colburn","Our world, or, The democrat's rule",1855,m,high_male,-0.2827103373369093
